name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
TotalRevenue,"2,814,200,000","2,846,400,000","2,745,100,000","2,585,300,000","2,405,400,000","2,485,600,000","2,654,600,000","2,496,900,000","2,227,800,000","2,119,000,000","10,995,000,000","10,904,500,000","11,694,800,000","9,003,300,000","7,807,900,000","7,427,300,000","6,764,100,000","5,626,600,000","4,985,300,000","4,675,700,000","4,829,400,000","4,632,200,000","4,492,700,000","8,777,100,000","8,718,100,000","8,884,000,000","23,620,000,000"
	OperatingRevenue,"2,814,200,000","2,846,400,000","2,745,100,000","2,585,300,000","2,405,400,000","2,485,600,000","2,654,600,000","2,496,900,000","2,227,800,000","2,119,000,000","10,995,000,000","10,904,500,000","11,694,800,000","9,003,300,000","7,807,900,000","7,427,300,000","6,764,100,000","5,626,600,000","4,985,300,000","4,675,700,000","4,829,400,000","4,632,200,000","4,492,700,000","8,777,100,000","8,718,100,000","8,884,000,000","23,620,000,000"
CostOfRevenue,"1,913,500,000","1,936,300,000","1,857,900,000","1,768,100,000","1,647,200,000","1,676,500,000","1,788,200,000","1,697,100,000","1,547,600,000","1,464,000,000","7,820,000,000","7,843,800,000","8,439,400,000","6,435,000,000","5,618,400,000","5,389,900,000","4,466,400,000","3,683,500,000","3,211,900,000","3,044,500,000","2,993,500,000","3,084,700,000","2,970,300,000","6,512,900,000","7,050,600,000","7,246,000,000","22,115,000,000"
GrossProfit,"900,700,000","910,100,000","887,200,000","817,200,000","758,200,000","809,100,000","866,400,000","799,800,000","680,200,000","655,000,000","3,175,000,000","3,060,700,000","3,255,400,000","2,568,300,000","2,189,500,000","2,037,400,000","2,297,700,000","1,943,100,000","1,773,400,000","1,631,200,000","1,835,900,000","1,547,500,000","1,522,400,000","2,264,200,000","1,667,500,000","1,638,000,000","1,505,000,000"
OperatingExpense,"453,300,000","497,700,000","530,600,000","507,500,000","497,200,000","437,900,000","600,000,000","614,000,000","515,700,000","897,000,000","2,222,000,000","2,072,000,000","1,967,800,000","1,525,000,000","1,336,800,000","1,463,200,000","1,625,100,000","1,384,100,000","1,239,300,000","1,136,700,000","1,342,800,000","1,136,900,000","1,193,200,000","1,738,600,000","1,172,400,000","1,112,000,000","0"
	SellingGeneralAndAdministration,"429,700,000","420,000,000","427,300,000","433,700,000","444,100,000","441,500,000","519,500,000","513,900,000","402,100,000","831,000,000","1,969,000,000","1,813,900,000","1,723,500,000","1,342,700,000","1,175,900,000","1,071,200,000","991,100,000","824,700,000","720,200,000","671,300,000","749,800,000","691,400,000","730,000,000","805,300,000","739,400,000","689,000,000",
		GeneralAndAdministrativeExpense,"262,400,000","254,100,000","259,100,000","264,000,000","274,100,000","258,300,000","300,100,000","297,700,000","221,700,000","664,000,000",,,,,,,,,,,,,,,,,
			OtherGandA,"262,400,000","254,100,000","259,100,000","264,000,000","274,100,000","258,300,000","300,100,000","297,700,000","221,700,000","664,000,000",,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"167,300,000","165,900,000","168,200,000","169,700,000","170,000,000","183,200,000","219,400,000","216,200,000","180,400,000","167,000,000",,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"97,100,000","97,900,000","98,400,000","93,700,000","80,800,000","78,900,000","76,600,000","67,300,000","62,700,000","66,000,000","253,000,000","258,100,000","244,300,000","182,300,000","160,900,000","177,600,000","634,000,000","559,400,000","519,100,000","424,700,000","391,200,000","264,400,000","267,600,000","496,900,000",,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,"40,700,000","201,800,000","181,100,000","195,600,000","436,400,000","433,000,000","423,000,000",
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,"40,700,000","201,800,000","181,100,000","195,600,000","436,400,000","433,000,000","423,000,000",
			Amortization,,,,,,,,,,,,,,,,,,,,"40,700,000",,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,"40,700,000",,,,,,,
	OtherOperatingExpenses,"-73,500,000","-20,200,000","4,900,000","-19,900,000","-27,700,000","-82,500,000","3,900,000","32,800,000","50,900,000",,,,,,,"214,400,000",,,,,,,,,,,
OperatingIncome,"447,400,000","412,400,000","356,600,000","309,700,000","261,000,000","371,200,000","266,400,000","185,800,000","164,500,000","-242,000,000","953,000,000","988,700,000","1,287,600,000","1,043,300,000","852,700,000","574,200,000","672,600,000","559,000,000","534,100,000","494,500,000","493,100,000","410,600,000","329,200,000","525,600,000","495,100,000","526,000,000","1,505,000,000"
NetNonOperatingInterestIncomeExpense,"1,900,000","3,000,000","-6,300,000","-300,000","-500,000","2,200,000","-1,500,000","-1,300,000","2,700,000","-72,000,000","-84,000,000","-75,200,000","-109,500,000",,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,"2,500,000","5,000,000","2,800,000","4,000,000","16,000,000","24,300,000","31,300,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,,"3,000,000","6,300,000","300,000","500,000","2,200,000","4,000,000","6,300,000","100,000","76,000,000","100,000,000","99,500,000","140,800,000",,,,,,,,,,,,,,
	TotalOtherFinanceCost,"-1,900,000","-3,000,000","6,300,000","300,000","500,000","-2,200,000","4,400,000","3,100,000",,,,,,,,,,,,,,,,,,,
