Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,7.503030,7.654545,7.496970,7.593939,5.613645,16393000
2015-05-13,7.636364,7.684848,7.472727,7.515152,5.555403,11383900
2015-05-14,7.557576,7.715151,7.539394,7.678788,5.676366,14850000
2015-05-15,7.660606,7.836364,7.630303,7.824243,5.783892,17606500
2015-05-18,7.751515,7.751515,7.484848,7.503030,5.546441,32155600
2015-05-19,7.472727,7.478788,7.315152,7.381818,5.456840,20061700
2015-05-20,7.321212,7.406061,7.284849,7.339394,5.425480,16884400
2015-05-21,7.218182,7.236363,7.078788,7.145454,5.282111,22204200
2015-05-22,7.000000,7.054545,6.896970,6.896970,5.098426,19461100
2015-05-26,6.763637,6.812121,6.666667,6.709091,4.959539,24979300
2015-05-27,6.678788,6.836364,6.600000,6.824243,5.044664,36357400
2015-05-28,6.739394,6.751515,6.606061,6.739394,4.981943,18449500
2015-05-29,6.648485,6.696970,6.466667,6.484848,4.793773,39522600
2015-06-01,6.557576,6.557576,6.454545,6.478788,4.791533,38860200
2015-06-02,6.581818,6.727273,6.557576,6.696970,4.952894,36267600
2015-06-03,6.684848,6.684848,6.521212,6.545455,4.840837,35160900
2015-06-04,6.527273,6.575758,6.436364,6.454545,4.773603,16384500
2015-06-05,6.406061,6.460606,6.333333,6.339394,4.688440,38621200
2015-06-08,6.424242,6.478788,6.381818,6.412121,4.742230,37314100
2015-06-09,6.442424,6.490909,6.381818,6.387879,4.724299,36139300
2015-06-10,6.618182,6.672727,6.490909,6.503030,4.809461,44082600
2015-06-11,6.527273,6.533333,6.381818,6.515152,4.818427,22891300
2015-06-12,6.472727,6.509091,6.387879,6.424242,4.751193,15981300
2015-06-15,6.345455,6.430303,6.303030,6.418182,4.746710,15216400
2015-06-16,6.563636,6.757576,6.557576,6.751515,4.993235,26939700
2015-06-17,6.696970,6.769697,6.575758,6.709091,4.961860,22109100
2015-06-18,6.763637,6.909091,6.660606,6.848485,5.064950,18492300
2015-06-19,6.715151,6.787879,6.654545,6.666667,4.930480,16482400
2015-06-22,6.806061,6.836364,6.715151,6.745454,4.988753,17023000
2015-06-23,6.727273,6.854546,6.715151,6.836364,5.055986,18618600
2015-06-24,6.836364,6.896970,6.787879,6.806061,5.033575,13596700
2015-06-25,6.763637,6.775758,6.581818,6.618182,4.894625,20490000
2015-06-26,6.618182,6.757576,6.618182,6.684848,4.943928,15680100
2015-06-29,6.587879,6.630303,6.551515,6.587879,4.872214,12299200
2015-06-30,6.715151,6.751515,6.618182,6.636364,4.910328,21181900
2015-07-01,6.666667,6.678788,6.563636,6.593939,4.878941,14236500
2015-07-02,6.666667,6.812121,6.666667,6.787879,5.022439,13657300
2015-07-06,6.539394,6.624242,6.472727,6.509091,4.816159,15731200
2015-07-07,6.418182,6.472727,6.284849,6.466667,4.784767,18106000
2015-07-08,6.357576,6.375758,6.260606,6.272727,4.641271,19247200
2015-07-09,6.363636,6.478788,6.321212,6.393939,4.730959,17897700
2015-07-10,6.509091,6.624242,6.418182,6.600000,4.883424,15033400
2015-07-13,6.660606,6.757576,6.612121,6.739394,4.986565,13048900
2015-07-14,6.133333,6.169697,6.060606,6.121212,4.529165,14145000
2015-07-15,6.066667,6.103030,5.975758,6.018182,4.452929,21106000
2015-07-16,6.054545,6.054545,5.951515,5.987879,4.430507,11727600
2015-07-17,5.981818,5.987879,5.860606,5.903030,4.367728,19698600
2015-07-20,5.848485,5.884849,5.787879,5.830303,4.313914,13629700
2015-07-21,5.836364,5.921212,5.818182,5.836364,4.318400,23583000
2015-07-22,5.733333,5.751515,5.606061,5.666667,4.192839,25085500
2015-07-23,5.521212,5.563636,5.290909,5.321212,3.937234,30017200
2015-07-24,5.248485,5.248485,5.103030,5.206060,3.852028,31397800
2015-07-27,5.230303,5.266667,5.127273,5.139394,3.802705,21817600
2015-07-28,5.260606,5.284849,5.012121,5.266667,3.896874,45509100
2015-07-29,5.278788,5.400000,5.230303,5.333333,3.946202,21537100
2015-07-30,5.333333,5.357576,5.175757,5.224242,3.865483,11852200
2015-07-31,5.327273,5.363636,5.242424,5.260606,3.892390,15106900
2015-08-03,5.224242,5.272727,5.175757,5.218182,3.863224,16264800
2015-08-04,5.139394,5.193939,5.000000,5.084848,3.764512,28165500
2015-08-05,5.127273,5.139394,4.993939,5.036364,3.728616,26907000
