name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"1,637,481,000,000","1,552,797,000,000","1,434,969,000,000","1,353,241,000,000","1,276,415,000,000","1,127,203,000,000","1,027,297,000,000","957,154,000,000","818,136,000,000","746,580,000,000","599,088,000,000","401,375,000,000","269,507,696,640","192,274,730,000","139,345,198,230","115,643,981,600","103,776,679,730","84,162,760,320","72,235,141,500","69,548,074,003.99"
	CashCashEquivalentsAndFederalFundsSold,"371,011,000,000","437,863,000,000","405,397,000,000","391,985,000,000","370,029,000,000","312,632,000,000","257,701,000,000","264,231,000,000","228,790,000,000","183,658,000,000","165,023,000,000","109,266,000,000","57,623,454,720","34,614,740,000","27,980,185,170","22,884,440,640","24,272,935,210","14,329,191,360","17,182,697,700","14,628,995,128.08"
		CashAndCashEquivalents,"156,198,000,000","157,727,000,000","146,639,000,000","126,934,000,000","115,625,000,000","103,714,000,000","119,246,000,000","101,494,000,000","136,542,000,000","148,924,000,000","108,309,000,000","64,399,000,000","36,227,426,560","25,824,575,000","21,551,957,700","16,010,609,120","15,380,841,270","12,162,821,520","9,333,323,700","14,628,995,128.08"
			CashFinancial,"30,367,000,000","37,159,000,000","18,749,000,000","18,542,000,000","18,544,000,000","17,527,000,000","16,576,000,000","13,967,000,000","10,668,000,000",,,,,,,,,,,
			CashEquivalents,,,,,,,,,"108,721,000,000","10,493,161,000","13,869,000,000",,"3,098,035,200","2,699,745,000","1,730,227,590","1,450,197,840","1,656,087,580","1,302,653,760","1,068,258,000","1,561,479,711.56"
			CashAndDueFromBanks,"125,831,000,000","120,568,000,000","127,890,000,000","108,392,000,000","97,081,000,000","86,187,000,000","102,670,000,000","87,527,000,000","27,821,000,000","148,924,000,000","94,440,000,000","64,399,000,000","33,129,391,360","23,124,830,000","19,821,730,110","14,560,411,280","13,724,753,690","10,860,167,760","8,265,065,700","13,067,515,416.52"
		RestrictedCashAndInvestments,"16,385,000,000",,"14,051,000,000",,,,,,,,"0","84,000,000","89,024,000","142,877,500","44,364,810","292,164,400","100,980,950","24,778,740",,
			RestrictedCashAndCashEquivalents,"16,385,000,000",,"14,051,000,000",,,,,,,,,"84,000,000",,,,,,,,
		MoneyMarketInvestments,"198,428,000,000","280,136,000,000","244,707,000,000","265,051,000,000","254,404,000,000","208,918,000,000","138,455,000,000","162,737,000,000","92,248,000,000","34,734,000,000","56,714,000,000","44,783,000,000","21,307,004,160","8,647,287,500","6,383,862,660","6,581,667,120","8,791,112,990","2,141,591,100","7,849,374,000",
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"198,428,000,000","280,136,000,000","244,707,000,000","265,051,000,000","254,404,000,000","208,918,000,000","138,455,000,000","162,737,000,000","92,248,000,000","34,734,000,000","56,714,000,000","44,783,000,000","21,307,004,160","8,647,287,500","6,383,862,660","6,581,667,120","8,791,112,990","2,141,591,100","7,849,374,000",
				SecurityAgreeToBeResell,"198,428,000,000","280,136,000,000","244,707,000,000","265,051,000,000","254,404,000,000","208,918,000,000","138,455,000,000","162,737,000,000","92,248,000,000","34,734,000,000","56,714,000,000","44,783,000,000",,,,,,,,
	ForeclosedAssets,,,,,,,,,,,"218,000,000",,,,,,,,,
	SecuritiesAndInvestments,"527,090,000,000","488,081,000,000","418,907,000,000","388,528,000,000","346,689,000,000","300,120,000,000","303,565,000,000","284,299,000,000","212,944,000,000","187,145,000,000","116,554,000,000","96,253,000,000","59,257,935,360","41,182,840,000","26,259,297,540","23,495,329,840","23,519,905,840","15,355,739,160","12,071,315,400","19,936,039,989.43"
		TradingSecurities,,,"270,121,000,000","204,648,000,000","164,311,000,000","132,944,000,000","148,860,000,000","145,516,000,000","121,889,000,000","140,003,000,000","73,529,000,000","66,483,000,000","40,318,969,600","27,888,835,000","16,468,684,470","11,997,332,680","10,594,344,240","5,784,065,880","5,369,157,600",
		AvailableForSaleSecurities,"450,430,000,000","438,758,000,000","9,942,000,000","55,108,000,000","54,148,000,000","54,382,000,000","47,963,000,000","44,712,000,000","87,950,000,000","44,636,000,000","41,263,000,000","28,445,000,000","18,938,965,760","13,294,005,000","9,790,613,070","11,497,997,160","12,925,561,600","9,571,673,280","6,702,157,800","19,936,039,989.43"
		HeldToMaturitySecurities,,,"36,560,000,000","40,495,000,000","42,185,000,000","34,434,000,000","10,116,000,000","3,202,000,000","3,105,000,000","2,506,000,000","1,762,000,000","1,325,000,000",,,,,,,,
		OtherShortTermInvestments,"76,660,000,000","49,323,000,000","102,284,000,000","88,277,000,000","86,045,000,000","78,360,000,000","96,626,000,000","90,869,000,000",,,,,,,,,,,,
	LongTermEquityInvestment,"15,097,000,000","12,019,000,000","5,171,000,000","5,073,000,000","4,399,000,000","4,090,000,000","3,931,000,000","3,005,000,000","2,544,000,000","3,597,000,000","4,321,000,000","2,398,000,000",,,,,,,,
	DerivativeAssets,"41,854,000,000","23,466,000,000","22,843,000,000","24,231,000,000","26,755,000,000","14,156,000,000","11,366,000,000","11,597,000,000","8,754,000,000",,,,,,,,,,,
	NetLoan,"585,791,000,000","536,091,000,000","465,472,000,000","463,394,000,000","447,404,000,000","430,039,000,000","389,467,000,000","341,271,000,000","322,391,000,000","278,031,000,000","225,768,000,000","157,498,000,000","106,048,949,760","74,957,375,000","51,416,479,800","39,880,440,600","32,036,927,680","25,104,403,440","23,680,493,100","19,015,479,371.42"
		GrossLoan,"585,791,000,000","536,091,000,000","493,367,000,000","490,366,000,000","474,248,000,000","452,431,000,000","411,702,000,000","366,984,000,000","346,264,000,000","298,169,000,000","245,736,000,000","169,700,000,000","113,489,575,680","81,339,947,500","55,346,267,970","42,693,186,960","34,873,049,790","27,851,303,760","25,930,801,800","20,871,846,797.35"
			CommercialLoan,"345,301,000,000","323,527,000,000","303,214,000,000","307,219,000,000","287,028,000,000","266,478,000,000","244,271,000,000","216,105,000,000","178,878,000,000","141,708,000,000",,"78,341,000,000",,,,,,,,
			ConsumerLoan,"195,144,000,000","170,596,000,000","150,345,000,000","144,905,000,000","152,430,000,000","156,846,000,000","142,939,000,000","132,832,000,000","167,386,000,000","140,190,000,000","245,736,000,000","84,890,000,000",,,,,,,,
			MortgageLoan,"45,346,000,000","41,968,000,000","39,808,000,000","38,242,000,000","34,790,000,000","29,107,000,000","24,492,000,000","18,047,000,000",,"16,271,000,000",,"6,469,000,000",,,,,,,,
			OtherLoanAssets,"153,779,000,000",,,,,,,,"346,264,000,000","297,101,886,000","245,950,964,000",,"113,489,575,680","81,339,947,500","55,346,267,970","42,693,186,960","34,873,049,790","27,851,303,760","25,930,801,800","20,871,846,797.35"
		AllowanceForLoansAndLeaseLosses,,,"27,895,000,000","26,972,000,000","26,844,000,000","22,392,000,000","22,235,000,000","25,713,000,000","23,873,000,000","20,138,000,000","19,968,000,000","12,202,000,000","7,440,625,920","6,382,572,500","3,929,788,170","2,812,746,360","2,836,122,110","2,746,900,320","2,250,308,700","1,856,367,425.93"
		UnearnedIncome,,,,,,,,,,,"558,690,000",,,,,,,,,
	Receivables,"56,655,000,000","10,049,000,000","44,467,000,000","6,879,000,000","4,696,000,000","4,114,000,000","2,856,000,000","4,031,000,000","3,343,000,000","94,851,106,000","14,360,000,000",,,,,,,,,"11,346,136,925.4"
		AccountsReceivable,"3,236,000,000",,"2,843,000,000",,,,,,,"85,951,510,000","14,360,000,000",,,,,,,,,
		OtherReceivables,"53,419,000,000","10,049,000,000","41,624,000,000","6,879,000,000","4,696,000,000","4,114,000,000","2,856,000,000","4,031,000,000","3,343,000,000","8,899,596,000","56,312,074,000",,,,,,,,,
	PrepaidAssets,"4,326,000,000","3,188,000,000","3,075,000,000","2,788,000,000","3,208,000,000","4,028,000,000","4,652,000,000","4,176,000,000",,"2,607,913,000","10,150,000,000",,,,,,,,,
	NetPPE,"10,974,000,000","7,302,000,000","7,359,000,000","8,042,000,000","8,541,000,000","8,711,000,000","6,564,000,000","5,628,000,000","5,358,000,000","5,151,000,000","4,572,000,000","2,965,000,000","2,733,036,800","2,861,815,000","2,484,429,360","2,573,702,760","2,686,093,270","2,782,298,520","2,786,760,000","2,334,858,732.59"
		GrossPPE,"25,154,000,000","21,016,000,000","19,656,000,000","19,114,000,000","18,350,000,000","17,200,000,000","14,458,000,000","12,634,000,000","12,090,000,000","12,470,000,000","11,125,000,000","7,785,000,000",,,,,,,,
