name,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998
TotalAssets,"12,174,917,000,000","11,425,982,000,000","11,231,895,000,000","10,996,906,000,000","11,443,628,000,000","9,069,392,000,000","8,439,710,000,000","8,354,874,000,000","8,581,582,000,000","7,739,800,000,000","8,369,736,000,000","8,951,939,504,360","8,191,222,107,360","7,256,826,852,300","6,060,050,617,180","5,619,683,359,200","5,821,152,594,460","6,333,948,952,240","5,691,081,700,560","5,170,642,835,398.6","5,377,444,269,160","5,574,309,000,000"
	CashCashEquivalentsAndFederalFundsSold,"1,283,580,000,000","1,405,117,000,000","1,133,212,000,000","811,399,000,000","913,079,000,000","921,499,000,000","941,571,000,000","934,257,000,000","855,340,000,000","717,121,000,000","588,705,000,000","462,758,008,440","337,083,935,520","425,141,249,400","206,959,419,800","188,281,911,300","220,373,974,960","375,071,427,380","184,372,483,740","264,898,577,123.4","264,868,402,615","268,215,000,000"
		CashAndCashEquivalents,"1,161,032,000,000","1,321,241,000,000","1,039,870,000,000","730,420,000,000","827,518,000,000","834,809,000,000","834,652,000,000","810,962,000,000","737,275,000,000","639,635,000,000","460,649,000,000","319,573,242,200","215,729,005,920","252,000,945,450","153,879,154,100","152,731,450,750","202,088,125,860","354,869,139,300","166,969,335,480","264,898,577,123.4","264,868,402,615","268,215,000,000"
			CashEquivalents,,,,,,,,"786,892,000,000","732,127,000,000","639,087,000,000","459,969,000,000","319,074,688,000","214,786,443,360","246,351,227,850","145,193,292,440","152,105,929,450","200,908,393,660","353,805,860,980","158,141,651,580","257,446,871,547.4","255,960,459,395",
			CashAndDueFromBanks,"1,161,032,000,000","1,321,241,000,000","1,039,870,000,000","730,420,000,000","827,518,000,000","827,299,000,000","826,296,000,000","24,070,000,000","5,148,000,000","548,000,000","680,000,000","498,554,200","942,562,560","5,649,717,600","8,685,861,660","625,521,300","1,179,732,200","1,063,278,320","8,827,683,900","7,451,705,576","8,907,943,220","268,215,000,000"
			InterestBearingDepositsAssets,,,,,,"7,510,000,000","8,356,000,000","24,070,000,000",,,,,,,,,,,,,,
		RestrictedCashAndInvestments,"122,548,000,000","83,876,000,000","93,342,000,000","80,979,000,000","85,561,000,000","86,690,000,000","106,919,000,000","123,295,000,000","118,065,000,000","77,486,000,000","128,056,000,000","143,184,766,240","121,354,929,600","173,140,303,950","53,080,265,700","35,550,460,550","18,285,849,100","20,202,288,080","17,403,148,260",,,
			RestrictedCashAndCashEquivalents,"122,548,000,000","83,876,000,000","93,342,000,000","80,979,000,000","85,561,000,000","86,690,000,000","106,919,000,000","123,295,000,000","118,065,000,000","77,486,000,000","128,056,000,000",,,,,,,,,,,
	SecuritiesAndInvestments,"1,928,916,000,000","1,729,455,000,000","2,026,512,000,000","2,344,792,000,000","2,846,257,000,000","1,214,576,000,000","1,093,668,000,000","3,358,274,000,000","3,276,529,000,000","3,073,862,000,000","1,840,584,000,000","1,116,462,275,480","873,873,313,440","684,204,341,850","588,386,702,820","551,397,025,950","664,897,067,920","859,128,882,560","958,938,691,080","734,117,125,826.4","579,421,215,810",
		AvailableForSaleSecurities,"1,928,916,000,000","1,729,455,000,000","2,026,512,000,000","2,344,792,000,000","2,846,257,000,000","1,214,576,000,000","1,093,668,000,000","2,048,276,000,000","2,006,234,000,000","1,860,639,000,000","1,840,584,000,000","1,116,462,275,480","873,873,313,440","684,204,341,850","588,386,702,820","551,397,025,950","664,897,067,920","859,128,882,560","958,938,691,080","734,117,125,826.4","579,421,215,810",
