name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998
TotalRevenue,"1,356,730,000,000","1,296,564,000,000","1,298,405,000,000","1,219,070,000,000","1,098,220,000,000","1,264,942,000,000","1,186,871,000,000","804,156,000,000","861,821,000,000","846,607,000,000","868,763,000,000","969,539,000,000","1,103,200,733,760","1,092,783,468,000","922,080,993,300","882,526,437,800","676,918,300,150","608,387,895,540","566,727,344,560","487,540,370,820","484,619,391,000.8","451,875,665,160","82,316,000,000"
	NetInterestIncome,"153,479,000,000","149,556,000,000","137,289,000,000","127,674,000,000","128,068,000,000","114,236,000,000","105,304,000,000","109,044,000,000","385,376,000,000","97,625,000,000","102,779,000,000","92,060,000,000","120,350,983,880","119,705,445,120","98,987,760,450","79,352,316,400","57,026,691,850","58,986,610,000","32,828,718,130","2,648,305,170","-13,323,674,230.8","-33,857,329,645","-43,715,000,000"
		InterestIncome,"253,446,000,000","242,893,000,000","214,104,000,000","200,584,000,000","200,889,000,000","186,883,000,000","188,163,000,000","210,319,000,000","496,244,000,000","221,128,000,000","185,282,000,000","196,601,000,000","225,944,763,440","201,119,286,240","161,605,463,850","135,864,033,620","117,598,004,400","129,652,568,780","122,941,555,750","113,877,122,310","98,033,804,197","107,776,585,750","95,033,000,000"
			InterestIncomeFromLoansAndLease,,,,,,"171,506,000,000","188,163,000,000","210,319,000,000","496,244,000,000","221,128,000,000","50,115,000,000",,"225,944,763,440","201,119,286,240","161,605,463,850","135,864,033,620","116,659,722,450","129,180,675,900","121,612,457,850","111,354,926,910","94,274,042,655","101,036,083,260",
				InterestIncomeFromLoans,,,,,,"110,390,000,000","130,680,000,000","155,963,000,000","147,888,000,000","169,808,000,000",,,"225,944,763,440","201,119,286,240","161,605,463,850","135,864,033,620","116,659,722,450","129,180,675,900","121,612,457,850","111,354,926,910","94,274,042,655","101,036,083,260",
				InterestIncomeFromLeases,,,,,,"61,116,000,000","57,483,000,000","54,356,000,000","348,356,000,000","51,320,000,000","50,115,000,000",,,,,,,,,,,,
			InterestIncomeFromSecurities,,,,,,"12,391,000,000",,,,,,,,,,,,,,,,,
			InterestIncomeFromDeposits,,,,,,,,,,,,,,,,,"834,028,400","471,892,880","1,329,097,900","2,522,195,400","3,759,761,542","6,728,593,475",
			OtherInterestIncome,,,,,,"2,986,000,000",,,,,"135,167,000,000",,,,,,"104,253,550",,,,,"11,909,015",
		InterestExpense,"99,967,000,000","93,337,000,000","76,815,000,000","72,910,000,000","72,821,000,000","72,647,000,000","82,859,000,000","101,275,000,000","110,868,000,000","123,503,000,000","82,503,000,000","104,541,000,000","105,593,779,560","81,413,841,120","62,617,703,400","56,511,717,220","60,571,312,550","70,665,958,780","90,112,837,620","111,228,817,140","111,357,478,427.8","141,633,915,395","138,748,000,000"
	NonInterestIncome,"1,203,251,000,000","1,147,008,000,000","1,161,116,000,000","1,091,396,000,000","970,152,000,000","1,150,706,000,000","1,081,567,000,000","695,112,000,000","476,445,000,000","748,982,000,000","765,984,000,000","877,479,000,000","982,849,749,880","973,078,022,880","823,093,232,850","803,174,121,400","619,891,608,300","549,401,285,540","533,898,626,430","484,892,065,650","497,943,065,231.6","485,732,994,805","126,031,000,000"
		TotalPremiumsEarned,"409,772,000,000","347,136,000,000","351,590,000,000","295,940,000,000","189,421,000,000","351,493,000,000","155,406,000,000","138,726,000,000","128,307,000,000","118,473,000,000","115,598,000,000","117,751,000,000","128,028,718,560","132,547,860,000","138,418,081,200","136,829,129,360","134,070,065,300","135,905,149,440","151,915,889,970","161,168,286,060","199,243,625,598.2","197,356,196,580","126,031,000,000"
		FeesAndCommissions,"293,579,000,000","310,474,000,000","312,262,000,000","286,626,000,000","289,799,000,000","339,872,000,000","117,525,000,000","59,519,000,000","26,911,000,000","21,120,000,000","23,317,000,000","-12,330,000,000",,,,,,,,,,,
			FeesandCommissionIncome,"794,175,000,000","818,794,000,000","795,058,000,000","737,903,000,000","735,186,000,000","765,548,000,000","153,675,000,000","89,188,000,000","26,911,000,000","21,120,000,000","23,317,000,000","-12,330,000,000",,,,,,,,,,,
				ServiceChargeOnDepositorAccounts,"794,175,000,000","818,794,000,000","795,058,000,000","737,903,000,000","735,186,000,000","765,548,000,000",,"54,374,000,000",,,,,,,,,,,,,,,
				TrustFeesbyCommissions,,,,,,,"126,492,000,000",,,,,,,,,,,,,,,,
				SecuritiesActivities,,,,,,,"27,183,000,000","34,814,000,000","26,911,000,000","21,120,000,000","23,317,000,000","-12,330,000,000",,,,,,,,,,,
			FeesandCommissionExpense,"500,596,000,000","508,320,000,000","482,796,000,000","451,277,000,000","445,387,000,000","425,676,000,000","36,150,000,000","29,669,000,000",,,,,,,,,,,,,,,
		ForeignExchangeTradingGains,,,,,,,"-723,000,000","-488,000,000","-195,000,000",,"938,000,000",,,,,,,,,,,,
		GainLossonSaleofAssets,"96,155,000,000","75,480,000,000","117,599,000,000","110,175,000,000","117,022,000,000","96,246,000,000","-6,037,000,000","-17,664,000,000","63,244,000,000","59,844,000,000","64,997,000,000","93,703,000,000","23,432,047,400","70,574,371,680","48,964,219,200","38,711,062,460","25,959,133,950","10,617,589,800","18,341,551,020","12,232,647,690","18,258,425,475.8","3,667,976,620",
			GainOnSaleOfSecurity,"38,260,000,000","14,576,000,000","42,056,000,000","23,720,000,000","31,271,000,000","47,398,000,000","-7,989,000,000","-22,838,000,000","0",,"0",,"23,432,047,400","70,574,371,680","48,964,219,200","33,885,583,760","25,959,133,950","10,617,589,800","18,341,551,020","12,232,647,690","19,069,666,726.8","7,419,316,345",
			GainonSaleofInvestmentProperty,"57,895,000,000","60,904,000,000","75,543,000,000","86,455,000,000","85,751,000,000","48,848,000,000","1,952,000,000","5,174,000,000","63,244,000,000","59,844,000,000","64,997,000,000","93,703,000,000",,,,"4,825,478,700",,,,,"-811,241,251","-3,751,339,725",
		OtherNonInterestIncome,"403,745,000,000","413,918,000,000","379,665,000,000","398,655,000,000","373,910,000,000","363,095,000,000","815,396,000,000","515,019,000,000","258,178,000,000","549,545,000,000","561,134,000,000","678,355,000,000","831,388,983,920","769,955,791,200","635,710,932,450","627,633,929,580","459,862,409,050","402,878,546,300","363,641,185,440","311,491,131,900","280,441,014,157.6","284,708,821,605",
CreditLossesProvision,"-24,174,000,000","-22,525,000,000","-17,265,000,000","-22,667,000,000","-11,717,000,000","-11,631,000,000","-13,834,000,000","-10,016,000,000","-19,215,000,000","0","0",,"-33,103,998,880","-13,784,977,440","-16,478,343,000","-39,568,925,340","-49,520,436,250","-53,677,815,100","-51,170,269,150","-45,399,517,200","-44,114,877,938.8","-52,780,754,480",
NonInterestExpense,"1,020,706,000,000","940,882,000,000","938,991,000,000","862,441,000,000","789,043,000,000","937,921,000,000","948,638,000,000","635,351,000,000","686,164,000,000","700,923,000,000","717,683,000,000","817,089,000,000","821,517,610,760","763,593,493,920","652,895,490,150","688,863,892,640","507,714,788,500","445,466,878,720","442,323,781,120","381,860,383,560","390,121,756,077","371,620,813,075","138,893,000,000"
	OccupancyAndEquipment,,,,,,,,,,"188,671,000,000","192,678,000,000","197,401,000,000",,,,,,,,,,,
		NetOccupancyExpense,,,,,,,,,,"188,671,000,000","192,678,000,000","197,401,000,000",,,,,,,,,,,
	SellingGeneralAndAdministration,"1,013,895,000,000","935,970,000,000","933,860,000,000","857,061,000,000","783,933,000,000","933,210,000,000","634,369,000,000","566,825,000,000","536,093,000,000","543,910,000,000","362,166,000,000","355,404,000,000","264,632,569,360","252,960,227,040","190,560,266,550","181,437,999,120","161,697,256,050","141,567,864,000","125,998,480,920","102,905,572,320","88,050,758,758","82,851,017,355","79,671,000,000"
