name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalRevenue,"1,985,900,000","1,945,700,000","1,919,700,000","1,635,100,000","1,350,500,000","1,107,300,000","984,200,000","934,200,000","917,300,000","955,800,000","880,400,000","841,600,000","1,028,100,000","978,000,000","844,300,000"
	OperatingRevenue,"1,985,900,000","1,945,700,000","1,919,700,000","1,635,100,000","1,350,500,000","1,107,300,000","984,200,000","934,200,000","917,300,000","955,800,000","880,400,000","841,600,000","1,028,100,000","978,000,000","844,300,000"
CostOfRevenue,"1,372,400,000","1,347,600,000","1,382,100,000","1,164,400,000","969,800,000","790,400,000","723,500,000","701,300,000","686,500,000","721,200,000","649,500,000","621,200,000","776,300,000","740,800,000","631,100,000"
GrossProfit,"613,500,000","598,100,000","537,600,000","470,700,000","380,700,000","316,900,000","260,700,000","232,900,000","230,800,000","234,600,000","230,900,000","220,400,000","251,800,000","237,200,000","213,200,000"
OperatingExpense,"405,000,000","398,900,000","347,700,000","323,200,000","265,000,000","227,900,000","195,500,000","178,300,000","170,900,000","169,800,000","163,800,000","164,900,000","174,900,000","172,500,000","162,900,000"
	SellingGeneralAndAdministration,"405,000,000","398,900,000","347,700,000","294,400,000","236,700,000","207,000,000","179,300,000","164,300,000","156,600,000","152,900,000","147,800,000","147,800,000","152,900,000","153,800,000","146,700,000"
		GeneralAndAdministrativeExpense,"405,000,000","398,900,000","347,700,000","294,400,000","236,700,000","207,000,000","179,300,000","164,300,000","156,600,000",,,,,,
			SalariesAndWages,"3,000,000","2,500,000","900,000",,,,,,,,,,,,
			OtherGandA,"402,000,000","396,400,000","346,800,000","294,400,000","236,700,000","207,000,000","179,300,000","164,300,000","156,600,000",,,,,,
	ResearchAndDevelopment,,,,"28,700,000","23,600,000","18,200,000","14,600,000","14,000,000","14,300,000","18,500,000","17,500,000","17,100,000","22,000,000","18,700,000","16,200,000"
	OtherOperatingExpenses,,,,"100,000","4,700,000","2,700,000","1,600,000","-200,000","-1,100,000","-1,600,000","-1,500,000",,,,
OperatingIncome,"208,500,000","199,200,000","189,900,000","147,500,000","115,700,000","89,000,000","65,200,000","54,600,000","59,900,000","64,800,000","67,100,000","55,500,000","76,900,000","64,700,000","50,300,000"
NetNonOperatingInterestIncomeExpense,"-20,300,000","-18,800,000","-13,900,000","-13,600,000","-9,400,000","-6,800,000","-6,000,000","-5,400,000","-6,900,000","-6,400,000","-7,800,000","-8,800,000","-3,800,000","500,000","400,000"
	InterestIncomeNonOperating,,,,,"1,600,000","1,100,000","1,600,000","2,200,000",,,,,,,
	InterestExpenseNonOperating,"20,300,000","18,800,000","13,900,000","13,600,000","11,000,000","7,900,000","7,600,000","7,600,000","6,900,000","6,400,000",,"8,800,000",,,
	TotalOtherFinanceCost,,"18,800,000","13,900,000","13,600,000","9,400,000","6,800,000","6,000,000","5,400,000","6,900,000",,"7,800,000",,"3,800,000","-500,000","-400,000"
OtherIncomeExpense,"-9,600,000","-13,500,000","-47,000,000","-1,700,000","-12,300,000",,"-14,500,000","-1,400,000","1,000,000","-11,600,000",,"2,200,000","-6,600,000","-3,600,000","100,000"
