name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
TotalRevenue,"4,000,025,000","1,135,619,000","988,953,000","963,592,000","911,861,000","1,108,550,000","944,003,000","885,785,000","801,363,000","863,052,000","720,338,000","665,547,000","599,655,000","686,998,000","589,287,000","550,519,000","511,530,000","598,108,000","513,338,000","497,414,000","446,360,000","513,919,000","457,958,000","441,046,000","419,530,000","453,154,000","402,815,000","387,970,000","364,729,000","380,656,000","357,731,000","345,334,000","363,617,000","352,411,000","326,045,000","315,372,000","305,850,000","285,611,000","257,497,000","248,603,000","240,508,000","213,937,000","208,011,000","183,202,000","168,797,000","145,780,762.24","210,749,726.72","218,624,604.67","236,483,485.84","214,544,525.04","220,322,432","209,712,133.5","200,424,247.2","170,967,189.059","180,684,135.182","173,870,656.375","172,622,378.201","170,646,175.323","151,589,797.647","139,191,951.519","134,464,606.345","110,811,208.284","128,160,637.836","108,553,864.395","108,553,864.395"
	OperatingRevenue,"4,000,025,000","1,135,619,000","988,953,000","963,592,000","911,861,000","1,120,502,000","954,645,000","895,526,000","811,273,000","872,106,000","728,229,000","673,167,000","607,713,000","694,152,000","595,033,000","559,754,000","523,756,000","610,819,000","524,977,000","508,000,000","458,093,000","528,593,000","473,975,000","457,524,000","437,201,000","472,406,000","419,599,000","404,361,000","380,375,000","397,312,000","373,697,000","360,428,000","380,812,000","369,833,000","343,279,000","332,439,000","324,548,000","301,703,000","271,645,000","262,376,000","254,271,000","225,956,000","219,597,000","193,304,000","178,263,000","190,719,762.24","210,749,726.72","218,624,604.67","236,483,485.84","214,544,525.04","220,322,432","209,712,133.5","200,424,247.2","170,967,189.059","180,684,135.182","173,870,656.375","172,622,378.201","170,646,175.323","151,589,797.647","139,191,951.519","134,464,606.345","110,811,208.284","128,160,637.836","108,553,864.395","108,553,864.395"
	ExciseTaxes,,,,,,,,,,,,"7,620,000","8,058,000","7,154,000","5,746,000","9,235,000","12,226,000","12,711,000","11,639,000","10,586,000","11,733,000","14,674,000","16,017,000","16,478,000","17,671,000","19,252,000","16,784,000","16,391,000","15,646,000","16,656,000","15,966,000","15,094,000","17,195,000","17,422,000","17,234,000","17,067,000","18,698,000","16,092,000","14,148,000","13,773,000","13,763,000","12,019,000","11,586,000","10,102,000","9,466,000",,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"1,221,935,000","378,148,000","306,690,000","287,733,000","249,364,000","329,683,000","259,327,000","244,771,000","204,985,000","230,076,000","196,155,000","178,541,000","158,668,000","200,447,000","167,827,000","155,480,000","139,247,000","169,727,000","147,917,000","135,238,000","117,097,000","149,998,000","123,953,000","115,234,000","106,815,000","129,853,000","111,289,000","101,949,000","99,363,000","111,908,000","98,489,000","94,503,000","100,333,000","101,644,000","89,863,000","88,781,000","90,373,000","98,941,000","81,383,000","79,586,000","85,955,000","79,677,000","78,309,000","73,644,000","74,092,000","88,507,117.12","94,215,752.96","93,815,738.45","99,316,190.96","89,834,738.76","90,694,104","83,980,657.5","84,820,708.8","74,247,080.094","74,783,837.729","72,398,410.572","72,761,334.898","62,447,837.45","68,736,405.648","69,263,107.209","69,018,893.506","58,452,546.952","58,368,896.246","53,882,594.244",
GrossProfit,"2,778,090,000","757,471,000","682,263,000","675,859,000","662,497,000","778,867,000","684,676,000","641,014,000","596,378,000","632,976,000","524,183,000","487,006,000","440,987,000","486,551,000","421,460,000","395,039,000","372,283,000","428,381,000","365,421,000","362,176,000","329,263,000","363,921,000","334,005,000","325,812,000","312,715,000","323,301,000","291,526,000","286,021,000","265,366,000","268,748,000","259,242,000","250,831,000","263,284,000","250,767,000","236,182,000","226,591,000","215,477,000","186,670,000","176,114,000","169,017,000","154,553,000","134,260,000","129,702,000","109,558,000","94,705,000","57,273,645.12","116,533,973.76","124,808,866.22","137,167,294.88","124,709,786.28","129,628,328","125,731,476","115,603,538.4","96,720,108.965","105,900,297.453","101,472,245.802","99,861,043.303","108,198,337.873","82,853,391.999","69,928,844.31","65,445,712.84","52,358,661.332","69,791,741.59","54,671,270.151",
OperatingExpense,"1,572,305,000","362,174,000","425,517,000","405,643,000","378,971,000","353,389,000","414,131,000","422,872,000","360,343,000","315,714,000","323,251,000","298,885,000","276,542,000","276,816,000","274,638,000","266,848,000","245,192,000","241,409,000","230,556,000","239,734,000","205,836,000","210,315,000","206,208,000","203,373,000","192,944,000","189,985,000","177,174,000","160,555,000","149,853,000","149,390,000","142,263,000","132,387,000","132,520,000","138,706,000","123,978,000","117,771,000","107,366,000","108,943,000","107,210,000","104,561,000","93,476,000","92,516,000","89,637,000","82,792,000","82,966,000","86,500,593.6","82,933,413.12","84,087,968.42","86,243,287.92","92,786,210.12","82,448,504","71,951,920.5","62,669,733.6","67,381,935.626","65,124,381.59","62,564,650.4","56,101,262.737","53,902,288.19","53,006,046.424","51,546,467.202","57,364,433.803","36,991,343.739","35,205,490.161","34,457,600.699",
	SellingGeneralAndAdministration,"1,572,305,000","362,174,000","425,517,000","405,643,000","378,971,000","353,389,000","414,131,000","422,872,000","360,343,000","315,714,000","323,251,000","298,885,000","276,542,000","276,816,000","274,638,000","266,848,000","245,192,000","241,409,000","230,556,000","239,734,000","205,836,000","210,315,000","206,208,000","203,373,000","192,944,000","189,985,000","177,174,000","160,555,000","149,853,000","149,390,000","142,263,000","132,387,000","132,520,000","138,706,000","123,978,000","117,771,000","107,366,000","108,943,000","107,210,000","104,561,000","93,476,000","92,516,000","89,637,000","82,792,000","82,966,000","86,500,593.6","82,933,413.12","84,087,968.42","86,243,287.92","92,786,210.12","82,448,504","71,951,920.5","62,669,733.6","67,381,935.626","65,124,381.59","62,564,650.4","56,101,262.737","53,902,288.19","53,006,046.424","51,546,467.202","57,364,433.803","36,991,335.461","35,205,481.883","34,457,600.699",
		GeneralAndAdministrativeExpense,"384,072,000","102,135,000","99,738,000","91,956,000","90,243,000","88,614,000","90,758,000","88,655,000","85,530,000","76,093,000","78,218,000","70,638,000","71,659,000","73,550,000","70,124,000","68,869,000","67,459,000","69,385,000","65,364,000","65,789,000","62,529,000","65,059,000","62,420,000","60,805,000","60,991,000","62,475,000","57,432,000","49,438,000","48,420,000","52,195,000","48,530,000","43,584,000","42,151,000","40,781,000","41,780,000","39,092,000","36,702,000","24,559,000","38,705,000","36,061,000","37,322,000","29,413,000","36,469,000","34,301,000","33,328,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"384,072,000","102,135,000","99,738,000","91,956,000","90,243,000","88,614,000","90,758,000","88,655,000","85,530,000","76,093,000","78,218,000","70,638,000","71,659,000","73,550,000","70,124,000","68,869,000","67,459,000","69,385,000","65,364,000","65,789,000","62,529,000","65,059,000","62,420,000","60,805,000","60,991,000","62,475,000","57,432,000","49,438,000","48,420,000","52,195,000","48,530,000","43,584,000","42,151,000","40,781,000","41,780,000","39,092,000","36,702,000","24,559,000","38,705,000","36,061,000","37,322,000","29,413,000","36,469,000","34,301,000","33,328,000",,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"1,188,233,000","260,039,000","325,779,000","313,687,000","288,728,000","264,775,000","323,373,000","334,217,000","274,813,000","239,621,000","245,033,000","228,247,000","204,883,000","203,266,000","204,514,000","197,979,000","177,733,000","172,024,000","165,192,000","173,945,000","143,307,000","145,256,000","143,788,000","142,568,000","131,953,000","127,510,000","119,742,000","111,117,000","101,433,000","97,195,000","93,733,000","88,803,000","90,369,000","97,925,000","82,198,000","78,679,000","70,664,000","84,384,000","68,505,000","68,500,000","56,154,000","63,103,000","53,168,000","48,491,000","49,638,000",,,,,,,,,,,,,,,,,,,,
