name,ttm,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986,11/30/1985
TotalRevenue,"4,817,199,000","4,552,747,000","4,547,002,000","4,368,529,000","3,594,646,000","3,032,030,000","2,400,949,000","2,097,130,000","1,548,432,000","1,305,562,000","1,589,996,000","1,824,850,000","3,033,936,000","6,416,526,000","11,003,792,000","9,441,650,000","7,052,684,000","5,850,554,000","4,938,894,000","4,501,715,000","3,870,488,000","3,817,100,000","2,403,000,000","1,843,600,000","1,754,100,000","1,366,900,000","1,307,600,000","1,237,900,000","1,094,200,000","1,221,000,000","1,366,300,000","1,265,200,000","903,400,000","671,900,000","501,100,000","356,900,000"
	OperatingRevenue,"4,817,199,000","4,552,747,000","4,547,002,000","4,368,529,000","3,594,646,000","3,032,030,000","2,400,949,000","2,097,130,000","1,548,432,000","1,305,562,000","1,589,996,000","1,824,850,000","3,033,936,000","6,416,526,000","11,003,792,000","9,441,650,000","7,008,267,000","5,775,429,000","4,938,894,000","4,501,715,000","3,870,488,000","3,817,100,000","2,403,000,000","1,843,600,000","1,754,100,000","1,366,900,000","1,307,600,000","1,237,900,000","1,094,200,000","1,221,000,000","1,366,300,000","1,265,200,000","903,400,000","671,900,000","501,100,000","356,900,000"
CostOfRevenue,"3,924,126,000","3,708,928,000","3,743,920,000","3,646,468,000","3,041,101,000","2,539,368,000","1,985,651,000","1,737,086,000","1,320,520,000","1,133,497,000","1,308,288,000","1,749,911,000","3,319,304,000","6,831,175,000","8,853,503,000","6,888,139,000","5,325,856,000","4,479,019,000","3,890,243,000","3,612,936,000","3,081,559,000","3,011,900,000","1,931,600,000","1,498,600,000","1,422,800,000","1,111,400,000","1,042,600,000","958,300,000","847,500,000","959,400,000","1,036,500,000","916,700,000",,,,
GrossProfit,"893,073,000","843,819,000","803,082,000","722,061,000","553,545,000","492,662,000","415,298,000","360,044,000","227,912,000","172,065,000","281,708,000","74,939,000","-285,368,000","-414,649,000","2,150,289,000","2,553,511,000","1,726,828,000","1,371,535,000","1,048,651,000","888,779,000","788,929,000","805,200,000","471,400,000","345,000,000","331,300,000","255,500,000","265,000,000","279,600,000","246,700,000","261,600,000","329,800,000","348,500,000",,,,
OperatingExpense,"521,161,000","501,683,000","447,998,000","429,824,000","393,258,000","346,709,000","291,469,000","258,850,000","251,159,000","247,886,000","292,639,000","306,275,000","575,275,000","909,850,000","1,394,572,000","1,196,515,000","952,129,000","808,636,000","595,734,000","536,463,000","517,484,000","512,700,000","332,600,000","248,700,000","239,400,000","195,400,000","182,100,000","160,300,000","150,500,000","144,400,000","174,400,000","144,400,000","806,800,000","601,300,000","442,600,000","300,400,000"
	SellingGeneralAndAdministration,"521,161,000","501,683,000","447,998,000","429,824,000","393,258,000","346,709,000","291,469,000","258,850,000","251,159,000","247,886,000","292,639,000","306,275,000","501,027,000","824,621,000","1,380,255,000","1,185,547,000","938,930,000","766,414,000","618,683,000","556,725,000","475,174,000","472,900,000","314,500,000","234,500,000","227,100,000","187,400,000","176,400,000","148,000,000","131,900,000","127,800,000","158,300,000","135,500,000",,,,
		GeneralAndAdministrativeExpense,"521,161,000","501,683,000","447,998,000","429,824,000","393,258,000","346,709,000","291,469,000","258,850,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"521,161,000","501,683,000","447,998,000","429,824,000","393,258,000","346,709,000","291,469,000","258,850,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"42,310,000","39,800,000","18,100,000","14,200,000","12,300,000","8,000,000","5,700,000","12,300,000","18,600,000","16,600,000","16,100,000","8,900,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"42,310,000","39,800,000","18,100,000","14,200,000","12,300,000","8,000,000","5,700,000","12,300,000","18,600,000","16,600,000","16,100,000","8,900,000",,,,
