name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalAssets,"518,538,117,000,000","479,588,298,000,000","436,785,609,000,000","375,673,656,000,000","329,065,467,000,000","308,355,708,000,000","291,838,155,000,000","282,006,578,000,000","277,600,817,000,000","251,752,002,000,000","253,855,432,000,000","258,326,911,000,000","217,805,959,263,246.75","184,071,221,830,756.6","176,617,018,147,918.5","171,516,203,000,000","192,931,302,500,000","184,089,583,567,302.78","168,301,732,344,008.1","91,425,822,780,285","45,276,624,000,000"
	CashCashEquivalentsAndFederalFundsSold,"21,987,962,000,000","21,461,705,000,000","21,034,570,000,000","19,119,197,000,000","17,524,772,000,000","16,767,500,000,000","16,191,954,000,000","11,942,285,000,000","9,178,125,000,000","12,465,187,000,000","11,248,842,000,000","9,509,366,000,000","8,468,858,632,186.19","8,787,472,695,746.58","7,495,094,436,467.09","7,951,509,000,000","6,819,560,000,000","5,472,271,647,012.5","8,009,298,311,344.2","6,426,027,796,830","1,674,691,000,000"
		CashAndCashEquivalents,"21,987,962,000,000","21,461,705,000,000","21,034,570,000,000","19,119,197,000,000","17,524,772,000,000","16,767,500,000,000","16,191,954,000,000","11,942,285,000,000","9,178,125,000,000","6,256,193,000,000","3,162,459,000,000","3,307,944,000,000","2,841,073,039,730.94","4,003,919,973,646.89","3,562,479,265,736.77","3,299,216,000,000","3,914,898,750,000","3,892,066,428,095.44","3,634,505,922,176.55","6,426,027,796,830","1,599,070,000,000"
			CashFinancial,"2,311,418,000,000","2,186,035,000,000","2,167,911,000,000","2,158,268,000,000","2,074,357,000,000","2,019,965,000,000",,"2,041,649,000,000",,,,,,,,,,,,,
			CashEquivalents,"9,535,049,000,000","8,117,398,000,000","8,237,996,000,000","7,649,682,000,000","7,052,764,000,000","6,369,807,000,000",,"4,503,059,000,000",,"3,867,316,000,000","2,695,569,000,000","3,073,410,000,000","2,772,030,904,753.11","3,600,302,481,747.51","3,052,855,002,546.08","2,721,980,000,000","3,324,408,750,000","3,327,374,850,588.74","3,041,986,866,848.4",,"1,599,070,000,000"
			CashAndDueFromBanks,"8,991,411,000,000","9,971,057,000,000","9,411,918,000,000","8,076,913,000,000","7,188,945,000,000","7,034,075,000,000","14,792,654,000,000","4,023,642,000,000","9,178,125,000,000","2,388,877,000,000","466,890,000,000","234,534,000,000","69,042,134,977.83","403,617,491,899.38","509,624,263,190.69","577,236,000,000","590,490,000,000","564,691,577,506.7","592,519,055,328.15","6,426,027,796,830",
			InterestBearingDepositsAssets,"1,150,084,000,000","1,187,215,000,000","1,216,745,000,000","1,234,334,000,000","1,208,706,000,000","1,343,653,000,000","1,399,300,000,000","1,373,935,000,000",,,,,,,,,,,,,
		RestrictedCashAndInvestments,,,,,,,,,,"3,359,465,000,000","6,050,241,000,000","4,793,948,000,000","3,998,757,499,114.07","3,125,884,848,131.1","2,234,714,700,476.71","1,760,325,000,000","2,904,661,250,000","1,580,205,218,917.06","4,374,792,389,167.65",,
			RestrictedCashAndCashEquivalents,,,,,,,,,,,"6,050,241,000,000","4,793,948,000,000",,,,,,,,,
		MoneyMarketInvestments,,,,,,,,,,"2,849,529,000,000","2,036,142,000,000","1,407,474,000,000","1,629,028,093,341.18","1,657,667,873,968.59","1,697,900,470,253.61","2,891,968,000,000",,,,,"75,621,000,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,"2,849,529,000,000","2,036,142,000,000","1,407,474,000,000","1,629,028,093,341.18","1,657,667,873,968.59","1,697,900,470,253.61","2,891,968,000,000",,,,,"75,621,000,000"
				SecurityAgreeToBeResell,,,,,,,,,,"2,849,529,000,000","2,036,142,000,000","1,407,474,000,000",,,,,,,,,"75,621,000,000"
