name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalRevenue,"25,247,560,000,000","25,247,560,000,000","24,016,601,000,000","19,832,524,000,000","9,902,313,000,000","9,960,397,000,000","9,580,823,000,000","9,944,700,000,000","10,937,072,000,000","8,843,120,000,000","9,428,600,000,000","8,604,215,000,000","9,330,677,000,000","10,123,473,804,233.3","8,529,459,745,230.6","8,652,805,039,442.38","9,057,574,000,000","10,703,930,000,000","9,813,391,455,738.18","5,318,549,290,297.2","5,615,225,017,567.5","1,096,544,000,000"
	NetInterestIncome,"9,196,787,000,000","9,196,787,000,000","8,904,928,000,000","7,710,009,000,000","6,402,529,000,000","6,203,199,000,000","6,415,775,000,000","6,522,832,000,000","7,115,913,000,000","7,104,512,000,000","6,065,455,000,000","5,358,691,000,000","6,468,789,000,000","6,108,346,454,897.26","5,782,759,673,735.55","5,838,923,755,375.39","6,353,099,000,000","7,648,341,250,000","6,715,516,011,951.6","3,615,483,583,102.35","1,848,098,604,735","1,425,148,000,000"
		InterestIncome,"14,639,187,000,000","14,639,187,000,000","13,734,569,000,000","11,382,452,000,000","10,021,882,000,000","10,375,823,000,000","11,635,296,000,000","12,356,930,000,000","14,155,825,000,000","13,956,257,000,000","13,035,999,000,000","13,590,120,000,000","15,828,442,000,000","12,799,579,615,150.09","10,878,549,598,825.59","10,545,066,457,099.52","11,681,856,000,000","14,424,190,000,000","13,449,480,422,473.44","8,977,826,566,016.7","6,812,929,186,507.5","4,242,468,000,000"
			InterestIncomeFromLoansAndLease,"12,295,202,000,000","12,295,202,000,000","11,459,798,000,000","9,990,792,000,000","8,905,769,000,000","9,102,433,000,000","10,168,304,000,000","10,942,021,000,000","12,567,467,000,000","12,412,206,000,000","11,212,063,000,000","11,840,037,000,000","13,864,324,000,000","11,301,735,042,686.27","9,482,156,451,287.85","9,364,288,001,613.07","10,458,874,000,000","12,648,038,750,000","11,824,131,668,577.66","7,192,996,075,441.5","4,643,437,409,377.5",
				InterestIncomeFromLoans,,,,"9,990,792,000,000","8,905,769,000,000","9,102,433,000,000","10,168,304,000,000","10,942,021,000,000","12,567,467,000,000","12,412,206,000,000","11,212,063,000,000","12,858,434,000,000",,"11,301,735,042,686.27","9,482,156,451,287.85","9,364,288,001,613.07","10,458,874,000,000","12,648,038,750,000","11,824,131,668,577.66","7,192,996,075,441.5","4,643,437,409,377.5",
			InterestIncomeFromSecurities,"2,042,760,000,000","2,042,760,000,000","2,036,094,000,000","1,159,311,000,000","889,962,000,000","988,905,000,000","1,120,116,000,000","1,268,804,000,000","1,428,328,000,000","1,544,051,000,000","1,704,793,000,000","1,489,235,000,000","1,487,980,000,000","1,419,018,729,600.08","1,312,177,765,907.58","1,077,388,828,190.07","1,202,369,000,000","1,761,680,000,000","1,564,345,195,197.66","1,546,067,020,870.65","1,754,032,865,400","53,333,000,000"
			InterestIncomeFromDeposits,"150,635,000,000","150,635,000,000","109,155,000,000",,,,,,,,"33,058,000,000","24,240,000,000","106,265,000,000","18,659,176,069.52","26,802,980,491.65","26,454,481,871.77","20,613,000,000","14,471,250,000","61,003,558,698.12","65,554,533,669.15","329,828,064,915",
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,"86,085,000,000","45,683,000,000","87,903,000,000","60,166,666,794.22","57,412,401,138.51","76,935,145,424.61",,,,,,
			OtherInterestIncome,"150,590,000,000","150,590,000,000","129,522,000,000","232,349,000,000","226,151,000,000","284,485,000,000","346,876,000,000","146,105,000,000","160,030,000,000",,"61,779,000,000","190,925,000,000","281,970,000,000",,,,,,,"173,208,936,035.4","85,630,846,815","4,189,135,000,000"
		InterestExpense,"5,442,400,000,000","5,442,400,000,000","4,829,641,000,000","3,672,443,000,000","3,619,353,000,000","4,172,624,000,000","5,219,521,000,000","5,834,098,000,000","7,039,912,000,000","6,851,745,000,000","6,970,544,000,000","8,231,429,000,000","9,359,653,000,000","6,691,233,160,252.83","5,095,789,925,090.04","4,706,142,701,724.13","5,328,757,000,000","6,775,848,750,000","6,733,964,410,521.84","5,362,342,982,914.35","4,964,830,581,772.5","2,817,320,000,000"
			InterestExpenseForDeposit,"3,481,121,000,000","3,481,121,000,000","3,041,739,000,000","2,345,885,000,000","2,476,579,000,000","3,035,425,000,000","3,845,468,000,000","4,279,153,000,000","5,318,726,000,000","4,944,615,000,000","4,733,900,000,000","5,517,569,000,000","6,434,713,000,000","4,134,153,566,816.84","3,251,178,026,141.43","3,147,424,803,717.72","3,703,999,000,000","4,337,277,500,000","4,542,481,611,741.44","3,539,176,092,770.85","3,232,547,400,262.5",
			InterestExpenseForShortTermDebt,,,,,,,,,,,,,,"478,717,229,479.3","337,903,840,009.89","285,695,013,588.55","674,517,000,000","1,126,723,750,000","846,530,248,822.5","855,291,723,514.65","642,386,850,480",
			InterestExpenseForLongTermDebtAndCapitalSecurities,"1,836,991,000,000","1,836,991,000,000","1,693,291,000,000","1,248,296,000,000","1,082,905,000,000","1,061,822,000,000","1,297,884,000,000","1,554,945,000,000","1,721,186,000,000","1,907,130,000,000","2,236,644,000,000","2,713,860,000,000","2,924,940,000,000","1,976,978,468,610.67","1,393,229,836,982.28","1,233,387,629,082.99","910,098,000,000","1,243,310,000,000","1,273,781,731,476.76","926,894,877,435.15","1,050,716,811,532.5",
			OtherInterestExpense,"124,288,000,000","124,288,000,000","94,611,000,000","78,262,000,000","59,869,000,000","75,377,000,000","76,169,000,000",,"69,058,000,000",,"39,047,000,000","64,256,000,000",,"101,383,895,346.02","113,478,221,956.44","39,635,255,334.87","40,143,000,000","68,537,500,000","71,170,818,481.14","40,980,289,193.7","39,179,519,497.5",
	NonInterestIncome,"16,050,773,000,000","16,050,773,000,000","15,111,673,000,000","12,122,515,000,000","3,499,784,000,000","3,757,198,000,000","3,165,048,000,000","3,421,868,000,000","3,821,159,000,000","1,738,608,000,000","3,363,145,000,000","3,245,524,000,000","2,861,888,000,000","4,015,127,349,336.04","2,746,700,071,495.05","2,813,881,284,066.99","2,704,475,000,000","3,055,588,750,000","3,097,875,443,786.58","1,703,065,707,194.85","3,767,126,412,832.5","-328,604,000,000"
		TotalPremiumsEarned,"12,317,182,000,000","12,317,182,000,000","11,975,070,000,000","8,970,992,000,000","1,201,352,000,000","1,373,373,000,000","1,215,031,000,000","1,233,773,000,000","1,730,466,000,000",,,,,,,,,,,,,
