name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002
TotalRevenue,"1,629,814,000","1,379,988,000","915,911,000","747,495,000","406,664,000",,"182,872,730.599","158,138,388.66","149,902,168.113","162,876,301.898","111,286,327.373","51,022,854.525","36,471,949.575","41,068,341.444","33,092,143.18","31,429,622.371","17,564,693.991","7,147,411.305","8,166,900.878",
	OperatingRevenue,"1,629,814,000","1,379,988,000","915,911,000","747,495,000","406,664,000",,"182,872,730.599","158,138,388.66","149,902,168.113","162,876,301.898","111,286,327.373","51,022,854.525","36,471,949.575","41,068,341.444","33,092,143.18","31,429,622.371","17,564,693.991","7,147,411.305","8,166,900.878",
CostOfRevenue,"642,443,000","486,387,000","427,568,000","458,366,000","273,022,000",,"141,206,410.459","148,551,948.23","122,538,885.705","100,205,857.775","70,422,672.733","49,645,812.626","35,175,419.022",,,"28,792,624.609","28,712,501.189","18,253,081.363","7,527,063.593",
GrossProfit,"987,371,000","893,601,000","488,343,000","289,129,000","133,642,000",,"41,666,320.14","9,586,440.43","27,363,282.408","62,670,444.123","40,863,654.64","1,377,041.899","1,296,530.552",,,"2,636,997.763","-11,147,807.198","-11,105,670.058","639,837.285",
OperatingExpense,"78,355,000","80,873,000","102,412,000","85,476,000","30,639,000",,"10,770,036.843","11,925,776.508","22,411,407.791","19,925,402.034","21,181,810.39","12,996,076.049","10,538,089.375","44,411,458.249","41,246,957.118","9,659,989.262","11,254,778.817","4,929,850.888","3,548,698.698","1,296,231.492"
	OperationAndMaintenance,"3,885,000","1,191,000","3,081,000","11,877,000","4,056,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"45,828,000","45,365,000","31,565,000","24,185,000","10,367,000",,"5,686,080.455","5,046,503.774","5,516,137.32","5,412,428.918","3,348,940.853","3,645,469.032","3,897,335.511","1,644,868.824","1,300,939.243","1,715,697.539","2,257,643.888","1,377,268.752","1,580,216.721","706,892.99"
		GeneralAndAdministrativeExpense,"45,828,000","45,365,000","31,565,000","24,185,000","10,367,000",,"5,686,080.455","5,046,503.774","5,516,137.32","5,412,428.918","3,348,940.853","3,645,469.032",,"1,644,868.824","1,300,939.243","1,715,697.539",,,,
			SalariesAndWages,,,"5,216,000","3,947,000","1,230,000",,"2,269,608.536","285,685.6","1,217,463.486","2,295,008.459","262,655.804","1,041,439.512",,,,"327,015.66",,,,
			RentAndLandingFees,,,,,,,,,,,,,,"1,644,868.824","1,300,939.243",,,,,
			OtherGandA,"46,772,000","45,365,000","26,349,000","20,238,000","9,137,000",,"3,416,471.919","4,760,818.174","4,298,673.834","3,117,420.459","3,086,285.049","2,604,029.519",,,,"1,388,681.879",,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,"3,843,299.272","4,387,676.988",,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,"8,308,772.617","4,087,506.1","3,581,546.258","3,851,207.295","3,138,615.69","3,447,972.26","2,553,583.32","1,275,384.077","713,345.846","143,849.234"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,"2,553,583.32","1,275,384.077","713,345.846","143,849.234"
			Amortization,,,,,,,,,,,,,,,,,"2,553,583.32","1,275,384.077","713,345.846","143,849.234"
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,"2,553,583.32","1,275,384.077","713,345.846","143,849.234"
	OtherOperatingExpenses,"28,642,000","34,317,000","67,766,000","49,414,000","16,216,000",,"5,083,956.388","6,879,272.734","16,895,270.471","14,512,973.116","9,524,096.921","5,263,100.917","3,059,207.606","35,072,082.858","32,419,725.196","4,496,319.463","6,443,551.609","2,277,198.058","1,255,136.131","445,489.268"
OperatingIncome,"909,016,000","812,728,000","385,931,000","203,653,000","103,003,000",,"30,896,283.298","-2,339,336.078","4,951,874.617","42,745,042.089","19,681,844.249","-11,619,034.15","-9,241,558.822","-3,343,116.805","-8,154,813.939","-7,022,991.499","-22,402,586.016","-16,035,520.946","-2,908,861.413","-1,296,231.492"
NetNonOperatingInterestIncomeExpense,"6,026,000","5,507,000","3,249,000","-9,092,000","-10,518,000",,"-9,684,716.528","-11,923,951.041","-7,692,155.661","391,333.592","739,985.187","397,578.902","460,677.64","1,506,478.418","784,155.096","518,567.338",,,,
