name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
TotalRevenue,"5,039,200,000","1,283,700,000","1,243,800,000","1,275,400,000","1,236,300,000","1,094,700,000","1,195,700,000","741,900,000","693,000,000","696,200,000","690,300,000","684,400,000","651,400,000","642,700,000","640,700,000","627,200,000","611,300,000","617,000,000","615,400,000","609,200,000","499,200,000","559,700,000","539,800,000","542,500,000","554,600,000","586,000,000","635,700,000","588,900,000","615,900,000","596,600,000","645,600,000","608,900,000","611,200,000","613,300,000","592,800,000","660,700,000","657,400,000","690,300,000","673,800,000","651,300,000","661,400,000","730,900,000","750,600,000","763,300,000","688,600,000","624,900,000","688,900,000","726,500,000","701,900,000","723,300,000","735,400,000","782,100,000","775,100,000","763,900,000","778,900,000","773,200,000","759,500,000","755,900,000","754,100,000","791,000,000","747,100,000","759,700,000","778,700,000","757,100,000","745,300,000","751,500,000","755,900,000","740,800,000","695,600,000","669,600,000","593,300,000","523,400,000","511,900,000","513,400,000","508,600,000","1,044,000,000","467,800,000","464,800,000","496,100,000","512,700,000","479,600,000","437,200,000","496,800,000","435,900,000","443,700,000","364,900,000","896,500,000","388,400,000","436,100,000","364,400,000","398,400,000","390,500,000","394,900,000","344,900,000","392,500,000","393,500,000","392,000,000","393,100,000","366,600,000","383,700,000","349,100,000","349,500,000","364,300,000","347,100,000","338,400,000","324,500,000","326,800,000","349,300,000","346,500,000","348,500,000","383,500,000","342,600,000","330,400,000","332,100,000","317,500,000","299,800,000","326,300,000","320,100,000","330,200,000","313,100,000","298,600,000","301,500,000","283,700,000","282,200,000","281,800,000","305,100,000","305,100,000","305,100,000","305,100,000"
InterestExpense,"42,500,000","10,000,000","9,200,000","11,800,000","11,500,000","14,100,000","13,400,000","8,000,000","29,000,000","-24,200,000","18,200,000","21,400,000","19,500,000","-20,600,000","22,000,000","20,700,000","22,300,000","-35,500,000","25,700,000","26,600,000","29,700,000","-20,400,000","22,100,000","22,500,000","22,700,000","-36,200,000","25,300,000","25,200,000","23,800,000","-27,800,000","22,700,000","20,900,000","21,800,000","21,900,000","21,400,000","28,400,000","26,800,000","28,000,000","33,900,000","24,800,000","24,300,000","159,500,000","25,600,000","28,700,000","210,700,000",,,,"16,700,000","14,700,000","16,100,000","20,000,000","16,100,000","15,300,000","15,500,000","15,800,000","15,900,000","17,300,000","16,400,000","15,700,000","14,600,000","13,900,000","14,400,000","14,300,000","14,800,000","14,300,000","10,000,000","11,300,000","9,700,000","8,900,000","8,000,000","5,200,000","4,800,000","6,800,000","7,100,000","3,400,000","4,900,000","122,100,000",,"6,000,000","32,300,000","102,900,000","3,900,000","27,800,000","28,000,000","100,300,000","3,400,000","2,800,000","26,200,000","3,800,000","2,900,000","32,800,000","29,800,000","42,000,000","24,900,000","24,200,000","24,000,000","49,500,000","21,600,000","20,900,000","18,700,000","17,300,000","16,400,000","15,800,000","14,700,000","15,100,000","14,800,000","14,700,000","14,500,000",,,,"14,800,000","15,800,000","15,700,000","15,600,000","15,900,000",,,,,,,,,,,,
OtherIncomeExpense,"35,500,000","3,700,000","7,200,000","22,700,000","1,900,000","2,000,000","37,800,000","1,200,000","1,200,000","1,100,000","1,000,000","1,000,000","900,000","1,000,000","800,000","600,000","800,000","1,400,000","800,000","600,000","900,000","600,000","500,000","200,000","100,000","300,000","100,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","400,000","13,000,000","15,700,000","19,400,000","23,000,000","27,000,000","30,900,000","36,600,000","43,200,000","47,900,000","53,300,000","58,200,000","61,300,000","63,000,000","63,900,000","-503,700,000","68,400,000","67,100,000","65,000,000","66,200,000","76,000,000","63,800,000","59,200,000","60,000,000","57,900,000","58,700,000","54,200,000","53,600,000","57,400,000","52,500,000","52,400,000","54,300,000","54,500,000","55,100,000","56,900,000","60,600,000","65,300,000","42,000,000","39,900,000","40,100,000","40,700,000","39,700,000","38,600,000","37,800,000","36,300,000","34,100,000","33,500,000","-240,000,000","136,200,000","107,900,000","119,500,000","-710,700,000","583,000,000","95,300,000","146,200,000","-116,500,000","91,100,000","80,600,000","87,900,000","-140,600,000","88,400,000","86,000,000","86,400,000","87,600,000","103,300,000","118,000,000","84,500,000","87,500,000","105,000,000","82,500,000","75,500,000","58,700,000","62,000,000","85,700,000","84,500,000","82,400,000","122,600,000","88,200,000","86,200,000","94,300,000","87,400,000","66,600,000","96,200,000","83,800,000","95,500,000","79,300,000",,,,,,,,,
PretaxIncome,"661,600,000","156,900,000","161,500,000","148,500,000","194,700,000","6,100,000","80,500,000","45,500,000","67,000,000","44,200,000","68,300,000","52,100,000","-3,500,000","40,600,000","-33,200,000","2,600,000","-6,500,000","-1,600,000","49,800,000","34,300,000","17,800,000","93,100,000","4,000,000","11,200,000","51,900,000","81,400,000","102,000,000","46,400,000","84,600,000","-6,000,000","81,500,000","-3,500,000","50,400,000","32,700,000","-800,000","-8,800,000","79,300,000","86,500,000","52,200,000","53,900,000","67,100,000","94,300,000","83,700,000","59,500,000","-7,900,000","-45,700,000","-72,800,000","-4,100,000","32,600,000","-17,000,000","79,400,000","87,900,000","102,800,000","85,900,000","121,100,000","98,300,000","86,000,000","102,800,000","24,600,000","112,400,000","93,100,000","105,600,000","77,700,000","85,100,000","67,100,000","59,400,000","50,400,000","32,800,000","16,300,000","-10,300,000","-38,200,000","7,400,000","16,500,000","-38,900,000","15,100,000","548,400,000","17,900,000","27,500,000","56,800,000","20,000,000","47,900,000","237,000,000","0","0","0","687,100,000","0","0","0","139,800,000","0","0","0","122,100,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
TaxProvision,"130,500,000","32,200,000","32,500,000","26,400,000","39,400,000","1,100,000","-11,800,000","8,000,000","13,400,000","8,300,000","20,500,000","15,500,000","-3,100,000","11,500,000","-14,900,000","-1,500,000","-4,300,000","-2,900,000","11,800,000","6,900,000","4,300,000","29,800,000","-800,000","1,900,000","16,700,000","26,600,000","33,400,000","13,900,000","26,000,000","-4,300,000","25,900,000","-5,100,000","14,100,000","6,600,000","-4,600,000","-7,300,000","23,500,000","25,000,000","16,400,000","15,900,000","19,500,000","28,300,000","21,700,000","16,800,000","-400,000","-18,200,000","-28,100,000","-7,500,000","7,600,000","-21,800,000","22,700,000","25,100,000","30,800,000","24,900,000","36,400,000","30,700,000","25,400,000","16,700,000","3,500,000","34,700,000","27,800,000","33,300,000","22,200,000","24,400,000","19,000,000","15,100,000","7,400,000","8,300,000","3,300,000","-6,800,000","-16,700,000","600,000","4,600,000","-14,300,000","4,100,000","194,000,000","6,500,000","10,600,000","18,600,000","8,200,000","17,000,000","19,300,000","27,600,000","12,900,000","18,100,000","17,100,000","180,100,000","9,700,000","31,700,000","15,300,000","12,300,000","8,900,000","10,600,000","11,700,000","12,700,000","9,000,000","6,800,000","12,900,000","15,200,000","16,000,000","11,200,000","16,900,000","19,300,000","12,400,000","14,300,000","14,900,000","17,600,000","13,600,000","15,700,000","11,500,000","25,000,000","10,500,000","15,600,000","15,900,000","11,800,000","11,000,000","17,500,000","15,300,000","18,600,000","5,900,000",,,,,,,,,
NetIncomeContinuousOperations,"531,100,000","124,700,000","129,000,000","122,100,000","155,300,000","5,000,000","92,300,000","37,500,000","53,600,000","35,900,000","47,800,000","36,600,000","-400,000","29,100,000","-18,300,000","4,100,000","-2,200,000","1,300,000","38,000,000","27,400,000","13,500,000","63,300,000","4,800,000","9,300,000","35,200,000","54,800,000","68,600,000","32,500,000","58,600,000","-1,700,000","55,600,000","1,600,000","36,300,000","26,100,000","3,800,000","-1,500,000","55,800,000","61,500,000","35,500,000","37,500,000","48,300,000","66,100,000","61,000,000","41,400,000","-6,300,000","-26,000,000","-43,700,000","4,500,000","27,200,000","5,300,000","57,600,000","62,200,000","72,400,000","61,600,000","86,100,000","69,400,000","66,000,000","86,700,000","22,700,000","78,200,000","67,900,000","73,300,000","56,500,000","62,400,000","48,000,000","44,400,000","43,100,000","22,700,000","13,400,000","-3,700,000","-18,100,000","4,400,000","9,200,000","-12,100,000","20,100,000","356,300,000","16,600,000","27,900,000","-4,300,000","25,500,000","41,900,000","60,600,000","51,700,000","36,500,000","52,200,000","46,700,000","351,900,000","36,200,000","76,000,000","46,000,000","37,000,000","1,200,000","33,700,000","39,500,000","38,100,000","29,500,000","25,400,000","37,800,000","40,000,000","41,600,000","31,200,000","44,900,000","49,900,000","28,300,000","25,300,000","4,500,000","14,300,000","36,900,000","39,300,000","37,500,000","56,600,000","29,800,000","39,400,000","45,000,000","33,300,000","13,800,000","45,100,000","44,700,000","41,400,000","20,500,000","25,600,000","23,600,000","34,600,000","13,400,000","34,700,000","50,400,000","50,300,000","50,300,000","50,300,000"
NetIncome,"531,100,000","124,700,000","129,000,000","122,100,000","155,300,000","6,500,000","92,200,000","37,600,000","53,800,000","36,900,000","47,700,000","36,600,000","-300,000","31,200,000","-16,300,000","4,000,000","-2,100,000","4,600,000","37,900,000","29,700,000","13,500,000","65,400,000","4,700,000","9,300,000","35,100,000","55,200,000","70,100,000","34,000,000","58,400,000","1,900,000","55,600,000","2,300,000","43,600,000","25,400,000","4,700,000","-500,000","54,100,000","62,900,000","35,700,000","37,800,000","48,200,000","66,300,000","62,100,000","41,900,000","-5,600,000","-9,900,000","-39,300,000","-2,900,000","22,500,000","18,900,000","64,300,000","62,200,000","72,400,000","61,600,000","86,100,000","69,400,000","66,000,000","86,700,000","22,700,000","78,200,000","67,900,000","73,300,000","56,500,000","62,400,000","48,000,000","44,400,000","43,100,000","22,700,000","13,400,000","-3,700,000","-18,100,000","4,400,000","9,200,000","-12,100,000","20,100,000","356,300,000","16,600,000","27,900,000","-4,300,000","25,500,000","41,900,000","60,600,000","51,700,000","36,500,000","52,200,000","46,700,000","351,900,000","36,200,000","76,000,000","46,000,000","37,000,000","1,200,000","33,700,000","39,500,000","38,100,000","29,500,000","25,400,000","37,800,000","40,000,000","41,600,000","31,200,000","44,900,000","49,900,000","28,300,000","25,300,000","4,500,000","14,300,000","36,900,000","39,300,000","-2,400,000","56,600,000","29,800,000","39,400,000","45,000,000","33,300,000","13,800,000","45,100,000","44,700,000","41,400,000","20,500,000","25,600,000","23,600,000","34,600,000","13,400,000","34,700,000","50,400,000","50,300,000","50,300,000","50,300,000"
NetIncomeCommonStockholders,"529,400,000","124,400,000","128,600,000","121,800,000","155,300,000","6,500,000","91,800,000","37,400,000","53,300,000","36,700,000","47,300,000","36,300,000","-200,000","31,100,000","-16,200,000","4,000,000","-1,900,000","4,500,000","37,700,000","29,500,000","13,600,000","65,100,000","4,700,000","9,300,000","34,900,000","54,900,000","69,800,000","33,800,000","58,100,000","1,400,000","55,600,000","2,300,000","43,600,000","25,400,000","4,700,000","-500,000","54,100,000","62,900,000","35,700,000","37,800,000","48,200,000","66,300,000","62,100,000","41,900,000","-5,600,000","-9,900,000","-39,300,000","-2,900,000","22,500,000","18,900,000","64,300,000","62,200,000","72,400,000","61,600,000","86,100,000","69,400,000","66,000,000","86,700,000","22,700,000","78,200,000","67,900,000","73,300,000","56,500,000","62,400,000","48,000,000","44,400,000","43,100,000","22,700,000","13,400,000","-3,700,000","-18,100,000","4,400,000","9,200,000","-12,100,000","20,100,000","356,300,000","16,600,000","27,900,000","-4,300,000","25,500,000","41,900,000","60,600,000","51,700,000","36,500,000","52,200,000","46,700,000","351,900,000","36,200,000","76,000,000","46,000,000","37,000,000","1,200,000","33,700,000","39,500,000","38,100,000","29,500,000","25,400,000","37,800,000","40,000,000","41,600,000","31,200,000","44,900,000","49,900,000","28,300,000","25,300,000","4,500,000","14,300,000","36,900,000","39,300,000","-2,400,000","56,600,000","29,800,000","39,400,000","45,000,000","33,300,000","13,800,000","45,100,000","44,700,000","41,400,000","20,500,000","25,600,000","23,600,000","34,600,000","13,400,000","34,700,000","50,400,000","50,300,000","50,300,000","50,300,000"
BasicEPS,,"1.87","1.93","1.87","2.38","0.1","1.42","0.73","1.03","0.71","0.92","0.71","-0.01","0.6","-0.32","0.08","-0.04","0.09","0.73","0.57","0.26","1.24","0.09","0.17","0.63","0.99","1.24","0.59","1","0.03","0.95","0.04","0.73",,"0.08","-0.01","0.89",,"0.58","0.61","0.77",,"1","0.67","-0.09",,"-0.63","-0.05","0.35",,"0.99","0.94","1.08",,"1.27","1.02","0.96",,"0.33","1.13","0.99",,"0.82","0.91","0.71",,"0.64","0.34","0.2",,"-0.27","0.06","0.14",,"0.3","5.28","0.25",,"-0.06","0.37","0.6",,"0.71","0.5","0.7",,"4.36","0.47","1.01",,"0.5","0.02","0.45",,"0.51","0.39","0.33",,"0.51","0.52","0.37",,"0.5","0.28","0.25",,"0.14","0.36","0.38",,"0.55","0.29","0.38",,"0.32","0.13","0.42",,"0.38","0.19","0.23",,"0.31","0.12","0.32",,"0.46","0.46","0.45"
DilutedEPS,,"1.85","1.91","1.84","2.35","0.1","1.4","0.73","1.02","0.71","0.92","0.71","-0.01","0.6","-0.32","0.08","-0.04","0.09","0.73","0.57","0.26","1.24","0.09","0.17","0.63","0.99","1.23","0.59","1","0.03","0.95","0.04","0.72",,"0.08","-0.01","0.89",,"0.58","0.61","0.77",,"1","0.67","-0.09",,"-0.63","-0.05","0.35",,"0.98","0.94","1.08",,"1.27","1.01","0.96",,"0.32","1.12","0.98",,"0.82","0.91","0.7",,"0.64","0.33","0.2",,"-0.27","0.06","0.13",,"0.3","5.25","0.24",,"-0.07","0.37","0.6",,"0.71","0.5","0.7",,"4.35","0.46","1",,"0.49","0.02","0.45",,"0.51","0.39","0.33",,"0.51","0.52","0.37",,"0.5","0.28","0.25",,"0.14","0.36","0.38",,"0.55","0.29","0.38",,"0.32","0.13","0.42",,"0.38","0.19","0.23",,"0.31","0.12","0.32",,"0.46","0.46","0.45"
