name,ttm,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998,02/28/1997
TotalRevenue,"20,319,987,000","20,319,987,000","18,173,100,000","17,120,209,000","15,875,118,000","15,149,675,000","14,268,716,000","12,574,299,000","10,962,818,000","10,003,599,000","8,975,554,000","7,470,193,000","6,973,966,000","8,199,571,000","7,465,656,000","6,259,967,000","5,260,262,000","4,597,691,000","3,969,944,000","3,201,665,000","2,500,991,000","2,014,984,000","1,466,300,000","874,200,000","510,200,000"
CostOfRevenue,"17,597,647,000","17,597,647,000","15,692,509,000","14,791,350,000","13,691,824,000","13,130,915,000","12,381,189,000","10,925,598,000","9,498,456,000","8,624,838,000","7,674,326,000","6,371,323,000","6,005,796,000","7,127,146,000","6,494,594,000","5,469,253,000","4,610,066,000","4,026,803,000","3,501,705,000","2,797,962,000","2,153,116,000","1,759,378,000","1,284,000,000","796,100,000","465,100,000"
GrossProfit,"2,722,340,000","2,722,340,000","2,480,591,000","2,328,859,000","2,183,294,000","2,018,760,000","1,887,527,000","1,648,701,000","1,464,362,000","1,378,761,000","1,301,228,000","1,098,870,000","968,170,000","1,072,425,000","971,062,000","790,714,000","650,196,000","570,888,000","468,239,000","403,703,000","347,875,000","255,606,000","182,300,000","78,100,000","45,100,000"
OperatingExpense,"1,940,067,000","1,940,067,000","1,730,275,000","1,617,051,000","1,488,504,000","1,351,935,000","1,257,725,000","1,155,215,000","1,031,034,000","940,786,000","905,091,000","995,028,000","882,358,000","858,372,000","776,168,000","651,988,000","546,577,000","468,374,000","392,417,000","252,289,000","262,283,000","243,441,000","214,400,000","132,400,000","54,800,000"
	SellingGeneralAndAdministration,"1,940,067,000","1,940,067,000","1,730,275,000","1,617,051,000","1,488,504,000","1,351,935,000","1,257,725,000","1,155,215,000","1,031,034,000","940,786,000","905,091,000","818,691,000","882,358,000","858,372,000","776,168,000","651,988,000","546,577,000","468,374,000","392,417,000","252,289,000","244,167,000","228,200,000","204,400,000","127,800,000","53,100,000"
	OperatingExpense,"1,940,067,000","1,940,067,000","1,730,275,000","1,617,051,000","1,488,504,000","1,351,935,000","1,257,725,000","1,155,215,000","1,031,034,000","940,786,000","905,091,000","995,028,000","882,358,000","858,372,000","776,168,000","651,988,000","546,577,000","468,374,000","392,417,000","252,289,000","262,283,000","243,441,000","214,400,000","132,400,000","54,800,000"
OperatingIncome,"782,273,000","782,273,000","750,316,000","711,808,000","694,790,000","666,825,000","629,802,000","493,486,000","433,328,000","437,975,000","396,137,000","103,842,000","85,812,000","214,053,000","194,894,000","138,726,000","103,619,000","102,514,000","75,822,000","151,414,000","85,592,000","12,165,000","-32,100,000","-54,300,000","-9,700,000"
InterestExpense,"83,007,000","83,007,000","75,792,000","70,745,000","56,416,000","36,358,000","24,473,000","30,834,000","32,357,000","33,714,000","3,110,000","3,460,000","6,086,000",,,,,,,,,,,,
OtherIncomeExpense,"5,690,000","5,690,000","-408,000","1,363,000","-953,000","-12,559,000","-3,292,000","-1,497,000","1,113,000","262,649,000","219,983,000",,"15,286,000","86,605,000","132,625,000","104,327,000","83,289,000","87,290,000","70,899,000",,,,,,
PretaxIncome,"1,160,986,000","1,160,986,000","1,112,806,000","1,063,608,000","1,006,405,000","1,009,944,000","969,331,000","797,322,000","701,351,000","666,910,000","613,490,000","452,496,000","96,798,000","297,069,000","323,349,000","239,983,000","184,523,000","189,350,000","156,697,000","146,456,000","73,482,000","1,803,000","-38,500,000","-56,100,000","-15,900,000"
TaxProvision,"272,553,000","272,553,000","270,393,000","399,496,000","379,435,000","386,516,000","371,973,000","304,736,000","267,067,000","253,115,000","232,612,000","170,828,000","37,585,000","115,044,000","124,752,000","91,928,000","71,595,000","72,900,000","61,895,000","55,654,000","27,918,000","685,000","-15,000,000","-21,900,000","-6,600,000"
NetIncomeContinuousOperations,"888,433,000","888,433,000","842,413,000","664,112,000","626,970,000","623,428,000","597,358,000","492,586,000","434,284,000","413,795,000","380,878,000","281,668,000","59,213,000","182,025,000","198,597,000","148,055,000","112,928,000","116,450,000","94,802,000","90,802,000","45,564,000","1,118,000","-23,500,000","-34,200,000","-9,300,000"
NetIncome,"888,433,000","888,433,000","842,413,000","664,112,000","626,970,000","623,428,000","597,358,000","492,586,000","434,284,000","413,795,000","380,878,000","281,668,000","59,213,000","182,025,000","198,597,000","148,055,000","112,928,000","116,450,000","94,802,000","90,802,000","45,564,000","1,118,000","-23,500,000","-34,200,000","-9,300,000"
NetIncomeCommonStockholders,"888,433,000","888,433,000","842,413,000","664,112,000","626,970,000","623,428,000","597,358,000","492,586,000","434,284,000","413,795,000","380,878,000","281,668,000","59,213,000","182,025,000","198,597,000","148,055,000","112,928,000","116,450,000","94,802,000","90,802,000","45,564,000","1,118,000","-23,500,000","-34,200,000","-9,300,000"
BasicEPS,,,"4.83","3.64","3.29","3.07","2.77","2.2","1.9","1.83","1.7","1.27","0.27","0.84","0.93","0.705","0.545","0.565","0.46","0.435","0.225","0.005","-0.12","-0.175","-0.005"
DilutedEPS,,,"4.79","3.6","3.26","3.03","2.73","2.16","1.87","1.79","1.67","1.26","0.27","0.83","0.92","0.695","0.535","0.55","0.455","0.41","0.215","0.005","-0.12","-0.175","-0.005"
BasicAverageShares,,,"174,463,000","182,660,000","190,343,000","203,275,000","215,617,000","223,589,000","228,095,000","226,282,000","223,449,000","219,527,000","217,537,000","216,045,000","212,454,000","209,270,000","208,072,000","207,006,000","205,966,000","64,280,000","51,108,000","47,556,000","46,654,000","44,408,000","43,720,000"
DilutedAverageShares,,,"175,884,000","184,470,000","192,215,000","205,540,000","218,691,000","227,584,000","231,823,000","230,721,000","227,601,000","222,234,000","220,513,000","220,522,000","216,739,000","212,688,000","211,558,000","211,256,000","209,140,000","68,244,000","53,960,000","51,576,000","46,654,000","44,408,000","43,720,000"
Ebitda,,"1,459,804,000","1,370,845,000","1,314,295,000","1,231,696,000","1,183,662,000","1,108,977,000","930,067,000","828,991,000","783,436,000","676,021,000","514,284,000","157,625,000","260,668,000","229,445,000","165,472,000","123,872,000","118,817,000","90,772,000","167,754,000","103,708,000","27,406,000","-22,100,000","-49,700,000","-8,000,000"
