name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"2,850,316,000","709,665,000","722,126,000","692,028,000","685,513,000","665,526,000","584,146,000","536,634,000","505,521,000","449,430,000","398,471,000","385,439,000","399,049,000","357,382,000","331,995,000","324,893,000","287,347,000","213,858,000","178,823,000","188,161,000","182,200,000","189,900,000","170,600,000","165,600,000","185,400,000","170,200,000","171,000,000","166,600,000","155,600,000","152,400,000","131,400,000","121,100,000","118,400,000","98,500,000","93,900,000"
	CurrentAssets,"715,972,000","418,510,000","406,586,000","376,468,000","365,853,000","351,518,000","328,847,000","277,810,000","259,549,000","215,482,000","198,898,000","200,826,000","213,501,000","186,241,000","165,993,000","171,187,000","143,524,000","103,673,000","92,087,000","103,181,000","96,200,000","96,100,000","98,100,000","86,600,000","86,700,000","83,400,000","84,400,000","85,600,000","82,700,000","84,800,000","75,400,000","69,300,000","66,600,000","58,500,000","57,500,000"
		CashCashEquivalentsAndShortTermInvestments,"123,524,000","104,147,000","89,879,000","88,818,000","81,053,000","64,731,000","68,492,000","32,547,000","16,909,000","25,766,000","25,051,000","20,892,000","20,195,000","16,062,000","16,121,000","29,078,000","21,915,000","13,857,000","20,549,000","16,552,000","8,700,000","10,200,000","18,400,000","8,500,000","7,200,000","11,300,000","19,300,000","24,400,000","21,000,000","18,000,000","17,500,000","20,500,000","22,600,000","23,900,000","22,100,000"
			CashAndCashEquivalents,"123,524,000","104,147,000","89,879,000","88,818,000","81,053,000","64,731,000","68,492,000","32,547,000","16,909,000","25,766,000","25,051,000","20,892,000","20,195,000","16,062,000","16,121,000","29,078,000","21,915,000","13,857,000","20,549,000","16,552,000","8,700,000","10,200,000","18,400,000","8,500,000","7,200,000","11,300,000","19,300,000","24,400,000","21,000,000","18,000,000","17,500,000","20,500,000","22,600,000","23,900,000","22,100,000"
		Receivables,"375,982,000","202,139,000","208,358,000","195,225,000","188,297,000","189,484,000","165,629,000","154,197,000","150,676,000","116,266,000","108,793,000","98,702,000","118,135,000","107,340,000","93,943,000","87,527,000","78,121,000","53,353,000","44,787,000","54,401,000","55,100,000","52,400,000","48,600,000","45,600,000","47,000,000","43,800,000","37,100,000","37,500,000","35,100,000","36,300,000","33,300,000","30,000,000","27,800,000","21,600,000","22,900,000"
			AccountsReceivable,"375,982,000","202,139,000","208,358,000","195,225,000","188,297,000","189,484,000","165,629,000","154,197,000","150,676,000","116,266,000","108,793,000","98,702,000","118,135,000","107,340,000","93,943,000","87,527,000","78,121,000","53,353,000","44,787,000",,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"387,698,000","207,326,000","213,815,000","202,445,000","196,115,000","195,982,000","172,762,000","160,596,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-11,716,000","-5,187,000","-5,457,000","-7,220,000","-7,818,000","-6,498,000","-7,133,000","-6,399,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"174,950,000","94,090,000","87,221,000","77,082,000","75,099,000","77,708,000","71,557,000","72,471,000","74,758,000","60,841,000","50,040,000","57,419,000","60,738,000","51,984,000","45,818,000","41,298,000","32,211,000","23,636,000","18,785,000","22,716,000","23,400,000","24,500,000","21,700,000","21,000,000","21,700,000","17,900,000","17,600,000","17,700,000","17,100,000","18,700,000","16,600,000","15,700,000","13,300,000","10,700,000","10,200,000"
			RawMaterials,"82,058,000","48,134,000","44,439,000","37,772,000","36,876,000","37,961,000","37,063,000","40,417,000","41,771,000","31,909,000","23,495,000","27,401,000","24,447,000","21,589,000","20,016,000","18,989,000","14,691,000","11,342,000",,,,,,,,,,,,,,,,,
			WorkInProcess,"92,892,000","45,956,000","42,782,000","39,310,000","38,223,000","39,747,000","34,494,000","32,054,000","32,987,000","28,932,000","26,545,000","30,018,000","36,291,000","30,395,000","25,802,000","22,309,000","17,520,000","12,294,000",,,,,,,,,,,,,,,,,
		PrepaidAssets,"41,516,000","18,134,000","21,128,000","15,343,000","13,582,000","11,228,000","15,343,000","12,194,000","10,868,000","7,985,000","7,409,000","10,584,000","10,391,000","6,476,000","5,672,000","8,911,000","4,550,000","6,953,000",,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,"0","2,358,000","8,281,000",,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,"7,822,000","8,367,000","7,826,000","6,401,000","6,338,000","4,624,000","5,247,000","4,948,000","4,042,000","4,379,000","4,439,000","4,373,000","6,727,000","5,874,000",,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,"7,822,000","8,367,000","7,826,000","6,401,000","6,338,000","4,624,000","5,247,000","4,948,000","4,042,000","4,379,000","4,439,000","4,373,000","6,727,000","5,874,000",,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,"7,966,000","9,512,000","9,000,000","9,000,000","9,400,000","11,500,000","10,800,000","10,400,000","10,400,000","6,000,000","9,500,000","11,800,000","8,000,000","3,100,000","2,900,000","2,300,000","2,300,000"
	TotalNonCurrentAssets,"2,134,344,000","291,155,000","315,540,000","315,560,000","319,660,000","314,008,000","255,299,000","258,824,000","245,972,000","233,948,000","199,573,000","184,613,000","185,548,000","171,141,000","166,002,000","153,706,000","143,823,000","110,185,000","86,736,000","84,980,000","86,000,000","93,800,000","72,500,000","79,000,000","98,700,000","86,800,000","86,600,000","81,000,000","72,900,000","67,600,000","56,000,000","51,800,000","51,800,000","40,000,000","36,400,000"
		NetPPE,"256,374,000","83,923,000","86,704,000","85,734,000","87,619,000","85,763,000","85,488,000","85,112,000","82,916,000","76,535,000","67,426,000","60,945,000","62,287,000","60,927,000","56,897,000","62,888,000","62,391,000","48,512,000","38,244,000","42,459,000","44,800,000","49,600,000","40,700,000","44,000,000","56,300,000","51,600,000","56,600,000","52,200,000","48,700,000","46,300,000","36,500,000","32,800,000","32,600,000","29,500,000","24,600,000"
			GrossPPE,"441,739,000","254,237,000","255,990,000","236,006,000","231,164,000","234,516,000","233,865,000","225,177,000","214,695,000","205,359,000","190,980,000","179,565,000","175,878,000","158,934,000","140,903,000","146,900,000","136,448,000","113,207,000",,"108,034,000","109,000,000","111,900,000","97,100,000","99,000,000","118,600,000","105,600,000","107,100,000","97,700,000","89,000,000","83,700,000","69,000,000","62,000,000","59,700,000","51,400,000","43,100,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,
				LandAndImprovements,"34,686,000","10,170,000","10,635,000","9,707,000","9,388,000","7,962,000","8,510,000","8,346,000","8,198,000","6,458,000","6,185,000","6,447,000","6,630,000","5,768,000","5,391,000","6,595,000","6,830,000","5,044,000",,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"130,462,000","84,980,000","87,111,000","80,740,000","80,110,000","78,911,000","80,644,000","72,292,000","71,029,000","69,233,000","52,227,000","50,164,000","50,530,000","40,446,000","38,110,000","41,340,000","34,480,000","28,214,000",,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"225,636,000","151,180,000","153,312,000","140,595,000","136,329,000","142,102,000","136,549,000","134,754,000","130,939,000","124,043,000","117,527,000","116,398,000","116,325,000","104,427,000","94,223,000","95,637,000","86,732,000","75,551,000",,,,,,,,,,,,,,,,,
				OtherProperties,"42,905,000","83,923,000","86,704,000","85,734,000","87,619,000",,"85,488,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"8,050,000","7,907,000","4,932,000","4,964,000","5,337,000","5,541,000","8,162,000","9,785,000","4,529,000","5,625,000","15,041,000","6,556,000","2,393,000","8,293,000","3,179,000","3,328,000","8,406,000","4,398,000",,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-185,365,000","-170,314,000","-169,286,000","-150,272,000","-143,545,000","-148,753,000","-148,377,000","-140,065,000","-131,779,000","-128,824,000","-123,554,000","-118,620,000","-113,591,000","-98,007,000","-84,006,000","-84,012,000","-74,057,000","-64,695,000",,"-65,575,000","-64,200,000","-62,300,000","-56,400,000","-55,000,000","-62,300,000","-54,000,000","-50,500,000","-45,500,000","-40,300,000","-37,400,000","-32,500,000","-29,200,000","-27,100,000","-21,900,000","-18,500,000"
		GoodwillAndOtherIntangibleAssets,"1,728,970,000","146,915,000","157,637,000","153,875,000","152,398,000","148,341,000","89,423,000","91,978,000","89,935,000","76,788,000","52,094,000","47,414,000","51,662,000","47,070,000","44,121,000","43,427,000","42,917,000","27,779,000","16,402,000","17,370,000","16,000,000","21,400,000","14,500,000","16,200,000","19,000,000","12,300,000","14,500,000","9,500,000","8,200,000","8,600,000","8,600,000","8,900,000","9,100,000",,
			Goodwill,"607,205,000","83,333,000","86,034,000","80,804,000","79,111,000","77,933,000","58,151,000","59,169,000","58,152,000","52,758,000","46,515,000","40,997,000","43,789,000","38,740,000",,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"1,121,765,000","63,582,000","71,603,000","73,071,000","73,287,000","70,408,000","31,272,000","32,809,000","31,783,000","24,030,000","5,579,000","6,417,000","7,873,000","8,330,000","44,121,000","43,427,000","42,917,000","27,779,000","16,402,000","17,370,000","16,000,000","21,400,000","14,500,000","16,200,000","19,000,000","12,300,000","14,500,000","9,500,000","8,200,000","8,600,000","8,600,000","8,900,000","9,100,000",,
		InvestmentsAndAdvances,"93,822,000","21,316,000","25,690,000","22,817,000","20,354,000","21,751,000","19,397,000","16,603,000","7,942,000","9,218,000","8,824,000",,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"93,822,000","21,316,000","25,690,000","22,817,000","20,354,000","21,751,000","19,397,000","16,603,000","7,942,000",,"8,824,000",,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,"93,822,000","21,316,000","25,690,000","22,817,000","20,354,000","21,751,000","19,397,000","16,603,000","7,942,000",,"8,824,000",,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"14,745,000","6,946,000","15,460,000","24,382,000","27,071,000","25,190,000","25,618,000","31,588,000","29,823,000","28,846,000","31,692,000","34,179,000","30,257,000","28,573,000","24,385,000","18,825,000","12,846,000","10,609,000",,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"14,745,000","6,946,000","15,460,000","24,382,000","27,071,000","24,411,000","24,724,000","30,673,000","29,823,000","28,846,000","31,692,000","34,179,000","30,257,000","28,573,000","24,385,000","18,825,000","12,846,000","10,609,000",,,,,,,,,,,,,,,,,
