name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalRevenue,"12,626,800,000","12,672,700,000","11,821,400,000","10,086,510,000","8,678,157,000","7,864,252,000","5,390,326,000","4,005,749,000","3,316,487,000","2,699,360,000","2,131,598,000","1,749,315,000","2,137,804,000","3,219,001,000","3,172,894,000","2,935,419,000","2,745,787,000","2,513,502,000","2,376,960,000","1,873,188,000","1,658,611,000","1,242,700,000","714,700,000","319,800,000","142,800,000","114,200,000"
	OperatingRevenue,"12,626,800,000","12,672,700,000","11,821,400,000","10,086,510,000","8,678,157,000","7,864,252,000","5,390,326,000","4,005,749,000","3,316,487,000","2,699,360,000","2,131,598,000","1,749,315,000","2,137,804,000","3,219,001,000","3,172,894,000","2,935,419,000","2,745,787,000","2,513,502,000","2,376,960,000","1,873,188,000","1,658,611,000","1,242,700,000","714,700,000","319,800,000","142,800,000","114,200,000"
CostOfRevenue,"10,662,800,000","10,718,900,000","10,044,400,000","8,570,424,000","7,376,842,000","6,688,618,000","4,567,004,000","3,374,796,000","2,777,187,000","2,241,822,000","1,750,168,000","1,419,696,000","1,767,760,000","2,674,349,000","2,634,417,000","2,430,977,000","2,285,851,000","2,110,393,000","2,002,157,000","1,566,713,000","1,391,042,000","1,043,400,000","599,400,000","265,100,000","116,800,000","91,200,000"
GrossProfit,"1,964,000,000","1,953,800,000","1,777,000,000","1,516,086,000","1,301,315,000","1,175,634,000","823,322,000","630,953,000","539,300,000","457,538,000","381,430,000","329,619,000","370,044,000","544,652,000","538,477,000","504,442,000","459,936,000","403,109,000","374,803,000","306,475,000","267,569,000","199,300,000","115,300,000","54,700,000","26,000,000","23,000,000"
OperatingExpense,"1,492,200,000","1,465,900,000","1,343,500,000","1,107,100,000","948,959,000","852,775,000","589,570,000","447,435,000","390,816,000","344,171,000","318,189,000","288,493,000","629,820,000","451,225,000","423,640,000","385,225,000","363,089,000","322,882,000","303,950,000","248,317,000","203,105,000","152,000,000","88,700,000","43,100,000","22,100,000","18,600,000"
	SellingGeneralAndAdministration,"1,328,500,000","1,306,100,000","1,196,100,000","993,565,000","855,707,000","771,437,000","529,445,000","402,957,000","349,516,000","327,545,000","300,612,000","270,245,000","316,183,000","430,343,000","406,569,000","370,991,000","349,946,000","313,289,000","296,137,000","239,042,000","195,500,000","146,400,000","85,200,000","40,600,000","20,300,000","16,700,000"
		GeneralAndAdministrativeExpense,"1,215,500,000","1,194,200,000","1,087,400,000","900,253,000","774,344,000","701,838,000","482,793,000","363,359,000","317,603,000",,,,,,,,,,,,,,,,,
			SalariesAndWages,"927,600,000","911,200,000","824,800,000","695,527,000","597,185,000","556,719,000","374,757,000","278,497,000","243,249,000",,,,,,,,,,,,,,,,,
			RentAndLandingFees,"41,300,000","41,300,000","43,300,000","33,399,000","26,785,000","23,817,000","17,230,000","13,962,000","15,162,000",,,,,,,,,,,,,,,,,
			OtherGandA,"246,600,000","241,700,000","219,300,000","171,327,000","150,374,000","121,302,000","90,806,000","70,900,000","59,192,000",,,,,,,,,,,,,,,,,
