name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"12,779,956,000","11,393,402,000","9,366,872,000","8,303,199,000","5,647,837,000","5,573,492,000","4,518,774,000","3,723,456,000","3,199,704,000","2,299,509,000","2,020,121,000","1,881,804,000","1,692,655,000","564,355,000","439,426,000","288,275,109","203,153,908","176,746,673","227,217,000","233,203,000"
	CurrentAssets,"4,687,819,000","4,520,949,000","3,822,134,000","3,567,594,000","2,340,712,000","2,317,417,000","1,799,817,000","1,384,351,000","1,149,735,000","836,876,000","702,868,000","608,918,000","553,292,000","183,814,000","151,337,000","107,441,801","95,705,435","74,403,615",,
		CashCashEquivalentsAndShortTermInvestments,"523,020,000","331,761,000","279,766,000","227,400,000","87,397,000","114,605,000","150,488,000","59,770,000","48,247,000","95,689,000","108,906,000","79,067,000","74,241,000","4,031,000","3,173,000","1,611,696","16,081,525","584,477",,
			CashAndCashEquivalents,"523,020,000","331,761,000","279,766,000","227,400,000","87,397,000","114,605,000","150,488,000","59,770,000","48,247,000","95,689,000","108,906,000","79,067,000","74,241,000","4,031,000","3,173,000","1,611,696","16,081,525","584,477",,
		Receivables,"1,131,132,000","1,154,083,000","1,027,106,000","860,549,000","590,160,000","601,422,000","458,094,000","311,808,000","281,764,000","191,085,000","152,443,000","148,422,000","125,572,000","49,254,000","39,500,000","28,304,776","22,542,049","18,592,232",,
			AccountsReceivable,"1,131,132,000","1,154,083,000","1,027,106,000","860,549,000","590,160,000","601,422,000","458,094,000","311,808,000",,,,"148,422,000","125,572,000","49,254,000","39,500,000","28,304,776","22,542,049","18,592,232",,
				GrossAccountsReceivable,"1,184,132,000",,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-53,000,000",,,,,,,,,,,,,,,,,,,
		Inventory,"2,772,777,000","2,836,075,000","2,380,783,000","1,935,237,000","1,556,552,000","1,433,847,000","1,076,952,000","900,803,000","736,846,000","492,688,000","385,686,000","332,756,000","320,238,000","124,541,000","103,655,000","74,150,400","54,003,694","53,778,506",,
			RawMaterials,"26,974,000","23,418,000","16,022,000",,,,,,,,,,,,,,,,,
			FinishedGoods,"2,745,803,000","2,812,657,000","2,364,761,000","1,935,237,000","1,556,552,000","1,433,847,000","1,076,952,000","900,803,000","736,846,000","492,688,000",,,,,,,,,,
			OtherInventories,,"23,418,000","16,022,000",,,,,,,,,,,,,,,,,
		PrepaidAssets,"260,890,000","199,030,000","134,479,000","87,768,000","106,603,000","85,799,000","50,345,000","58,485,000","37,188,000","24,908,000","14,266,000","29,029,000","14,432,000","3,369,000","2,437,000","2,265,829","2,656,567","1,109,200",,
		RestrictedCash,,,,,,,,,,,,,,,"450,000",,,,,
		CurrentDeferredAssets,,,,,,"81,744,000","63,938,000","53,485,000","45,690,000","32,506,000","31,847,000","19,644,000","18,809,000","2,619,000","2,122,000","1,109,100","421,600","339,200",,
			CurrentDeferredTaxesAssets,,,,,,"81,744,000","63,938,000","53,485,000","45,690,000","32,506,000","31,847,000","19,644,000","18,809,000","2,619,000","2,122,000","1,109,100","421,600","339,200",,
		AssetsHeldForSaleCurrent,,,"0","456,640,000",,,,,,"0",,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,"9,720,000",,,,,,,,,
	TotalNonCurrentAssets,"8,092,137,000","6,872,453,000","5,544,738,000","4,735,605,000","3,307,125,000","3,256,075,000","2,718,957,000","2,339,105,000","2,049,969,000","1,462,633,000","1,317,253,000","1,272,886,000","1,139,363,000","380,541,000","288,089,000","180,833,308","107,448,473","102,343,058",,
