name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalRevenue,"12,406,741,000","12,506,109,000","11,876,674,000","9,736,909,000","8,584,031,000","7,192,633,000","6,740,064,000","5,062,528,000","4,122,930,000","3,269,862,000","2,469,881,000","2,047,942,000","1,937,301,000","1,126,825,000","789,381,000","547,392,000","424,756,000","327,973,997","287,125,301","250,462,000","226,304,000"
	OperatingRevenue,"11,741,468,000","11,877,846,000","11,233,407,000","9,208,634,000","8,144,645,000","6,713,951,000","6,086,759,000","4,429,580,000","3,563,876,000","3,269,862,000","2,469,881,000","2,047,942,000","1,937,301,000","1,126,825,000","789,381,000","547,392,000","424,755,973","327,973,997","287,125,301","250,462,000","226,304,000"
CostOfRevenue,"7,549,335,000","7,654,315,000","7,301,817,000","5,937,286,000","5,232,328,000","4,359,104,000","4,088,151,000","2,987,126,000","2,398,790,000","1,877,869,000","1,376,401,000","1,120,129,000","1,080,632,000","621,076,000","431,832,000","289,788,000","227,140,195","174,237,836","154,573,805","132,520,000","119,313,000"
GrossProfit,"4,857,406,000","4,851,794,000","4,574,857,000","3,799,623,000","3,351,703,000","2,833,529,000","2,651,913,000","2,075,402,000","1,724,140,000","1,391,993,000","1,093,480,000","927,813,000","856,669,000","505,749,000","357,549,000","257,604,000","197,615,805","153,736,161","132,551,496","117,942,000","106,991,000"
OperatingExpense,"3,868,842,000","3,871,070,000","3,626,944,000","2,932,633,000","2,550,543,000","2,109,391,000","1,987,239,000","1,535,049,000","1,283,436,000","1,022,920,000","794,935,000","693,811,000","650,384,000","382,704,000","280,383,000","204,662,000","162,708,773","127,676,989","111,707,266","104,830,000","102,376,000"
	SellingGeneralAndAdministration,"3,583,579,000","3,580,300,000","3,352,731,000","1,915,699,000","1,670,192,000","1,431,230,000","1,340,229,000","1,028,999,000","871,426,000","972,991,000","756,939,000","659,698,000","619,690,000","365,605,000","268,560,000","196,088,000","155,836,915","122,230,885","106,693,426","64,259,000","21,889,000"
		GeneralAndAdministrativeExpense,,"3,580,300,000","3,352,731,000","1,131,214,000","986,380,000","828,333,000","762,888,000","597,052,000","495,591,000","685,365,000","544,221,000","477,779,000",,,,,,,,"39,638,000",
			OtherGandA,,"3,580,300,000","3,352,731,000","1,131,214,000","986,380,000","828,333,000","762,888,000","597,052,000","495,591,000","685,365,000","544,221,000","477,779,000",,,,,,,,"39,638,000",
		SellingAndMarketingExpense,,,,"784,485,000","683,812,000","602,897,000","577,341,000","431,947,000","375,835,000","287,626,000","212,718,000","181,919,000",,,,,,,,"24,621,000","21,889,000"
	DepreciationAmortizationDepletionIncomeStatement,"285,263,000","290,770,000","274,213,000","219,546,000","191,433,000","122,120,000","120,719,000","80,969,000","64,093,000","49,929,000","37,996,000","34,113,000","30,694,000","17,099,000","11,823,000","8,574,000","6,871,858","5,446,104","5,013,840","7,897,000","7,541,000"
		DepreciationAndAmortizationInIncomeStatement,"285,263,000","290,770,000","274,213,000","219,546,000","191,433,000","122,120,000","120,719,000","80,969,000","64,093,000","49,929,000","37,996,000","34,113,000","30,694,000","17,099,000","11,823,000","8,574,000","6,871,858","5,446,104","5,013,840","7,897,000","7,541,000"
			DepreciationIncomeStatement,,"150,649,000","137,632,000","117,859,000","107,945,000","88,335,000","86,216,000",,,,,,,,,,,,,,
			Amortization,,"140,121,000","136,581,000","101,687,000","83,488,000","33,785,000","34,503,000",,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,"140,121,000","136,581,000","101,687,000","83,488,000","33,785,000","34,503,000",,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,"797,388,000","688,918,000","556,041,000","526,291,000","425,081,000","347,917,000",,,,,,,,,,,"32,674,000","72,946,000"
OperatingIncome,"988,564,000","980,724,000","947,913,000","866,990,000","801,160,000","724,138,000","664,674,000","540,353,000","440,704,000","369,073,000","298,545,000","234,002,000","206,285,000","123,045,000","77,166,000","52,942,000","34,907,032","26,059,172","20,844,230","13,112,000","4,615,000"
NetNonOperatingInterestIncomeExpense,"-95,591,000","-105,749,000","-139,878,000","-84,105,000","-86,016,000","-55,143,000","-63,507,000","-49,054,000","-27,143,000","-22,447,000","-28,316,000","-30,899,000",,,,,,,,,
	InterestIncomeNonOperating,,"32,755,000","6,499,000","17,535,000","2,247,000","2,717,000","1,035,000","2,130,000","4,286,000","1,860,000","1,449,000","1,353,000",,,,,,,,,
	InterestExpenseNonOperating,,"138,504,000","146,377,000","101,640,000","88,263,000","57,860,000","64,542,000","51,184,000","31,429,000","24,307,000","29,765,000","32,252,000",,,,,,,,,
OtherIncomeExpense,"-85,324,000","-83,953,000","-64,604,000","-16,258,000","-37,863,000","-19,965,000","-13,279,000","-15,472,000","-4,394,000","-10,855,000","-104,000","2,214,000","-7,160,000","1,238,000","1,479,000","628,000","455,200","116,469","171,744",,
	GainOnSaleOfSecurity,,,,,"18,342,000",,,,,,,,,,,,,,,,
