name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalAssets,"8,039,718,000","7,802,302,000","7,845,841,000","7,794,122,000","7,682,615,000","7,876,328,000","7,926,241,000","8,152,534,000","8,075,166,000","8,195,665,000","8,054,429,000","8,290,415,000","8,259,872,000","8,254,550,000","8,296,593,000","7,520,446,000","6,838,473,000","6,877,954,000","6,829,388,000","7,073,977,000","7,043,230,000","6,755,032,000","7,447,934,000","7,111,349,000","7,005,627,000","6,910,559,000","6,917,154,000","7,269,660,000","7,115,060,000","7,874,899,000","7,799,007,000","8,555,747,000","8,371,062,000","8,259,149,000","8,592,940,000","8,707,756,000","8,331,610,000","8,613,711,000","9,100,760,000","9,196,652,000","9,044,693,000","9,321,354,000","10,136,410,000","12,477,865,000","12,920,356,000","11,830,352,000","10,561,401,000","10,080,904,000","9,686,186,000","9,604,488,000","9,536,109,000","9,276,330,000","9,273,201,000","9,302,490,000","9,436,364,000","8,169,347,000","7,769,303,000","8,219,472,000","7,733,227,000","7,027,971,000","7,496,423,000","7,262,981,000","6,814,379,000","6,511,202,000","6,209,081,000","6,067,450,000","6,215,499,000","6,014,804,000","5,964,580,000","5,939,614,000","6,100,419,000","5,647,572,000","5,008,074,000","4,687,626,000","4,824,012,000","4,446,022,000","4,470,575,000","4,785,053,000","4,621,962,000","3,716,300,000","3,810,400,000","3,473,687,000","3,220,700,000","2,933,100,000","3,009,500,000","2,832,329,000","2,619,200,000","2,399,600,000","2,214,300,000","1,878,968,000","1,867,400,000","1,512,000,000","1,500,300,000","1,314,500,000","1,169,500,000","1,024,200,000","998,700,000","816,658,000","901,300,000","801,300,000","794,300,000","811,500,000","910,600,000","874,200,000","766,100,000","640,500,000","681,400,000","641,400,000","582,900,000","579,900,000","639,700,000","537,600,000","484,600,000","496,300,000","521,200,000","473,900,000","412,100,000","432,600,000","419,200,000","444,100,000","430,200,000","229,100,000"
	CurrentAssets,"1,975,932,000","1,743,679,000","1,745,864,000","2,019,856,000","1,911,018,000","1,713,068,000","1,738,778,000","1,928,382,000","1,848,758,000","1,751,556,000","1,605,601,000","1,801,747,000","1,768,026,000","1,661,476,000","1,702,319,000","2,385,128,000","1,760,821,000","1,765,540,000","1,675,480,000","1,922,035,000","1,813,374,000","1,813,922,000","2,475,895,000","2,128,383,000","1,885,263,000","1,731,080,000","1,670,786,000","1,942,862,000","1,829,585,000","1,831,260,000","1,679,006,000","2,457,794,000","2,231,546,000","2,104,923,000","2,380,461,000","2,446,556,000","2,019,840,000","2,559,146,000","3,032,495,000","2,701,329,000","2,637,562,000","2,859,387,000","4,198,767,000","5,355,402,000","5,780,713,000","4,685,752,000","3,093,233,000","2,668,266,000","2,466,658,000","2,391,507,000","2,305,228,000","2,044,492,000","2,108,396,000","2,126,731,000","2,639,394,000","6,390,755,000","6,044,760,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"430,600,000",,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"1,345,740,000","1,128,670,000","1,170,101,000","1,432,046,000","1,312,621,000","1,096,718,000","1,150,760,000","1,278,433,000","1,220,958,000","1,155,797,000","968,341,000","1,207,880,000","1,207,608,000","1,086,877,000","1,085,823,000","1,893,473,000","1,115,301,000","1,113,307,000","1,005,229,000","1,175,095,000","1,149,998,000","1,125,358,000","1,797,332,000","1,432,583,000","1,283,489,000","1,177,131,000","1,122,818,000","1,375,449,000","1,316,154,000","1,310,539,000","1,161,291,000","1,852,096,000","1,711,956,000","1,556,577,000","1,723,971,000","1,896,410,000","1,534,347,000","1,880,335,000","1,838,006,000","1,934,704,000","1,895,303,000","1,420,566,000","2,071,934,000","2,904,414,000","3,479,369,000","2,557,277,000","1,751,253,000","1,725,313,000","1,492,893,000","1,456,783,000","1,283,809,000","1,184,628,000","1,261,869,000","1,165,676,000","1,689,357,000","1,140,569,000","1,141,998,000","1,050,040,000","3,534,214,000","2,894,770,000","3,978,604,000","3,782,748,000","976,155,000","535,894,000","631,701,000","733,271,000","1,299,101,000","981,712,000","758,069,000","954,240,000","827,075,000","848,380,000","902,034,000","2,886,725,000","2,389,530,000","1,390,700,000","361,468,000","2,419,983,000","1,370,230,000","1,692,200,000","673,600,000","678,042,000","323,600,000","406,800,000","610,700,000","736,245,000","585,300,000","623,000,000","590,700,000","560,476,000","336,800,000","369,700,000","408,600,000","562,078,000","238,700,000","315,800,000","276,500,000","346,200,000","266,100,000","185,200,000","161,000,000","281,400,000","336,300,000","353,400,000","75,600,000","232,300,000","240,700,000","161,900,000","99,000,000","232,200,000","161,200,000","101,300,000","79,700,000","77,300,000","61,100,000","84,500,000","51,600,000",,,,,
			CashAndCashEquivalents,"830,985,000","586,148,000","648,360,000","925,290,000","838,696,000","616,219,000","593,996,000","738,930,000","684,647,000","656,709,000","491,980,000","734,360,000","691,210,000","573,703,000","491,656,000","1,329,423,000","564,610,000","618,960,000","532,191,000","672,360,000","667,546,000","660,504,000","1,285,270,000","914,394,000","820,561,000","724,758,000","709,428,000","979,577,000","940,721,000","897,968,000","757,884,000","1,382,263,000","1,232,594,000","1,093,644,000","1,196,019,000","1,375,918,000","1,165,916,000","1,508,275,000","1,427,529,000","1,548,107,000","1,539,295,000","1,084,474,000","1,562,820,000","1,836,522,000","2,315,955,000","1,463,554,000","1,189,970,000","1,379,503,000","1,191,121,000","1,183,617,000","1,072,013,000","1,013,204,000","1,108,044,000","1,023,470,000","1,043,741,000","782,569,000","763,289,000","977,137,000","828,945,000","589,641,000","818,046,000","868,060,000","930,400,000","499,515,000","575,786,000","690,752,000","825,091,000","559,889,000","480,011,000","468,377,000","635,281,000","383,109,000","741,104,000","2,498,258,000","2,009,306,000","276,118,000","286,817,000","1,628,059,000","583,730,000","0","0","208,142,000","0","0","0","206,245,000","0","0","0","150,976,000","0","0","0","89,378,000","0","0","0","57,300,000","0","0","0","0","0","0","75,600,000","0","0","0","0","0","0","0","0","0","0","0","0",,,,,
			OtherShortTermInvestments,"514,755,000","542,522,000","521,741,000","506,756,000","473,925,000","480,499,000","556,764,000","539,503,000","536,311,000","499,088,000","476,361,000","473,520,000","516,398,000","513,174,000","594,167,000","564,050,000","550,691,000","494,347,000","473,038,000","502,735,000","482,452,000","464,854,000","512,062,000","518,189,000","462,928,000","452,373,000","413,390,000","395,872,000","375,433,000","412,571,000","403,407,000","469,833,000","479,362,000","462,933,000","527,952,000","520,492,000","368,431,000","372,060,000","410,477,000","386,597,000","356,008,000","336,092,000","509,114,000","1,067,892,000","1,163,414,000","1,093,723,000","561,283,000","345,810,000","301,772,000","273,166,000","211,796,000","171,424,000","153,825,000","142,206,000","645,616,000","358,000,000","378,709,000","72,903,000","2,705,269,000","2,305,129,000","3,160,558,000","2,914,688,000","45,755,000","36,379,000","55,915,000","42,519,000","474,010,000","421,823,000","278,058,000","485,863,000","191,794,000","465,271,000","160,930,000","388,467,000","380,224,000","1,114,582,000","74,651,000","791,924,000","786,500,000","1,692,200,000","673,600,000","469,900,000","323,600,000","406,800,000","610,700,000","530,000,000","585,300,000","623,000,000","590,700,000","409,500,000","336,800,000","369,700,000","408,600,000","472,700,000","238,700,000","315,800,000","276,500,000","288,900,000","266,100,000","185,200,000","161,000,000","281,400,000","336,300,000","353,400,000",,"232,300,000","240,700,000","161,900,000","99,000,000","232,200,000","161,200,000","101,300,000","79,700,000","77,300,000","61,100,000","84,500,000","51,600,000",,,,,
		Receivables,"526,710,000","514,553,000","467,424,000","482,577,000","494,003,000","527,283,000","491,447,000","552,618,000","535,757,000","502,133,000","544,900,000","503,719,000","466,879,000","484,839,000","522,591,000","409,616,000","395,515,000","419,192,000","424,010,000","487,249,000","422,077,000","402,083,000","372,045,000","416,819,000","450,379,000","415,162,000","405,771,000","423,118,000","358,111,000","361,063,000","355,575,000","333,777,000","310,514,000","326,173,000","428,893,000","396,037,000","348,616,000","560,816,000","1,042,350,000","593,657,000","550,509,000","1,203,589,000","919,893,000","751,319,000","756,831,000","764,862,000","860,038,000","857,120,000","880,791,000","851,985,000","853,294,000","774,512,000","748,838,000","849,840,000","774,159,000","358,580,000","283,576,000","1,563,891,000","1,634,774,000","1,579,336,000","1,537,721,000","1,457,683,000","1,312,646,000","1,297,055,000","1,310,022,000","1,154,521,000","1,153,957,000","1,128,152,000","1,242,225,000","1,229,727,000","1,329,540,000","1,314,260,000","1,371,217,000","1,333,080,000","1,542,647,000","1,724,109,000","1,619,098,000","1,652,423,000","1,443,771,000","1,083,100,000","1,044,100,000","921,267,000","858,300,000","855,900,000","874,500,000","713,391,000","755,100,000","695,700,000","576,100,000","527,456,000","502,700,000","480,000,000","450,200,000","398,375,000","368,100,000","343,400,000","309,900,000","306,906,000","297,300,000","284,900,000","298,600,000","255,300,000","239,800,000",,"242,000,000","208,300,000","195,400,000","212,600,000","223,100,000","170,500,000","231,700,000","193,800,000","190,200,000","202,900,000","271,500,000","275,400,000","267,200,000",,,,,
			AccountsReceivable,"461,790,000","455,237,000","425,321,000","425,470,000","432,607,000","446,398,000","435,620,000","475,594,000","482,652,000","439,859,000","480,269,000","433,192,000","421,371,000","425,948,000","403,567,000","334,922,000","332,769,000","331,602,000","349,024,000","368,399,000","360,690,000","344,394,000","334,747,000","348,633,000","377,970,000","343,460,000","332,937,000","350,726,000","314,235,000","325,228,000","311,471,000","333,777,000","310,514,000","326,173,000","351,565,000","366,571,000","315,929,000","560,816,000","573,067,000","564,184,000","526,809,000","599,921,000",,,,,,,,,,,,,,,,,,,,,,,,,"923,207,000","940,123,000","972,746,000","996,123,000","1,027,246,000","1,028,524,000","1,070,639,000","1,102,920,000","1,201,525,000","1,425,408,000","1,316,162,000","1,417,596,000","1,205,800,000","1,083,100,000","1,044,100,000","921,300,000","858,300,000","855,900,000","874,500,000","713,400,000","755,100,000","695,700,000","576,100,000","527,500,000","502,700,000","480,000,000","450,200,000","398,400,000","368,100,000","343,400,000","309,900,000","306,000,000","297,300,000","284,900,000","298,600,000","255,300,000","239,800,000",,,"208,300,000","195,400,000","212,600,000","223,100,000","170,500,000","231,700,000","193,800,000","190,200,000","202,900,000","271,500,000","275,400,000","267,200,000",,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","469,283,000","29,473,000","23,700,000","603,668,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"64,920,000","59,316,000","42,103,000","57,107,000","61,396,000","80,885,000","55,827,000","77,024,000","53,105,000","62,274,000","64,631,000","70,527,000","45,508,000","58,891,000","119,024,000","74,694,000","62,746,000","87,590,000","74,986,000","118,850,000","61,387,000","57,689,000","37,298,000","68,186,000","72,409,000","71,702,000","72,834,000","72,392,000","43,876,000","35,835,000","44,104,000",,,,"77,328,000","29,466,000","32,687,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"230,750,000","188,029,000","269,479,000","233,604,000","302,294,000","285,736,000","300,578,000","230,160,000","341,122,000","298,701,000","302,936,000","234,827,000","237,971,000",,,"-33,000",,,,"-9,000",,,,"-44,000",,,,"-25,000",,,,"906,000",,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113,000,000",,,,,,,,,,,,,,,,,
