name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"17,718,000,000","17,258,000,000","16,424,000,000","14,257,000,000","13,330,000,000","13,572,000,000","13,554,000,000","11,969,000,000","11,532,000,000","10,636,000,000","10,407,000,000","8,499,000,000","9,883,000,000","10,594,000,000","9,063,000,000","5,487,938,000","5,371,274,000","5,283,881,000","4,635,462,000","6,380,638,000","6,851,507,000","6,803,700,000","6,087,063,000","4,898,479,000","6,721,270,000","6,633,256,000","6,984,350,000","8,289,800,000","8,034,100,000","9,169,000,000","8,489,600,000","8,081,100,000","7,312,300,000","6,960,100,000","5,998,700,000","4,906,700,000"
	TotalPremiumsEarned,"5,440,000,000","5,513,000,000","4,601,000,000","8,875,000,000","8,231,000,000","8,291,000,000","7,661,000,000","6,756,000,000","6,195,000,000","2,294,000,000","2,176,000,000","2,064,000,000","2,096,000,000","1,945,000,000","1,406,000,000","-308,398,000","-298,904,000","280,951,000","315,943,000","1,704,002,000","1,813,111,000","1,881,515,000","1,620,629,000","1,328,735,000","3,181,999,000","3,253,833,000","4,444,148,000","5,827,200,000","5,298,900,000","6,730,200,000","6,328,600,000","5,961,200,000",,,,
		NetPremiumsWritten,,,,"8,875,000,000","8,231,000,000","8,291,000,000","7,661,000,000","6,756,000,000","6,195,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,,,,"10,360,000,000","9,644,000,000","9,602,000,000","9,071,000,000","8,031,000,000","7,385,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			CededPremiums,,,,"-1,485,000,000","-1,413,000,000","-1,311,000,000","-1,410,000,000","-1,275,000,000","-1,190,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"5,340,000,000","5,208,000,000","5,078,000,000","4,972,000,000","4,772,000,000","4,773,000,000","4,843,000,000","4,684,000,000","4,545,000,000","4,652,000,000","4,541,000,000","4,178,000,000","4,208,000,000","4,467,000,000","-3,981,000,000","-2,702,324,000","-2,704,129,000","2,638,526,000","2,608,327,000","2,679,617,000","2,747,118,000","2,807,512,000","2,681,406,000","2,250,764,000","2,365,922,000","2,285,681,000","2,011,351,000",,,,,,,,,
	NetRealizedGainLossOnInvestments,"-265,000,000","-595,000,000","148,000,000","-152,000,000","-237,000,000","-97,000,000","16,000,000","-65,000,000","227,000,000","-224,000,000","-2,000,000","-1,070,000,000","-461,000,000","-118,000,000","3,000,000","3,231,000","-76,798,000","-19,191,000","-271,526,000","-114,457,000","-28,295,000","2,955,000","19,034,000","122,570,000","128,052,000","215,623,000","-130,820,000",,,,,,,,,
	FeeRevenueAndOtherIncome,"7,203,000,000","7,132,000,000","6,597,000,000","562,000,000","564,000,000","605,000,000","1,034,000,000","594,000,000","565,000,000","3,914,000,000","3,692,000,000","3,327,000,000","4,040,000,000","4,300,000,000","11,635,000,000","8,495,429,000","8,451,105,000","2,383,595,000","1,982,718,000","2,111,476,000","2,319,573,000","2,111,718,000","1,765,994,000","1,196,410,000","1,045,297,000","878,119,000","659,671,000","2,462,600,000","2,735,200,000","2,438,800,000","2,161,000,000","2,119,900,000",,,,
		FeesAndCommissions,"7,169,000,000","7,101,000,000","6,588,000,000","539,000,000","491,000,000","531,000,000","960,000,000","520,000,000","491,000,000","3,437,000,000","3,234,000,000","2,922,000,000","3,497,000,000","3,614,000,000",,,,,,,,,,,,,,,,,,,,,,
		OtherIncomeExpense,"34,000,000","31,000,000","9,000,000","23,000,000","73,000,000","74,000,000","74,000,000","74,000,000","74,000,000","477,000,000","458,000,000","405,000,000","543,000,000","686,000,000","11,635,000,000","8,495,429,000","8,451,105,000","2,383,595,000","1,982,718,000","2,111,476,000","2,319,573,000","2,111,718,000","1,765,994,000","1,196,410,000","1,045,297,000","878,119,000","659,671,000","2,462,600,000","2,735,200,000","2,438,800,000","2,161,000,000","2,119,900,000",,,,
TotalExpenses,"17,033,000,000","16,339,000,000","14,539,000,000","13,127,000,000","11,872,000,000","12,142,000,000","11,557,000,000","10,338,000,000","9,964,000,000","10,037,000,000","9,173,000,000","9,020,000,000","9,908,000,000","8,720,000,000","7,252,000,000","4,413,294,000","4,335,616,000","4,236,318,000","4,633,838,000","5,616,499,000","6,015,216,000","6,233,736,000","5,389,665,000","4,863,598,000","6,009,005,000","6,006,681,000","6,608,069,000","2,073,600,000","1,909,000,000","2,086,500,000","1,943,500,000","1,823,800,000","66,200,000","58,100,000","37,800,000","34,600,000"
	LossAdjustmentExpense,"9,105,000,000","8,361,000,000","7,251,000,000","5,598,000,000","5,110,000,000","5,476,000,000","5,087,000,000","4,249,000,000","3,886,000,000","3,345,000,000","3,330,000,000","2,836,000,000","3,157,000,000","2,698,000,000","4,170,000,000","2,365,620,000","2,303,652,000","2,428,523,000","2,859,505,000","3,409,740,000","3,557,160,000","3,805,024,000","3,328,865,000","3,191,733,000","3,921,278,000","4,113,143,000","4,849,243,000",,,,,,,,,
