name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalAssets,"5,880,238,000","5,477,468,000","5,358,751,000","4,834,926,000","4,521,061,000","4,050,993,000","4,042,831,000","3,988,524,000","3,816,326,000","3,646,167,000","3,336,936,000","3,381,779,000","3,287,349,000","2,797,544,000"
	CashCashEquivalentsAndFederalFundsSold,"1,471,778,000","1,562,119,000","1,625,655,000","1,558,608,000","1,423,707,000","981,262,000","1,028,935,000","1,043,694,000","1,103,677,000","792,842,000","667,202,000","560,814,000","383,814,000","297,341,000"
		CashAndCashEquivalents,"1,412,906,000","1,496,291,000","1,574,967,000","1,515,928,000","1,395,868,000","981,262,000","1,028,935,000","1,043,694,000","720,772,000","419,208,000","378,594,000","219,239,000","188,003,000","245,163,000"
			CashAndDueFromBanks,"1,412,906,000","1,496,291,000","1,574,967,000","1,515,928,000","1,395,868,000","981,262,000","1,028,935,000","1,043,694,000","720,772,000","419,208,000","378,594,000","219,239,000","188,003,000","245,163,000"
		RestrictedCashAndInvestments,"58,872,000","65,828,000","50,688,000","42,680,000","27,839,000",,,,"382,905,000","373,634,000","288,608,000","341,575,000","195,811,000","52,178,000"
			RestrictedCashAndCashEquivalents,"58,872,000","65,828,000","50,688,000","42,680,000","27,839,000",,,,,,,,,
	SecurityBorrowed,"17,684,000","4,829,000","12,489,000","5,559,000","6,001,000","5,035,000","7,102,000","9,448,000","7,890,000","8,391,000","4,950,000","604,000","9,038,000","12,686,000"
	SecuritiesAndInvestments,"58,253,000","42,268,000","29,712,000","20,266,000","21,842,000","22,060,000","15,817,000","18,290,000","17,457,000","18,822,000","25,815,000","21,704,000","25,737,000","20,159,000"
		TradingSecurities,"46,447,000","29,267,000","17,879,000","11,404,000","11,995,000","13,466,000","8,964,000","8,088,000","6,290,000","9,259,000","15,361,000","10,911,000","15,105,000","9,524,000"
		HeldToMaturitySecurities,"11,806,000","13,001,000","11,833,000","8,862,000","9,847,000","8,594,000","6,853,000","10,202,000","11,167,000","9,563,000","10,454,000","10,793,000","10,632,000","10,635,000"
	DerivativeAssets,,,,,,,,,,,,,"0","3,188,000"
	NetLoan,"441,743,000","298,821,000","219,157,000","194,526,000","148,978,000",,,,,,,,,"4,362,000"
		GrossLoan,"441,743,000","298,821,000","219,157,000","194,526,000","148,978,000",,,,,,,,,"4,362,000"
			MortgageLoan,,,,,,,,,,,,,"0","4,362,000"
			OtherLoanAssets,"441,743,000","298,821,000","219,157,000","194,526,000","148,978,000",,,,,,,,,
		AllowanceForLoansAndLeaseLosses,,"5,080,000","3,264,000","1,852,000","697,000",,,,,,,,,
	Receivables,"910,430,000","828,448,000","769,423,000","705,953,000","680,474,000","834,393,000","819,763,000","769,303,000","632,193,000","787,815,000","568,746,000","620,968,000","668,448,000","468,170,000"
		AccountsReceivable,"433,986,000","412,944,000","344,230,000","341,199,000","339,089,000","365,390,000","373,675,000","369,814,000","444,785,000","474,383,000","257,529,000","295,797,000","411,073,000","326,376,000"
			GrossAccountsReceivable,,"413,584,000","344,696,000","342,779,000","340,553,000",,,"370,401,000",,,"258,321,000","296,769,000","411,602,000","326,578,000"
			AllowanceForDoubtfulAccountsReceivable,,"-640,000","-466,000","-1,580,000","-1,464,000",,,"-587,000",,,"-792,000","-972,000","-529,000","-202,000"
		OtherReceivables,"476,444,000","415,504,000","425,193,000","364,754,000","341,385,000","469,003,000","446,088,000","399,489,000","187,408,000","313,432,000","311,217,000","325,171,000","257,375,000","141,794,000"
	PrepaidAssets,,,,,,,,,,,,,"25,222,000","15,423,000"
	NetPPE,"635,521,000","461,418,000","412,684,000","387,368,000","275,419,000","214,154,000","189,059,000","130,847,000","91,317,000","78,671,000","101,584,000","161,760,000","156,797,000","121,594,000"
		GrossPPE,"1,023,876,000","769,573,000","840,028,000","743,287,000","604,299,000","502,988,000","452,380,000","455,531,000","396,460,000","355,172,000","341,452,000","347,297,000","286,808,000","212,325,000"
			Properties,,,,,,,,"6,572,000","6,572,000","6,572,000","6,572,000","6,572,000","6,572,000","6,572,000"
			LandAndImprovements,"4,678,000","4,678,000","4,678,000","4,678,000","4,731,000","4,743,000","6,642,000",,,,,,,
			BuildingsAndImprovements,"107,895,000","105,939,000","105,939,000","105,939,000",,,,,,,,,,
			MachineryFurnitureEquipment,"578,654,000","482,075,000","580,196,000","490,931,000","438,295,000","402,399,000","356,479,000","389,545,000","342,949,000","306,828,000","293,321,000","298,178,000","255,187,000","187,578,000"
			ConstructionInProgress,"146,629,000","93,542,000","66,802,000","55,568,000",,,,,,,,,,
			Leases,"83,543,000","83,339,000","82,413,000","86,171,000","101,333,000","95,846,000","89,259,000","59,414,000","46,939,000","41,772,000","41,559,000","42,547,000","25,049,000","18,175,000"
			OtherProperties,"102,477,000","769,573,000","840,028,000","743,287,000","59,940,000",,,,,,,,,
		AccumulatedDepreciation,"-388,355,000","-308,155,000","-427,344,000","-355,919,000","-328,880,000","-288,834,000","-263,321,000","-324,684,000","-305,143,000","-276,501,000","-239,868,000","-185,537,000","-130,011,000","-90,731,000"
	GoodwillAndOtherIntangibleAssets,"1,943,486,000","1,974,418,000","1,841,862,000","1,719,834,000","1,757,869,000","1,796,542,000","1,825,883,000","1,875,051,000","1,871,756,000","1,853,443,000","1,890,449,000","1,948,069,000","1,971,879,000","1,824,267,000"
		Goodwill,"1,503,648,000","1,490,247,000","1,427,769,000","1,365,838,000","1,365,838,000","1,365,838,000","1,361,361,000","1,371,523,000","1,334,086,000","1,293,366,000","1,293,366,000","1,293,366,000","1,287,756,000","1,249,159,000"
		OtherIntangibleAssets,"439,838,000","484,171,000","414,093,000","353,996,000","392,031,000","430,704,000","464,522,000","503,528,000","537,670,000","560,077,000","597,083,000","654,703,000","684,123,000","575,108,000"
	DeferredAssets,,,,,,,,,"18,620,000","23,711,000",,,,
	OtherAssets,"401,343,000","305,147,000","447,769,000","242,812,000","206,771,000","197,547,000","156,272,000","141,891,000","73,416,000","82,472,000","78,190,000","67,860,000","46,414,000","30,354,000"
TotalLiabilitiesNetMinorityInterest,"4,856,365,000","4,503,395,000","4,393,743,000","4,013,931,000","3,805,451,000","3,079,393,000","2,942,860,000","2,848,504,000","2,471,578,000","2,472,412,000","2,486,061,000","2,591,467,000","2,540,183,000","2,170,627,000"
	FederalFundsPurchasedAndSecuritiesSoldUnderAgreementToRepurchase,"176,000","169,000","1,182,000","183,000","268,000","302,000","211,000","366,000","161,000","4,821,000",,,,
		FinancialInstrumentsSoldUnderAgreementsToRepurchase,"176,000","169,000","1,182,000","183,000","268,000","302,000","211,000","366,000","161,000","4,821,000",,,,
	PayablesAndAccruedExpenses,"1,775,448,000","1,634,789,000","1,811,795,000","1,644,264,000","1,455,220,000","1,314,170,000","1,244,445,000","1,350,265,000","950,069,000","889,842,000","902,091,000","872,666,000","807,640,000","534,718,000"
		Payables,"1,458,076,000","1,338,227,000","1,664,700,000","1,515,788,000","1,325,708,000","1,167,666,000","1,109,296,000","1,221,806,000","679,955,000","604,848,000","662,153,000","651,457,000","592,394,000","430,241,000"
			AccountsPayable,"1,219,311,000","1,080,203,000","1,478,302,000","1,312,342,000","1,127,945,000","987,567,000","910,005,000","1,018,674,000","491,474,000","422,359,000","512,160,000","484,745,000","454,602,000","324,928,000"
			TotalTaxPayable,"20,129,000","32,990,000","469,000","4,607,000","8,680,000","0","4,320,000","0","906,000","0","24,226,000","12,281,000","10,648,000","969,000"
				IncomeTaxPayable,"20,129,000","32,990,000","469,000","4,607,000","8,680,000","0","4,320,000","0","906,000","0","24,226,000","12,281,000","10,648,000","969,000"
			OtherPayable,"218,636,000","225,034,000","185,929,000","198,839,000","189,083,000","180,099,000","194,971,000","203,132,000","187,575,000","182,489,000","125,767,000","154,431,000","127,144,000","104,344,000"
		CurrentAccruedExpenses,"317,372,000","296,562,000","147,095,000","128,476,000","129,512,000","146,504,000","135,149,000","128,459,000","270,114,000","284,994,000","239,938,000","221,209,000","215,246,000","104,477,000"
	CurrentDebtAndCapitalLeaseObligation,"45,000,000","0",,,,"110,000,000",,,,,,,"0","3,718,000"
		CurrentDebt,"45,000,000","0",,,,"110,000,000",,,,,,,"0","3,718,000"
			LineOfCredit,"45,000,000","0",,,,"110,000,000",,,,,,,"0","3,718,000"
	DerivativeProductLiabilities,,,,,,,,"0","1,377,000","7,281,000","17,292,000","25,417,000","10,835,000","0"
	LongTermDebtAndCapitalLeaseObligation,"2,604,310,000","2,476,372,000","2,492,540,000","2,281,085,000","2,248,180,000","1,524,258,000","1,535,096,000","1,317,825,000","1,332,668,000","1,386,639,000","1,369,223,000","1,467,647,000","1,451,071,000","1,344,375,000"
		LongTermDebt,"2,353,818,000","2,371,808,000","2,385,022,000","2,175,436,000","2,188,240,000","1,524,258,000","1,535,096,000","1,317,825,000","1,332,668,000","1,386,639,000","1,369,223,000","1,467,647,000","1,451,071,000","1,344,375,000"
		LongTermCapitalLeaseObligation,"250,492,000","104,564,000","107,518,000","105,649,000","59,940,000",,,,,,,,,
	EmployeeBenefits,"77,202,000","70,093,000",,,,,,,,,,,,
	NonCurrentDeferredLiabilities,"84,940,000","98,849,000","88,226,000","88,399,000","101,783,000","130,663,000","163,108,000","180,048,000","187,303,000","183,829,000","193,452,000","221,827,000","257,800,000","277,010,000"
		NonCurrentDeferredTaxesLiabilities,"2,098,000","18,325,000","16,004,000","25,614,000","36,303,000","66,181,000","89,369,000","118,240,000","127,766,000","130,211,000","147,608,000","185,169,000","216,903,000","245,897,000"
		NonCurrentDeferredRevenue,"82,842,000","80,524,000","72,222,000","62,785,000","65,480,000","64,482,000","73,739,000","61,808,000","59,537,000","53,618,000","45,844,000","36,658,000","40,897,000","31,113,000"
	OtherLiabilities,"269,289,000","223,123,000",,,,,,,,,"4,003,000","3,910,000","12,837,000","10,806,000"
TotalEquityGrossMinorityInterest,"1,023,873,000","974,073,000","965,008,000","820,995,000","715,610,000","971,600,000","1,099,971,000","1,140,020,000","1,344,748,000","1,173,755,000","850,875,000","790,312,000","747,166,000","626,917,000"
	StockholdersEquity,"1,023,873,000","974,073,000","965,008,000","820,995,000","715,610,000","971,600,000","1,099,971,000","1,140,020,000","1,344,748,000","1,173,755,000","850,875,000","790,312,000","747,166,000","626,917,000"
		CapitalStock,"126,000","125,000","123,000","120,000","119,000","118,000","117,000","116,000","110,000","109,000","87,000","87,000","86,000","83,000"
			CommonStock,"126,000","125,000","123,000","120,000","119,000","118,000","117,000","116,000","110,000","109,000","87,000","87,000","86,000","83,000"
		RetainedEarnings,"1,554,567,000","1,070,146,000","718,336,000","569,949,000","469,130,000","396,121,000","313,570,000","199,827,000","296,802,000","126,420,000","183,282,000","135,762,000","90,266,000","33,642,000"
