name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006
TotalRevenue,"2,065,363,000","546,260,000","506,753,000","510,566,000","501,784,000","523,121,000","475,976,000","461,498,000","450,812,000","434,361,000","374,343,000","360,333,000","362,307,000","350,827,000","321,848,000","323,021,000","321,088,000","331,815,000","303,918,000","326,264,000","327,108,000","341,299,000","347,901,000","309,770,000","307,274,000","309,462,000","298,931,000","295,420,000","285,452,000","285,494,000","259,134,000","257,320,000","894,404,000","885,741,000","812,818,000","866,254,000","875,842,000","855,697,000","801,078,000","740,453,000","762,478,000","719,070,000","710,561,000","677,700,000","643,285,000","617,037,000","674,507,000","772,136,000","786,182,000","767,966,000","750,941,000","693,977,000","616,752,000","531,971,000","443,801,000","389,690,000","408,065,000"
	OperatingRevenue,"2,065,363,000","546,260,000","506,753,000","510,566,000","501,784,000","523,121,000","475,976,000","461,498,000","450,812,000","434,361,000","374,343,000","360,333,000","362,307,000","350,827,000","321,848,000","323,021,000","321,088,000","331,815,000","303,918,000","326,264,000","327,108,000","341,299,000","347,901,000","309,770,000","307,274,000","309,462,000","298,931,000","295,420,000","285,452,000","285,494,000","259,134,000","257,320,000","894,404,000","885,741,000","812,818,000","866,254,000","875,842,000","855,697,000","801,078,000","740,453,000","762,478,000","719,070,000","710,561,000","677,700,000","643,285,000","617,037,000","674,507,000","772,136,000","786,182,000","767,966,000","750,941,000","693,977,000","616,752,000","531,971,000","443,801,000","389,690,000","408,065,000"
PretaxIncome,"745,693,000","207,632,000","164,999,000","177,986,000","195,076,000","203,774,000","162,443,000","147,359,000","162,909,000","119,926,000","79,890,000","96,640,000","112,769,000","75,271,000","64,943,000","68,224,000","79,749,000","84,600,000","45,103,000","68,687,000","84,090,000","84,675,000","80,536,000","55,453,000","71,161,000","87,547,000","64,548,000","61,302,000","74,902,000","90,551,000","62,182,000","54,238,000","67,308,000","66,863,000","63,586,000","62,062,000","75,479,000","81,558,000","-188,205,000","46,012,000","8,628,000","44,716,000","20,119,000","-6,485,000","32,148,000","26,785,000","7,645,000","34,417,000","30,404,000","20,299,000","15,447,000","18,212,000","41,123,000","33,051,000","22,356,000","8,678,000","15,802,000"
TaxProvision,"185,570,000","51,991,000","38,323,000","46,272,000","48,984,000","48,376,000","42,145,000","40,494,000","44,143,000","26,396,000","15,792,000","38,498,000","44,335,000","27,082,000","23,207,000","16,270,000","31,900,000","34,208,000","18,291,000","27,635,000","33,848,000","33,997,000","31,991,000","22,181,000","28,070,000","34,412,000","20,130,000","23,671,000","29,811,000","35,834,000","25,244,000","19,939,000","27,806,000","25,684,000","24,138,000","25,634,000","29,972,000","32,559,000","-71,645,000","19,868,000","628,000","19,162,000","1,521,000","-5,029,000","16,567,000","11,988,000","5,285,000","17,249,000","16,101,000","8,634,000","7,691,000","6,645,000","17,864,000","14,564,000","9,076,000","3,472,000","5,303,000"
NetIncomeCommonStockholders,"560,123,000","155,641,000","126,676,000","131,714,000","146,092,000","155,398,000","120,298,000","106,865,000","118,766,000","93,530,000","64,098,000","58,142,000","68,434,000","48,189,000","41,736,000","51,954,000","47,849,000","50,392,000","26,812,000","41,052,000","50,242,000","50,678,000","48,545,000","33,272,000","43,091,000","53,135,000","44,418,000","37,631,000","45,091,000","54,717,000","36,938,000","34,299,000","39,502,000","41,179,000","39,448,000","36,428,000","45,507,000","48,999,000","-116,560,000","26,144,000","8,000,000","25,554,000","18,598,000","-1,456,000","15,581,000","14,797,000","2,360,000","17,168,000","14,303,000","11,665,000","7,756,000","11,567,000","23,259,000","18,487,000","13,280,000","5,206,000","10,499,000"
	NetIncome,"560,123,000","155,641,000","126,676,000","131,714,000","146,092,000","155,398,000","120,298,000","106,865,000","118,766,000","93,530,000","64,098,000","58,142,000","68,434,000","48,189,000","41,736,000","51,954,000","47,849,000","50,392,000","26,812,000","41,052,000","50,242,000","50,678,000","48,545,000","33,272,000","43,091,000","53,135,000","44,418,000","37,631,000","45,091,000","54,717,000","36,938,000","34,299,000","39,502,000","41,179,000","39,448,000","36,428,000","45,507,000","48,999,000","-116,560,000","26,144,000","8,000,000","25,554,000","18,598,000","-1,456,000","15,581,000","14,797,000","2,360,000","17,168,000","14,303,000","11,665,000","7,756,000","11,567,000","23,259,000","18,487,000","13,280,000","5,206,000","10,499,000"
		NetIncomeIncludingNoncontrollingInterests,"560,123,000","155,641,000","126,676,000","131,714,000","146,092,000","155,398,000","120,298,000","106,865,000","118,766,000","93,530,000","64,098,000","58,142,000","68,434,000","48,189,000","41,736,000","51,954,000","47,849,000","50,392,000","26,812,000","41,052,000","50,242,000","50,678,000","48,545,000","33,272,000","43,091,000","53,135,000","44,418,000","37,631,000","45,091,000","54,717,000","36,938,000","34,299,000","39,502,000","41,179,000","39,448,000","36,428,000","45,507,000","48,999,000","-116,560,000","26,144,000","8,000,000","25,554,000","18,598,000","-1,456,000","15,581,000","14,797,000","2,360,000","17,168,000","14,303,000","11,665,000","7,756,000","11,567,000","23,259,000","18,487,000","13,280,000","5,206,000","10,499,000"
			NetIncomeContinuousOperations,"560,123,000","155,641,000","126,676,000","131,714,000","146,092,000","155,398,000","120,298,000","106,865,000","118,766,000","93,530,000","64,098,000","58,142,000","68,434,000","48,189,000","41,736,000","51,954,000","47,849,000","50,392,000","26,812,000","41,052,000","50,242,000","50,678,000","48,545,000","33,272,000","43,091,000","53,135,000","44,418,000","37,631,000","45,091,000","54,717,000","36,938,000","34,299,000","39,502,000","41,179,000","39,448,000","36,428,000","45,507,000","48,999,000","-116,560,000","26,144,000","8,000,000","25,554,000","18,598,000","-1,456,000","15,581,000","14,797,000","2,360,000","17,168,000","14,303,000","11,665,000","7,756,000","11,567,000","23,259,000","18,487,000","13,280,000","5,206,000","10,499,000"
AverageDilutionEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"560,123,000","155,641,000","126,676,000","131,714,000","146,092,000","155,398,000","120,298,000","106,865,000","118,766,000","93,530,000","64,098,000","58,142,000","68,434,000","48,189,000","41,736,000","51,954,000","47,849,000","50,392,000","26,812,000","41,052,000","50,242,000","50,678,000","48,545,000","33,272,000","43,091,000","53,135,000","44,418,000","37,631,000","45,091,000","54,717,000","36,938,000","34,299,000","39,502,000","41,179,000","39,448,000","36,428,000","45,507,000","48,999,000","-116,560,000","26,144,000","8,000,000","25,554,000","18,598,000","-1,456,000","15,581,000","14,797,000","2,360,000","17,168,000","14,303,000","11,665,000","7,756,000","11,567,000","23,259,000","18,487,000","13,280,000","5,206,000","10,499,000"
