name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"25,895,000,000","26,243,000,000","25,110,000,000","23,286,000,000","21,312,000,000","20,200,000,000","19,345,000,000","18,596,000,000","18,068,000,000","15,463,000,000","14,269,000,000","14,308,000,000","16,772,000,000","13,460,000,000","14,218,000,000","11,337,000,000","9,878,000,000","8,953,750,000","8,997,141,000","6,669,572,000","5,652,113,000","4,715,996,000","4,246,160,000","3,723,479,000","3,256,122,000","2,823,071,000","2,576,000,000","2,293,000,000","1,837,200,000","1,471,100,000","1,415,100,000","1,308,400,000","1,042,600,000","1,078,200,000","1,022,400,000"
	CurrentAssets,"5,974,000,000","5,028,000,000","4,815,000,000","4,498,000,000","4,024,000,000","4,404,000,000","4,456,000,000","4,227,000,000","4,345,000,000","4,279,000,000","3,358,000,000","2,893,000,000","4,443,000,000","2,601,000,000","3,620,000,000","2,172,000,000","2,313,000,000","2,231,960,000","2,520,219,000","831,536,000","631,005,000","574,155,000","806,416,000","750,990,000","473,136,000","314,898,000","432,000,000","506,100,000","340,000,000","157,800,000","203,900,000","265,000,000","201,100,000","128,000,000","117,900,000"
		CashCashEquivalentsAndShortTermInvestments,"4,072,000,000","3,689,000,000","3,273,000,000","3,305,000,000","3,051,000,000","2,988,000,000","3,152,000,000","2,970,000,000","3,144,000,000","3,538,000,000","2,593,000,000","1,803,000,000","2,779,000,000","1,759,000,000","2,531,000,000","1,305,000,000","1,865,000,000","1,815,352,000","2,279,861,000","522,995,000","418,819,000","378,511,000","623,343,000","581,841,000","317,363,000","174,538,000","295,600,000","411,000,000","260,900,000","87,500,000","146,400,000","210,000,000","142,700,000","74,900,000","69,300,000"
			CashAndCashEquivalents,"2,548,000,000","1,854,000,000","1,495,000,000","1,680,000,000","1,583,000,000","1,282,000,000","1,355,000,000","1,113,000,000","829,000,000","1,261,000,000","1,114,000,000","1,368,000,000","2,213,000,000","1,390,000,000","2,280,000,000","1,305,000,000","1,865,000,000","1,815,352,000","2,279,861,000","522,995,000","418,819,000","378,511,000","623,343,000","581,841,000","317,363,000","174,538,000","295,600,000","411,000,000","260,900,000","87,500,000","146,400,000","210,000,000","142,700,000","74,900,000","69,300,000"
				CashEquivalents,,,"1,495,000,000","1,680,000,000","1,583,000,000","1,282,000,000","1,355,000,000","1,113,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"1,524,000,000","1,835,000,000","1,778,000,000","1,625,000,000","1,468,000,000","1,706,000,000","1,797,000,000","1,857,000,000","2,315,000,000","2,277,000,000","1,479,000,000","435,000,000","566,000,000","369,000,000","251,000,000",,,,,,,,,,,,,,,,,,,,
		Receivables,"1,086,000,000","568,000,000","662,000,000","546,000,000","474,000,000","365,000,000","419,000,000","332,000,000","299,000,000","195,000,000","169,000,000","209,000,000","279,000,000","241,000,000","258,000,000","248,000,000","132,000,000","174,393,000","71,283,000","138,070,000","73,448,000","88,799,000","76,530,000","73,440,000","79,781,000","75,692,000","70,500,000","51,800,000","47,500,000","43,900,000","38,000,000","37,000,000","44,100,000","33,500,000","31,900,000"
			AccountsReceivable,"1,086,000,000","568,000,000","662,000,000","546,000,000","474,000,000","365,000,000","419,000,000","332,000,000","299,000,000","195,000,000","169,000,000","209,000,000",,,,,,,,,"73,448,000","88,799,000","76,530,000","73,440,000","79,781,000","75,692,000",,,,,,,,,
		Inventory,"529,000,000","461,000,000","420,000,000","337,000,000","311,000,000","342,000,000","467,000,000","469,000,000","401,000,000","243,000,000","221,000,000","203,000,000","259,000,000","181,000,000","150,000,000","137,000,000","93,000,000","86,016,000","70,561,000","80,564,000","65,152,000","50,035,000","52,376,000","51,094,000","41,000,000","37,565,000","31,700,000","30,800,000","23,000,000","15,500,000","12,500,000","8,800,000","7,700,000","11,200,000","8,600,000"
		PrepaidAssets,"287,000,000","310,000,000","460,000,000","310,000,000","188,000,000","232,000,000","250,000,000","210,000,000","238,000,000","89,000,000","84,000,000","313,000,000","57,000,000","51,000,000","40,000,000","54,000,000","59,000,000","43,352,000","52,114,000","61,902,000","52,657,000","36,076,000","35,324,000","33,055,000","24,484,000","17,281,000",,,,,,,,,
		CurrentDeferredAssets,,,,,,"477,000,000","168,000,000","246,000,000","263,000,000","214,000,000","291,000,000","365,000,000",,,,,,"0","46,400,000","28,005,000","20,929,000","20,734,000","18,843,000","11,560,000","10,476,000","9,822,000",,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,"477,000,000","168,000,000","246,000,000","263,000,000","214,000,000","291,000,000","365,000,000",,,,,,"0","46,400,000","28,005,000","20,929,000","20,734,000","18,843,000","11,560,000","10,476,000","9,822,000",,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,"1,069,000,000","369,000,000","641,000,000","428,000,000","164,000,000","112,847,000",,,,,,,"32,000",,"34,200,000","12,500,000","8,600,000","10,900,000","7,000,000","9,200,000","6,600,000","8,400,000","8,100,000"
	TotalNonCurrentAssets,"19,921,000,000","21,214,000,000","20,295,000,000","18,788,000,000","17,288,000,000","15,796,000,000","14,889,000,000","14,369,000,000","13,723,000,000","11,184,000,000","10,911,000,000","11,415,000,000","12,329,000,000","10,859,000,000","10,598,000,000","9,165,000,000","7,565,000,000","6,721,790,000","6,476,922,000","5,838,036,000","5,021,108,000","4,141,841,000","3,439,744,000","2,972,489,000","2,782,986,000","2,508,173,000","2,144,000,000","1,786,900,000","1,497,200,000","1,313,300,000","1,211,200,000","1,043,400,000","841,500,000","950,200,000","904,500,000"
		NetPPE,"18,374,000,000","19,525,000,000","18,539,000,000","17,044,000,000","15,601,000,000","14,292,000,000","13,389,000,000","12,766,000,000","12,127,000,000","10,578,000,000","10,634,000,000","11,040,000,000","10,874,000,000","10,094,000,000","9,427,000,000","8,723,000,000","7,443,000,000","6,645,464,000","6,445,487,000","5,819,725,000","5,008,166,000","4,137,610,000","3,435,693,000","2,969,223,000","2,779,307,000","2,504,963,000","2,141,400,000","1,784,300,000","1,494,200,000","1,310,500,000","1,204,300,000","1,036,000,000","824,400,000","925,200,000","881,500,000"
			GrossPPE,"29,062,000,000","29,256,000,000","28,229,000,000","26,464,000,000","24,685,000,000","22,513,000,000","20,820,000,000","19,497,000,000","18,421,000,000","16,343,000,000","15,888,000,000","15,871,000,000","15,160,000,000","13,859,000,000","12,915,000,000","11,921,000,000","10,550,000,000","9,455,657,000","8,901,694,000","7,967,795,000","6,848,965,000","5,739,019,000","4,811,324,000","4,157,628,000","3,784,388,000","3,342,801,000","2,829,700,000","2,343,400,000","1,953,000,000","1,716,600,000","1,557,400,000","1,361,100,000","1,099,900,000","1,160,000,000","1,055,000,000"
				Properties,"5,672,000,000","4,960,000,000","4,399,000,000","3,779,000,000","3,219,000,000","2,853,000,000","2,666,000,000","2,714,000,000","2,423,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				FlightFleetVehicleAndRelatedEquipments,"21,877,000,000","22,528,000,000","22,287,000,000","21,465,000,000","20,551,000,000","19,039,000,000","17,701,000,000","16,783,000,000","15,998,000,000","14,221,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,,,,,,,,"2,423,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"1,513,000,000","1,768,000,000","1,543,000,000","1,220,000,000","915,000,000","621,000,000","453,000,000",,"15,998,000,000","2,122,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-10,688,000,000","-9,731,000,000","-9,690,000,000","-9,420,000,000","-9,084,000,000","-8,221,000,000","-7,431,000,000","-6,731,000,000","-6,294,000,000","-5,765,000,000","-5,254,000,000","-4,831,000,000","-4,286,000,000","-3,765,000,000","-3,488,000,000","-3,198,000,000","-3,107,000,000","-2,810,193,000","-2,456,207,000","-2,148,070,000","-1,840,799,000","-1,601,409,000","-1,375,631,000","-1,188,405,000","-1,005,081,000","-837,838,000","-688,300,000","-559,100,000","-458,800,000","-406,100,000","-353,100,000","-325,100,000","-275,500,000","-234,800,000","-173,500,000"
		GoodwillAndOtherIntangibleAssets,"1,266,000,000","1,369,000,000","1,383,000,000","1,396,000,000","1,434,000,000","1,333,000,000","1,136,000,000","1,108,000,000","970,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"16,800,000","20,000,000"
			Goodwill,"970,000,000","970,000,000","970,000,000","970,000,000","970,000,000","970,000,000","970,000,000","970,000,000","970,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"296,000,000","399,000,000","413,000,000","426,000,000","464,000,000","363,000,000","166,000,000","138,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"16,800,000","20,000,000"
		InvestmentsAndAdvances,,,,,"40,000,000","35,000,000","44,000,000","41,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		FinancialAssets,"49,000,000","95,000,000","136,000,000","120,000,000",,"13,000,000","145,000,000","306,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,"61,000,000","76,000,000","90,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"232,000,000","164,000,000","161,000,000","138,000,000","213,000,000","123,000,000","175,000,000","148,000,000","626,000,000","606,000,000","277,000,000","375,000,000","1,455,000,000","765,000,000","1,171,000,000","442,000,000","122,000,000","76,326,000","31,435,000","18,311,000","12,942,000","4,231,000","4,051,000","3,266,000","3,679,000","3,210,000","2,600,000","2,600,000","3,000,000","2,800,000","6,900,000","7,400,000","17,100,000","8,200,000","3,000,000"
TotalLiabilitiesNetMinorityInterest,"16,063,000,000","16,390,000,000","14,680,000,000","14,845,000,000","13,954,000,000","13,425,000,000","12,009,000,000","11,604,000,000","11,191,000,000","9,226,000,000","8,803,000,000","9,355,000,000","9,831,000,000","7,011,000,000","7,543,000,000","5,813,000,000","4,826,000,000","4,532,133,000","4,983,088,000","3,218,252,000","2,816,325,000","2,318,078,000","2,237,142,000","2,075,167,000","1,828,804,000","1,584,365,000","1,522,000,000","1,438,700,000","1,208,700,000","866,200,000","827,800,000","741,000,000","528,300,000","566,300,000","556,400,000"
	CurrentLiabilities,"8,952,000,000","7,905,000,000","6,905,000,000","6,844,000,000","7,406,000,000","5,923,000,000","5,676,000,000","4,650,000,000","4,533,000,000","3,305,000,000","2,676,000,000","2,806,000,000","4,838,000,000","2,887,000,000","3,848,000,000","2,142,000,000","1,723,000,000","1,433,828,000","2,239,185,000","1,298,403,000","960,466,000","850,653,000","868,513,000","765,404,000","610,621,000","522,270,000","478,600,000","368,400,000","259,900,000","225,400,000","195,900,000","152,900,000","112,300,000","82,800,000","71,900,000"
