name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
TotalAssets,"1,137,634,000","1,143,071,000","1,072,329,000","1,016,861,000","1,006,517,000","967,933,000","949,843,000","968,181,000","973,024,000","950,717,000","948,876,000","963,646,000","966,093,000","979,105,000","976,487,000","994,863,000","993,996,000","984,041,000"
	CurrentAssets,"303,002,000","317,028,000","250,397,000","194,344,000","182,375,000","178,114,000","153,085,000","158,479,000","153,754,000","129,971,000","117,029,000","123,123,000","128,325,000","133,248,000","120,527,000","127,490,000","115,175,000","94,721,000"
		CashCashEquivalentsAndShortTermInvestments,"133,999,000","131,920,000","79,290,000","20,098,000","30,127,000","23,275,000","22,244,000","22,230,000","22,245,000","26,485,000","24,168,000","29,055,000","29,316,000","37,099,000","14,636,000","13,674,000","24,181,000","14,880,000"
			CashAndCashEquivalents,"133,999,000","131,920,000","79,290,000","20,098,000","30,127,000","23,275,000","22,244,000","22,230,000","22,245,000","26,485,000","24,168,000","29,055,000","29,316,000","37,099,000","14,636,000","13,674,000","24,181,000","14,880,000"
		Receivables,"136,374,000","155,662,000","140,189,000","149,860,000","129,624,000","133,449,000","108,285,000","115,398,000","110,654,000","83,079,000","74,708,000","76,664,000","82,283,000","79,767,000","81,922,000","90,048,000","75,006,000","65,088,000"
			AccountsReceivable,"108,852,000","127,877,000","113,931,000","114,516,000","107,241,000","85,120,000","60,275,000","71,062,000","67,616,000","55,599,000","50,973,000","50,606,000","57,998,000","48,270,000","57,136,000","67,701,000","58,155,000","46,352,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,"59,805,000","48,076,000"
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,"-1,650,000","-1,724,000"
			OtherReceivables,"28,059,000","28,368,000","26,987,000","36,073,000","28,252,000","49,361,000","49,072,000","45,701,000","43,688,000","28,153,000","25,947,000","28,164,000","27,177,000","34,719,000","26,891,000","24,763,000","16,851,000","18,736,000"
			ReceivablesAdjustmentsAllowances,"-537,000","-583,000","-729,000","-729,000","-5,869,000","-1,032,000","-1,062,000","-1,365,000","-650,000","-673,000","-2,212,000","-2,106,000","-2,892,000","-3,222,000","-2,105,000","-2,416,000",,
		PrepaidAssets,"32,629,000","29,446,000","30,918,000","24,386,000","22,624,000","21,383,000","22,549,000","20,844,000","20,848,000","20,400,000","18,074,000","17,129,000","16,433,000","16,074,000","20,606,000","20,402,000","13,227,000","11,896,000"
		RestrictedCash,,"0","0","0","0","7,000","7,000","7,000","7,000","7,000","79,000","275,000","293,000","308,000","3,363,000","3,366,000","2,761,000","2,857,000"
	TotalNonCurrentAssets,"834,632,000","826,043,000","821,932,000","822,517,000","824,142,000","789,819,000","796,758,000","809,702,000","819,270,000","820,746,000","831,847,000","840,523,000","837,768,000","845,857,000","855,960,000","867,373,000","878,821,000","889,320,000"
		NetPPE,"108,682,000","99,444,000","96,194,000","91,558,000","91,266,000","52,255,000","52,030,000","52,360,000","51,079,000","48,739,000","45,903,000","45,244,000","44,976,000","43,805,000","41,342,000","40,168,000","39,591,000","37,512,000"
			GrossPPE,"108,682,000","131,073,000","96,194,000","91,558,000","91,266,000","85,366,000",,,,"74,859,000",,,,"61,432,000",,,,"48,185,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0"
				LandAndImprovements,,"1,577,000",,,,"1,240,000",,,,"972,000",,,,"543,000",,,,"940,000"
				BuildingsAndImprovements,,"13,272,000",,,,"30,897,000",,,,"25,311,000",,,,"25,005,000",,,,"25,591,000"
				MachineryFurnitureEquipment,,"60,807,000",,,,"47,895,000",,,,"43,022,000",,,,"33,044,000",,,,"21,350,000"
				OtherProperties,"108,682,000","52,152,000","96,194,000","91,558,000","91,266,000",,,,,,,,,,,,,
				ConstructionInProgress,,"3,265,000",,,,"5,334,000",,,,"5,554,000",,,,"2,840,000",,,,"304,000"
			AccumulatedDepreciation,,"-31,629,000",,,,"-33,111,000",,,,"-26,120,000",,,,"-17,627,000",,,,"-10,673,000"
		GoodwillAndOtherIntangibleAssets,"714,780,000","716,746,000","719,772,000","722,767,000","725,715,000","730,160,000","737,550,000","744,940,000","752,330,000","759,721,000","769,215,000","778,657,000","787,604,000","797,052,000","809,720,000","822,388,000","835,056,000","847,724,000"
			Goodwill,"662,427,000","662,396,000","662,427,000","662,427,000","662,380,000","660,981,000","660,981,000","660,981,000","660,981,000","660,981,000","660,981,000","660,981,000","660,981,000","660,981,000","660,981,000","660,981,000","660,981,000","660,981,000"
			OtherIntangibleAssets,"52,353,000","54,350,000","57,345,000","60,340,000","63,335,000","69,179,000","76,569,000","83,959,000","91,349,000","98,740,000","108,234,000","117,676,000","126,623,000","136,071,000","148,739,000","161,407,000","174,075,000","186,743,000"
		NonCurrentDeferredAssets,"490,000","376,000","293,000","313,000","330,000","713,000","446,000","5,972,000","9,970,000","6,343,000","11,115,000","11,536,000","154,000","97,000","135,000","126,000","160,000","157,000"
			NonCurrentDeferredTaxesAssets,"490,000","376,000","293,000","313,000","330,000","713,000","446,000","5,972,000","9,970,000","6,343,000","11,115,000","11,536,000","154,000","97,000","135,000","126,000","160,000","157,000"
		OtherNonCurrentAssets,"10,680,000","9,477,000","5,673,000","7,879,000","6,831,000","6,691,000","6,732,000","6,430,000","5,891,000","5,943,000","5,614,000","5,086,000","5,034,000","4,903,000","4,763,000","4,691,000","4,014,000","3,927,000"
TotalLiabilitiesNetMinorityInterest,"419,835,000","416,788,000","380,322,000","358,806,000","384,620,000","378,230,000","388,454,000","428,100,000","461,951,000","447,187,000","398,626,000","356,288,000","345,113,000","368,395,000","365,947,000","572,227,000","576,134,000","570,567,000"
	CurrentLiabilities,"338,651,000","343,002,000","314,392,000","296,073,000","264,541,000","257,026,000","232,127,000","233,162,000","232,492,000","192,706,000","172,363,000","155,262,000","150,045,000","168,603,000","156,595,000","149,750,000","139,242,000","134,017,000"
		PayablesAndAccruedExpenses,"101,607,000","97,537,000","91,761,000","90,684,000","75,500,000","72,886,000","68,234,000","69,690,000","67,330,000","20,640,000","13,068,000","10,396,000","11,750,000","13,875,000","12,388,000","11,436,000","11,063,000","11,644,000"
			Payables,"16,985,000","22,404,000","20,684,000","22,691,000","13,626,000","16,737,000","13,602,000","16,859,000","17,924,000","16,674,000","9,972,000","7,195,000","8,345,000","10,911,000","9,337,000","7,227,000","6,956,000","8,728,000"
				AccountsPayable,"16,985,000","22,404,000","20,684,000","22,691,000","13,626,000","16,737,000","13,602,000","16,859,000","17,924,000","16,674,000","9,972,000","7,195,000","8,345,000","10,911,000","9,337,000","7,227,000","6,956,000","8,728,000"
			CurrentAccruedExpenses,"84,622,000","75,133,000","71,077,000","67,993,000","61,874,000","56,149,000","54,632,000","52,831,000","49,406,000","3,966,000","3,096,000","3,201,000","3,405,000","2,964,000","3,051,000","4,209,000","4,107,000","2,916,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"22,383,000","34,119,000","31,458,000","25,611,000","20,373,000","31,344,000","25,696,000","20,094,000","14,170,000","19,707,000","16,989,000","13,191,000","10,678,000","21,453,000","18,364,000","14,474,000","11,083,000","17,195,000"
		CurrentDebtAndCapitalLeaseObligation,,,,,,,,"16,500,000","16,500,000","16,500,000","15,469,000","14,438,000","13,406,000","12,375,000",,,,
			CurrentDebt,,,,,,,,"16,500,000","16,500,000","16,500,000","15,469,000","14,438,000","13,406,000","12,375,000",,,,
				OtherCurrentBorrowings,,,,,,,,,,,,,,"12,375,000",,,,
		CurrentDeferredLiabilities,"189,562,000","192,359,000","169,529,000","165,447,000","150,243,000","147,935,000","133,403,000","120,945,000","126,387,000","73,756,000","68,341,000","65,577,000","60,474,000","65,668,000","67,662,000","66,084,000","60,783,000","51,051,000"
			CurrentDeferredRevenue,"189,562,000","192,359,000","169,529,000","165,447,000","150,243,000","147,935,000","133,403,000","120,945,000","126,387,000","73,756,000","68,341,000","65,577,000","60,474,000","65,668,000","67,662,000","66,084,000","60,783,000","51,051,000"
		OtherCurrentLiabilities,"25,099,000","18,987,000","21,644,000","14,331,000","18,425,000","4,861,000","4,794,000","5,933,000","8,105,000","62,103,000","58,496,000","51,660,000","53,737,000","55,232,000","58,181,000","57,756,000","56,313,000","54,127,000"
