name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"809,130,000,000","750,271,000,000","729,533,000,000","720,681,000,000","704,643,000,000","579,406,000,000","513,628,000,000","486,056,000,000","462,102,000,000","217,672,000,000","205,140,000,000","211,025,000,000","176,458,000,000","186,169,000,000","181,810,000,000","184,246,000,000","77,516,000,000","81,195,000,000","78,613,000,000","60,160,006,530","56,887,201,478","52,501,193,892"
	TotalInvestments,"377,676,000,000","351,152,000,000","333,826,000,000","330,390,000,000","315,654,000,000","267,546,000,000","228,752,000,000","231,151,000,000","229,179,000,000","205,806,000,000","193,367,000,000","194,775,000,000","139,622,000,000","122,853,000,000","124,585,000,000","131,068,000,000","54,225,000,000","59,555,000,000","58,371,000,000","10,806,961,950","10,105,755,923","3,112,582,410"
		FixedMaturityInvestments,"198,122,000,000","185,594,000,000","174,000,000,000","168,622,000,000","157,827,000,000","134,446,000,000","114,957,000,000","119,281,000,000",,,,,,,,,,,,,,
		EquityInvestments,"22,851,000,000","19,179,000,000","21,545,000,000","19,496,000,000","16,983,000,000","14,543,000,000","13,075,000,000","11,995,000,000","130,730,000,000","112,035,000,000","94,795,000,000","158,087,000,000","83,965,000,000","114,431,000,000","112,211,000,000","114,417,000,000","48,082,000,000","53,575,000,000","53,034,000,000",,,
		NetLoan,"57,587,000,000","56,602,000,000","52,287,000,000","51,979,000,000","53,269,000,000","49,106,000,000","46,829,000,000","44,017,000,000","44,138,000,000","63,000,000,000","62,677,000,000","66,585,000,000","55,657,000,000","8,422,000,000","7,926,000,000","8,134,000,000","5,282,000,000","4,939,000,000","4,644,000,000","10,806,961,950","10,105,755,923","3,112,582,410"
			LoansReceivable,"1,740,000,000","1,793,000,000","1,737,000,000","1,745,000,000","1,778,000,000","1,772,000,000","1,901,000,000","2,142,000,000","2,288,000,000","24,698,000,000","25,369,000,000","28,089,000,000",,,,,,,,,,
			MortgageAndConsumerloans,"49,376,000,000","48,363,000,000","44,742,000,000","44,193,000,000","43,818,000,000","39,458,000,000","37,558,000,000","35,082,000,000","35,023,000,000","31,816,000,000","30,699,000,000","30,963,000,000",,,,,,,,,,
			PolicyLoans,"6,471,000,000","6,446,000,000","5,808,000,000","6,041,000,000","7,673,000,000","7,876,000,000","7,370,000,000","6,793,000,000","6,827,000,000","6,486,000,000","6,609,000,000","7,533,000,000",,,,,,,,,,
		DerivativeAssets,"19,449,000,000","13,703,000,000","15,569,000,000","23,672,000,000","24,272,000,000","19,315,000,000","9,673,000,000","14,707,000,000","15,472,000,000",,,,,,,,,,,,,
		OtherShortTermInvestments,,,,,,,,,,"11,791,000,000","18,780,000,000","17,269,000,000",,,"4,448,000,000","8,517,000,000","861,000,000","1,041,000,000","693,000,000",,,
		OtherInvestedAssets,"79,667,000,000","76,074,000,000","70,425,000,000","66,621,000,000","63,303,000,000","50,136,000,000","44,218,000,000","41,151,000,000","38,839,000,000","18,980,000,000","17,115,000,000","19,419,000,000",,,,,,,,,,
	CashAndCashEquivalents,"20,300,000,000","16,215,000,000","15,965,000,000","15,151,000,000","17,885,000,000","21,079,000,000","13,630,000,000","13,484,000,000","12,813,000,000",,,,"12,354,000,000","10,745,000,000","9,360,000,000","8,517,000,000","5,877,000,000","5,143,000,000","4,995,000,000",,,
	ReinsuranceRecoverable,"41,446,000,000","43,053,000,000","30,359,000,000","34,952,000,000","35,426,000,000","18,525,000,000","17,443,000,000","18,681,000,000","10,728,000,000",,,,,,,,,,,,,
	Receivables,"1,385,000,000","1,369,000,000","1,148,000,000","845,000,000","878,000,000","737,000,000","734,000,000","1,009,000,000","781,000,000",,,,,,,,,,,,,
		AccountsReceivable,"1,385,000,000","1,369,000,000","1,148,000,000","845,000,000","878,000,000","737,000,000","734,000,000","1,009,000,000","781,000,000",,,,,,,,,,,,,
	AccruedInvestmentIncome,"2,416,000,000","2,427,000,000","2,182,000,000","2,260,000,000","2,275,000,000","2,003,000,000","1,813,000,000","1,802,000,000","1,802,000,000","1,621,000,000","1,540,000,000","1,760,000,000","1,414,000,000","1,557,000,000","1,334,000,000","1,777,000,000","914,000,000","1,010,000,000","1,041,000,000","835,117,560","729,293,325","726,346,026"
	DeferredTaxAssets,"4,574,000,000","4,318,000,000","4,569,000,000","4,439,000,000","4,067,000,000","3,329,000,000","2,763,000,000","3,148,000,000","1,757,000,000",,,,,,,,"0","132,000,000","517,000,000",,,
	NetPPE,,,,,,,,,,,,,"5,691,740,650","5,898,795,300","5,302,232,850","4,662,001,650","3,974,961,000","3,582,986,400","3,494,300,700","3,266,871,750","3,189,007,409","2,968,664,832"
	GoodwillAndOtherIntangibleAssets,"9,975,000,000","10,097,000,000","9,840,000,000","10,107,000,000","9,384,000,000","5,461,000,000","5,298,000,000","5,113,000,000","5,442,000,000","7,857,000,000","9,127,000,000","9,795,000,000","8,294,000,000","9,169,000,000","9,243,000,000","9,138,000,000","589,000,000","634,000,000",,,,
		Goodwill,"5,743,000,000","5,864,000,000","5,713,000,000","5,884,000,000","5,685,000,000","3,181,000,000","3,110,000,000","3,100,000,000","3,404,000,000","5,941,000,000","7,122,000,000","7,929,000,000","6,721,000,000","7,461,000,000","7,501,000,000","7,332,000,000","589,000,000","634,000,000",,,,
		OtherIntangibleAssets,"4,232,000,000","4,233,000,000","4,127,000,000","4,223,000,000","3,699,000,000","2,280,000,000","2,188,000,000","2,013,000,000","2,038,000,000","1,916,000,000","2,005,000,000","1,866,000,000","1,573,000,000","1,708,000,000","1,742,000,000","1,806,000,000",,,,,,
	SeparateAccountAssets,"343,108,000,000","313,209,000,000","324,307,000,000","315,177,000,000","313,249,000,000","256,532,000,000","239,871,000,000","207,985,000,000","196,058,000,000",,,,,,,,,,,,,
