name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
TotalRevenue,"11,975,578,000","12,899,672,000","11,763,096,000","10,773,904,000","9,455,123,000","9,190,068,000","10,081,984,000","9,809,663,000","9,160,844,000","7,849,312,000","6,019,233,000","5,978,589,000","7,208,767,000","7,691,637,000","7,175,956,000","6,481,967,000","4,238,104,000","3,908,816,000","4,031,295,000","4,009,618,000","3,518,933,000","1,391,700,000","773,900,000","827,600,000","804,800,000","721,800,000","742,200,000","57,800,000","50,000,000","146,900,000","176,500,000","213,000,000","207,900,000"
	OperatingRevenue,"11,552,260,000","12,462,785,000","11,337,604,000","10,683,039,000","9,318,014,000","9,036,071,000","9,957,191,000","9,709,180,000","9,061,525,000","8,532,735,000","6,652,761,000","5,978,589,000","7,208,767,000","7,691,637,000","7,175,956,000","6,481,967,000","4,238,104,000","3,908,816,000","4,031,295,000","4,009,618,000","3,518,933,000","1,391,700,000","773,900,000","827,600,000","804,800,000","721,800,000","742,200,000","57,800,000","50,000,000","146,900,000","176,500,000","213,000,000","207,900,000"
CostOfRevenue,"7,179,278,000","7,603,489,000","6,918,875,000","6,166,006,000","5,495,664,000","5,625,376,000","6,368,698,000","6,258,716,000","5,921,282,000","5,026,361,000","3,757,542,000","3,539,306,000","4,143,653,000","4,139,147,000","3,813,386,000","3,547,059,000","2,292,895,000","2,161,969,000","2,195,040,000","2,207,341,000","1,675,535,000","590,700,000","409,300,000","405,200,000","403,600,000","386,100,000","405,300,000","104,900,000","34,700,000","100,700,000","139,200,000","154,400,000","136,300,000"
GrossProfit,"4,796,300,000","5,296,183,000","4,844,221,000","4,607,898,000","3,959,459,000","3,564,692,000","3,713,286,000","3,550,947,000","3,239,562,000","2,822,951,000","2,261,691,000","2,439,283,000","3,065,114,000","3,552,490,000","3,362,570,000","2,934,908,000","1,945,209,000","1,746,847,000","1,836,255,000","1,802,277,000","1,843,398,000","801,000,000","364,600,000","422,400,000","401,200,000","335,700,000","336,900,000","-47,100,000","15,300,000","46,200,000","37,300,000","58,600,000","71,600,000"
OperatingExpense,"1,261,964,000","1,199,687,000","3,513,278,000","3,028,745,000","2,680,993,000","2,474,865,000","2,412,582,000","2,357,734,000","2,404,605,000","2,352,904,000","3,342,188,000","3,314,932,000","3,194,274,000","688,560,000","1,603,287,000","1,577,759,000","988,724,000","1,027,181,000","1,086,515,000","1,150,654,000","1,305,682,000","591,200,000","233,100,000","202,800,000","214,600,000","226,100,000","207,100,000","76,100,000","33,900,000","61,100,000","71,500,000","49,400,000","63,100,000"
	SellingGeneralAndAdministration,"2,629,425,000","2,565,859,000","2,183,842,000","1,916,790,000","1,691,391,000","1,583,655,000","1,557,560,000","1,495,195,000","1,474,781,000","1,535,758,000","2,708,765,000","2,625,659,000","1,278,501,000","1,426,361,000","1,227,831,000","1,104,648,000","697,172,000","694,532,000","705,541,000","711,973,000","981,244,000","462,400,000","154,600,000","137,400,000","150,100,000","167,400,000","158,800,000","64,800,000","22,300,000","45,500,000","55,700,000","37,700,000","53,300,000"
		GeneralAndAdministrativeExpense,"2,629,425,000","2,565,859,000","2,183,842,000","1,916,790,000","1,691,391,000","1,583,655,000","1,557,560,000","1,495,195,000","1,474,781,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"2,629,425,000","2,565,859,000","2,183,842,000","1,916,790,000","1,691,391,000","1,583,655,000","1,557,560,000","1,495,195,000","1,474,781,000",,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,306,525,000","1,304,649,000","1,178,044,000","993,480,000","849,527,000","819,883,000","815,765,000","849,225,000","927,697,000","817,146,000","633,423,000","689,273,000","778,236,000","700,334,000","629,627,000","588,102,000","402,545,000","404,597,000","398,623,000","390,726,000","324,438,000","128,800,000","78,500,000","65,400,000","64,500,000","58,700,000","48,300,000","11,300,000","11,600,000","15,600,000","15,800,000","11,700,000","9,800,000"
		DepreciationAndAmortizationInIncomeStatement,"1,306,525,000","1,304,649,000","1,178,044,000","993,480,000","849,527,000","819,883,000","815,765,000","849,225,000","927,697,000","817,146,000","633,423,000","689,273,000","778,236,000","700,334,000","629,627,000","588,102,000","402,545,000","404,597,000","398,623,000","390,726,000","324,438,000","128,800,000","78,500,000","65,400,000","64,500,000","58,700,000","48,300,000","11,300,000","11,600,000","15,600,000","15,800,000","11,700,000","9,800,000"
