name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalAssets,"22,483,681,000","18,965,538,000","8,500,334,793.93","5,344,906,724.4","3,519,585,655.74","2,968,203,377.36","381,946,626","129,729,779.04"
	CurrentAssets,"15,793,865,000","12,633,229,000","7,760,601,573.48","5,000,598,401.4","3,270,819,113.34","2,890,732,986.35","355,802,750.64","123,743,883.25"
		CashCashEquivalentsAndShortTermInvestments,"14,925,328,000","11,292,644,000","6,928,474,332.15","4,522,656,647.4","3,047,708,243.58","2,797,395,091.12","335,579,729.76","115,716,915.59"
			CashAndCashEquivalents,"2,612,743,000","2,468,034,000","4,477,551,876.63","1,788,472,903.2","1,100,162,243.58","2,797,395,091.12","335,579,729.76","115,716,915.59"
			OtherShortTermInvestments,"12,312,585,000","8,824,610,000","2,450,922,455.52","2,734,183,744.2","1,947,546,000",,,
		Receivables,"522,866,000","875,738,000","371,449,817.55","305,214,729","162,087,761.76","59,419,399.11","14,629,419.36","5,935,961.31"
			AccountsReceivable,"265,155,000","719,606,000","258,516,537.93","250,518,416.4","96,702,150.72","43,657,347.42","11,726,564.4","0"
				GrossAccountsReceivable,"277,364,000","719,606,000","258,516,537.93","250,518,416.4","96,702,150.72","43,657,347.42","11,726,564.4","0"
				AllowanceForDoubtfulAccountsReceivable,"-12,209,000","0","0","0","0","0","0","0"
			AccruedInterestReceivable,"105,450,000","87,057,000","55,108,672.29","33,476,059.8","35,133,729.84","2,282,737.12",,
			TaxesReceivable,"107,879,000","69,075,000","24,247,554.66","20,609,198.4","22,623,992.7","13,479,314.57","1,702,927.44","0"
			DuefromRelatedPartiesCurrent,"4,382,000","0","33,577,052.67","611,054.4","7,627,888.5","0","1,199,927.52","5,935,961.31"
			OtherReceivables,"40,000,000",,,,,,,
		PrepaidAssets,"290,194,000","418,755,000","408,010,481.55","117,627,972","41,119,187.88","20,780,351.5","3,405,854.88","2,066,039.11"
		CurrentDeferredAssets,"35,922,000","36,189,000","28,021,137.48","32,240,063.4","15,736,171.68","11,649,403.02","1,908,975.6","0"
			CurrentDeferredTaxesAssets,,,"0","499,953.6",,,,
		OtherCurrentAssets,"19,555,000","9,903,000","24,645,804.75","22,858,989.6","4,167,748.44","1,488,741.6","278,771.04","24,967.24"
	TotalNonCurrentAssets,"6,689,816,000","6,332,309,000","739,733,220.45","344,308,323","248,766,542.4","77,470,391.01","26,143,875.36","5,985,895.79"
		NetPPE,"536,897,000","387,532,000","259,593,771.78","96,741,021.6","105,550,501.38","61,633,902.24","20,380,587.12","5,985,895.79"
			GrossPPE,"1,067,336,000","726,400,000","459,149,710.32","227,589,988.8","173,325,102.18","85,168,425.7","26,374,164.48","6,903,441.86"
				Properties,"0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"777,129,000","632,095,000","378,553,032.27","195,565,183.2","151,155,536.88","68,668,206.3","22,204,719.36","5,823,608.73"
