name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalAssets,"98,556,000,000","92,940,000,000","49,047,000,000","44,413,000,000","43,115,000,000","30,460,000,000","28,385,000,000","27,223,000,000","25,745,000,000","23,232,000,000","21,254,000,000","18,177,000,000"
	CurrentAssets,"20,170,000,000","18,023,000,000","13,401,000,000","10,401,000,000","9,471,000,000","11,339,000,000","12,737,000,000","13,029,000,000","12,001,000,000","10,056,000,000","7,900,000,000","6,734,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,527,000,000","1,687,000,000","3,011,000,000","887,000,000","1,127,000,000","1,494,000,000","2,292,000,000","4,860,000,000","3,079,000,000","2,522,000,000","992,000,000","1,132,000,000"
			CashAndCashEquivalents,"1,527,000,000","1,687,000,000","3,011,000,000","887,000,000","1,127,000,000","1,494,000,000","2,292,000,000","4,860,000,000","3,079,000,000","118,000,000","128,000,000","108,000,000"
			OtherShortTermInvestments,,,,,,,,,"0","2,404,000,000","864,000,000","1,024,000,000"
		Receivables,"7,872,000,000","5,853,000,000","4,695,000,000","3,617,000,000","2,927,000,000","4,058,000,000","5,559,000,000","4,610,000,000","5,461,000,000","4,398,000,000","3,543,000,000","2,138,000,000"
			AccountsReceivable,"7,872,000,000","5,853,000,000","4,695,000,000","3,617,000,000","2,927,000,000","4,058,000,000","5,559,000,000","4,610,000,000","5,459,000,000",,"3,526,000,000","2,077,000,000"
				GrossAccountsReceivable,"7,889,000,000","5,862,000,000","4,706,000,000","3,629,000,000","2,939,000,000","4,071,000,000","5,568,000,000","4,620,000,000","5,462,000,000",,,
				AllowanceForDoubtfulAccountsReceivable,"-17,000,000","-9,000,000","-11,000,000","-12,000,000","-12,000,000","-13,000,000","-9,000,000","-10,000,000","-3,000,000",,,
			OtherReceivables,,,,,,,,,"2,000,000",,"17,000,000","61,000,000"
		Inventory,"10,243,000,000","9,837,000,000","5,550,000,000","5,656,000,000","5,225,000,000","5,642,000,000","4,689,000,000","3,449,000,000","3,320,000,000","3,071,000,000","3,324,000,000","3,302,000,000"
			RawMaterials,"996,000,000","720,000,000","494,000,000","485,000,000","438,000,000","302,000,000","425,000,000","231,000,000","1,530,000,000","1,290,000,000","1,510,000,000","1,481,000,000"
			FinishedGoods,"9,247,000,000","9,117,000,000","5,056,000,000","5,171,000,000","5,157,000,000","5,340,000,000","4,264,000,000","3,218,000,000","1,790,000,000","1,781,000,000","1,814,000,000","1,821,000,000"
			InventoriesAdjustmentsAllowances,,,,"0","-370,000,000",,,,,,,
		OtherCurrentAssets,"528,000,000","646,000,000","145,000,000","241,000,000","192,000,000","145,000,000","197,000,000","110,000,000","141,000,000","65,000,000","41,000,000","162,000,000"
	TotalNonCurrentAssets,"78,386,000,000","74,917,000,000","35,646,000,000","34,012,000,000","33,644,000,000","19,121,000,000","15,648,000,000","14,194,000,000","13,744,000,000","13,176,000,000","13,354,000,000","11,443,000,000"
		NetPPE,"48,074,000,000","45,058,000,000","26,443,000,000","25,765,000,000","25,164,000,000","16,261,000,000","13,921,000,000","12,643,000,000","12,228,000,000","11,724,000,000","11,897,000,000","9,959,000,000"
			GrossPPE,"67,082,000,000","61,213,000,000","40,538,000,000","38,006,000,000","35,604,000,000","25,302,000,000","21,793,000,000","19,409,000,000","18,073,000,000","16,624,000,000","16,345,000,000","13,858,000,000"
				MachineryFurnitureEquipment,,,,,,,,,"18,073,000,000","16,624,000,000","16,345,000,000","13,858,000,000"
				OtherProperties,"67,082,000,000",,,,,,,,,,,
			AccumulatedDepreciation,"-19,008,000,000","-16,155,000,000","-14,095,000,000","-12,241,000,000","-10,440,000,000","-9,041,000,000","-7,872,000,000","-6,766,000,000","-5,845,000,000","-4,900,000,000","-4,448,000,000","-3,899,000,000"
		GoodwillAndOtherIntangibleAssets,"22,968,000,000","23,498,000,000","3,586,000,000","3,587,000,000","4,019,000,000","1,566,000,000","938,000,000","930,000,000","842,000,000","837,000,000","872,000,000","866,000,000"
			Goodwill,"20,040,000,000","20,184,000,000","3,586,000,000","3,587,000,000","4,019,000,000","1,566,000,000","938,000,000","930,000,000","842,000,000","837,000,000","872,000,000","866,000,000"
			OtherIntangibleAssets,"2,928,000,000","3,314,000,000",,,,,,,,,,
		InvestmentsAndAdvances,"6,898,000,000","5,898,000,000","4,787,000,000","3,827,000,000","3,622,000,000","865,000,000","463,000,000","321,000,000","302,000,000","312,000,000","365,000,000","382,000,000"
			LongTermEquityInvestment,"6,898,000,000","5,898,000,000","4,787,000,000","3,827,000,000","3,622,000,000","865,000,000","463,000,000","321,000,000","302,000,000",,,
		OtherNonCurrentAssets,"446,000,000","463,000,000","830,000,000","833,000,000","839,000,000","429,000,000","326,000,000","300,000,000","372,000,000","303,000,000","220,000,000","236,000,000"
TotalLiabilitiesNetMinorityInterest,"56,417,000,000","48,891,000,000","28,219,000,000","24,210,000,000","23,440,000,000","19,070,000,000","17,053,000,000","15,118,000,000","16,240,000,000","14,988,000,000","12,082,000,000","9,241,000,000"
	CurrentLiabilities,"16,147,000,000","13,216,000,000","10,478,000,000","7,146,000,000","6,345,000,000","8,579,000,000","9,824,000,000","8,203,000,000","9,591,000,000","8,620,000,000","6,637,000,000","4,767,000,000"
		PayablesAndAccruedExpenses,"13,935,000,000","11,964,000,000","9,558,000,000","6,740,000,000","5,890,000,000","8,198,000,000","9,526,000,000","8,072,000,000","9,084,000,000","7,346,000,000","6,232,000,000","3,980,000,000"
			Payables,"13,935,000,000","11,964,000,000","9,558,000,000","6,740,000,000","5,890,000,000","8,198,000,000","9,526,000,000","8,072,000,000","8,526,000,000","7,080,000,000","5,989,000,000","3,746,000,000"
				AccountsPayable,"11,623,000,000","9,366,000,000","8,297,000,000","5,593,000,000","4,743,000,000","6,661,000,000","8,234,000,000","6,785,000,000","8,169,000,000","6,453,000,000","5,507,000,000","3,345,000,000"
				TotalTaxPayable,"1,186,000,000","1,446,000,000","670,000,000","617,000,000","644,000,000","1,110,000,000","886,000,000","923,000,000","337,000,000","286,000,000","292,000,000","278,000,000"
				OtherPayable,"1,126,000,000","1,152,000,000","591,000,000","530,000,000","503,000,000","427,000,000","406,000,000","364,000,000","20,000,000","341,000,000","190,000,000","123,000,000"
			CurrentAccruedExpenses,,,,,,,,,"558,000,000","266,000,000","243,000,000","234,000,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,"312,000,000",,,
		CurrentDebtAndCapitalLeaseObligation,"1,315,000,000","544,000,000","624,000,000","28,000,000","29,000,000","27,000,000","23,000,000","19,000,000","15,000,000","666,000,000","11,000,000","15,000,000"
			CurrentDebt,"711,000,000","544,000,000","624,000,000","28,000,000","29,000,000","27,000,000","23,000,000","19,000,000","15,000,000","666,000,000","11,000,000","15,000,000"
				OtherCurrentBorrowings,"711,000,000",,,,,,,,,,,
			CurrentCapitalLeaseObligation,"604,000,000",,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,,"440,000,000","265,000,000","570,000,000"
			CurrentDeferredTaxesLiabilities,,,,,,,,,,"440,000,000","265,000,000","570,000,000"
		OtherCurrentLiabilities,"897,000,000","708,000,000","296,000,000","378,000,000","426,000,000","354,000,000","275,000,000","112,000,000","180,000,000","168,000,000","129,000,000","202,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"40,270,000,000","35,675,000,000","17,741,000,000","17,064,000,000","17,095,000,000","10,491,000,000","7,229,000,000","6,915,000,000","6,649,000,000","6,368,000,000","5,445,000,000","4,474,000,000"
		LongTermDebtAndCapitalLeaseObligation,"30,002,000,000","26,980,000,000","12,322,000,000","10,544,000,000","11,896,000,000","6,610,000,000","3,373,000,000","3,342,000,000","3,292,000,000","3,231,000,000","2,601,000,000","2,510,000,000"
			LongTermDebt,"28,127,000,000","26,980,000,000","12,322,000,000","10,544,000,000","11,896,000,000","6,610,000,000","3,373,000,000","3,342,000,000","3,292,000,000","3,231,000,000","2,601,000,000","2,510,000,000"
			LongTermCapitalLeaseObligation,"1,875,000,000",,,,,,,,,,,
		NonCurrentDeferredLiabilities,"7,657,000,000","6,182,000,000","3,320,000,000","4,465,000,000","4,020,000,000","2,782,000,000","3,085,000,000","2,307,000,000","1,574,000,000","1,644,000,000","1,483,000,000","918,000,000"
			NonCurrentDeferredTaxesLiabilities,"6,392,000,000","4,864,000,000","2,654,000,000","3,861,000,000","3,285,000,000","2,014,000,000","2,304,000,000","2,050,000,000","1,310,000,000","1,367,000,000","1,251,000,000","703,000,000"
		EmployeeBenefits,"1,643,000,000","1,509,000,000","1,099,000,000","1,055,000,000","1,179,000,000","1,099,000,000","771,000,000","1,266,000,000","1,783,000,000","1,493,000,000","1,361,000,000","1,046,000,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"1,643,000,000","1,509,000,000","1,099,000,000","1,055,000,000","1,179,000,000","1,099,000,000","771,000,000","1,266,000,000","1,783,000,000","1,493,000,000","1,361,000,000","1,046,000,000"
		PreferredSecuritiesOutsideStockEquity,"968,000,000","1,004,000,000","1,000,000,000","1,000,000,000",,,,,,,,
		OtherNonCurrentLiabilities,,"17,362,000,000",,,,,,,,,,
TotalEquityGrossMinorityInterest,"42,139,000,000","44,049,000,000","20,828,000,000","20,203,000,000","19,675,000,000","11,390,000,000","11,332,000,000","12,105,000,000","9,505,000,000","8,244,000,000","9,172,000,000","8,936,000,000"
	StockholdersEquity,"33,694,000,000","35,175,000,000","14,033,000,000","13,557,000,000","13,237,000,000","10,751,000,000","10,920,000,000","11,694,000,000","9,505,000,000","8,244,000,000","9,172,000,000","8,936,000,000"
		CapitalStock,"10,000,000","10,000,000","7,000,000","7,000,000","7,000,000","4,000,000","4,000,000","4,000,000","4,000,000",,,
			PreferredStock,"0","0","0","0","0","0","0","0","0",,,
			CommonStock,"10,000,000","10,000,000","7,000,000","7,000,000","7,000,000","4,000,000","4,000,000","4,000,000","4,000,000",,,
		RetainedEarnings,"15,990,000,000","14,755,000,000","12,864,000,000","10,206,000,000","9,752,000,000","7,515,000,000","5,507,000,000","3,880,000,000","898,000,000",,,
		AdditionalPaidInCapital,"33,157,000,000","33,729,000,000","11,262,000,000","11,060,000,000","11,071,000,000","9,844,000,000","9,768,000,000","9,527,000,000","9,482,000,000",,,
		TreasuryStock,"15,143,000,000","13,175,000,000","9,869,000,000","7,482,000,000","7,275,000,000","6,299,000,000","4,155,000,000","1,253,000,000",,,,
		GainsLossesNotAffectingRetainedEarnings,"-320,000,000","-144,000,000","-231,000,000","-234,000,000","-318,000,000","-313,000,000","-204,000,000","-464,000,000","-879,000,000","-623,000,000","-520,000,000","-258,000,000"
		OtherEquityInterest,,,,,,,,,,"8,867,000,000","9,692,000,000","9,194,000,000"
	MinorityInterest,"8,445,000,000","8,874,000,000","6,795,000,000","6,646,000,000","6,438,000,000","639,000,000","412,000,000","411,000,000",,,,
TotalCapitalization,"61,821,000,000","62,155,000,000","26,355,000,000","24,101,000,000","25,133,000,000","17,361,000,000","14,293,000,000","15,036,000,000","12,797,000,000","11,475,000,000","11,773,000,000","11,446,000,000"
CommonStockEquity,"33,694,000,000","35,175,000,000","14,033,000,000","13,557,000,000","13,237,000,000","10,751,000,000","10,920,000,000","11,694,000,000","9,505,000,000","8,244,000,000","9,172,000,000","8,936,000,000"
