name,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996
TotalAssets,"2,311,237,000","2,288,727,000","2,098,912,000","2,064,951,000","2,101,206,000","2,060,747,000","1,943,003,000","1,444,876,000","1,244,423,000","1,153,323,000","1,157,547,000","1,102,726,000","1,075,327,000","1,014,298,000","651,598,000","729,387,000","618,970,000","562,948,000","553,908,000","580,974,000","514,400,000","401,700,000","334,800,000","265,500,000"
	CurrentAssets,"1,199,612,000","1,147,507,000","1,005,579,000","981,491,000","1,032,076,000","961,415,000","893,489,000","920,111,000","758,434,000","676,536,000","682,714,000","622,676,000","589,802,000","527,473,000","431,996,000","411,389,000","432,584,000","370,892,000","351,852,000","375,214,000","328,000,000","254,400,000","244,000,000","212,600,000"
		CashCashEquivalentsAndShortTermInvestments,"32,286,000","46,217,000","16,083,000","52,890,000","38,267,000","47,154,000","55,876,000","168,453,000","95,959,000","121,191,000","225,572,000","42,843,000","7,797,000","7,718,000","45,274,000","45,517,000","114,294,000","59,978,000","12,466,000","3,209,000","2,700,000","8,600,000","13,400,000","1,700,000"
			CashAndCashEquivalents,"32,286,000","46,217,000","16,083,000","52,890,000","38,267,000","47,154,000","55,876,000","168,453,000","95,959,000","121,191,000","225,572,000","42,843,000","7,797,000","7,718,000","41,020,000","39,517,000","114,294,000","59,978,000","12,466,000","3,209,000","2,700,000","8,600,000","13,400,000","1,700,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,"4,254,000","6,000,000",,,,,,,,
		Receivables,"541,091,000","523,892,000","471,795,000","392,463,000","403,468,000","382,784,000","345,366,000","297,215,000","266,545,000","221,013,000","165,368,000","216,407,000","204,186,000","185,734,000","126,501,000","114,077,000","93,598,000","94,322,000","95,263,000","98,837,000","90,000,000","72,900,000","55,300,000","41,000,000"
			AccountsReceivable,"541,091,000","523,892,000","471,795,000","392,463,000","403,468,000","382,784,000","345,366,000","297,215,000","266,545,000","221,013,000","165,368,000","216,407,000","204,186,000","185,734,000","126,501,000","114,077,000","93,598,000","94,322,000","95,263,000",,,,,
				GrossAccountsReceivable,"558,179,000","536,884,000","485,073,000","404,816,000","414,780,000","392,094,000","352,889,000","304,149,000","272,729,000",,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-17,088,000","-12,992,000","-13,278,000","-12,353,000","-11,312,000","-9,310,000","-7,523,000","-6,934,000","-6,184,000",,,,,,,,,,,,,,,
		Inventory,"559,136,000","518,496,000","464,959,000","444,221,000","506,631,000","449,814,000","419,012,000","393,412,000","344,854,000","285,985,000","246,649,000","320,434,000","338,366,000","298,391,000","231,199,000","225,427,000","201,602,000","205,563,000","233,131,000","264,494,000","225,500,000","158,100,000","163,000,000","152,600,000"
