name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
TotalAssets,"9,860,574,000","9,756,534,000","10,073,996,000","9,666,656,000","9,631,567,000","9,439,280,000","9,249,088,000","9,089,734,000","8,669,146,000","8,439,743,000","8,473,441,000","7,787,132,000","7,757,478,000","7,244,981,000","6,857,428,000","6,512,941,000","5,784,241,000","5,563,392,000","5,084,333,000","4,707,918,000","4,629,672,000","4,439,987,000","4,396,491,000","3,778,431,000","3,422,074,000","2,837,515,000","2,824,350,000","2,868,346,000","2,733,725,000","2,718,647,000"
TotalLiabilitiesNetMinorityInterest,"7,189,086,000","7,139,040,000","7,542,377,000","7,205,788,000","7,300,085,000","7,238,409,000","7,206,109,000","7,108,459,000","6,704,493,000","6,486,318,000","6,490,978,000","5,824,164,000","5,797,895,000","5,319,477,000","4,909,658,000","4,805,375,000","4,178,142,000","4,026,752,000","3,553,777,000","3,410,777,000","3,355,547,000","3,366,537,000","3,308,583,000","2,824,303,000","2,566,484,000","2,194,648,000","2,189,345,000","2,245,547,000","2,301,222,000","2,305,605,000"
TotalEquityGrossMinorityInterest,"2,671,488,000","2,617,494,000","2,531,619,000","2,460,868,000","2,331,482,000","2,200,871,000","2,042,979,000","1,981,275,000","1,964,653,000","1,953,425,000","1,982,463,000","1,962,968,000","1,959,583,000","1,925,504,000","1,947,770,000","1,707,566,000","1,606,099,000","1,536,640,000","1,530,556,000","1,297,141,000","1,274,125,000","1,073,450,000","1,087,908,000","954,128,000","855,590,000","642,867,000","635,005,000","622,799,000","432,503,000","413,042,000"
	StockholdersEquity,"2,705,530,000","2,649,454,000","2,559,834,000","2,479,262,000","2,353,188,000","2,220,838,000","2,056,934,000","1,982,216,000","1,957,089,000","1,928,569,000","1,957,358,000","1,939,901,000","1,932,964,000","1,893,586,000","1,912,681,000","1,676,800,000","1,591,098,000","1,513,800,000","1,521,727,000","1,289,506,000","1,258,508,000","1,059,694,000","1,051,256,000","954,047,000","855,471,000","642,780,000","634,956,000","622,750,000","432,498,000","413,037,000"
		CapitalStock,"451,137,000","451,134,000","451,133,000","451,132,000","451,131,000","451,129,000","451,071,000","421,071,000","421,069,000","421,067,000","421,067,000","421,066,000","421,065,000","421,064,000","421,061,000","221,059,000","221,057,000","221,056,000","221,054,000","220,937,000","205,935,000","55,934,000","55,934,000","55,933,000","933,000","797,000","797,000","797,000","53,056,000","53,509,000"
			PreferredStock,"450,000,000","450,000,000","450,000,000","450,000,000","450,000,000","450,000,000","450,000,000","420,000,000","420,000,000","420,000,000","420,000,000","420,000,000","420,000,000","420,000,000","420,000,000","220,000,000","220,000,000","220,000,000","220,000,000","220,000,000","205,000,000","55,000,000","55,000,000","55,000,000","0","0","0","0","53,054,000","53,054,000"
			CommonStock,"1,137,000","1,134,000","1,133,000","1,132,000","1,131,000","1,129,000","1,071,000","1,071,000","1,069,000","1,067,000","1,067,000","1,066,000","1,065,000","1,064,000","1,061,000","1,059,000","1,057,000","1,056,000","1,054,000","937,000","935,000","934,000","934,000","933,000","933,000","797,000","797,000","797,000","2,000","455,000"
		AdditionalPaidInCapital,"1,066,075,000","1,065,634,000","1,062,859,000","1,060,379,000","1,058,061,000","1,057,783,000","923,124,000","921,744,000","919,029,000","917,751,000","919,477,000","920,310,000","917,057,000","914,706,000","905,772,000","908,276,000","903,933,000","900,114,000","896,700,000","688,967,000","687,189,000","690,736,000","690,908,000","613,839,000","615,927,000","437,006,000","435,908,000","435,908,000","169,109,000","158,015,000"
		RetainedEarnings,"1,144,473,000","1,058,138,000","965,455,000","907,841,000","843,415,000","764,056,000","751,320,000","695,099,000","662,713,000","597,863,000","607,555,000","565,649,000","574,962,000","545,106,000","518,418,000","502,741,000","461,574,000","412,044,000","401,527,000","364,609,000","332,701,000","292,832,000","283,541,000","252,413,000","223,012,000","197,552,000","190,409,000","178,037,000","177,688,000","169,039,000"
		GainsLossesNotAffectingRetainedEarnings,"43,845,000","74,548,000","80,387,000","59,910,000","581,000","-52,130,000","-68,581,000","-55,698,000","-45,722,000","-8,112,000","9,259,000","32,876,000","19,880,000","12,710,000","67,430,000","44,724,000","4,534,000","-19,414,000","2,446,000","14,993,000","32,683,000","20,192,000","20,873,000","31,862,000","15,599,000","7,425,000","7,842,000","8,008,000","32,645,000","32,474,000"
