name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
TotalRevenue,"5,275,263,000","1,328,334,000","1,369,105,000","1,308,172,000","1,269,652,000","1,232,665,000","1,186,765,000","1,168,843,000","1,135,106,000","1,117,257,000","1,070,695,000","1,107,780,000","1,149,608,000","1,092,336,000","1,004,721,000","896,776,000","846,184,000","775,957,000","810,006,000","590,039,000","553,653,000","557,695,000","513,719,000","497,957,000","442,930,000","409,149,000","265,950,000","234,293,000","242,042,000","238,048,000","210,448,000","195,632,000","236,616,000","213,520,000"
	OperatingRevenue,"5,275,263,000","1,328,334,000","1,369,105,000","1,308,172,000","1,269,652,000","1,232,665,000","1,186,765,000","1,168,843,000","1,135,106,000","1,117,257,000","1,070,695,000","1,107,780,000","1,149,608,000","1,092,336,000","1,004,721,000","896,776,000","846,184,000","775,957,000","810,006,000","590,039,000","553,653,000","557,695,000","513,719,000","497,957,000","442,930,000","409,149,000","265,950,000","234,293,000","242,042,000","238,048,000","210,448,000","195,632,000","236,616,000","213,520,000"
NetNonOperatingInterestIncomeExpense,"-50,325,000","-11,780,000","-12,722,000","-12,898,000","-12,925,000","-12,999,000","-12,650,000","-12,583,000","-15,038,000","-11,154,000","-12,496,000","-11,495,000","-11,550,000","-11,545,000","-11,645,000","-10,455,000","-8,939,000","-9,141,000","-1,776,000","-9,428,000","-8,601,000","-9,080,000","-9,915,000","-4,709,000","-2,519,000","-593,000","-586,000","-539,000","-574,000","-343,000","-445,000","-428,000","-445,000","-470,000"
	InterestExpenseNonOperating,"50,325,000","11,780,000","12,722,000","12,898,000","12,925,000","12,999,000","12,650,000","12,583,000","15,038,000","11,154,000","12,496,000","11,495,000","11,550,000","11,545,000","11,645,000","10,455,000","8,939,000","9,141,000","1,776,000","9,428,000","8,601,000","9,080,000","9,915,000","4,709,000","2,519,000","593,000","586,000","539,000","574,000","343,000","445,000","428,000","445,000","470,000"
OtherIncomeExpense,,,"24,282,000","2,146,000",,,,,,,"0","-3,901,000","-6,098,000",,,"-56,000","-387,000","701,000","-461,000","-157,000","-1,415,000","1,245,000","-1,153,000","373,000","100,000","7,000",,,,"16,000",,"-3,086,000","3,053,000",
	SpecialIncomeCharges,,,,,,,,,,,,,,"10,450,000","26,200,000",,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,"10,450,000","26,200,000",,,,,,,,,,,,,,,,,,,
PretaxIncome,"425,343,000","128,745,000","120,313,000","76,986,000","99,299,000","107,845,000","33,588,000","71,747,000","43,451,000","72,222,000","33,129,000","67,355,000","27,362,000","44,430,000","39,975,000","36,991,000","64,893,000","68,240,000","24,643,000","51,027,000","42,563,000","46,357,000","17,290,000","44,186,000","33,330,000","32,637,000","5,000,000","17,713,000","17,856,000","12,298,000","-5,717,000","18,006,000","19,961,000","14,101,000"
TaxProvision,"82,679,000","28,172,000","15,519,000","16,747,000","22,241,000","22,506,000","15,223,000","15,518,000","6,541,000","16,202,000","34,245,000","7,698,000","5,812,000","13,518,000","1,177,000","8,805,000","14,551,000","18,083,000","-5,936,000","8,614,000","7,891,000","8,387,000","6,090,000","10,026,000","424,000","7,336,000","-1,252,000","4,838,000","5,747,000","3,771,000","-4,931,000","5,049,000","7,209,000","4,982,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,"9,463,000","-4,297,000","-18,915,000","4,954,000","8,410,000","2,953,000","7,356,000","6,682,000","1,743,000","2,288,000","1,654,000","4,958,000","4,278,000","-1,611,000","-2,610,000","1,123,000","1,726,000","-128,000","486,000","-811,000","1,355,000","-3,470,000","390,000","389,000"
NetIncomeCommonStockholders,"323,470,000","92,884,000","98,356,000","63,279,000","68,951,000","83,883,000","17,349,000","60,507,000","36,673,000","60,333,000","-864,000","46,174,000","-5,081,000","34,116,000","30,914,000","19,922,000","44,345,000","52,702,000","13,719,000","38,988,000","33,783,000","41,737,000","11,167,000","32,059,000","30,334,000","26,392,000","7,940,000","12,747,000","11,699,000","6,454,000","-598,000","8,318,000","11,973,000","8,339,000"
	NetIncome,"357,070,000","100,759,000","107,281,000","71,154,000","77,876,000","91,758,000","26,216,000","68,382,000","44,548,000","68,208,000","7,011,000","54,049,000","2,794,000","41,991,000","38,789,000","28,130,000","48,470,000","56,827,000","17,844,000","43,113,000","38,527,000","42,768,000","12,198,000","33,319,000","30,334,000","26,392,000","7,940,000","12,747,000","12,595,000","7,716,000","569,000","9,487,000","13,142,000","9,508,000"
		NetIncomeIncludingNoncontrollingInterests,"342,664,000","100,573,000","104,794,000","60,239,000","77,058,000","85,339,000","18,365,000","56,229,000","36,910,000","56,020,000","8,347,000","55,360,000","2,635,000","35,866,000","47,208,000","31,139,000","57,698,000","56,839,000","32,322,000","44,701,000","36,326,000","42,928,000","15,478,000","32,549,000","30,296,000","26,424,000","7,978,000","12,747,000","12,595,000","7,716,000","569,000","9,487,000","13,142,000","9,508,000"
			NetIncomeContinuousOperations,"342,664,000","100,573,000","104,794,000","60,239,000","77,058,000","85,339,000","18,365,000","56,229,000","36,910,000","56,020,000","8,347,000","55,360,000","2,635,000","35,866,000","47,208,000","31,139,000","57,698,000","56,839,000","32,322,000","44,701,000","36,326,000","42,928,000","15,478,000","32,549,000","30,296,000","26,424,000","7,978,000","12,747,000","12,595,000","7,716,000","569,000","9,487,000","13,142,000","9,508,000"
		MinorityInterests,"14,406,000","186,000","2,487,000","10,915,000","818,000","6,419,000","7,851,000","12,153,000","7,638,000","12,188,000","-1,336,000","-1,311,000","159,000","6,125,000","-8,419,000","-3,009,000","-9,228,000","-12,000","-14,478,000","-1,588,000","2,201,000","-160,000","-3,280,000","770,000","38,000","-32,000","-38,000","0","0",,"0","0","0",
	PreferredStockDividends,"33,600,000","7,875,000","8,925,000","7,875,000","8,925,000","7,875,000","8,867,000","7,875,000","7,875,000","7,875,000","7,875,000","7,875,000","7,875,000","7,875,000","7,875,000","8,208,000","4,125,000","4,125,000","4,125,000","4,125,000","4,744,000","1,031,000","1,031,000","1,260,000",,,"0",,"896,000","1,262,000","1,167,000","1,169,000","1,169,000","1,169,000"
AverageDilutionEarnings,,,"1,050,000",,"1,050,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"325,570,000","92,884,000","99,406,000","63,279,000","70,001,000","83,883,000","17,349,000","60,507,000","36,673,000","60,333,000","-864,000","46,174,000","-5,081,000","34,116,000","30,914,000","19,922,000","44,345,000","52,702,000","13,719,000","38,988,000","33,783,000","41,737,000","11,167,000","32,059,000","30,334,000","26,392,000","7,940,000","12,747,000","11,699,000","6,454,000","-598,000","8,318,000","11,973,000","8,339,000"
BasicEPS,,"0.82","0.73","0.56","0.61","0.74","0.16","0.56","0.34","0.57","-0.09","0.43","-0.05","0.32","0.29","0.19","0.42","0.5","0.13","0.39","0.36","0.45","0.12","0.34","0.32","0.31","0.1","0.16","0.146","0.081",,"0.104","0.15","0.104"
DilutedEPS,,"0.8","0.72","0.54","0.6","0.72","0.16","0.55","0.34","0.55","-0.09","0.43","-0.05","0.31","0.28","0.18","0.41","0.49","0.13","0.38","0.35","0.43","0.12","0.34","0.32","0.3","0.1","0.16","0.144","0.08",,"0.104","0.148","0.103"
BasicAverageShares,,"113,557,441","113,337,130","113,263,367","113,178,552","113,014,711","109,782,543","107,101,837","106,969,134","106,758,641","106,682,586","106,645,601","106,560,000","106,467,599","106,395,429","106,002,337","105,803,802","105,597,594","105,503,021","100,360,687","93,597,448","93,454,236","93,411,409","93,359,265","93,344,400","85,774,057","79,719,219","79,731,800","79,880,566","79,880,566",,"79,731,800","79,880,566","79,880,566"
DilutedAverageShares,,"116,075,344","115,344,349","116,138,489","116,050,267","116,075,226","112,947,180","109,563,392","109,402,465","108,950,984","108,793,184","108,520,964","109,447,812","109,166,681","108,973,892","108,423,998","108,197,897","108,266,508","108,161,786","102,940,728","96,181,037","96,087,952","95,916,749","95,663,429","94,819,307","86,884,898","80,365,105","79,731,800","81,133,581","81,133,581",,"79,731,800","81,133,581","81,133,581"
TotalExpenses,"4,849,920,000","1,199,589,000","1,248,792,000","1,231,186,000","1,170,353,000","1,124,820,000","1,153,177,000","1,097,096,000","1,091,655,000","1,045,035,000","1,037,566,000","1,040,425,000","1,122,246,000","1,047,906,000","964,746,000","859,785,000","781,291,000","707,717,000","785,363,000","539,012,000","511,090,000","511,338,000","496,429,000","453,771,000","409,600,000","376,512,000","260,950,000","216,580,000","224,186,000","225,750,000","216,165,000","177,626,000","216,655,000","199,419,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"357,070,000","100,759,000","107,281,000","71,154,000","77,876,000","91,758,000","26,216,000","68,382,000","44,548,000","68,208,000","7,011,000","54,049,000","2,794,000","41,991,000","38,789,000","28,130,000","48,470,000","56,827,000","17,844,000","43,113,000","38,527,000","42,768,000","12,198,000","33,319,000","30,334,000","26,392,000","7,940,000","12,747,000","12,595,000","7,716,000","569,000","9,487,000","13,142,000","9,508,000"
NormalizedIncome,"357,070,000","100,759,000","107,281,000","71,154,000","77,876,000","91,758,000","26,216,000","68,382,000","44,548,000","68,208,000","7,011,000","54,049,000","2,794,000","34,717,800","38,789,000","28,130,000","48,470,000","56,827,000","17,844,000","43,113,000","38,527,000","42,768,000","12,198,000","33,319,000","30,334,000","26,392,000","7,940,000","12,747,000","12,595,000","7,716,000","569,000","9,487,000","13,142,000","9,508,000"
InterestExpense,"50,325,000","11,780,000","12,722,000","12,898,000","12,925,000","12,999,000","12,650,000","12,583,000","15,038,000","11,154,000","12,496,000","11,495,000","11,550,000","11,545,000","11,645,000","10,455,000","8,939,000","9,141,000","1,776,000","9,428,000","8,601,000","9,080,000","9,915,000","4,709,000","2,519,000","593,000","586,000","539,000","574,000","343,000","445,000","428,000","445,000","470,000"
NetInterestIncome,"-50,325,000","-11,780,000","-12,722,000","-12,898,000","-12,925,000","-12,999,000","-12,650,000","-12,583,000","-15,038,000","-11,154,000","-12,496,000","-11,495,000","-11,550,000","-11,545,000","-11,645,000","-10,455,000","-8,939,000","-9,141,000","-1,776,000","-9,428,000","-8,601,000","-9,080,000","-9,915,000","-4,709,000","-2,519,000","-593,000","-586,000","-539,000","-574,000","-343,000","-445,000","-428,000","-445,000","-470,000"
EBIT,"475,668,000","140,525,000","133,035,000","89,884,000","112,224,000","120,844,000","46,238,000","84,330,000","58,489,000","83,376,000","45,625,000","78,850,000","38,912,000","55,975,000","51,620,000","47,446,000","73,832,000","77,381,000","26,419,000","60,455,000","51,164,000","55,437,000","27,205,000","48,895,000","35,849,000","33,230,000","5,586,000","18,252,000","18,430,000","12,641,000","-5,272,000","18,434,000","20,406,000","14,571,000"
ReconciledDepreciation,"90,422,000","21,278,000","9,224,000","29,921,000","29,999,000","27,135,000","21,366,000","22,954,000","21,885,000","20,141,000","32,104,000","16,984,000","18,942,000","35,273,000","45,648,000","22,083,000","18,522,000","8,856,000","27,494,000","7,383,000","6,795,000","7,956,000","24,189,000","6,378,000","6,563,000","6,775,000","6,639,000","4,062,000","5,299,000","5,536,000","10,471,000","4,246,000","4,470,000","4,312,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"357,070,000","100,759,000","107,281,000","71,154,000","77,876,000","91,758,000","26,216,000","68,382,000","44,548,000","68,208,000","7,011,000","54,049,000","2,794,000","41,991,000","38,789,000","28,130,000","48,470,000","56,827,000","17,844,000","43,113,000","38,527,000","42,768,000","12,198,000","33,319,000","30,334,000","26,392,000","7,940,000","12,747,000","12,595,000","7,716,000","569,000","9,487,000","13,142,000","9,508,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,"10,450,000","26,200,000",,,,,,,,,,,,,,,,,,,
TotalUnusualItems,,,,,,,,,,,,,,"10,450,000","26,200,000",,,,,,,,,,,,,,,,,,,
TaxRateForCalcs,"0.194","0.219","0.129","0.218","0.224","0.209","0.27","0.216","0.151","0.224","0.4","0.114","0.212","0.304","0.029","0.238","0.224","0.265","0.4","0.169","0.185","0.181","0.352","0.227","0.013","0.225","0.35","0.273","0.322","0.308","0.35","0.28","0.361","0.354"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","3,176,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
