name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalAssets,"44,863,454,000","31,691,013,000","22,213,562,000","18,365,035,000","15,192,722,000","8,093,690,000","5,958,658,000","534,876,000"
	CashCashEquivalentsAndFederalFundsSold,"863,270,000","536,680,000","446,050,000","453,697,000","344,638,000","242,403,000","305,332,000",
		CashAndCashEquivalents,"528,737,000","251,058,000","295,798,000","290,602,000","249,936,000","212,985,000","271,994,000","0"
			CashAndDueFromBanks,"528,737,000","251,058,000","295,798,000","290,602,000","249,936,000","212,985,000","271,994,000",
		RestrictedCashAndInvestments,"162,197,000","164,020,000","150,252,000","163,095,000","94,702,000","29,418,000","33,338,000","0"
			RestrictedCashAndCashEquivalents,"162,197,000","164,020,000","150,252,000","163,095,000","94,702,000","29,418,000","33,338,000","0"
		MoneyMarketInvestments,"172,336,000","121,602,000",,,,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"172,336,000","121,602,000",,,,,,
				SecurityAgreeToBeResell,"172,336,000","121,602,000",,,,,,
	OtherRealEstateOwned,"93,672,000","113,410,000","128,295,000","59,591,000","50,574,000","61,933,000",,
	SecuritiesAndInvestments,"20,182,220,000","12,454,528,000","12,117,778,000","10,780,451,000","9,928,675,000","5,734,002,000","4,638,740,000","289,756,000"
		AvailableForSaleSecurities,"704,492,000","817,947,000","4,046,638,000","5,706,593,000","7,426,794,000","3,270,839,000","2,665,551,000",
		OtherShortTermInvestments,"19,477,728,000","11,636,581,000","8,071,140,000","5,073,858,000","2,501,881,000","2,463,163,000","1,973,189,000","289,756,000"
	LongTermEquityInvestment,"114,763,000","74,323,000",,,,,,
	DerivativeAssets,"69,543,000","11,183,000","2,750,000","7,099,000","3,103,000","36,325,000","35,926,000","0"
	NetLoan,"7,795,915,000","5,586,834,000","3,842,364,000","2,686,912,000","1,106,859,000","1,174,277,000","248,601,000","0"
		GrossLoan,"7,795,915,000","5,586,834,000","3,842,364,000","2,686,912,000","1,106,859,000","1,174,277,000","248,601,000",
			LoansHeldForSale,"6,042,664,000","3,741,009,000","1,725,534,000","696,665,000","776,681,000","1,126,439,000",,
			ConsumerLoan,"827,545,000","1,110,496,000","1,425,675,000","1,799,486,000",,"0","215,062,000","0"
			MortgageLoan,"925,706,000","735,329,000","691,155,000","190,761,000","330,178,000","47,838,000","33,539,000","0"
	Receivables,"11,138,312,000","9,317,462,000","2,566,795,000","1,951,114,000","1,760,149,000","82,179,000","47,680,000","84,000"
		AccountsReceivable,"5,664,773,000","4,202,037,000","1,178,344,000","1,761,661,000","1,575,444,000","10,455,000","7,548,000","84,000"
		NotesReceivable,"37,001,000",,,,,,,
		OtherReceivables,"5,436,538,000","5,115,425,000","1,388,451,000","189,453,000","184,705,000","71,724,000","40,132,000",
	PrepaidAssets,"19,249,000","29,165,000","7,308,000",,,,,
	NetPPE,"74,271,000",,,,,,,
		GrossPPE,"74,271,000",,,,,,,
			Leases,"24,133,000",,,,,,,
			OtherProperties,"50,138,000",,,,,,,
	GoodwillAndOtherIntangibleAssets,"4,544,003,000","3,523,277,000","3,080,982,000","2,253,726,000","1,798,738,000","748,609,000","676,149,000","245,036,000"
		Goodwill,"29,737,000","24,645,000",,,,,,
		OtherIntangibleAssets,"4,514,266,000","3,498,632,000","3,080,982,000","2,253,726,000","1,798,738,000","748,609,000","676,149,000","245,036,000"
	DeferredAssets,"8,669,000","65,832,000","0","151,284,000","185,311,000","4,446,000","5,541,000","0"
		DeferredTaxAssets,"8,669,000","65,832,000","0","151,284,000","185,311,000",,,
