name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalRevenue,"-107,625,000","1,471,820,000","1,364,990,000","1,350,978,000","769,946,000","294,569,000","456,210,000","189,540,000","38,102,000"
	NetInterestIncome,"791,862,000","832,379,000","1,057,790,000","1,058,814,000","703,311,000","371,059,000","206,149,000","72,543,000","33,055,000"
		InterestIncome,"1,729,636,000","1,766,130,000","1,664,223,000","1,519,679,000","1,076,735,000","645,072,000","346,857,000","87,567,000","33,759,000"
			InterestIncomeFromLoansAndLease,"1,096,554,000","1,159,695,000","938,752,000","805,637,000","554,861,000","153,304,000","107,470,000","42,183,000","6,263,000"
			InterestIncomeFromSecurities,,,"573,539,000","431,706,000","265,862,000","110,123,000","60,208,000","39,533,000","6,263,000"
			OtherInterestIncome,"633,082,000","606,435,000","725,471,000","714,042,000","521,874,000","491,768,000","239,387,000","45,384,000","27,496,000"
		InterestExpense,"937,774,000","933,751,000","606,433,000","460,865,000","373,424,000","274,013,000","140,708,000","15,024,000","704,000"
			InterestExpenseForLongTermDebtAndCapitalSecurities,"176,583,000","190,856,000","123,473,000","104,281,000","80,102,000","23,125,000","15,257,000",,
			OtherInterestExpense,"761,191,000","742,895,000","482,960,000","356,584,000","293,322,000","250,888,000","125,451,000","15,024,000","704,000"
	NonInterestIncome,"-899,487,000","639,441,000","307,200,000","292,164,000","66,635,000","-76,490,000","250,061,000","116,997,000","5,047,000"
		FeesAndCommissions,"-436,566,000","46,468,000","245,670,000","150,304,000","24,726,000","-39,944,000","-18,564,000","-15,343,000","5,047,000"
			FeesandCommissionIncome,"-69,809,000","385,159,000","528,595,000","424,349,000","118,169,000","0","5,000,000",,"8,400,000"
				ServiceChargeOnDepositorAccounts,"-69,809,000","385,159,000","528,595,000","424,349,000","118,169,000",,,,
				OtherCustomerServices,,,,,,,"5,000,000",,"8,400,000"
			FeesandCommissionExpense,"366,757,000","338,691,000","282,925,000","274,045,000","93,443,000","39,944,000","23,564,000","15,343,000","3,353,000"
		GainLossonSaleofAssets,"-484,102,000","571,792,000","61,530,000","141,860,000","41,909,000","-36,546,000","268,625,000","132,340,000","0"
			GainOnSaleOfSecurity,"-782,100,000","20,152,000","-114,564,000","70,118,000","-78,402,000","-107,797,000","105,317,000","49,484,000","0"
			GainonSaleofLoans,"392,599,000","560,867,000","187,539,000","78,573,000","112,819,000","78,994,000","166,994,000","82,856,000","0"
			GainonSaleofInvestmentProperty,"-94,601,000","-9,227,000","-11,445,000","-6,831,000","7,492,000","-7,743,000","-3,686,000",,
		OtherNonInterestIncome,,"21,181,000",,,,,,,
CreditLossesProvision,"-149,768,000","-10,403,000","-60,624,000","-75,758,000","-77,716,000","-18,596,000","-9,891,000","-461,000","0"
NonInterestExpense,"724,392,000","629,927,000","326,479,000","148,532,000","80,767,000","77,879,000","81,335,000","27,131,000","5,878,000"
	SellingGeneralAndAdministration,"724,392,000","629,927,000","326,479,000","148,532,000","80,767,000","77,879,000","81,335,000","27,131,000","5,878,000"
		GeneralAndAdministrativeExpense,"724,392,000","629,927,000","326,479,000","148,532,000","80,767,000","77,879,000","81,335,000","27,131,000","5,878,000"
			OtherGandA,"724,392,000","629,927,000","326,479,000","148,532,000","80,767,000","77,879,000","81,335,000","27,131,000","5,878,000"
	OtherNonInterestExpense,,,,,,,,"42,474,000",
SpecialIncomeCharges,,"39,052,000","-1,581,000",,,,,,
	RestructuringAndMergernAcquisition,,"10,487,000","1,581,000",,,,,,
	ImpairmentOfCapitalAssets,,"49,539,000",,,,,,,
OtherNonOperatingIncomeExpenses,"-387,645,000","-222,843,000","-45,206,000","55,592,000","10,164,000","72,787,000","100,072,000","103,675,000","9,023,000"
PretaxIncome,"-1,328,333,000","647,699,000","931,100,000","1,182,280,000","621,627,000","270,881,000","465,056,000","265,623,000","41,247,000"
TaxProvision,"-171,099,000","41,766,000","-73,431,000","167,628,000","38,911,000","-11,001,000","22,957,000","0","0"
NetIncomeCommonStockholders,"-1,197,894,000","550,015,000","963,967,000","957,533,000","504,453,000","268,636,000","352,877,000","265,949,000","41,247,000"
	NetIncome,"-1,173,391,000","563,296,000","963,967,000","957,533,000","504,453,000","268,636,000","352,877,000","265,949,000","41,247,000"
		NetIncomeIncludingNoncontrollingInterests,"-1,157,234,000","605,933,000","1,004,531,000","1,014,652,000","582,716,000","281,882,000","442,099,000","265,623,000","41,247,000"
			NetIncomeContinuousOperations,"-1,157,234,000","605,933,000","1,004,531,000","1,014,652,000","582,716,000","281,882,000","442,099,000","265,623,000","41,247,000"
		MinorityInterests,"-16,157,000","-42,637,000","-40,564,000","-57,119,000","-78,263,000","-13,246,000","-89,222,000","326,000","0"
	PreferredStockDividends,,"13,281,000",,,,,,,
DilutedNIAvailtoComStockholders,"-1,197,894,000","550,015,000","963,967,000","957,533,000","504,453,000","268,636,000","352,877,000","265,949,000","41,247,000"
BasicEPS,,,"2.82","3.17","2.12","1.34","2.59","2.1","0.326"
DilutedEPS,,,"2.81","3.15","2.12","1.32","2.53","2.06","0.326"
BasicAverageShares,,,"341,268,923","302,238,065","238,122,665","200,739,809","136,472,865","126,539,024","126,512,822"
DilutedAverageShares,,,"343,137,361","304,381,388","238,486,772","202,907,605","139,565,709","128,684,127","126,512,822"
InterestIncomeAfterProvisionForLoanLoss,"642,094,000","821,976,000","997,166,000","983,056,000","625,595,000","352,463,000","196,258,000","72,082,000","33,055,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-1,173,391,000","563,296,000","963,967,000","957,533,000","504,453,000","268,636,000","352,877,000","265,949,000","41,247,000"
NormalizedIncome,"-1,090,975,300.297","535,394,225.063","973,475,980","963,353,012","497,429,964.849","273,281,800","356,380,911.6","265,949,000","41,247,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-1,173,391,000","563,296,000","963,967,000","957,533,000","504,453,000","268,636,000","352,877,000","265,949,000","41,247,000"
TotalUnusualItemsExcludingGoodwill,"-94,601,000","29,825,000","-13,026,000","-6,831,000","7,492,000","-7,743,000","-3,686,000",,
TotalUnusualItems,"-94,601,000","29,825,000","-13,026,000","-6,831,000","7,492,000","-7,743,000","-3,686,000",,
TaxRateForCalcs,"0.129","0.064","0.27","0.148","0.063","0.4","0.049","0","0"
TaxEffectOfUnusualItems,"-12,185,300.297","1,923,225.063","-3,517,020","-1,010,988","468,964.849","-3,097,200","-182,088.4","0","0"
