name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,12/31/1989,12/31/1988
TotalAssets,"46,799,000,000","45,429,000,000","45,706,000,000","46,266,000,000","45,502,000,000","45,227,000,000","47,070,000,000","46,038,000,000","16,998,000,000","17,351,000,000","17,319,000,000","17,311,000,000","17,255,000,000","17,351,000,000","17,326,000,000","17,510,000,000","17,469,000,000","17,465,000,000","18,053,000,000","17,766,000,000","17,724,000,000","17,361,000,000","17,491,000,000","17,976,000,000","17,958,000,000","17,853,000,000","18,025,000,000","18,663,000,000","18,206,000,000","17,691,000,000","16,824,000,000","16,642,000,000","16,257,000,000","15,822,000,000","16,217,000,000","15,965,000,000","15,619,300,000","14,532,000,000","13,063,800,000","13,604,000,000","12,922,200,000","12,003,600,000","11,264,500,000","10,495,600,000","10,248,800,000","11,227,500,000","11,979,700,000","10,228,000,000","9,716,600,000","8,624,300,000","8,005,600,000","7,710,200,000","6,217,000,000","5,770,000,000","5,627,400,000","5,592,100,000","5,357,900,000","5,376,800,000","5,207,300,000","5,212,200,000","5,126,800,000","4,865,600,000","4,667,800,000","4,538,500,000","4,567,300,000","4,446,000,000","4,751,000,000","4,785,500,000","4,685,600,000","4,682,900,000","4,613,200,000","4,673,000,000","4,597,300,000","4,488,000,000","4,496,900,000","4,220,000,000","4,145,700,000","4,109,170,000","3,980,685,000","3,933,623,000","3,916,830,000","3,856,100,000","4,388,900,000","4,446,400,000","4,534,300,000","4,360,900,000","4,347,200,000","4,430,400,000","4,427,600,000","4,396,000,000","4,435,700,000","4,446,600,000","2,488,100,000","2,520,500,000","2,497,600,000","2,525,100,000","2,581,800,000","2,195,500,000","2,186,100,000","1,080,000,000","1,027,800,000","1,078,800,000","1,034,800,000","1,036,200,000","1,098,400,000","1,020,100,000","1,001,800,000","1,010,400,000","1,009,600,000","1,016,500,000","1,069,500,000","1,088,500,000","1,091,000,000","1,106,700,000","1,106,400,000","1,109,800,000","1,080,900,000","1,106,800,000","1,126,300,000"
	CurrentAssets,"10,665,000,000","9,724,000,000","10,545,000,000","11,067,000,000","11,662,000,000","11,676,000,000","12,059,000,000","11,301,000,000","3,323,000,000","1,522,000,000","1,506,000,000","1,470,000,000","1,394,000,000","1,510,000,000","1,550,000,000","1,604,000,000","1,553,000,000","1,692,000,000","2,013,000,000","1,830,000,000","1,938,000,000","1,720,000,000","1,720,000,000","2,214,000,000","2,189,000,000","2,217,000,000","2,366,000,000","2,506,000,000","2,496,000,000","2,571,000,000","2,532,000,000","2,425,000,000","2,408,000,000","2,340,000,000","2,316,000,000","2,381,000,000","2,139,900,000","1,975,000,000","1,967,200,000","2,062,500,000","2,271,700,000","2,331,000,000","2,220,900,000","2,106,300,000","2,267,200,000","2,690,200,000","2,119,100,000","1,816,400,000","1,811,300,000","1,650,900,000","1,484,300,000","1,561,000,000","1,310,200,000","1,201,600,000","1,124,000,000","1,144,200,000","1,110,800,000","1,226,100,000","1,221,700,000","1,332,600,000","1,243,600,000","1,103,600,000","909,100,000","744,100,000","733,900,000","838,200,000","945,900,000","950,700,000","832,000,000","849,600,000","795,500,000","890,000,000","819,600,000","860,500,000","868,800,000","968,100,000","871,700,000","864,051,000","740,425,000","734,934,000","726,235,000","667,600,000","680,900,000","728,200,000","774,200,000","704,700,000","684,300,000","751,100,000","734,500,000","797,700,000","825,900,000","838,400,000","460,700,000","490,500,000","465,700,000","460,700,000","501,100,000","425,000,000","414,300,000","222,300,000","164,700,000","172,200,000","150,000,000","142,900,000","158,600,000","203,600,000","150,400,000","138,900,000","140,800,000","126,600,000","139,700,000","144,900,000","125,000,000","129,900,000","121,700,000","114,900,000","131,600,000","141,700,000","166,900,000"
		CashCashEquivalentsAndShortTermInvestments,"671,000,000","568,000,000","616,000,000","373,000,000","2,314,000,000","1,902,000,000","1,956,000,000","460,000,000","116,000,000","97,000,000","97,000,000","62,000,000","32,000,000","153,000,000","143,000,000","74,000,000","91,000,000","73,000,000","449,000,000","217,000,000","215,000,000","152,000,000","107,000,000","533,000,000","628,000,000","555,000,000","630,000,000","585,000,000","562,000,000","461,000,000","491,000,000","417,000,000","430,000,000","394,000,000","408,000,000","473,000,000","411,900,000","359,800,000","366,700,000","298,800,000","385,400,000","391,200,000","371,700,000","263,700,000","283,200,000","499,500,000","269,900,000","364,600,000","719,500,000","555,000,000","449,700,000","454,500,000","325,700,000","191,400,000","129,700,000","172,700,000","93,900,000","328,000,000","423,300,000","479,000,000","458,900,000","380,700,000","206,500,000","11,200,000","4,700,000","57,900,000","63,500,000","71,700,000","24,500,000","74,400,000","32,500,000","90,800,000","45,300,000","61,400,000","51,600,000","114,000,000","100,000,000","95,642,000","31,034,000","28,832,000","44,037,000","23,300,000","17,100,000","31,200,000","68,000,000","35,700,000","22,600,000","32,800,000","8,800,000","74,200,000","99,100,000","81,000,000","-6,300,000","108,500,000","7,300,000","-3,200,000","40,500,000","83,900,000","86,400,000","72,400,000","16,600,000","50,400,000","6,600,000","-4,800,000",,"92,400,000","28,100,000","13,800,000","7,400,000","800,000","4,300,000","-4,000,000","4,300,000","1,600,000","3,000,000","1,500,000","5,600,000","4,200,000","61,100,000"
			CashAndCashEquivalents,"671,000,000","568,000,000","616,000,000","373,000,000","2,314,000,000","1,902,000,000","1,956,000,000","460,000,000","116,000,000","97,000,000","97,000,000","62,000,000","32,000,000","153,000,000","143,000,000","74,000,000","91,000,000","73,000,000","449,000,000","217,000,000","215,000,000","152,000,000","107,000,000","533,000,000","628,000,000","555,000,000","630,000,000","585,000,000","562,000,000","461,000,000","491,000,000","417,000,000","430,000,000","394,000,000","408,000,000","473,000,000","411,900,000","359,800,000","366,700,000","298,800,000","385,400,000","391,200,000","371,300,000","255,100,000","276,800,000","499,500,000","269,900,000","364,600,000","719,500,000","442,500,000","449,700,000","454,500,000","325,700,000","191,400,000","129,700,000","172,700,000","93,900,000","328,000,000","423,300,000","479,000,000","458,900,000","380,700,000","206,500,000","11,200,000","4,700,000","57,900,000","63,500,000","71,700,000","24,500,000","74,400,000","32,500,000","90,800,000","45,300,000","61,400,000","51,600,000","114,000,000","100,000,000","95,642,000","31,034,000","28,832,000","44,037,000","23,300,000","17,100,000","31,200,000","68,000,000","35,700,000","22,600,000","32,800,000","8,800,000","74,200,000","99,100,000","81,000,000","-6,300,000","108,500,000","7,300,000","-3,200,000","40,500,000","83,900,000","86,400,000","72,400,000","16,600,000","50,400,000","6,600,000","-4,800,000",,"92,400,000","28,100,000","13,800,000","7,400,000","800,000","4,300,000","-4,000,000","4,300,000","1,600,000","3,000,000","1,500,000","5,600,000","4,200,000","61,100,000"
				CashFinancial,"532,000,000","326,000,000","378,000,000","247,000,000","1,506,000,000","580,000,000","595,000,000","325,000,000","14,000,000","31,000,000","28,000,000","44,000,000","13,000,000","48,000,000","31,000,000","16,000,000","30,000,000","39,000,000","62,000,000","96,000,000","89,000,000","63,000,000","88,000,000","134,000,000","129,000,000","59,000,000","40,000,000","103,000,000","64,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"139,000,000","242,000,000","238,000,000","126,000,000","808,000,000","1,322,000,000","1,361,000,000","135,000,000","102,000,000","66,000,000","69,000,000","18,000,000","19,000,000","105,000,000","112,000,000","58,000,000","61,000,000","34,000,000","387,000,000","121,000,000","126,000,000","89,000,000","19,000,000","399,000,000","499,000,000","496,000,000","590,000,000","482,000,000","498,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400,000","8,600,000","6,400,000",,,,,"112,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"3,542,000,000","4,843,000,000","5,200,000,000","3,446,000,000","3,342,000,000","4,490,000,000","4,746,000,000","3,230,000,000","468,000,000","617,000,000","499,000,000","530,000,000","518,000,000","575,000,000","534,000,000","701,000,000","589,000,000","822,000,000","805,000,000","837,000,000","910,000,000","820,000,000","848,000,000","905,000,000","638,000,000","853,000,000","949,000,000","1,120,000,000","939,000,000","1,360,000,000","1,254,000,000","1,218,000,000","1,195,000,000","1,327,000,000","1,268,000,000","1,256,000,000","1,043,700,000","975,100,000","787,400,000","1,053,000,000","1,137,900,000","1,138,500,000","998,900,000","1,052,500,000","1,189,900,000","1,373,000,000","1,091,100,000","807,700,000","596,200,000","581,300,000","481,200,000","493,400,000","442,300,000","454,400,000","401,800,000","390,000,000","453,300,000","416,600,000","373,700,000","409,200,000","352,600,000","312,500,000","293,800,000","272,100,000","305,000,000","290,700,000","300,900,000","315,700,000","267,800,000","262,200,000","248,000,000","280,300,000","256,700,000","289,500,000","292,600,000","322,500,000","326,600,000","335,098,000","281,706,000","305,636,000","269,264,000","252,900,000","265,400,000","295,200,000","303,000,000","285,500,000","308,100,000","340,000,000","351,200,000","331,300,000","347,000,000","346,500,000","230,800,000","175,300,000","210,200,000","199,100,000","223,400,000","163,500,000","133,000,000","84,700,000","74,100,000","56,700,000","74,200,000","58,600,000","63,300,000","44,600,000","54,600,000","52,400,000","59,000,000","59,700,000","65,800,000","62,100,000","53,000,000","50,300,000","48,700,000","40,400,000","48,000,000","69,100,000","47,600,000"
			AccountsReceivable,"3,047,000,000","4,843,000,000","5,200,000,000","3,446,000,000","2,746,000,000","4,490,000,000","4,746,000,000","2,646,000,000","390,000,000","617,000,000","499,000,000","530,000,000","427,000,000","575,000,000","534,000,000","701,000,000","468,000,000","822,000,000","805,000,000","837,000,000","708,000,000","820,000,000","848,000,000","905,000,000","500,000,000","853,000,000","949,000,000","1,120,000,000","716,000,000",,,,,,,,"1,013,400,000",,,"693,000,000","507,000,000","537,500,000","998,900,000","1,052,500,000","1,106,500,000","1,373,000,000","1,091,100,000","807,700,000","596,200,000","581,300,000","481,200,000","493,400,000","442,300,000","454,400,000","401,800,000","390,000,000","409,500,000","416,600,000","373,700,000","409,200,000","352,600,000","312,500,000","293,800,000","272,100,000","305,000,000","290,700,000","300,900,000","315,700,000","267,800,000","262,200,000","248,000,000","280,300,000","256,700,000","289,500,000","292,600,000","322,500,000","326,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"3,130,000,000",,,,"2,836,000,000",,,"2,665,000,000","396,000,000",,,,"433,000,000",,,,"475,000,000",,,,"715,000,000",,,,"507,000,000",,,,"724,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
