name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalRevenue,"3,917,000,000","3,814,000,000","3,366,000,000","2,969,000,000","2,877,000,000","1,477,000,000","2,161,290,000","1,423,050,000","732,104,000","715,916,000","839,828,000","961,632,000"
	NetInterestIncome,"3,288,000,000","3,157,000,000","2,783,000,000","2,380,000,000","2,254,000,000","1,216,000,000","1,247,756,000","1,234,329,000","637,901,000","586,456,000","741,995,000","1,028,655,000"
		InterestIncome,"4,277,000,000","4,127,000,000","3,658,000,000","3,196,000,000","3,110,000,000","1,931,000,000","1,981,778,000","2,154,078,000","1,706,292,000","1,871,229,000","1,855,582,000","2,121,347,000"
			InterestIncomeFromLoansAndLease,,"4,127,000,000","3,658,000,000","3,196,000,000","3,110,000,000","1,931,000,000","1,981,778,000","2,154,078,000","1,706,292,000","1,871,229,000","1,835,164,000","2,192,952,000"
				InterestIncomeFromLoans,,"4,127,000,000","3,658,000,000","3,196,000,000","3,110,000,000","1,931,000,000","1,981,778,000","2,154,078,000","1,706,292,000","1,871,229,000",,
			OtherInterestIncome,,,,,,,,,,,"20,418,000","-71,605,000"
		InterestExpense,"989,000,000","970,000,000","875,000,000","816,000,000","856,000,000","715,000,000","734,022,000","919,749,000","1,068,391,000","1,284,773,000","1,113,587,000","1,092,692,000"
	NonInterestIncome,"629,000,000","657,000,000","583,000,000","589,000,000","623,000,000","261,000,000","913,534,000","188,721,000","94,203,000","129,460,000","97,833,000","-67,023,000"
		TotalPremiumsEarned,"467,000,000","460,000,000","429,000,000","420,000,000","449,000,000","211,000,000","166,459,000","148,179,000","126,423,000","120,190,000",,
		GainLossonSaleofAssets,"78,000,000","98,000,000","84,000,000","73,000,000","104,000,000","52,000,000","765,449,000","35,132,000","32,550,000","37,659,000",,
			GainOnSaleOfSecurity,"78,000,000","95,000,000","66,000,000","73,000,000","86,000,000","52,000,000","39,127,000","35,132,000","32,550,000","37,659,000",,
			GainonSaleofLoans,"0","3,000,000","18,000,000",,"18,000,000","0","726,322,000",,,,,
		OtherNonInterestIncome,"84,000,000","99,000,000","70,000,000","96,000,000","70,000,000","-2,000,000","-18,374,000","5,410,000","-64,770,000","-28,389,000","97,833,000","-67,023,000"
CreditLossesProvision,"-1,374,000,000","-1,129,000,000","-1,048,000,000","-955,000,000","-932,000,000","-759,000,000","-474,147,000","-527,661,000","-338,219,000","-329,675,000","-481,883,000","-1,271,096,000"
NonInterestExpense,"1,590,000,000","1,552,000,000","1,631,000,000","1,485,000,000","1,631,000,000","925,000,000","701,439,000","782,171,000","677,238,000","758,424,000","689,561,000","705,423,000"
	SellingGeneralAndAdministration,"1,016,000,000","993,000,000","1,095,000,000","941,000,000","955,000,000","581,000,000","435,449,000","528,799,000","380,843,000","414,992,000","386,456,000","420,824,000"
		GeneralAndAdministrativeExpense,"1,016,000,000","993,000,000","1,095,000,000","941,000,000","955,000,000","581,000,000","435,449,000","528,799,000","380,843,000","414,992,000","386,456,000","420,824,000"
			SalariesAndWages,"808,000,000","808,000,000","903,000,000","757,000,000","788,000,000","485,000,000","359,818,000","463,920,000","320,164,000","359,724,000","386,456,000","420,824,000"
			InsuranceAndClaims,"208,000,000","185,000,000","192,000,000","184,000,000","167,000,000","96,000,000","75,631,000","64,879,000","60,679,000","55,268,000",,
	OtherNonInterestExpense,"574,000,000","559,000,000","536,000,000","544,000,000","676,000,000","344,000,000","265,990,000","253,372,000","296,395,000","343,432,000","303,105,000","284,599,000"
IncomefromAssociatesandOtherParticipatingInterests,,,"0",,"167,000,000",,,,,,,
SpecialIncomeCharges,"-14,000,000","-35,000,000","-63,000,000","-98,000,000","-125,000,000","-62,000,000","-66,175,000","-41,716,000","-23,503,000","10,673,000",,
	RestructuringAndMergernAcquisition,,,"54,000,000","69,000,000","108,000,000","62,000,000","0","0","23,503,000","0",,
	ImpairmentOfCapitalAssets,,,,,,,,,"0",,,
	LossonExtinguishmentofDebt,"14,000,000","35,000,000","9,000,000","29,000,000","17,000,000","0","66,175,000","41,716,000",,"-10,673,000",,
OtherNonOperatingIncomeExpenses,,,,,,,"-15,033,000","6,055,000",,"1,372,000",,
PretaxIncome,"939,000,000","1,098,000,000","624,000,000","431,000,000","356,000,000","-269,000,000","904,496,000","77,557,000","-306,856,000","-360,138,000","354,620,000","-1,014,887,000"
TaxProvision,"204,000,000","243,000,000","177,000,000","248,000,000","113,000,000","-147,000,000","297,046,000","-16,185,000","-88,222,000","-118,405,000","-285,130,000","-482,606,000"
NetIncomeCommonStockholders,"735,000,000","855,000,000","447,000,000","183,000,000","215,000,000","-242,000,000","504,636,000","-19,301,000","-218,634,000","-241,733,000","639,750,000","-532,281,000"
	NetIncome,"735,000,000","855,000,000","447,000,000","183,000,000","215,000,000","-242,000,000","504,636,000","-19,301,000","-218,634,000","-241,733,000","639,750,000","-532,281,000"
		NetIncomeIncludingNoncontrollingInterests,"735,000,000","855,000,000","447,000,000","183,000,000","243,000,000","-122,000,000","607,450,000","93,742,000","-218,634,000","-241,733,000","639,750,000","-532,281,000"
			NetIncomeContinuousOperations,"735,000,000","855,000,000","447,000,000","183,000,000","243,000,000","-122,000,000","607,450,000","93,742,000","-218,634,000","-241,733,000","639,750,000","-532,281,000"
		MinorityInterests,,,"0",,"-28,000,000","-120,000,000","-102,814,000","-113,043,000",,"0",,
