name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"20,411,667,000","19,728,435,000","17,518,292,000","14,860,237,000","11,991,527,000","11,647,551,000","9,581,744,000","9,543,623,000","8,609,683,000","7,263,892,000","8,005,335,000","7,873,890,000","7,846,126,000","8,149,515,000","8,492,022,000","8,898,304,000","9,353,896,000","9,612,556,000","9,080,473,000","8,767,748,000","6,982,900,000","6,166,000,000","5,686,400,000","5,366,600,000","4,822,600,000","4,152,100,000","3,714,500,000","3,192,400,000","2,695,700,000","2,643,900,000","2,184,000,000"
	CashCashEquivalentsAndFederalFundsSold,"276,337,000","317,165,000","290,432,000","255,519,000","219,818,000","239,963,000","206,723,000","264,060,000","222,872,000","251,552,000","497,276,000","193,012,000","296,282,000","532,636,000","418,915,000","254,220,000","222,385,000","236,226,000","296,366,000","202,600,000","185,600,000","170,200,000","168,700,000","187,100,000","261,100,000","248,500,000","1,427,000,000","1,268,600,000","227,500,000","951,100,000","840,700,000"
		CashAndCashEquivalents,"276,337,000","317,165,000","290,432,000","255,519,000","219,818,000","239,963,000","206,723,000","264,060,000","222,872,000","107,368,000","461,656,000","162,893,000","255,192,000","210,303,000","245,364,000","204,678,000","222,385,000","236,226,000","296,366,000","202,600,000","185,600,000","170,200,000","168,700,000","187,100,000","261,100,000","248,500,000","237,100,000","261,800,000","227,500,000","226,600,000","214,500,000"
			CashFinancial,"234,766,000","284,003,000","222,753,000","209,381,000","91,311,000","207,871,000","190,606,000","218,276,000",,,,,,,,,,,,,,,,,,,,,,,
			CashEquivalents,"41,571,000","33,162,000","67,679,000","46,138,000","128,507,000","32,092,000","16,117,000","45,784,000",,,,,,,,,,"223,007,000",,,,,,,,,,,,,
			CashAndDueFromBanks,"29,141,000","26,182,000","54,361,000","36,496,000","125,724,000","20,000,000","11,200,000","41,900,000","222,872,000","107,368,000","461,656,000","162,893,000","255,192,000","210,303,000","245,364,000","204,678,000","222,385,000","13,219,000","296,366,000","202,600,000","185,600,000","170,200,000","168,700,000","187,100,000","261,100,000","248,500,000","237,100,000","261,800,000","227,500,000","226,600,000","214,500,000"
		RestrictedCashAndInvestments,,,,,,,,,"26,400,000",,,,,,,,,,,,,,,,,,,,,,
			RestrictedCashAndCashEquivalents,,,,,,,,,"26,400,000",,,,,,,,,,,,,,,,,,,,,,
		MoneyMarketInvestments,,,,,,,,,"4,800,000","144,184,000","35,620,000","30,119,000","41,090,000","322,333,000","173,551,000","49,542,000",,,,,,,,,,,"1,189,900,000","1,006,800,000",,"724,500,000","626,200,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,"30,119,000","41,090,000","322,333,000","173,551,000","49,542,000",,,,,,,,,,,"1,189,900,000","1,006,800,000",,"724,500,000","626,200,000"
	FederalHomeLoanBankStock,"164,099,000","142,980,000","119,686,000","101,716,000","86,146,000","41,334,000","40,584,000","37,927,000","30,835,000","31,937,000","36,090,000","41,090,000",,,,,,,,,,,,,,,,,,,
	OtherRealEstateOwned,,"3,232,000","8,810,000","18,546,000","12,498,000","16,362,000","21,232,000","37,316,000","37,562,000",,,,,,,,,,,,,,,,,,,,,,
