name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
TotalRevenue,"-10,755,000","-347,456,000","107,558,000","95,464,000","131,735,000","120,041,000","38,583,000","76,494,000","54,630,000","46,951,000","41,026,000","30,331,000","22,124,000","20,707,000","15,591,000","9,900,000","-486,000","-566,000"
	OperatingRevenue,"-10,755,000","-347,456,000","107,558,000","95,464,000","131,735,000","120,041,000","38,583,000","76,494,000","54,630,000","46,951,000","41,026,000","30,331,000","22,124,000","20,707,000","15,591,000","9,900,000","-486,000","-566,000"
OperatingExpense,"-84,065,000","-36,941,000","-32,863,000","-23,490,000","7,286,000","3,881,000","3,377,000","3,936,000","3,384,000","2,623,000","2,722,000","3,021,000","2,057,000","2,489,000","2,196,000","1,908,000","1,593,000","529,000"
	SellingGeneralAndAdministration,"20,694,000","5,549,000","4,972,000","5,752,000","4,421,000","3,881,000","3,377,000","3,936,000","3,384,000","2,623,000","2,722,000","3,021,000","2,057,000","2,489,000","2,196,000","1,908,000","1,593,000","529,000"
		GeneralAndAdministrativeExpense,"20,694,000","5,549,000","4,972,000","5,752,000","4,421,000","3,881,000","3,377,000","3,936,000","3,384,000","2,623,000","2,722,000","3,021,000","2,057,000","2,489,000","2,196,000","1,908,000","1,593,000","529,000"
	OtherOperatingExpenses,,"-42,490,000","-37,835,000","-29,242,000","2,865,000",,,,,,,,,,,,,
PretaxIncome,"73,310,000","-310,515,000","140,421,000","118,954,000","124,449,000","116,160,000","35,206,000","72,558,000","51,246,000","44,328,000","38,304,000","27,310,000","20,067,000","18,218,000","13,395,000","7,992,000","-2,079,000","-2,319,000"
TaxProvision,"2,386,000","2,075,000","230,000","302,000","-221,000","1,673,000","278,000","232,000","531,000","52,000","115,000","28,000","15,000","0",,,,"0"
NetIncomeCommonStockholders,"70,924,000","-312,590,000","140,191,000","118,652,000","124,670,000","114,487,000","34,928,000","72,326,000","50,715,000","44,276,000","38,189,000","27,282,000","20,052,000","18,218,000","13,043,000","7,992,000","-2,079,000","-2,319,000"
	NetIncome,"70,924,000","-312,590,000","140,191,000","118,652,000","124,670,000","114,487,000","34,928,000","72,326,000","50,715,000","44,276,000","38,189,000","27,282,000","20,052,000","18,218,000","13,043,000","7,992,000","-2,079,000","-2,319,000"
		NetIncomeIncludingNoncontrollingInterests,"70,924,000","-312,590,000","140,191,000","118,652,000","124,670,000","114,487,000","34,928,000","72,326,000","50,715,000","44,276,000","38,189,000","27,282,000","20,052,000","18,218,000","13,043,000","7,992,000","-2,079,000","-2,319,000"
			NetIncomeContinuousOperations,"70,924,000","-312,590,000","140,191,000","118,652,000","124,670,000","114,487,000","34,928,000","72,326,000","50,715,000","44,276,000","38,189,000","27,282,000","20,052,000","18,218,000","13,043,000","7,992,000","-2,079,000","-2,319,000"
DilutedNIAvailtoComStockholders,"70,924,000","-312,590,000","140,191,000","118,652,000","124,670,000","114,487,000","34,928,000","72,326,000","50,715,000","44,276,000","38,189,000","27,282,000","20,052,000","18,218,000","13,043,000","7,992,000","-2,079,000","-2,319,000"
BasicEPS,,"-0.79",,"0.31","0.325","0.298",,"0.31","0.217","0.19",,"0.117","0.086","0.078",,"0.034","-0.009","-0.01"
DilutedEPS,,"-0.79",,"0.31","0.325","0.298",,"0.189","0.132","0.115",,"0.071","0.052","0.047",,"0.021","-0.009","-0.01"
BasicAverageShares,,"393,441,711",,"384,846,445","383,693,244","383,693,244",,"233,646,939","233,646,939","233,646,939",,"233,646,939","233,646,939","233,646,939",,"233,646,939","233,646,939","233,646,939"
DilutedAverageShares,,"393,441,711",,"384,846,445","383,693,244","383,693,244",,"383,693,244","383,693,244","383,693,244",,"383,693,244","383,693,244","383,693,244",,"383,693,244","383,693,244","383,693,244"
