name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalAssets,"5,382,300,000","3,828,700,000","3,808,200,000","3,738,500,000","3,845,200,000","4,023,600,000","3,355,500,000","3,464,900,000","3,603,000,000"
	CurrentAssets,"435,800,000","429,500,000","376,000,000","378,200,000","416,600,000","355,300,000","317,200,000","315,000,000","343,500,000"
		CashCashEquivalentsAndShortTermInvestments,"59,100,000","52,700,000","48,300,000","65,200,000","101,600,000","28,500,000","29,800,000","20,200,000","37,600,000"
			CashAndCashEquivalents,"59,100,000","52,700,000","48,300,000","65,200,000","101,600,000","28,500,000","29,800,000","20,200,000","37,600,000"
		Receivables,"290,000,000","264,900,000","231,100,000","222,000,000","209,500,000","217,500,000","178,800,000","175,100,000","184,800,000"
			AccountsReceivable,"290,000,000","264,900,000","231,100,000","222,000,000","209,500,000","217,500,000","178,800,000","175,100,000","184,800,000"
				GrossAccountsReceivable,"302,100,000","275,600,000","242,600,000","231,200,000","218,400,000","231,700,000","194,500,000","194,400,000","207,200,000"
				AllowanceForDoubtfulAccountsReceivable,"-12,100,000","-10,700,000","-11,500,000","-9,200,000","-8,900,000","-14,200,000","-15,700,000","-19,300,000","-22,400,000"
		PrepaidAssets,"79,800,000","102,100,000","86,800,000","83,200,000","83,400,000","94,300,000","78,200,000","87,600,000","89,400,000"
		RestrictedCash,"1,800,000","1,400,000",,,,,,,
		CurrentDeferredAssets,,,,,"1,600,000","2,300,000","24,500,000","26,100,000","25,600,000"
			CurrentDeferredTaxesAssets,,,,,"1,600,000","2,300,000","24,500,000","26,100,000","25,600,000"
		AssetsHeldForSaleCurrent,,,,"0","5,200,000",,,,
		OtherCurrentAssets,"5,100,000","8,400,000","9,800,000","7,800,000","15,300,000","12,700,000","5,900,000","6,000,000","6,100,000"
	TotalNonCurrentAssets,"4,946,500,000","3,399,200,000","3,432,200,000","3,360,300,000","3,428,600,000","3,668,300,000","3,038,300,000","3,149,900,000","3,259,500,000"
		NetPPE,"2,123,200,000","652,900,000","662,100,000","665,000,000","701,700,000","782,900,000","755,400,000","807,900,000","858,200,000"
			GrossPPE,"3,650,800,000","2,089,200,000","2,044,600,000","1,961,200,000","1,885,800,000","1,975,900,000","1,892,000,000","1,879,200,000","1,843,300,000"
				Properties,"0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"98,800,000","97,500,000","94,400,000","90,700,000","89,900,000","88,100,000","88,600,000","87,800,000","87,600,000"
				BuildingsAndImprovements,"50,400,000","48,700,000","51,300,000","48,200,000","44,100,000","47,000,000","45,000,000","45,700,000","44,700,000"
				MachineryFurnitureEquipment,"153,100,000","134,300,000","120,700,000","88,500,000","79,100,000","78,100,000","77,200,000","76,300,000","71,200,000"
				OtherProperties,"3,323,100,000","1,789,400,000","1,750,800,000","1,696,600,000","1,643,600,000","1,745,600,000","1,662,300,000","1,655,900,000","1,627,100,000"
				ConstructionInProgress,"25,400,000","19,300,000","27,400,000","37,200,000","29,100,000","17,100,000","18,900,000","13,500,000","12,700,000"
			AccumulatedDepreciation,"-1,527,600,000","-1,436,300,000","-1,382,500,000","-1,296,200,000","-1,184,100,000","-1,193,000,000","-1,136,600,000","-1,071,300,000","-985,100,000"
		GoodwillAndOtherIntangibleAssets,"2,634,000,000","2,616,900,000","2,708,900,000","2,634,700,000","2,645,200,000","2,787,400,000","2,230,100,000","2,297,200,000","2,351,900,000"
			Goodwill,"2,083,100,000","2,079,700,000","2,128,000,000","2,089,400,000","2,074,700,000","2,154,200,000","1,865,700,000","1,877,200,000","1,872,300,000"
			OtherIntangibleAssets,"550,900,000","537,200,000","580,900,000","545,300,000","570,500,000","633,200,000","364,400,000","420,000,000","479,600,000"
		NonCurrentPrepaidAssets,"116,100,000","60,600,000",,,,,,,
		OtherNonCurrentAssets,"73,200,000","68,800,000","61,200,000","60,600,000","81,700,000","98,000,000","52,800,000","44,800,000","49,400,000"
TotalLiabilitiesNetMinorityInterest,"4,255,900,000","2,683,400,000","2,581,600,000","2,505,500,000","2,632,600,000","2,578,100,000","2,555,900,000","621,000,000","612,400,000"
	CurrentLiabilities,"650,000,000","402,600,000","299,600,000","251,500,000","265,600,000","255,200,000","647,000,000","205,600,000","196,700,000"
		PayablesAndAccruedExpenses,"183,800,000","151,000,000","145,000,000","182,800,000","167,200,000","175,000,000","570,300,000","135,100,000","126,800,000"
			Payables,"67,900,000","68,400,000","56,100,000","85,600,000","83,600,000","75,200,000","514,800,000","77,700,000","72,800,000"
				AccountsPayable,"67,900,000","68,400,000","56,100,000","85,600,000","83,600,000","75,200,000","80,000,000","77,700,000","72,800,000"
				OtherPayable,,,,,,,"434,800,000",,
			CurrentAccruedExpenses,"115,900,000","82,600,000","88,900,000","97,200,000","83,600,000","99,800,000","55,500,000","57,400,000","54,000,000"
				InterestPayable,"26,400,000","19,100,000","16,100,000","15,700,000","19,500,000","18,000,000",,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"56,100,000","47,100,000","34,600,000","33,900,000","39,400,000","34,600,000","28,200,000","30,300,000","28,400,000"
		CurrentDebtAndCapitalLeaseObligation,"363,300,000","160,000,000","80,000,000",,,,,,
			CurrentDebt,"195,000,000","160,000,000","80,000,000",,,,,,
				LineOfCredit,"195,000,000","160,000,000","80,000,000",,,,,,
				OtherCurrentBorrowings,"195,000,000",,,,,,,,
			CurrentCapitalLeaseObligation,"168,300,000",,,,,,,,
		CurrentDeferredLiabilities,"29,000,000","29,800,000","21,300,000","20,200,000","20,700,000","18,600,000","22,900,000","15,900,000","15,000,000"
			CurrentDeferredRevenue,"29,000,000","29,800,000","21,300,000","20,200,000","20,700,000","18,600,000","22,900,000","15,900,000","15,000,000"
		OtherCurrentLiabilities,"17,800,000","14,700,000","18,700,000","14,600,000","38,300,000","27,000,000","25,600,000","24,300,000","26,500,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"3,605,900,000","2,280,800,000","2,282,000,000","2,254,000,000","2,367,000,000","2,322,900,000","1,908,900,000","415,400,000","415,700,000"
		LongTermProvisions,"35,100,000","34,200,000","34,700,000","34,100,000","33,200,000","36,600,000","31,700,000","30,600,000","29,300,000"
		LongTermDebtAndCapitalLeaseObligation,"3,507,200,000","2,149,600,000","2,145,300,000","2,136,800,000","2,251,700,000","2,198,300,000","1,520,000,000",,
			LongTermDebt,"2,222,100,000","2,149,600,000","2,145,300,000","2,136,800,000","2,251,700,000","2,198,300,000","1,520,000,000",,
			LongTermCapitalLeaseObligation,"1,285,100,000",,,,,,,,
		NonCurrentDeferredLiabilities,"18,000,000","17,000,000","19,600,000","8,500,000","10,900,000","17,200,000","288,500,000","313,800,000","322,000,000"
			NonCurrentDeferredTaxesLiabilities,"18,000,000","17,000,000","19,600,000","8,500,000","10,900,000","17,200,000","288,500,000","313,800,000","322,000,000"
		OtherNonCurrentLiabilities,"45,600,000","80,000,000","82,400,000","74,600,000","71,200,000","70,800,000","68,700,000","71,000,000","64,400,000"
