name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"22,799,000,000","20,393,000,000","17,824,000,000","12,508,000,000","10,090,000,000","12,480,000,000","19,312,000,000","24,455,000,000","24,172,000,000","23,954,000,000","19,157,000,000","15,531,000,000","24,480,000,000","20,013,000,000","18,160,000,000","16,259,000,000","11,368,000,000","9,326,000,000","7,338,000,000","13,985,000,000","13,574,000,000","7,610,000,000","6,596,000,000","8,016,000,000","10,557,000,000","10,423,000,000","9,236,000,000","8,116,000,000","8,494,000,000","10,096,000,000","21,694,000,000","20,068,000,000","19,417,000,000","17,096,000,000","15,344,100,000","14,534,400,000"
	OperatingRevenue,"22,799,000,000","20,393,000,000","17,824,000,000","12,508,000,000","10,090,000,000","12,480,000,000","19,312,000,000","24,455,000,000","24,172,000,000","23,954,000,000","19,045,000,000","15,403,000,000","24,217,000,000","18,784,000,000","17,661,000,000","15,208,000,000","11,368,000,000","9,326,000,000","7,338,000,000","13,985,000,000","13,574,000,000","7,610,000,000","6,596,000,000","8,016,000,000","10,557,000,000","10,423,000,000","9,236,000,000","8,116,000,000","8,494,000,000","10,096,000,000","21,694,000,000","20,068,000,000","19,417,000,000","17,096,000,000","15,344,100,000","14,534,400,000"
CostOfRevenue,"15,338,000,000","13,697,000,000","10,545,000,000","9,596,000,000","9,457,000,000","10,348,000,000","11,064,000,000","12,909,000,000","12,355,000,000","7,385,000,000","6,374,000,000","5,627,000,000","7,750,000,000","7,049,000,000","6,579,000,000","5,871,000,000","4,728,000,000","4,127,000,000","3,561,000,000","9,672,000,000","9,057,000,000","5,122,000,000","4,568,000,000","5,168,000,000","7,030,000,000","7,055,000,000","6,838,000,000","6,058,000,000","6,334,000,000","7,474,000,000","18,224,000,000","16,413,000,000","15,782,000,000","13,792,000,000","12,815,700,000","11,673,700,000"
GrossProfit,"7,461,000,000","6,696,000,000","7,279,000,000","2,912,000,000","633,000,000","2,132,000,000","8,248,000,000","11,546,000,000","11,817,000,000","16,569,000,000","12,783,000,000","9,904,000,000","16,730,000,000","12,964,000,000","11,581,000,000","10,388,000,000","6,640,000,000","5,199,000,000","3,777,000,000","4,313,000,000","4,517,000,000","2,488,000,000","2,028,000,000","2,848,000,000","3,527,000,000","3,368,000,000","2,398,000,000","2,058,000,000","2,160,000,000","2,622,000,000","3,470,000,000","3,655,000,000","3,635,000,000","3,304,000,000","2,528,400,000","2,860,700,000"
OperatingExpense,"4,557,000,000","3,881,000,000","2,162,000,000","1,817,000,000","1,669,000,000","1,649,000,000","2,203,000,000","2,806,000,000","2,627,000,000","5,977,000,000","5,033,000,000","4,925,000,000","4,686,000,000","4,047,000,000","3,460,000,000","2,962,000,000","2,370,000,000","2,095,000,000","1,712,000,000","1,646,000,000","1,592,000,000","1,462,000,000","1,566,000,000","1,971,000,000","2,232,000,000","2,147,000,000","1,885,000,000","1,688,000,000","1,878,000,000","1,909,000,000","2,301,000,000","2,484,000,000","2,594,000,000","2,275,000,000","1,714,500,000","1,822,600,000"
	SellingGeneralAndAdministration,"1,002,000,000","882,000,000","1,613,000,000","1,424,000,000","1,330,000,000","1,270,000,000","1,503,000,000","1,801,000,000","1,602,000,000","1,523,000,000","1,396,000,000","1,375,000,000","1,285,000,000","1,668,000,000","1,418,000,000","1,477,000,000","1,067,000,000","918,000,000","700,000,000","675,000,000","691,000,000","645,000,000","709,000,000","1,138,000,000","1,304,000,000","1,194,000,000","988,000,000","781,000,000","991,000,000","954,000,000","1,195,000,000","1,358,000,000","1,604,000,000","1,246,000,000","759,100,000","786,300,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"3,591,000,000","3,153,000,000","3,117,000,000","2,710,000,000","2,379,000,000","2,042,000,000","1,485,000,000","1,303,000,000","1,177,000,000","1,012,000,000","971,000,000","901,000,000","817,000,000","857,000,000","833,000,000","928,000,000","953,000,000","897,000,000","907,000,000","887,000,000","955,000,000","1,106,000,000","1,126,000,000","990,000,000","995,000,000","906,000,000","880,200,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,"2,379,000,000","2,042,000,000","1,485,000,000","1,303,000,000","1,177,000,000","1,012,000,000","971,000,000","901,000,000","817,000,000","857,000,000","833,000,000","928,000,000","953,000,000","897,000,000","907,000,000","887,000,000","955,000,000","1,106,000,000","1,126,000,000","990,000,000","995,000,000","906,000,000","880,200,000"
	OtherTaxes,"778,000,000","707,000,000","439,000,000","311,000,000","277,000,000","343,000,000","550,000,000","749,000,000","680,000,000","605,000,000","484,000,000","433,000,000","588,000,000",,,,,,,,,,,,,,,,,,,,,"34,000,000","49,400,000","156,100,000"
	OtherOperatingExpenses,"2,777,000,000","2,292,000,000","110,000,000","82,000,000","62,000,000","36,000,000","150,000,000","256,000,000","345,000,000","258,000,000",,,"103,000,000",,,,,,,,,,,,,,,,,,,,,,,
