name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalRevenue,"1,119,631,000","1,130,421,000","1,178,980,000","1,094,312,000","1,082,683,000","925,902,000","736,294,000","324,410,000","291,478,000","294,067,000","298,985,000","254,964,000","243,759,000","298,029,000","258,423,000","174,325,000","142,644,000","119,690,000","82,431,000","37,040,000","23,372,000","2,822,000"
	NetInterestIncome,"1,009,500,000","1,014,629,000","1,040,914,000","979,571,000","961,291,000","823,346,000","662,377,000","297,713,000","276,467,000","262,641,000","249,327,000","216,046,000","219,332,000","265,115,000","241,957,000","160,435,000","125,730,000","100,234,000","69,814,000","31,863,000","20,907,000","17,717,000"
		InterestIncome,"1,206,666,000","1,219,893,000","1,161,670,000","1,052,516,000","1,015,912,000","883,938,000","704,775,000","309,914,000","296,115,000","295,284,000","290,284,000","269,874,000","287,828,000","350,981,000","301,597,000","183,352,000","140,147,000","112,881,000","83,903,000","43,114,000","28,831,000","23,405,000"
			InterestIncomeFromLoansAndLease,"1,085,894,000","1,097,845,000","1,047,969,000","952,771,000","924,294,000","819,094,000","657,097,000","272,726,000","260,230,000","260,143,000","265,136,000","258,499,000","280,408,000","343,617,000","292,069,000","174,202,000","130,175,000","101,879,000","74,617,000","33,052,000","23,980,000",
				InterestIncomeFromLoans,,,,,,,,,,"260,143,000","265,136,000","258,499,000","280,408,000","343,617,000","292,069,000","174,202,000","130,175,000","101,879,000","74,617,000","33,052,000","23,980,000",
			InterestIncomeFromSecurities,"113,335,000","115,569,000","111,619,000","98,202,000","90,557,000","64,368,000","47,345,000","36,923,000","35,657,000","34,785,000","24,564,000","10,969,000","7,077,000","5,364,000","9,200,000","7,900,000","9,584,000","10,272,000","8,300,000","6,335,000","2,957,000","353,000"
			InterestIncomeFromDeposits,"7,437,000","6,479,000","2,082,000","1,543,000","1,061,000","476,000","333,000","265,000","228,000","356,000","584,000","406,000","182,000","21,000","31,000","5,000","34,000","12,000","55,000","14,000","257,000",
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,"0","0","161,000","1,979,000","297,000","1,245,000","354,000","718,000","931,000","3,713,000","1,637,000",
			OtherInterestIncome,,,,,,,,,,,,,,,,,,,,,,"23,052,000"
		InterestExpense,"197,166,000","205,264,000","120,756,000","72,945,000","54,621,000","60,592,000","42,398,000","12,201,000","19,648,000","32,643,000","40,957,000","53,828,000","68,496,000","85,866,000","59,640,000","22,917,000","14,417,000","12,647,000","14,089,000","11,251,000","7,924,000","5,688,000"
