name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"76,589,000,000","19,868,000,000","19,416,000,000","18,502,000,000","21,229,000,000","24,346,000,000","24,873,000,000","23,407,000,000","22,958,000,000","23,567,000,000","22,700,000,000","20,823,000,000","21,737,000,000","21,403,000,000","21,693,000,000","20,320,000,000","17,989,000,000","22,147,000,000","23,179,000,000","26,021,000,000","25,967,000,000","33,409,000,000","38,844,000,000","36,910,000,000","34,494,000,000","35,593,000,000","33,955,000,000","35,569,000,000","36,345,000,000","41,277,923,365.965","36,484,228,221.102","34,659,000,000","37,410,000,000","36,120,000,000","38,973,000,000","38,234,000,000","32,613,000,000","31,988,000,000","30,881,000,000","29,624,000,000","27,559,000,000","26,200,000,000","25,875,000,000","21,582,000,000","18,212,000,000","22,337,000,000","36,083,000,000","33,495,000,000","26,342,000,000","25,324,000,000","23,447,000,000","20,564,000,000","18,400,000,000","19,020,000,000","19,806,000,000","17,307,000,000","16,214,000,000","16,263,000,000","15,633,000,000","13,694,000,000","10,734,000,000","10,701,000,000","10,221,000,000","8,595,000,000","7,935,000,000","8,149,000,000","8,218,000,000","7,387,000,000","7,043,000,000","5,930,000,000","5,939,000,000","6,014,000,000","4,729,000,000","5,624,000,000","5,941,000,000","6,430,000,000","6,554,000,000","7,839,000,000","6,894,000,000","6,447,000,000","5,775,000,000"
	OperatingRevenue,"76,589,000,000","19,868,000,000","19,416,000,000","18,502,000,000","21,229,000,000","24,346,000,000","24,873,000,000","23,407,000,000","22,958,000,000","5,742,000,000","22,700,000,000","20,823,000,000","27,498,000,000","26,805,000,000","21,693,000,000","20,320,000,000","22,991,000,000","27,313,000,000","23,179,000,000","26,021,000,000","32,502,000,000","40,764,000,000","61,863,000,000","36,910,000,000","41,627,000,000","43,094,000,000","41,109,000,000","35,569,000,000","36,345,000,000","73,888,923,365.965","36,484,228,221.102","34,659,000,000","37,410,000,000","36,120,000,000","38,973,000,000","38,234,000,000","32,613,000,000","31,988,000,000","30,881,000,000","29,624,000,000","27,559,000,000","26,200,000,000","25,875,000,000","21,582,000,000","18,212,000,000","22,337,000,000","36,083,000,000","33,495,000,000","26,342,000,000","25,324,000,000","23,447,000,000","20,564,000,000","18,400,000,000","19,020,000,000","19,806,000,000","17,307,000,000","16,214,000,000","16,263,000,000","15,633,000,000","13,694,000,000","10,734,000,000","10,701,000,000","10,221,000,000","8,595,000,000","7,935,000,000","8,149,000,000","8,218,000,000","7,387,000,000","7,043,000,000","5,930,000,000","5,939,000,000","6,014,000,000","4,729,000,000","5,624,000,000","5,941,000,000","6,430,000,000","6,554,000,000","7,839,000,000","6,894,000,000","6,447,000,000","5,775,000,000"
	ExciseTaxes,,,,,,,,,,,,,"5,761,000,000","5,402,000,000",,,"5,002,000,000","5,166,000,000",,,"6,535,000,000","7,355,000,000","8,014,000,000",,"7,133,000,000","7,501,000,000","7,154,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"45,732,000,000","10,864,000,000","11,855,000,000","10,800,000,000","14,217,000,000","16,074,000,000","16,103,000,000","14,636,000,000","14,704,000,000","15,804,000,000","15,988,000,000","14,181,000,000","14,174,000,000","14,477,000,000","14,506,000,000","13,818,000,000","12,616,000,000","15,160,000,000","16,484,000,000","17,701,000,000","18,140,000,000","24,760,000,000","30,070,000,000","28,382,000,000","26,265,000,000","28,119,000,000","26,707,000,000","26,531,000,000","26,897,000,000","31,577,805,003.461","27,542,272,322.753","26,502,000,000","25,959,000,000","32,031,000,000","24,526,000,000","25,716,000,000","19,033,000,000","19,509,000,000","18,472,000,000","17,456,000,000","15,257,000,000","13,950,000,000","14,350,000,000","10,862,000,000","10,020,000,000","13,569,000,000","23,458,000,000","20,078,000,000","15,760,000,000","15,492,000,000","13,761,000,000","11,202,000,000","10,757,000,000","11,706,000,000","11,819,000,000","9,220,000,000","8,250,000,000","9,500,000,000","8,723,000,000","7,408,000,000","5,206,000,000","6,433,000,000","5,863,000,000","4,439,000,000","4,058,000,000","4,047,000,000","4,196,000,000","4,014,000,000","3,159,000,000","3,509,000,000","2,767,000,000","3,090,000,000","2,575,000,000","3,329,000,000","3,274,000,000","3,385,000,000","3,223,000,000","3,639,000,000","3,858,000,000","3,090,000,000","2,862,000,000"
GrossProfit,"30,857,000,000","9,004,000,000","7,561,000,000","7,702,000,000","7,012,000,000","8,272,000,000","8,770,000,000","8,771,000,000","8,254,000,000","7,763,000,000","6,712,000,000","6,642,000,000","7,563,000,000","6,926,000,000","7,187,000,000","6,502,000,000","5,373,000,000","6,987,000,000","6,695,000,000","8,320,000,000","7,827,000,000","8,649,000,000","8,774,000,000","8,528,000,000","8,229,000,000","7,474,000,000","7,248,000,000","9,038,000,000","9,448,000,000","9,700,118,362.504","8,941,955,898.349","8,157,000,000","11,451,000,000","4,089,000,000","14,447,000,000","12,518,000,000","13,580,000,000","12,479,000,000","12,409,000,000","12,168,000,000","12,302,000,000","12,250,000,000","11,525,000,000","10,720,000,000","8,192,000,000","8,768,000,000","12,625,000,000","13,417,000,000","10,582,000,000","9,832,000,000","9,686,000,000","9,362,000,000","7,643,000,000","7,314,000,000","7,987,000,000","8,087,000,000","7,964,000,000","6,763,000,000","6,910,000,000","6,286,000,000","5,528,000,000","4,268,000,000","4,358,000,000","4,156,000,000","3,877,000,000","4,102,000,000","4,022,000,000","3,373,000,000","3,884,000,000","2,421,000,000","3,172,000,000","2,924,000,000","2,154,000,000","2,295,000,000","2,667,000,000","3,045,000,000","3,331,000,000","4,200,000,000","3,036,000,000","3,357,000,000","2,913,000,000"
OperatingExpense,"12,355,000,000","4,508,000,000","2,441,000,000","2,814,000,000","2,848,000,000","2,277,000,000","4,066,000,000","3,065,000,000","3,133,000,000","7,006,000,000","4,208,000,000","1,984,000,000","2,522,000,000","2,310,000,000","5,878,000,000","4,454,000,000","2,895,000,000","4,186,000,000","4,993,000,000","5,242,000,000","3,135,000,000","5,342,000,000","6,621,000,000","4,699,000,000","5,137,000,000","4,959,000,000","4,721,000,000","3,672,000,000","4,177,000,000","7,615,106,694.354","3,521,210,323.346","4,514,000,000","3,524,000,000","-2,668,000,000","6,066,000,000","3,821,000,000","5,669,000,000","9,370,000,000","5,355,000,000","5,022,000,000","5,051,000,000","8,233,000,000","4,828,000,000","3,960,000,000","3,500,000,000","6,575,000,000","4,938,000,000","3,870,000,000","4,313,000,000","3,799,000,000","3,748,000,000","3,694,000,000","3,796,000,000","3,302,000,000","2,864,000,000","2,643,000,000","2,255,000,000","1,857,000,000","2,242,000,000","2,174,000,000","1,899,000,000","1,742,000,000","1,602,000,000","1,469,000,000","1,257,000,000","1,305,000,000","1,206,000,000","914,000,000","985,000,000","854,000,000","1,291,000,000","1,067,000,000","966,000,000","811,000,000","968,000,000","942,000,000","-3,223,000,000","1,640,000,000","742,000,000","1,206,000,000","758,000,000"
	SellingGeneralAndAdministration,"10,158,000,000","3,712,000,000","2,467,000,000","2,052,000,000","2,217,000,000","1,953,000,000","2,865,000,000","2,545,000,000","2,556,000,000","2,598,000,000","2,113,000,000","1,900,000,000","2,045,000,000","2,413,000,000","1,964,000,000","1,861,000,000","2,035,000,000","2,779,000,000","1,798,000,000","2,174,000,000","2,163,000,000","3,463,000,000","6,596,000,000","2,540,000,000","3,856,000,000","3,581,000,000","2,954,000,000","2,598,000,000","2,859,000,000","5,438,347,572.432","2,508,157,816.672","2,469,000,000","2,575,000,000","2,994,000,000","2,590,000,000","2,671,000,000","2,574,000,000","2,587,000,000","2,539,000,000","2,350,000,000","2,253,000,000","2,185,000,000","2,196,000,000","1,843,000,000","1,606,000,000","665,000,000","2,986,000,000","2,102,000,000","2,517,000,000","3,277,000,000","2,081,000,000","1,927,000,000","2,317,000,000","1,852,000,000","1,579,000,000","1,421,000,000","1,218,000,000","830,000,000","1,305,000,000","1,266,000,000","1,073,000,000","912,000,000","810,000,000","608,000,000","571,000,000","669,000,000","518,000,000","444,000,000","460,000,000","365,000,000","433,000,000","490,000,000","453,000,000","424,000,000","420,000,000","474,000,000","433,000,000","990,000,000","334,000,000","316,000,000","287,000,000"
		GeneralAndAdministrativeExpense,"5,682,000,000","2,326,000,000","1,215,000,000","1,117,000,000","1,120,000,000","1,405,000,000","1,372,000,000","1,228,000,000","1,283,000,000","1,368,000,000","774,000,000","691,000,000","1,285,000,000","1,487,000,000","937,000,000","810,000,000","1,076,000,000","1,106,000,000","711,000,000","909,000,000","1,561,000,000","1,992,000,000","3,637,000,000","1,297,000,000","2,702,000,000","2,311,000,000","1,703,000,000","1,365,000,000","1,709,000,000","4,087,932,166.518","1,256,303,767.428","1,272,000,000","1,244,000,000",,,"1,322,000,000","2,574,000,000","2,587,000,000","2,539,000,000","2,350,000,000","2,253,000,000","2,185,000,000","2,196,000,000","1,843,000,000","1,606,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"3,443,000,000","1,717,000,000","708,000,000","932,000,000","906,000,000","694,000,000","760,000,000","568,000,000","588,000,000","542,000,000",,,"501,000,000","519,000,000",,,"337,000,000","286,000,000","65,000,000","9,000,000","482,000,000","507,000,000","1,863,000,000","140,000,000","1,425,000,000","779,000,000","257,000,000","114,000,000","320,000,000","185,000,000",,,,,,,"252,000,000","112,000,000","237,000,000","202,000,000","201,000,000","200,000,000","195,000,000","158,000,000","166,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"2,239,000,000","609,000,000","507,000,000","185,000,000","214,000,000","711,000,000","612,000,000","660,000,000","695,000,000","826,000,000","774,000,000","691,000,000","784,000,000","968,000,000","937,000,000","810,000,000","739,000,000","820,000,000","776,000,000","900,000,000","1,079,000,000","1,485,000,000","1,774,000,000","1,157,000,000","1,277,000,000","1,532,000,000","1,446,000,000","1,251,000,000","1,389,000,000","2,232,932,166.518","1,256,303,767.428","1,272,000,000","1,244,000,000",,,"1,322,000,000","2,322,000,000","2,475,000,000","2,302,000,000","2,148,000,000","2,052,000,000","1,985,000,000","2,001,000,000","1,685,000,000","1,440,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
