name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"28,361,100,000","25,482,400,000","23,440,200,000","20,638,900,000","21,109,800,000","20,618,800,000","20,725,500,000","18,627,800,000","17,172,700,000","14,234,100,000","14,569,000,000","16,249,800,000","17,228,200,000","16,107,400,000","13,715,400,000","12,228,000,000","9,939,600,000","8,702,500,000","7,913,900,000","8,270,900,000","7,933,000,000","6,794,800,000","5,599,400,000","5,298,800,000","4,390,500,000","3,928,200,000","3,291,200,000","2,809,300,000","2,737,600,000","2,906,200,000","3,067,100,000","2,831,500,000","1,300,000,000","1,079,500,000","1,057,500,000"
	CurrentAssets,"20,270,500,000","18,160,900,000","15,889,600,000","13,709,600,000","14,689,300,000","14,315,500,000","13,971,000,000","12,779,600,000","12,213,800,000","9,925,200,000","10,040,300,000","11,735,500,000","13,065,900,000","12,788,400,000","10,845,400,000","9,473,200,000","7,617,600,000","6,795,700,000","6,313,000,000","6,787,500,000","6,576,100,000","5,615,100,000","4,669,300,000","4,305,000,000","3,811,900,000","3,400,400,000","2,761,100,000","2,334,800,000","858,000,000","2,450,600,000","2,634,700,000","850,900,000","767,600,000","635,200,000","664,200,000"
		CashCashEquivalentsAndShortTermInvestments,"5,337,200,000","4,456,300,000","3,731,800,000","3,056,600,000","3,464,500,000","3,009,600,000","3,017,600,000","2,465,100,000","3,016,800,000","2,491,300,000","2,131,500,000","2,130,600,000","2,636,600,000","2,674,200,000","2,290,300,000","2,219,500,000","1,724,100,000","1,308,300,000","1,062,100,000","931,400,000","1,059,100,000","432,400,000","337,900,000","222,900,000","184,000,000","311,300,000","223,200,000","250,400,000","294,900,000","329,300,000","457,100,000","360,800,000","334,300,000","21,900,000","19,600,000"
			CashAndCashEquivalents,"4,175,100,000","3,435,900,000","2,364,700,000","1,915,700,000","2,016,400,000","1,737,600,000","1,750,100,000","1,272,400,000","2,106,700,000","2,040,800,000","1,912,000,000","1,955,200,000","1,858,100,000","1,852,500,000","1,698,900,000","1,614,700,000","1,347,000,000","773,000,000","655,200,000","536,700,000","528,400,000","432,400,000","337,900,000","222,900,000","184,000,000","311,300,000","223,200,000","250,400,000","294,900,000","329,300,000","457,100,000","360,800,000","334,300,000","21,900,000","19,600,000"
			OtherShortTermInvestments,"1,162,100,000","1,020,400,000","1,367,100,000","1,140,900,000","1,448,100,000","1,272,000,000","1,267,500,000","1,192,700,000","910,100,000","450,500,000","219,500,000","175,400,000","778,500,000","821,700,000","591,400,000","604,800,000","377,100,000","535,300,000","406,900,000","394,700,000","530,700,000",,,,,,,,,,,,,,
		Receivables,"13,392,100,000","12,155,200,000","10,825,000,000","9,699,600,000","10,182,600,000","10,089,700,000","9,831,700,000","9,200,400,000","8,237,500,000","6,681,300,000","7,052,400,000","8,735,100,000","9,595,400,000","9,207,700,000","7,844,700,000","6,644,800,000","5,474,000,000","5,063,900,000","4,836,200,000","5,435,300,000","5,010,400,000","4,168,600,000","3,494,200,000","3,297,400,000","2,891,000,000","2,749,500,000","2,287,200,000","1,647,900,000","136,000,000","1,709,700,000","1,782,600,000","194,500,000","183,800,000","469,300,000","124,400,000"
			AccountsReceivable,"13,392,100,000","12,155,200,000","10,825,000,000","9,699,600,000","10,182,600,000","10,089,700,000","9,831,700,000","9,200,400,000","977,800,000","610,400,000","554,700,000","8,735,100,000","9,595,400,000","9,207,700,000","7,844,700,000","538,700,000","479,100,000","404,700,000","396,300,000","530,800,000",,,,,,,,,,,,,,,
				GrossAccountsReceivable,"13,504,500,000","12,269,000,000","10,942,200,000","9,810,800,000","10,297,400,000","10,211,700,000","9,961,000,000","9,330,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-112,400,000","-113,800,000","-117,200,000","-111,200,000","-114,800,000","-122,000,000","-129,300,000","-130,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,"3,114,800,000","2,713,900,000","2,875,200,000",,,,,,,,,,,,,,,,,,,,,,,,
