name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalRevenue,"5,301,400,000","5,301,400,000","3,587,918,000","3,147,970,000","3,034,380,000","2,838,358,000","2,590,527,000","2,918,754,000","2,899,465,000","2,742,257,000","2,459,111,000","2,369,275,000","2,423,053,000","2,436,793,000","2,351,463,000","1,412,466,000","1,140,689,000","1,162,995,000","657,546,000","519,392,000","294,123,000","171,500,000","154,100,000","111,500,000","62,800,000","57,700,000","46,000,000","42,200,000"
	OperatingRevenue,"5,301,400,000","5,301,400,000","3,530,637,000","3,305,406,000","3,193,044,000","2,993,345,000","2,740,846,000","3,089,393,000","3,044,205,000","2,742,257,000","2,459,111,000","2,369,275,000","2,423,053,000","2,436,793,000","2,351,463,000","1,412,466,000","1,140,689,000","1,162,995,000","657,546,000","519,392,000","294,123,000","171,500,000","154,100,000","111,500,000","62,800,000","57,700,000","46,000,000","42,200,000"
CostOfRevenue,"2,954,500,000","2,954,500,000","2,047,964,000","1,812,897,000","1,757,848,000","1,621,576,000","1,468,760,000","1,663,891,000","1,686,516,000","1,620,739,000","1,464,897,000","1,427,861,000","1,427,470,000","1,402,638,000","1,306,770,000","855,134,000","681,455,000","708,334,000","405,003,000","314,559,000","189,926,000","91,700,000","85,700,000","67,700,000","38,200,000","35,900,000","29,800,000","28,200,000"
GrossProfit,"2,346,900,000","2,346,900,000","1,539,954,000","1,335,073,000","1,276,532,000","1,216,782,000","1,121,767,000","1,254,863,000","1,212,949,000","1,121,518,000","994,214,000","941,414,000","995,583,000","1,034,155,000","1,044,693,000","557,332,000","459,234,000","454,661,000","252,543,000","204,833,000","104,197,000","79,800,000","68,400,000","43,800,000","24,600,000","21,800,000","16,200,000","14,000,000"
OperatingExpense,"1,601,900,000","1,601,900,000","905,862,000","781,838,000","734,242,000","708,894,000","1,046,774,000","894,310,000","777,589,000","621,937,000","616,279,000","603,635,000","600,691,000","536,346,000","466,852,000","313,784,000","245,454,000","271,478,000","150,420,000","127,121,000","58,310,000","58,600,000","48,800,000","31,600,000","15,400,000","13,600,000","11,500,000","11,600,000"
	SellingGeneralAndAdministration,"1,187,700,000","1,187,700,000","618,951,000","514,776,000","463,028,000","449,433,000","867,793,000","595,984,000","532,241,000","410,461,000","418,938,000","409,199,000","427,146,000","388,431,000","436,632,000","191,933,000","179,669,000","203,991,000","113,964,000","95,028,000","44,716,000","19,500,000","19,100,000","16,200,000","14,000,000","12,700,000","10,800,000","7,600,000"
		GeneralAndAdministrativeExpense,"1,187,700,000","1,187,700,000","618,951,000","514,776,000","463,028,000","449,433,000","867,793,000","595,984,000","532,241,000",,,,,,"329,716,000",,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,"421,388,000","69,502,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,187,700,000","1,187,700,000","618,951,000","514,776,000","463,028,000","449,433,000","446,405,000","526,482,000","532,241,000",,,,,,"329,716,000",,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,"106,916,000",,,,,,,,,,,,,
