name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalAssets,"9,856,214,000","9,391,363,000","8,793,198,000","3,938,782,000","2,514,192,000","2,051,079,000","742,556,000","181,239,000"
	CurrentAssets,"398,373,000","540,712,000","919,486,000","299,488,000","488,326,000","204,161,000","137,326,000","49,078,000"
		CashCashEquivalentsAndShortTermInvestments,"20,739,000","163,216,000","703,472,000","133,379,000","343,084,000","50,550,000","19,393,000","13,673,000"
			CashAndCashEquivalents,"20,739,000","163,216,000","554,189,000","133,379,000","343,084,000","50,550,000","19,393,000","13,673,000"
			OtherShortTermInvestments,,"0","149,283,000",,,,,
		Receivables,"241,184,000","175,143,000","165,709,000","72,162,000","36,607,000","64,385,000","106,733,000","29,325,000"
			AccountsReceivable,"192,216,000","138,987,000","123,147,000","59,174,000","21,219,000","22,700,000","15,202,000","5,732,000"
			DuefromRelatedPartiesCurrent,"48,968,000","36,156,000","42,562,000","12,988,000","15,388,000","41,685,000","91,531,000","23,593,000"
		Inventory,,,,,"0","3,767,000","3,078,000","2,211,000"
			RawMaterials,,,,,"0","3,767,000","3,078,000","2,211,000"
		RestrictedCash,,,"0","3,290,000","1,139,000",,,
		AssetsHeldForSaleCurrent,,"0","1,790,000",,,,,
		HedgingAssetsCurrent,"127,632,000","191,297,000","41,957,000","39,708,000","83,262,000","80,911,000","6,999,000","3,555,000"
		OtherCurrentAssets,"8,818,000","11,056,000","6,558,000","50,949,000","24,234,000","4,548,000","1,123,000","314,000"
	TotalNonCurrentAssets,"9,457,841,000","8,850,651,000","7,873,712,000","3,639,294,000","2,025,866,000","1,846,918,000","605,230,000","132,161,000"
		NetPPE,"9,452,996,000","8,823,887,000","7,835,442,000","3,616,560,000","1,985,753,000","1,760,862,000","586,883,000","124,609,000"
			GrossPPE,"11,620,510,000","10,154,908,000","8,682,429,000","4,136,799,000","2,283,414,000","1,891,793,000","623,205,000","132,779,000"
				MineralProperties,"11,272,124,000","9,948,246,000","8,551,314,000","4,063,417,000","2,246,161,000","1,872,616,000","614,315,000","132,010,000"
				LandAndImprovements,,,,,,"1,189,000",,
				BuildingsAndImprovements,,,,,,"2,660,000",,
				MachineryFurnitureEquipment,,,,,,"13,077,000",,
				OtherProperties,"348,386,000","206,662,000","131,115,000","73,382,000","37,253,000",,"8,890,000","769,000"
				ConstructionInProgress,,,,,,"1,812,000",,
				Leases,,,,,,"439,000",,
			AccumulatedDepreciation,"-2,167,514,000","-1,331,021,000","-846,987,000","-520,239,000","-297,661,000","-130,931,000","-36,322,000","-8,170,000"
		InvestmentsAndAdvances,,,,,,"2,121,000","1,774,000","1,589,000"
			LongTermEquityInvestment,,,,,,"2,121,000","1,774,000","1,589,000"
		FinancialAssets,"0","20,124,000","15,732,000","16,416,000","25,839,000","70,805,000","13,850,000","5,129,000"
		NonCurrentDeferredAssets,,,,,"11,378,000","12,943,000","2,723,000","834,000"
		OtherNonCurrentAssets,"4,845,000","6,640,000","22,538,000","6,318,000","2,896,000","187,000",,
TotalLiabilitiesNetMinorityInterest,"3,333,566,000","3,071,628,000","2,912,492,000","1,508,476,000","927,551,000","1,058,590,000","634,524,000","175,222,000"
	CurrentLiabilities,"795,624,000","648,945,000","612,089,000","344,954,000","228,497,000","220,865,000","191,497,000","59,059,000"
		PayablesAndAccruedExpenses,"570,902,000","492,068,000","517,615,000","231,769,000","188,330,000","178,288,000","186,835,000","51,819,000"
			Payables,"570,902,000","492,068,000","517,615,000","231,769,000","188,330,000","178,288,000","186,835,000","51,819,000"
				AccountsPayable,"416,346,000","364,803,000","407,698,000","162,317,000","151,221,000","139,922,000","158,385,000","42,311,000"
				TotalTaxPayable,"154,556,000","127,265,000","109,917,000","69,452,000","37,109,000","38,366,000","28,419,000","9,177,000"
				DuetoRelatedPartiesCurrent,,,,,,"0","31,000","331,000"
		CurrentProvisions,,"2,134,000","7,203,000","1,818,000","4,698,000",,,
		CurrentDebtAndCapitalLeaseObligation,"61,198,000","2,413,000","2,352,000","67,214,000","951,000","650,000","227,000","6,750,000"
			CurrentDebt,,"2,413,000","2,352,000","67,214,000","951,000","650,000","227,000","6,750,000"
				OtherCurrentBorrowings,,"2,413,000","2,352,000","67,214,000","951,000","650,000","227,000","6,750,000"
			CurrentCapitalLeaseObligation,"61,198,000",,,,,,,
		CurrentDeferredLiabilities,,,,,"0","12,601,000",,
			CurrentDeferredTaxesLiabilities,,,,,"0","12,601,000",,
		OtherCurrentLiabilities,"163,524,000","152,330,000","84,919,000","44,153,000","34,518,000","29,326,000","4,435,000","490,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"2,537,942,000","2,422,683,000","2,300,403,000","1,163,522,000","699,054,000","837,725,000","443,027,000","116,163,000"
		LongTermProvisions,"20,538,000","24,750,000","19,967,000","9,574,000","13,522,000","16,207,000","8,277,000","1,858,000"
