name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"276,087,800,000","243,036,100,000","253,941,200,000","228,014,300,000","218,685,900,000","219,087,000,000","208,191,400,000","161,926,500,000","148,298,000,000","145,631,100,000","137,759,400,000","128,182,400,000","154,520,200,000","143,658,100,000","127,035,400,000","113,798,100,000","107,754,400,000","89,861,300,000","88,350,500,000","84,404,900,000"
	TotalInvestments,"96,351,400,000","84,766,600,000","82,102,700,000","75,835,500,000","69,820,500,000","68,433,800,000","66,756,900,000","68,811,300,000","66,153,500,000","65,977,500,000","63,936,500,000","59,107,300,000","63,502,500,000","47,835,900,000","56,470,600,000","44,172,100,000","54,040,300,000","47,766,600,000","43,591,100,000",
		EquityInvestments,"1,879,400,000","1,843,700,000",,,,,,,"49,488,600,000","48,636,300,000","46,220,600,000","38,302,400,000","47,854,400,000","45,574,500,000","43,045,100,000","41,771,900,000","38,265,100,000","34,666,100,000","30,863,700,000",
		TradingAssets,"675,900,000","636,100,000","2,336,600,000","1,811,800,000","1,889,500,000","1,444,800,000","1,280,000,000","879,500,000","971,700,000","1,120,300,000","1,032,400,000","843,400,000",,,,,,,,
		NetLoan,"17,284,900,000","16,138,300,000","14,958,800,000","14,054,000,000","13,156,500,000","12,640,800,000","12,393,300,000","12,384,600,000","11,612,300,000","12,029,000,000","12,748,100,000","14,010,000,000","13,529,500,000","850,700,000","12,312,000,000","814,500,000","14,312,200,000","11,900,400,000","11,897,600,000",
			MortgageAndConsumerloans,"16,486,900,000","15,336,900,000","14,150,500,000","13,230,200,000","12,339,400,000","11,811,600,000","11,533,600,000","11,519,700,000","10,727,200,000","11,125,100,000","11,845,600,000","13,113,600,000",,,,,,,,
			PolicyLoans,"798,000,000","801,400,000","808,300,000","823,800,000","817,100,000","829,200,000","859,700,000","864,900,000","885,100,000","903,900,000","902,500,000","896,400,000",,,,,,,,
		LongTermEquityInvestment,,,,,,,,,,"486,800,000","435,500,000","400,700,000",,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,,,,,,,,,,"486,800,000","435,500,000","400,700,000",,,,,,,,
		OtherShortTermInvestments,"70,106,200,000","60,108,500,000","59,484,400,000","54,945,000,000","50,071,000,000","49,793,800,000","48,867,600,000","51,075,800,000",,,,"1,814,800,000","2,118,600,000","1,410,700,000","1,113,500,000","1,585,700,000","1,463,000,000","1,200,100,000","829,800,000",
			ShortTermInvestmentsAvailableForSale,"70,106,200,000","60,108,500,000","59,484,400,000","54,945,000,000","50,071,000,000","49,793,800,000","48,867,600,000","51,075,800,000",,,,,,,,,,,,
		OtherInvestedAssets,"6,405,000,000","6,040,000,000","5,322,900,000","5,024,700,000","4,703,500,000","4,554,400,000","4,216,000,000","4,471,400,000","4,080,900,000","3,705,100,000","3,499,900,000","3,736,000,000",,,,,,,,
	CashAndCashEquivalents,"2,515,900,000","2,977,500,000","2,470,800,000","2,719,600,000","2,564,800,000","1,863,900,000","2,371,800,000","4,177,200,000","2,833,900,000","1,877,400,000","2,240,400,000","2,608,000,000","1,344,400,000","1,590,800,000","1,641,300,000","452,500,000","1,692,900,000","1,038,600,000","623,800,000",
	Receivables,"1,740,300,000","1,413,100,000","1,469,800,000","1,361,900,000","1,429,300,000","1,213,000,000","1,241,000,000","1,084,400,000","1,245,200,000","1,063,000,000","1,065,400,000","988,100,000","951,200,000","1,252,300,000","592,700,000","628,500,000","719,800,000","459,700,000","531,300,000",
		AccountsReceivable,"1,740,300,000","1,413,100,000","1,469,800,000","1,361,900,000","1,429,300,000","1,213,000,000","1,241,000,000","1,084,400,000","1,245,200,000","1,063,000,000","1,065,400,000","988,100,000","951,200,000","1,252,300,000","592,700,000","628,500,000","719,800,000","459,700,000","531,300,000",
