name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"39,022,000,000","38,997,700,000","31,954,700,000","26,816,100,000","23,417,400,000","20,831,900,000","19,377,300,000","18,156,400,000","17,070,300,000","15,508,200,000","14,956,900,000","14,563,600,000","12,840,100,000","14,686,800,000","14,786,400,000","14,303,400,000","13,782,100,000","11,892,000,000","9,294,400,000","7,488,200,000","6,771,000,000","6,124,200,000","5,292,400,000","4,608,200,000","3,478,400,000","3,011,900,000","2,415,300,000","1,954,800,000","1,738,900,000","1,493,100,000","136,700,000","1,392,700,000","1,344,700,000","999,900,000","731,900,000","490,800,000"
	TotalPremiumsEarned,"37,163,300,000","36,192,400,000","30,933,300,000","25,729,900,000","22,474,000,000","19,899,100,000","18,398,500,000","17,103,400,000","16,018,000,000","14,902,800,000","14,314,800,000","14,012,800,000","13,631,400,000","13,877,400,000","14,117,900,000","13,764,400,000","13,169,900,000","11,341,000,000","8,883,500,000","7,161,800,000","6,348,400,000","5,683,600,000","4,948,000,000","4,189,500,000","3,199,300,000","2,727,200,000","2,191,100,000","1,668,700,000","1,426,100,000","1,286,900,000",,"1,196,500,000",,,,
		NetPremiumsWritten,,"37,577,900,000","32,609,900,000","25,729,900,000","22,474,000,000","19,899,100,000","18,398,500,000","17,103,400,000","16,018,000,000","15,146,600,000",,"14,002,900,000",,,,,,,,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,,"39,222,000,000","33,753,100,000","26,425,700,000","23,111,200,000","20,454,100,000","18,648,400,000","17,317,900,000","16,207,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			CededPremiums,,"-1,644,100,000","-1,143,200,000","-695,800,000","-637,200,000","-555,000,000","-249,900,000","-214,500,000","-189,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		IncreaseDecreaseInNetUnearnedPremiumReserves,,,,,,,,,,"-243,800,000",,"9,900,000",,,,,,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"967,600,000","954,100,000","727,900,000","474,700,000","369,700,000","408,000,000","381,600,000","397,100,000","419,600,000","480,000,000","520,100,000","507,000,000","637,700,000","680,800,000","647,800,000","536,700,000","484,400,000","465,300,000","455,200,000","413,600,000","385,200,000","340,700,000","294,800,000","274,900,000","225,800,000","199,100,000","158,500,000","134,500,000",,,,,,,,
	NetRealizedGainLossOnInvestments,"100,100,000","1,092,500,000","-337,200,000","114,100,000","137,900,000","136,500,000","232,100,000","324,500,000","314,800,000","102,600,000","96,100,000","27,100,000","-1,445,100,000","106,300,000","-9,700,000","-37,900,000","79,300,000","12,700,000","-78,600,000","-111,900,000","16,900,000","47,200,000","11,400,000","98,500,000","7,100,000","46,700,000","23,800,000","107,900,000",,,,,,,,
	FeeRevenueAndOtherIncome,"791,000,000","758,700,000","630,700,000","497,400,000","435,800,000","388,300,000","365,100,000","331,400,000","317,900,000","22,800,000","25,900,000","16,700,000","16,100,000","22,300,000","30,400,000","40,200,000","48,500,000","73,000,000","34,300,000","24,700,000","20,500,000","52,700,000","38,200,000","45,300,000","46,200,000","38,900,000","41,900,000","43,700,000","312,800,000","206,200,000",,"196,200,000",,,,
		FeesAndCommissions,"587,000,000","563,700,000","472,200,000","370,600,000","332,500,000","302,000,000","309,100,000","291,800,000","281,800,000","22,800,000","25,900,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherIncomeExpense,"204,000,000","195,000,000","158,500,000","126,800,000","103,300,000","86,300,000","56,000,000","39,600,000","36,100,000","22,800,000","32,300,000","16,700,000","16,100,000","22,300,000","30,400,000","40,200,000","48,500,000","73,000,000","34,300,000","24,700,000","20,500,000","52,700,000","38,200,000","45,300,000","46,200,000","38,900,000","41,900,000","43,700,000","312,800,000","206,200,000",,"196,200,000",,,,
