name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"10,511,244,000","10,212,957,000","10,188,331,000","8,573,250,000","7,668,476,000","5,981,964,000","5,822,363,000","5,679,595,000","4,819,998,000","4,136,690,000","4,569,290,000","4,084,389,000","6,289,458,000","9,263,094,000","14,274,408,000","14,694,535,000","11,711,216,000","9,048,926,000","7,471,819,000","5,381,920,000","4,159,051,000","3,730,300,000","2,866,500,000","2,524,000,000","2,384,300,000","2,029,100,000","1,755,900,000","1,632,800,000","1,369,900,000","1,213,800,000","1,152,100,000","1,138,200,000","1,179,200,000","785,400,000","836,900,000","773,300,000"
	OperatingRevenue,"10,511,244,000","10,212,957,000","10,188,331,000","8,573,250,000","7,668,476,000","5,981,964,000","5,822,363,000","5,679,595,000","4,819,998,000","4,136,690,000","4,569,290,000","4,084,389,000","6,289,458,000","9,263,094,000","14,269,844,000","14,694,535,000","11,711,216,000","9,048,926,000","7,471,819,000","5,381,920,000","4,159,051,000","3,730,300,000","2,866,500,000","2,524,000,000","2,384,300,000","2,029,100,000","1,755,900,000","1,632,800,000","1,369,900,000","1,213,800,000","1,152,100,000","1,138,200,000","1,179,200,000","785,400,000","836,900,000","773,300,000"
CostOfRevenue,"8,034,106,000","7,815,568,000","7,814,919,000","6,714,890,000","5,728,662,000","4,558,798,000","4,438,236,000","4,507,333,000","4,063,842,000","3,641,343,000","4,176,062,000","4,658,498,000","7,144,594,000","9,876,667,000","13,081,104,000","12,395,592,000","10,078,359,000","7,960,148,000","6,646,666,000","4,835,609,000","3,795,180,000","3,437,300,000","2,695,600,000","2,435,200,000","2,275,100,000","1,940,800,000","1,639,100,000",,,,,,,"644,100,000","695,400,000","653,500,000"
GrossProfit,"2,477,138,000","2,397,389,000","2,373,412,000","1,858,360,000","1,939,814,000","1,423,166,000","1,384,127,000","1,172,262,000","756,156,000","495,347,000","393,228,000","-574,109,000","-855,136,000","-613,573,000","1,193,304,000","2,298,943,000","1,632,857,000","1,088,778,000","825,153,000","546,311,000","363,871,000","293,000,000","170,900,000","88,800,000","109,200,000","88,300,000","116,800,000",,,,,,,"141,300,000","141,500,000","119,800,000"
OperatingExpense,"1,070,586,000","1,058,537,000","1,025,823,000","905,381,000","970,950,000","602,680,000","680,848,000","581,600,000","527,557,000","519,583,000","895,102,000","672,434,000","814,650,000","1,693,308,000",,"97,279,000","92,434,000","78,632,000","63,170,000","59,662,000","14,230,000","13,500,000","5,000,000","7,800,000","6,700,000","6,300,000","13,200,000","1,392,400,000","1,164,200,000","1,023,000,000","959,200,000","866,900,000","1,085,000,000","166,400,000","104,300,000","93,900,000"
	SellingGeneralAndAdministration,"1,055,279,000","1,044,337,000","1,012,023,000","891,581,000","957,150,000","589,780,000","667,815,000","568,500,000","514,457,000","519,583,000","895,102,000","672,434,000","814,650,000","1,693,308,000",,"97,279,000","92,434,000","78,632,000","63,170,000","59,662,000",,,,,,,,,,,,,,"163,000,000","100,400,000","89,900,000"
	DepreciationAmortizationDepletionIncomeStatement,"15,307,000","14,200,000","13,800,000","13,800,000","13,800,000","12,900,000","13,033,000","13,100,000","13,100,000",,,,,,,,,,,,"14,230,000","13,500,000","5,000,000","7,800,000","6,700,000","6,300,000","13,200,000",,,,,,,"3,400,000","3,900,000","4,000,000"
		DepreciationAndAmortizationInIncomeStatement,"15,307,000","14,200,000","13,800,000","13,800,000","13,800,000","12,900,000","13,033,000","13,100,000","13,100,000",,,,,,,,,,,,"14,230,000","13,500,000","5,000,000","7,800,000","6,700,000","6,300,000","13,200,000",,,,,,,"3,400,000","3,900,000","4,000,000"
			Amortization,"15,307,000","14,200,000","13,800,000","13,800,000","13,800,000","12,900,000","13,033,000","13,100,000","13,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"15,307,000","14,200,000","13,800,000","13,800,000","13,800,000","12,900,000","13,033,000","13,100,000","13,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,406,552,000","1,338,852,000","1,347,589,000","952,979,000","968,864,000","820,486,000","703,279,000","590,662,000","228,599,000","-24,236,000","-501,874,000","-1,246,543,000","-1,669,786,000","-2,306,881,000","1,193,304,000","2,201,664,000","1,540,423,000","1,010,146,000","761,983,000","486,649,000","349,641,000","279,500,000","165,900,000","81,000,000","102,500,000","82,000,000","103,600,000","240,400,000","205,700,000","190,800,000","192,900,000","271,300,000","94,200,000","-25,100,000","37,200,000","25,900,000"
NetNonOperatingInterestIncomeExpense,"14,360,000","16,155,000","6,975,000","2,034,000","2,550,000","2,319,000","3,783,000","3,683,000","4,094,000","3,742,000","6,802,000","6,905,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"15,597,000","16,739,000","7,593,000","2,537,000","3,236,000","3,107,000","4,632,000","4,395,000","4,913,000","5,055,000","9,531,000","9,167,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,237,000","584,000","618,000","503,000","686,000","788,000","849,000","712,000","819,000","1,313,000","2,729,000","2,262,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-34,270,000","-15,431,000","-7,024,000","-16,185,000","-37,564,000","-6,782,000","-17,304,000","-66,523,000","-49,139,000","-289,806,000","-739,474,000","-735,481,000","-12,813,000","-190,022,000","-106,012,000","75,350,000","60,114,000","38,763,000","12,418,000","5,138,000","5,455,000","6,800,000",,,,,,,,,,,,"364,100,000","3,700,000","11,500,000"
	EarningsFromEquityInterest,"1,277,000","747,000","2,690,000","-1,985,000","8,337,000","7,355,000","8,408,000","1,130,000","4,059,000","3,296,000","2,911,000","-49,652,000","-12,813,000","-190,022,000","-62,912,000","75,350,000","60,114,000","38,763,000","12,418,000","5,138,000",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-39,648,000","-18,043,000","-16,992,000","-11,367,000","-17,814,000","-5,021,000","-14,683,000","-30,052,000","-34,349,000","-293,102,000","-661,892,000","-685,829,000",,,"-43,100,000",,,,,,"5,455,000","6,800,000",,,,,,,,,,,,"364,100,000","3,700,000","11,500,000"
		ImpairmentOfCapitalAssets,,,,,,,,"0","0",,"656,298,000",,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"14,531,000","13,116,000","16,992,000","11,367,000","17,157,000","5,021,000","6,099,000","3,122,000","2,278,000",,"5,594,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,"4,927,000",,,"657,000",,"8,584,000","26,930,000","32,071,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"4,101,000","1,865,000","7,278,000","-2,833,000","-28,087,000","-9,116,000","-11,029,000","-37,601,000","-18,849,000",,"-80,493,000",,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,386,642,000","1,339,576,000","1,347,540,000","938,828,000","933,850,000","816,023,000","689,758,000","527,822,000","183,554,000","-310,300,000","-1,234,546,000","-1,975,119,000","-1,682,599,000","-2,496,903,000","1,082,728,000","2,277,014,000","1,600,537,000","995,656,000","728,822,000","491,787,000","355,096,000","286,400,000","165,800,000","81,000,000","102,500,000","82,000,000","103,600,000","113,400,000","77,900,000","45,000,000","31,600,000","51,800,000","43,400,000","12,300,000","40,900,000","37,400,000"
TaxProvision,"332,988,000","322,876,000","325,517,000","491,607,000","331,147,000","321,933,000","215,420,000","-2,092,294,000","-22,591,000","-99,912,000","-137,817,000","-792,552,000","-209,486,000","-222,486,000","393,082,000","840,126,000","602,529,000","378,334,000","284,221,000","189,362,000","136,712,000","108,100,000","64,700,000","31,200,000","39,300,000","33,200,000","41,200,000","35,600,000","5,700,000","2,400,000","1,900,000","-4,000,000","10,200,000","4,800,000","20,200,000","13,700,000"
NetIncomeCommonStockholders,"1,043,191,000","1,006,329,000","1,010,831,000","442,649,000","597,981,000","490,887,000","471,087,000","2,600,508,000","206,145,000","-210,388,000","-1,096,729,000","-1,182,567,000","-1,473,113,000","-2,255,755,000","687,471,000","1,491,913,000","986,541,000","624,634,000","453,645,000","301,393,000","188,513,000","178,200,000","102,100,000","52,800,000","179,600,000","58,300,000","162,800,000","79,400,000","70,100,000","40,700,000","29,700,000","55,800,000","33,200,000","7,500,000","20,700,000","23,700,000"
	NetIncome,"1,053,654,000","1,016,700,000","1,022,023,000","447,221,000","602,703,000","494,090,000","474,338,000","2,620,116,000","206,145,000","-210,388,000","-1,096,729,000","-1,182,567,000","-1,473,113,000","-2,255,755,000","687,471,000","1,491,913,000","986,541,000","624,634,000","453,645,000","301,393,000","188,513,000","178,200,000","102,100,000","52,800,000","179,600,000","58,300,000","162,800,000","79,400,000","70,100,000","40,700,000","29,700,000","55,800,000","33,200,000","7,500,000","20,700,000","23,700,000"
		NetIncomeIncludingNoncontrollingInterests,"1,053,654,000","1,016,700,000","1,022,023,000","447,221,000","602,703,000","494,090,000","474,338,000","2,620,116,000","206,145,000","-210,388,000","-1,096,729,000","-1,182,567,000","-1,473,113,000","-2,255,755,000","687,471,000","1,491,913,000","986,541,000","624,634,000","453,645,000","301,393,000","188,513,000","178,200,000","102,100,000","52,800,000","179,600,000","58,300,000","162,800,000","79,400,000","70,100,000","40,700,000","29,700,000","55,800,000","33,200,000","7,500,000","20,700,000","23,700,000"
			NetIncomeContinuousOperations,"1,053,654,000","1,016,700,000","1,022,023,000","447,221,000","602,703,000","494,090,000","474,338,000","2,620,116,000","206,145,000","-210,388,000","-1,096,729,000","-1,182,567,000","-1,473,113,000","-2,274,417,000","689,646,000","1,436,888,000","998,008,000","617,322,000","444,601,000","302,425,000","218,384,000","178,300,000","101,100,000","49,800,000","63,200,000","48,800,000","62,400,000","77,800,000","72,200,000","42,600,000","29,700,000","55,800,000","33,200,000","7,500,000","20,700,000","23,700,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,"0",,"18,662,000","-2,175,000","55,025,000","-11,467,000","7,312,000","9,044,000","-1,032,000","-29,871,000","-100,000","1,000,000","3,000,000","116,400,000","9,500,000","103,000,000",,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000",,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,600,000","-3,400,000","-2,100,000","-1,900,000",,,,,,
	OtherunderPreferredStockDividend,"10,463,000","10,371,000","11,192,000","4,572,000","4,722,000","3,203,000","3,251,000","19,608,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,"30,000","26,000","45,000","19,000","20,000","19,000","25,000","356,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"1,043,221,000","1,006,355,000","1,010,876,000","442,668,000","598,001,000","490,906,000","471,112,000","2,600,864,000","206,145,000","-210,388,000","-1,096,729,000","-1,182,567,000","-1,473,113,000","-2,255,755,000","687,471,000","1,491,913,000","986,541,000","624,634,000","453,645,000","301,393,000","188,513,000","178,200,000","102,100,000","52,800,000","179,600,000","58,300,000","162,800,000","79,400,000","70,100,000","40,700,000","29,700,000","55,800,000","33,200,000","7,500,000","20,700,000","23,700,000"
BasicEPS,,"3.67","3.56","1.45","1.76","1.38","1.27","6.79","0.54","-0.55","-2.871","-3.106","-5.81","-8.94","2.73","5.84","3.905","2.555","1.875","1.535","1.14","1.03","0.595","0.304","0.896","0.27","0.73","0.355","0.323","0.205","0.148","0.263","0.158","0.038","0.1","0.113"
DilutedEPS,,"3.66","3.55","1.44","1.75","1.36","1.26","6.72","0.54","-0.55","-2.9","-3.75","-5.81","-8.94","2.66","5.68","3.79","2.485","1.838","1.498","1.118","1.018","0.583","0.3","0.896","0.268","0.73","0.355","0.318","0.203","0.148","0.263","0.158","0.038","0.1","0.113"
BasicAverageShares,,"274,495,000","283,578,000","305,089,000","339,747,000","356,576,000","370,377,000","383,077,000","381,562,000","379,877,000","382,027,940","274,327,000","253,512,000","252,192,000","252,200,000","255,492,000","252,590,000","244,324,000","241,812,000","196,392,000","165,240,000","172,984,000","171,936,000","174,040,000","200,390,516","215,925,926","223,013,699","223,661,972","217,364,341","198,536,585","201,355,932","212,571,429","210,793,651","200,000,000","207,000,000","210,666,667"
DilutedAverageShares,,"275,297,000","284,865,000","306,814,000","342,123,000","359,793,000","374,102,000","386,866,000","384,564,000","379,877,000","382,027,940","315,430,000","253,512,000","252,192,000","258,621,000","262,801,000","260,234,000","251,460,000","246,984,000","201,292,000","168,584,000","175,292,000","175,536,000","175,632,000","202,857,143","217,943,925","223,013,699","223,661,972","220,787,402","200,987,654","201,355,932","212,571,429","210,793,651","200,000,000","207,000,000","210,666,667"
TotalExpenses,"9,104,692,000","8,874,105,000","8,840,742,000","7,620,271,000","6,699,612,000","5,161,478,000","5,119,084,000","5,088,933,000","4,591,399,000","4,160,926,000","5,071,164,000","5,330,932,000","7,959,244,000","11,569,975,000","13,081,104,000","12,492,871,000","10,170,793,000","8,038,780,000","6,709,836,000","4,895,271,000","3,809,410,000","3,450,800,000","2,700,600,000","2,443,000,000","2,281,800,000","1,947,100,000","1,652,300,000","1,392,400,000","1,164,200,000","1,023,000,000","959,200,000","866,900,000","1,085,000,000","810,500,000","799,700,000","747,400,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,053,654,000","1,016,700,000","1,022,023,000","447,221,000","602,703,000","494,090,000","474,338,000","2,620,116,000","206,145,000","-210,388,000","-1,096,729,000","-1,182,567,000","-1,473,113,000","-2,255,755,000","687,471,000","1,491,913,000","986,541,000","624,634,000","453,645,000","301,393,000","188,513,000","178,200,000","102,100,000","52,800,000","179,600,000","58,300,000","165,400,000","77,800,000","72,200,000","42,600,000","29,700,000","55,800,000","33,200,000","7,500,000","20,700,000","23,700,000"
NormalizedIncome,"1,083,780,935.281","1,030,394,637","1,034,902,936","454,041,200","614,193,030","497,127,705","484,439,904","2,639,649,800","228,471,850","-11,660,498.949","-508,726,486.308","-771,069,600","-1,473,113,000","-2,274,417,000","717,098,640.552","1,436,888,000","998,008,000","617,322,000","444,601,000","302,425,000","215,029,175.614","174,066,620.112","101,100,000","49,800,000","63,200,000","48,800,000","62,400,000","77,800,000","72,200,000","42,600,000","29,700,000","55,800,000","33,200,000","-214,512,195.122","18,480,000","16,412,566.845"
InterestIncome,"15,597,000","16,739,000","7,593,000","2,537,000","3,236,000","3,107,000","4,632,000","4,395,000","4,913,000","5,055,000","9,531,000","9,167,000",,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"1,237,000","584,000","618,000","503,000","686,000","788,000","849,000","712,000","819,000","1,313,000","2,729,000","2,262,000",,,,,,,,,,,,,,,,,,,,,,,,
