name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,12/31/2006,06/30/2006,12/31/2005,06/30/2005,12/31/2004,12/31/2003,03/31/2003,12/31/2002,03/31/2002,12/31/2001,06/30/2001,12/31/2000,12/31/1999,06/30/1999,12/31/1998,06/30/1998
TotalAssets,"79,370,808,000,000","79,619,088,000,000","78,991,029,000,000","79,739,849,000,000","78,776,991,000,000","81,343,007,000,000","79,935,312,000,000","80,482,147,000,000","79,785,629,000,000","79,980,735,000,000","79,508,373,000,000","78,533,235,000,000","80,137,614,000,000","77,062,747,000,000","79,395,513,000,000","79,453,491,000,000","80,747,970,000,000","83,202,343,000,000","83,636,696,000,000","84,630,883,000,000","85,843,563,000,000","84,846,609,000,000","84,566,975,000,000","86,098,781,000,000","84,455,407,000,000","83,340,344,000,000","83,707,144,000,000","82,252,973,000,000","79,265,851,000,000","79,662,492,000,000","79,850,640,000,000","79,478,958,000,000","78,408,838,000,000","77,934,704,000,000","74,531,054,000,000","71,149,986,000,000","67,945,933,000,000","45,809,625,000,000","44,474,914,000,000","41,166,950,000,000","50,311,748,000,000","38,184,150,000,000","37,638,010,000,000","37,235,454,000,000","46,961,282,000,000","35,365,251,000,000","33,095,707,000,000","30,441,601,000,000","36,295,292,211,777.48","29,711,369,554,049.37","28,557,455,001,020","27,215,908,873,130.4","25,162,000,000,000","23,309,000,000,000","21,781,250,000,000","17,061,250,000,000","19,075,877,810,833.3","18,080,537,176,863.75","19,413,613,713,792","19,315,902,705,578.46","20,102,509,431,412.5","19,637,712,322,483","19,849,118,100,017.58","20,072,620,419,034","18,102,937,695,528"
	CurrentAssets,"35,144,493,000,000","34,710,064,000,000","34,057,839,000,000","34,677,787,000,000","34,151,972,000,000","35,395,137,000,000","33,347,774,000,000","32,908,121,000,000","31,844,259,000,000","30,895,291,000,000","29,876,234,000,000","29,350,948,000,000","29,655,108,000,000","27,438,778,000,000","28,717,792,000,000","28,589,990,000,000","29,501,895,000,000","31,553,420,000,000","31,403,402,000,000","31,948,168,000,000","33,207,927,000,000","31,585,851,000,000","31,873,839,000,000","32,988,089,000,000","31,666,211,000,000","30,976,186,000,000","32,079,535,000,000","31,985,466,000,000","31,566,116,000,000","33,996,851,000,000","35,287,972,000,000","33,335,047,000,000","33,556,911,000,000","33,375,476,000,000","31,661,609,000,000","28,718,620,000,000","27,107,123,000,000","12,812,409,000,000","15,677,412,000,000","13,584,756,000,000","20,634,150,000,000","12,193,113,000,000","12,577,981,000,000","13,267,096,000,000","22,197,633,000,000","12,975,883,000,000","10,983,064,000,000","9,013,177,000,000","14,401,678,869,482.87","11,672,149,348,034.34","10,745,489,120,300","11,517,023,087,791.65","11,329,000,000,000","10,131,000,000,000","7,993,750,000,000","4,278,750,000,000","5,397,202,845,140.04","3,810,777,197,093.7","4,963,052,574,577.35","5,742,710,759,841.8","6,292,625,774,407.5","5,963,873,153,063","6,722,907,422,466.72","6,836,545,231,527","6,513,395,995,777"
		CashCashEquivalentsAndShortTermInvestments,"12,463,380,000,000","10,708,809,000,000","10,020,828,000,000","10,886,639,000,000","8,746,155,000,000","11,722,759,000,000","9,569,246,000,000","10,675,736,000,000","9,594,498,000,000","8,550,689,000,000","7,533,006,000,000","7,614,140,000,000","7,623,249,000,000","8,049,974,000,000","8,404,686,000,000","8,513,749,000,000","8,685,969,000,000","8,772,277,000,000","7,319,019,000,000","6,490,969,000,000","5,196,940,000,000","5,424,392,000,000","5,364,003,000,000","6,676,138,000,000","7,135,145,000,000","6,782,822,000,000","6,229,394,000,000","6,164,286,000,000","6,467,087,000,000","8,709,535,000,000","8,401,129,000,000","5,165,929,000,000","8,254,952,000,000","8,314,667,000,000","7,972,800,000,000","5,726,768,000,000","6,783,692,000,000","3,393,795,000,000","7,000,893,000,000","6,632,986,000,000","8,579,452,000,000","5,781,994,000,000","5,988,387,000,000","4,717,412,000,000","5,607,476,000,000","4,264,188,000,000","3,536,214,000,000","3,721,775,000,000","2,805,613,301,828.05","3,787,807,138,323.45","3,471,035,151,100","4,074,191,067,651.07","3,850,000,000,000","3,837,000,000,000","2,998,750,000,000","1,382,500,000,000","1,728,099,643,540.56","1,342,885,944,733.2","1,362,316,691,905.35","1,929,627,754,346.98","2,269,044,242,115","1,723,103,055,845","2,860,148,154,554.88","1,903,290,244,161","1,308,813,159,194"
			CashAndCashEquivalents,"3,514,872,000,000","2,831,727,000,000","2,553,246,000,000","2,637,550,000,000","2,643,865,000,000","3,237,376,000,000","2,625,811,000,000","2,838,389,000,000","2,612,530,000,000","2,955,477,000,000","2,897,024,000,000","2,725,240,000,000","2,447,619,000,000","3,401,297,000,000","3,678,612,000,000","4,480,381,000,000","4,870,185,000,000","5,242,357,000,000","4,208,728,000,000","4,041,762,000,000","3,811,202,000,000","3,843,231,000,000","3,756,871,000,000","4,358,952,000,000","4,208,562,000,000","4,050,323,000,000","4,971,244,000,000","4,200,226,000,000","4,680,526,000,000","5,123,621,000,000","4,973,304,000,000","5,042,890,000,000","4,598,682,000,000","5,006,916,000,000","4,285,917,000,000","4,028,558,000,000","3,598,822,000,000","226,070,000,000","217,513,000,000","289,473,000,000","2,196,731,000,000","1,007,081,000,000","1,642,595,000,000","1,903,542,000,000","2,490,264,000,000","977,944,000,000","740,659,000,000","521,049,000,000","1,293,312,736,824.22","893,072,826,170.91","1,009,496,680,060","646,442,490,478.55","623,000,000,000","470,000,000,000","621,250,000,000","506,250,000,000","267,366,547,951.8","379,160,478,325.65","404,143,233,578.85","483,955,900,971.8","878,241,464,302.5","516,421,290,480","936,268,520,615.76","1,903,290,244,161","1,308,813,159,194"
				CashFinancial,"2,081,000,000",,,,"1,668,000,000",,,,"1,896,000,000",,,,"11,960,000,000",,,,"2,632,000,000",,,,"2,100,000,000",,,,"12,575,000,000",,,,"8,595,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"3,512,791,000,000",,,,"2,642,197,000,000",,,,"2,610,634,000,000",,,,"2,435,659,000,000",,,,"4,867,553,000,000",,,,"3,809,102,000,000",,,,"4,195,987,000,000",,,,"4,671,931,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"8,948,508,000,000","7,877,082,000,000","7,467,582,000,000","8,249,089,000,000","6,102,290,000,000","8,485,383,000,000","6,943,435,000,000","7,837,347,000,000","6,981,968,000,000","5,595,212,000,000","4,635,982,000,000","4,888,900,000,000","5,175,630,000,000","4,648,677,000,000","4,726,074,000,000","4,033,368,000,000","3,815,784,000,000","3,529,920,000,000","3,110,291,000,000","2,449,207,000,000","1,385,738,000,000","1,581,161,000,000","1,607,132,000,000","2,317,186,000,000","2,926,583,000,000","2,732,499,000,000","1,258,150,000,000","1,964,060,000,000","1,786,561,000,000","3,585,914,000,000","3,427,825,000,000","123,039,000,000","3,656,270,000,000","3,307,751,000,000","3,686,883,000,000","1,698,210,000,000","3,184,870,000,000","3,167,725,000,000","6,783,380,000,000","6,343,513,000,000","6,382,721,000,000","4,774,913,000,000","4,345,792,000,000","2,813,870,000,000","3,117,212,000,000","3,286,244,000,000","2,795,555,000,000","3,200,726,000,000","1,512,300,565,003.83","2,894,734,312,152.54","2,461,538,471,040","3,427,748,577,172.52","3,227,000,000,000","3,367,000,000,000","2,377,500,000,000","876,250,000,000","1,460,733,095,588.76","963,725,466,407.55","958,173,458,326.5","1,445,671,853,375.18","1,390,802,777,812.5","1,206,681,765,365","1,923,879,633,939.12",,
		Receivables,"10,610,959,000,000","11,308,386,000,000","11,458,364,000,000","11,452,890,000,000","10,458,750,000,000","11,643,778,000,000","11,344,555,000,000","10,867,560,000,000","10,391,921,000,000","11,515,706,000,000","11,602,849,000,000","11,140,981,000,000","11,166,350,000,000","10,098,629,000,000","11,222,187,000,000","11,067,872,000,000","11,199,464,000,000","11,943,899,000,000","12,952,279,000,000","13,537,163,000,000","13,598,566,000,000","13,651,048,000,000","14,074,013,000,000","14,108,229,000,000","13,345,939,000,000","12,977,535,000,000","14,011,813,000,000","13,492,171,000,000","12,945,085,000,000","12,109,493,000,000","12,684,698,000,000","14,911,779,000,000","11,469,136,000,000","11,025,643,000,000","10,946,809,000,000","10,776,438,000,000","8,680,718,000,000","3,392,706,000,000","3,286,816,000,000","2,986,000,000,000","5,723,361,000,000","2,594,369,000,000","2,768,618,000,000","3,077,667,000,000","6,432,603,000,000","3,293,949,000,000","2,514,251,000,000","2,146,653,000,000","4,252,962,555,832.76","3,598,372,205,872.95","3,266,856,612,800","3,251,492,956,046.81","3,341,000,000,000","3,146,000,000,000","2,521,250,000,000","1,353,750,000,000","1,812,252,668,422.98","1,012,497,349,808.85","1,586,381,081,416.2","1,690,977,949,123.84","1,927,745,886,457.5","1,998,074,742,969","1,988,613,430,380.42","2,358,284,368,097","2,439,012,922,628"
			AccountsReceivable,"9,481,084,000,000","10,125,255,000,000","10,302,402,000,000","10,467,617,000,000","8,648,250,000,000","10,367,352,000,000","10,191,983,000,000","9,792,367,000,000","8,579,620,000,000","10,278,633,000,000","10,232,983,000,000","10,277,691,000,000","9,320,915,000,000","9,085,847,000,000","9,758,015,000,000","8,627,683,000,000","8,951,108,000,000","9,445,920,000,000","10,223,768,000,000","10,460,031,000,000","10,814,881,000,000","10,845,424,000,000","11,204,130,000,000","11,144,123,000,000","10,299,826,000,000","9,705,422,000,000","10,742,687,000,000","10,358,956,000,000","9,865,436,000,000","1,255,128,000,000","11,415,964,000,000","10,809,995,000,000","7,472,356,000,000","11,025,643,000,000","10,946,809,000,000","10,629,828,000,000",,"3,386,606,000,000","219,138,000,000","203,532,000,000","5,592,715,000,000","100,555,000,000","285,278,000,000","223,402,000,000",,"104,239,000,000","95,742,000,000","98,294,000,000","4,037,885,776,350.58","3,565,912,346,129.43","3,233,618,246,100","3,012,465,275,341.26","3,151,000,000,000","2,988,000,000,000","2,421,250,000,000","1,106,250,000,000","1,739,517,199,883.06","929,741,381,448.75","1,586,381,081,416.2","1,690,977,949,123.84","1,927,745,886,457.5",,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,545,196,000,000","11,415,964,000,000","10,809,995,000,000",,,,,,"3,402,094,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
