name,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010
TotalAssets,"11,951,600,000","13,057,500,000","11,876,800,000","9,360,600,000","9,220,400,000","7,731,100,000","3,473,800,000","2,732,300,000","2,786,200,000","3,348,000,000"
	CurrentAssets,"2,126,300,000","2,200,300,000","2,615,900,000","2,076,900,000","1,781,700,000","1,219,000,000","668,100,000","209,700,000","135,300,000","147,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,050,700,000","989,700,000","1,525,900,000","1,143,600,000","841,400,000","268,400,000","402,000,000","58,200,000","1,700,000","4,800,000"
			CashAndCashEquivalents,"1,050,700,000","989,700,000","1,525,900,000","1,143,600,000","841,400,000","268,400,000","402,000,000","58,200,000","1,700,000","4,800,000"
		Receivables,"445,100,000","462,300,000","480,600,000","385,000,000","366,200,000","413,700,000","83,200,000","56,500,000","59,200,000","66,000,000"
			AccountsReceivable,"408,400,000","412,800,000","421,600,000","354,900,000","360,200,000","332,200,000","83,400,000","55,300,000","10,100,000","66,000,000"
				GrossAccountsReceivable,"408,400,000","412,800,000","421,600,000","354,900,000","360,200,000","332,200,000","83,400,000","55,300,000","10,100,000","66,300,000"
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,"0","-300,000"
			NotesReceivable,,,,,,,,"0","7,800,000",
			TaxesReceivable,"21,900,000","41,500,000","46,400,000","23,600,000","1,000,000","67,100,000",,,,
			OtherReceivables,"16,800,000","10,300,000","14,200,000","8,100,000","7,000,000","15,800,000","100,000","1,500,000","41,300,000",
			ReceivablesAdjustmentsAllowances,"-2,000,000","-2,300,000","-1,600,000","-1,600,000","-2,000,000","-1,400,000","-300,000","-300,000",,
		Inventory,"579,800,000","484,200,000","573,500,000","503,100,000","465,300,000","380,700,000","121,900,000","78,600,000","66,600,000","70,400,000"
			RawMaterials,"99,400,000","107,800,000","129,800,000","112,400,000","142,500,000","99,200,000","30,300,000","18,200,000","17,200,000","14,300,000"
			WorkInProcess,"19,400,000","17,800,000","16,900,000","17,400,000","15,300,000","16,300,000",,,,
			FinishedGoods,"425,400,000","324,100,000","395,600,000","339,300,000","286,800,000","235,800,000","91,600,000","60,400,000","49,400,000","56,100,000"
			OtherInventories,"35,600,000","34,500,000","31,200,000","34,000,000","20,700,000","29,400,000",,,,
		PrepaidAssets,"37,000,000","64,300,000","31,700,000","36,800,000","42,300,000","44,400,000","11,000,000","15,300,000","4,000,000","2,300,000"
		RestrictedCash,"3,800,000","4,800,000","4,200,000","8,400,000","18,800,000","84,800,000","38,100,000",,,
		CurrentDeferredAssets,,,,,"47,700,000","27,000,000","11,900,000","1,100,000","3,800,000","3,500,000"
			CurrentDeferredTaxesAssets,,,,,"47,700,000","27,000,000","11,900,000","1,100,000","3,800,000","3,500,000"
		AssetsHeldForSaleCurrent,"9,900,000","195,000,000",,,,,,,,
	TotalNonCurrentAssets,"9,825,300,000","10,857,200,000","9,260,900,000","7,283,700,000","7,438,700,000","6,512,100,000","2,805,700,000","2,522,600,000","2,650,900,000","3,201,000,000"
		NetPPE,"1,736,000,000","1,709,700,000","1,690,700,000","1,354,400,000","1,333,200,000","831,900,000","388,500,000","405,100,000","412,100,000","445,900,000"
			GrossPPE,"2,736,900,000","2,543,000,000","2,394,100,000","1,900,300,000","1,737,700,000","1,121,000,000","640,500,000","599,500,000","545,100,000","534,100,000"
				Properties,"0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"91,100,000","88,200,000","90,900,000","58,000,000","52,800,000","25,600,000","13,000,000","13,000,000","12,200,000","12,200,000"
				BuildingsAndImprovements,"796,700,000","720,700,000","699,400,000","618,200,000","791,700,000","295,000,000","139,900,000","135,300,000","131,300,000","128,200,000"
				MachineryFurnitureEquipment,"1,701,800,000","1,619,400,000","1,503,800,000","1,144,900,000","855,200,000","745,700,000","465,100,000","432,200,000","395,300,000","381,500,000"
				ConstructionInProgress,"147,300,000","114,700,000","100,000,000","79,200,000","38,000,000","54,700,000","22,500,000","19,000,000","6,300,000","12,200,000"
			AccumulatedDepreciation,"-1,000,900,000","-833,300,000","-703,400,000","-545,900,000","-404,500,000","-289,100,000","-252,000,000","-194,400,000","-133,000,000","-88,200,000"
		GoodwillAndOtherIntangibleAssets,"7,738,300,000","8,038,900,000","7,385,900,000","5,913,400,000","6,042,100,000","5,529,700,000","2,388,100,000","2,102,600,000","2,177,800,000","2,694,000,000"
