name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalAssets,"3,544,430,000","3,186,467,000","3,358,046,000","2,190,391,000","2,228,743,000","2,238,577,000","2,394,734,000","982,525,000"
	CurrentAssets,"985,567,000","782,355,000","877,024,000","624,737,000","573,776,000","488,723,000","457,994,000","324,235,000"
		CashCashEquivalentsAndShortTermInvestments,"236,232,000","144,221,000","192,229,000","144,623,000","121,065,000","85,192,000","72,155,000","109,211,000"
			CashAndCashEquivalents,"236,232,000","144,221,000","192,229,000","144,623,000","121,065,000","85,192,000","72,155,000","109,211,000"
		Receivables,"661,156,000","571,041,000","628,554,000","440,032,000","417,476,000","342,849,000","320,633,000","187,983,000"
			AccountsReceivable,"509,323,000","434,952,000","456,243,000","283,444,000","288,322,000","233,239,000","232,639,000","125,139,000"
				GrossAccountsReceivable,"512,061,000","437,001,000","457,676,000","284,647,000","290,963,000","235,058,000","232,768,000","126,883,000"
				AllowanceForDoubtfulAccountsReceivable,"-2,738,000","-2,049,000","-1,433,000","-1,203,000","-2,641,000","-1,819,000","-129,000","-1,744,000"
			TaxesReceivable,"2,639,000","2,942,000","1,551,000","979,000","2,399,000","4,068,000","9,798,000","3,092,000"
			OtherReceivables,"149,194,000","133,147,000","170,760,000","155,609,000","126,755,000","105,542,000","78,196,000","59,752,000"
		PrepaidAssets,"88,141,000","66,605,000","55,580,000","35,367,000","30,175,000","33,396,000","27,222,000","18,208,000"
		RestrictedCash,"38,000","488,000","661,000","4,715,000","5,060,000","6,337,000","8,760,000","0"
		CurrentDeferredAssets,,,,,"0","20,949,000","29,224,000","8,833,000"
			CurrentDeferredTaxesAssets,,,,,"0","20,949,000","29,224,000","8,833,000"
	TotalNonCurrentAssets,"2,558,863,000","2,404,112,000","2,481,022,000","1,565,654,000","1,654,967,000","1,749,854,000","1,936,740,000","658,290,000"
		NetPPE,"367,059,000","154,764,000","143,070,000","87,577,000","80,691,000","72,933,000","75,827,000","50,961,000"
			GrossPPE,"525,061,000","276,608,000","233,734,000","150,929,000","127,667,000","101,474,000","81,985,000","112,696,000"
				Properties,"0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"256,236,000","218,308,000","184,186,000","125,846,000","107,061,000","85,257,000","68,556,000","98,802,000"
				OtherProperties,"186,343,000","154,764,000","143,070,000","87,577,000","80,691,000","72,933,000",,
				Leases,"82,482,000","58,300,000","49,548,000","25,083,000","20,606,000","16,217,000","13,429,000","13,894,000"
			AccumulatedDepreciation,"-158,002,000","-121,844,000","-90,664,000","-63,352,000","-46,976,000","-28,541,000","-6,158,000","-61,735,000"
		GoodwillAndOtherIntangibleAssets,"2,141,333,000","2,199,208,000","2,296,260,000","1,445,956,000","1,548,736,000","1,634,909,000","1,798,872,000","599,049,000"
			Goodwill,"1,502,756,000","1,494,762,000","1,512,424,000","971,980,000","1,014,798,000","1,033,999,000","1,099,081,000","490,675,000"
			OtherIntangibleAssets,"638,577,000","704,446,000","783,836,000","473,976,000","533,938,000","600,910,000","699,791,000","108,374,000"
		InvestmentsAndAdvances,,"0","407,000","284,000","1,288,000","1,213,000","3,246,000","0"
			LongTermEquityInvestment,,"0","407,000","284,000","1,288,000","1,213,000","3,246,000","0"
				InvestmentsinJointVenturesatCost,,"0","407,000","284,000","1,288,000","1,213,000","3,246,000","0"
		NonCurrentAccountsReceivable,,,,,,,,"5,545,000"
		NonCurrentDeferredAssets,"13,659,000","10,327,000","10,783,000","8,330,000","5,559,000","28,429,000","42,399,000","422,000"
			NonCurrentDeferredTaxesAssets,"10,282,000","8,954,000","8,939,000","6,568,000","3,069,000","933,000","1,026,000","422,000"
		OtherNonCurrentAssets,"36,812,000","39,813,000","30,502,000","23,507,000","18,693,000","12,370,000","16,396,000","2,313,000"
TotalLiabilitiesNetMinorityInterest,"2,454,439,000","2,135,047,000","2,421,565,000","1,461,139,000","1,526,021,000","1,561,762,000","1,927,399,000","806,568,000"
	CurrentLiabilities,"1,017,209,000","898,874,000","971,616,000","564,199,000","529,980,000","466,356,000","469,264,000","305,918,000"
		PayablesAndAccruedExpenses,"196,465,000","197,759,000","97,175,000","80,475,000","82,508,000","107,906,000","146,814,000","80,856,000"
			Payables,"57,387,000","88,040,000","78,241,000","76,859,000","76,358,000","59,275,000","41,201,000","24,874,000"
				AccountsPayable,"55,293,000","43,734,000","64,635,000","51,335,000","57,096,000","39,100,000","27,686,000","17,314,000"
