name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalAssets,"13,688,531,000","12,595,048,000","12,460,703,000","11,438,943,000","10,612,119,000","10,738,114,000","10,329,950,000","10,337,877,000","9,998,544,000","9,884,306,000","13,227,781,000","11,161,133,000","12,176,049,000"
	TotalInvestments,"3,658,210,000","3,130,986,000","2,745,143,000","2,378,861,000","2,178,503,000","2,068,316,000","1,835,403,000","1,956,536,000","2,021,504,000","2,153,584,000","6,471,448,000","5,355,458,000","5,494,495,000"
		FixedMaturityInvestments,"1,184,370,000","970,390,000","737,150,000","503,230,000","365,220,000","220,000,000",,,,,,,
		EquityInvestments,"40,684,000","37,679,000","1,968,949,000","1,837,332,000","1,779,298,000","1,812,510,000","1,795,606,000","1,924,161,000","1,985,868,000","2,104,574,000","6,427,505,000","5,316,060,000","5,437,279,000"
		TradingAssets,"43,233,000","13,610,000","6,228,000","7,383,000","5,358,000","7,711,000","12,991,000","7,762,000","9,640,000","22,767,000","16,996,000","11,094,000","26,209,000"
		NetLoan,"32,927,000","31,501,000","32,816,000","30,916,000","28,627,000","28,095,000","26,806,000","24,613,000","25,982,000","26,229,000","26,947,000","28,304,000","31,007,000"
			PolicyLoans,"32,927,000","31,501,000","32,816,000","30,916,000","28,627,000","28,095,000","26,806,000","24,613,000","25,982,000","26,229,000","26,947,000","28,304,000","31,007,000"
		OtherShortTermInvestments,"2,356,996,000","2,077,806,000","1,968,949,000","1,837,332,000","1,779,298,000","1,812,510,000","1,795,606,000","1,924,161,000",,,,,
			ShortTermInvestmentsAvailableForSale,"2,356,996,000","2,077,806,000","1,968,949,000","1,837,332,000","1,779,298,000","1,812,510,000","1,795,606,000","1,924,161,000",,,,,
		OtherInvestedAssets,,"2,422,734,000","2,287,955,000",,"1,965,576,000","2,040,832,000","1,984,592,000",,"14,000","14,000",,,
	CashAndCashEquivalents,"256,876,000","262,138,000","279,962,000","211,976,000","152,294,000","192,516,000","149,189,000","112,216,000","136,078,000","126,038,000","625,260,000","302,354,000","625,350,000"
	ReinsuranceRecoverable,,,,,,,,,"3,855,890,000","3,731,634,000",,,
	Receivables,"4,397,943,000","4,406,827,000","4,434,695,000","4,404,010,000","4,304,469,000","4,297,193,000","4,230,843,000","4,175,850,000","163,845,000","168,026,000","1,038,382,000","998,758,000","1,075,693,000"
		AccountsReceivable,"4,396,923,000","4,406,827,000","4,434,695,000","4,404,010,000","4,304,469,000","4,297,193,000","4,230,843,000","4,175,850,000","163,845,000","168,026,000","169,225,000","158,041,000","200,855,000"
		TaxesReceivable,"1,020,000",,,"0",,,,,,,,"0","38,324,000"
		DueFromRelatedParties,,,,,,,,,,"0",,,
		OtherReceivables,,,,,,,,,,,"869,157,000","840,717,000","836,514,000"
	AccruedInvestmentIncome,"17,361,000","17,057,000","16,665,000","16,520,000","17,080,000","17,401,000","18,127,000","19,540,000","21,579,000","22,328,000","71,382,000","61,948,000","51,860,000"
	DeferredPolicyAcquisitionCosts,"2,325,750,000","2,133,920,000","1,951,892,000","1,713,065,000","1,500,259,000","1,351,180,000","1,208,466,000","1,066,422,000","1,050,637,000","853,211,000","2,789,905,000","2,727,422,000","2,510,045,000"
	DeferredTaxAssets,"69,472,000","59,336,000","48,614,000","37,369,000","30,112,000","36,082,000","32,450,000","17,256,000",,,,,
	NetPPE,"93,381,000","35,996,000","28,101,000","27,466,000","29,409,000","26,463,000","25,050,000","13,358,000",,,,,
	GoodwillAndOtherIntangibleAssets,"45,275,000","48,111,000","51,513,000","54,915,000","58,318,000","61,720,000","68,863,000","69,816,000","71,928,000","75,357,000","78,895,000","82,434,000","280,965,000"
		Goodwill,,,,,,,,,,,,"0","194,992,000"
		OtherIntangibleAssets,"45,275,000","48,111,000","51,513,000","54,915,000","58,318,000","61,720,000","68,863,000","69,816,000","71,928,000","75,357,000","78,895,000","82,434,000","85,973,000"
