Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,73.250000,73.669998,72.470001,72.889999,56.574974,70400
2015-05-13,73.089996,73.760002,72.500000,72.889999,56.574974,57100
2015-05-14,72.949997,73.680000,72.500000,73.480003,57.032913,71900
2015-05-15,73.680000,73.870003,72.169998,72.199997,56.039406,41400
2015-05-18,72.199997,72.760002,71.959999,71.959999,55.853142,104000
2015-05-19,72.410004,72.629997,71.129997,72.160004,56.008369,148200
2015-05-20,72.239998,72.239998,71.300003,71.550003,55.534901,76600
2015-05-21,71.550003,71.930000,70.879997,70.879997,55.014870,68200
2015-05-22,70.900002,71.889999,70.500000,71.110001,55.193394,65200
2015-05-26,70.949997,71.250000,70.849998,71.029999,55.131294,127500
2015-05-27,71.110001,71.809998,70.120003,71.269997,55.317574,77000
2015-05-28,71.089996,71.449997,70.129997,71.279999,55.325340,33100
2015-05-29,71.379997,72.959999,70.919998,72.739998,56.458542,64700
2015-06-01,72.339996,73.779999,72.339996,73.129997,56.761246,62900
2015-06-02,73.139999,74.080002,72.769997,73.320000,56.908726,62200
2015-06-03,73.360001,75.199997,72.779999,74.570000,57.878937,141300
2015-06-04,74.370003,74.570000,71.250000,72.519997,56.287792,127100
2015-06-05,72.279999,72.930000,71.260002,72.120003,55.977325,63500
2015-06-08,71.910004,73.080002,71.860001,71.889999,55.798809,73000
2015-06-09,71.889999,73.070000,71.150002,71.680000,55.635807,56600
2015-06-10,72.180000,72.750000,71.089996,71.470001,55.472820,108500
2015-06-11,70.949997,72.330002,70.809998,71.059998,55.154579,102600
2015-06-12,70.000000,71.849998,69.209999,71.500000,55.496101,157400
2015-06-15,71.139999,73.239998,69.730003,72.540001,56.303307,252500
2015-06-16,72.620003,73.769997,71.510002,71.690002,55.643578,255900
2015-06-17,72.070000,73.660004,71.699997,72.379997,56.179123,142200
2015-06-18,72.629997,72.629997,71.239998,72.050003,55.922989,319200
2015-06-19,71.820000,72.699997,70.029999,71.000000,55.108013,500700
2015-06-22,71.610001,71.900002,70.230003,71.570000,55.550438,160700
2015-06-23,71.669998,72.370003,70.459999,71.180000,55.247723,199600
2015-06-24,70.959999,72.379997,70.879997,71.790001,55.721180,291600
2015-06-25,72.000000,72.910004,71.010002,71.169998,55.239964,138200
2015-06-26,71.269997,72.430000,71.129997,71.980003,55.868664,115000
2015-06-29,71.480003,71.900002,71.070000,71.639999,55.604763,90600
2015-06-30,72.110001,73.400002,71.570000,72.000000,55.884171,130300
2015-07-01,72.199997,72.250000,68.800003,69.550003,53.982563,174100
2015-07-02,70.050003,70.050003,68.300003,69.809998,54.184372,168100
2015-07-06,69.000000,70.029999,66.800003,66.800003,51.848114,166200
2015-07-07,66.330002,68.459999,65.000000,67.830002,52.647556,150900
2015-07-08,67.330002,68.410004,66.480003,67.580002,52.453518,84100
2015-07-09,68.309998,68.500000,66.959999,67.150002,52.119766,182500
2015-07-10,67.260002,69.589996,67.250000,68.910004,53.485828,180600
2015-07-13,68.910004,69.370003,66.099998,66.209999,51.390163,727800
2015-07-14,66.139999,66.970001,63.009998,63.500000,49.286743,679300
2015-07-15,63.590000,63.980000,61.520000,63.020000,48.914181,444200
2015-07-16,63.459999,63.680000,61.810001,61.889999,48.037113,340700
2015-07-17,61.889999,62.540001,59.139999,59.139999,45.902645,519400
2015-07-20,59.349998,59.349998,56.099998,56.540001,43.884609,607900
2015-07-21,56.480000,58.830002,56.480000,58.209999,45.180809,257900
2015-07-22,57.750000,59.400002,56.660000,58.990002,45.786221,399400
2015-07-23,59.529999,61.389999,58.380001,59.759998,46.383869,636000
2015-07-24,59.220001,61.529999,58.459999,61.040001,47.377369,692500
2015-07-27,60.549999,61.400002,60.029999,61.009998,47.354076,295400
2015-07-28,61.459999,62.419998,60.000000,62.290001,48.347576,189800
2015-07-29,62.290001,65.220001,61.439999,64.779999,50.280235,250600
2015-07-30,64.000000,65.279999,62.250000,63.560001,49.639828,409800
2015-07-31,64.059998,64.940002,62.040001,62.310001,48.663586,256200
2015-08-03,62.080002,62.680000,60.529999,61.340000,47.906025,266900
2015-08-04,61.459999,62.060001,59.279999,59.950001,46.820446,238900
2015-08-05,60.410000,61.330002,57.230000,58.220001,45.469326,377700
2015-08-06,57.720001,59.709999,55.570000,58.369999,45.586479,863400
2015-08-07,58.410000,59.330002,55.439999,56.700001,44.282219,441300
2015-08-10,56.959999,57.730000,55.220001,56.340000,44.001064,326100
2015-08-11,55.930000,56.529999,55.480000,55.869999,43.633995,375500
2015-08-12,55.980000,57.500000,55.450001,56.450001,44.086975,306900
2015-08-13,56.419998,56.779999,56.049999,56.400002,44.047924,73300
2015-08-14,56.680000,58.080002,56.680000,57.360001,44.797672,114400
2015-08-17,57.299999,58.349998,57.009998,58.049999,45.336563,91200
2015-08-18,58.080002,59.049999,57.880001,58.650002,45.805157,144600
2015-08-19,58.500000,59.240002,57.110001,57.779999,45.125687,143200
2015-08-20,57.650002,58.060001,57.270000,57.820000,45.156929,186000
2015-08-21,57.369999,57.759998,56.060001,56.310001,43.977642,170400
2015-08-24,40.450001,54.939999,40.000000,54.939999,42.907673,243900
2015-08-25,55.419998,55.419998,53.509998,55.099998,43.032635,282100
2015-08-26,55.369999,57.689999,54.150002,57.689999,45.055408,105000
2015-08-27,58.240002,61.869999,57.700001,61.630001,48.132515,199000
2015-08-28,61.630001,62.119999,61.230000,61.959999,48.390236,373900
2015-08-31,61.720001,63.490002,60.279999,62.400002,48.733879,365400
2015-09-01,61.619999,61.910000,58.730000,60.320000,47.109409,243900
2015-09-02,61.889999,61.889999,57.500000,59.480000,46.453381,250800
2015-09-03,59.430000,61.029999,57.619999,57.619999,45.000736,192100
2015-09-04,57.250000,57.950001,56.230000,56.450001,44.086975,213500
2015-09-08,57.230000,57.230000,55.599998,56.389999,44.040115,161600
2015-09-09,56.580002,56.880001,55.590000,55.820000,43.594948,151400
2015-09-10,55.830002,56.369999,55.160000,56.110001,43.821438,149700
2015-09-11,55.820000,55.880001,54.009998,54.639999,42.673382,272000
2015-09-14,54.540001,54.599998,53.090000,53.459999,41.751812,197900
2015-09-15,53.270000,53.720001,51.610001,51.689999,40.369453,375500
2015-09-16,51.650002,53.060001,51.650002,52.529999,41.025494,193400
2015-09-17,52.650002,52.950001,51.900002,52.520000,41.017673,156300
2015-09-18,51.869999,52.119999,51.009998,51.480000,40.205452,98700
2015-09-21,51.480000,51.990002,50.009998,51.950001,40.572514,254300
2015-09-22,51.320000,51.660000,48.439999,48.919998,38.206112,207700
2015-09-23,49.060001,49.060001,45.599998,45.700001,35.691326,271100
2015-09-24,45.480000,47.060001,42.830002,46.959999,36.675365,400300
2015-09-25,46.959999,48.419998,46.020000,47.830002,37.354836,419800
2015-09-28,47.119999,47.150002,45.599998,46.150002,36.042763,170400
2015-09-29,46.230000,46.389999,44.160000,44.610001,34.840042,354200
2015-09-30,45.189999,49.939999,44.759998,49.270000,38.479454,419900
2015-10-01,49.480000,52.230000,49.220001,49.990002,39.041771,469600
2015-10-02,49.360001,53.560001,48.580002,53.200001,41.548756,297400
2015-10-05,53.700001,55.540001,53.459999,55.020000,42.970154,283200
2015-10-06,54.410000,55.590000,53.549999,55.290001,43.181023,398800
2015-10-07,55.950001,57.250000,55.049999,56.990002,44.508713,568900
2015-10-08,56.939999,57.959999,56.730000,57.930000,45.242840,264700
2015-10-09,58.130001,59.790001,58.130001,59.310001,46.320614,318900
2015-10-12,59.310001,59.349998,58.000000,58.790001,45.914501,229200
2015-10-13,58.340000,59.389999,57.910000,59.250000,46.273754,223200
2015-10-14,59.209999,60.900002,58.779999,59.570000,46.523670,253900
