name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalRevenue,"1,091,000,000","1,126,000,000","1,045,000,000","934,000,000","758,000,000","265,600,000","229,000,000","106,600,000","145,300,000","76,000,000"
	OperatingRevenue,"1,091,000,000","1,126,000,000","1,045,000,000","934,000,000","758,000,000","265,600,000","229,000,000","106,600,000","145,300,000","76,000,000"
CostOfRevenue,"121,000,000","120,000,000","117,000,000","116,000,000","96,000,000","21,800,000","16,200,000","6,200,000","13,600,000","5,800,000"
GrossProfit,"970,000,000","1,006,000,000","928,000,000","818,000,000","662,000,000","243,800,000","212,800,000","100,400,000","131,700,000","70,200,000"
OperatingExpense,"457,000,000","508,000,000","452,000,000","414,000,000","313,000,000","92,400,000","82,300,000","38,900,000","72,200,000","31,400,000"
	OperationAndMaintenance,"354,000,000","405,000,000","354,000,000","321,000,000","216,000,000","62,200,000","52,500,000","27,400,000","54,100,000","24,500,000"
	SellingGeneralAndAdministration,"66,000,000","67,000,000","64,000,000","69,000,000","65,000,000","26,600,000","25,600,000","10,000,000","13,700,000","5,600,000"
		GeneralAndAdministrativeExpense,,"67,000,000","64,000,000","69,000,000","65,000,000","26,600,000","25,600,000","10,000,000","13,700,000","5,600,000"
			OtherGandA,,"67,000,000","64,000,000","69,000,000","65,000,000","26,600,000","25,600,000","10,000,000","13,700,000","5,600,000"
	OtherTaxes,"39,000,000","39,000,000","35,000,000","33,000,000","33,000,000","9,000,000","4,200,000","1,700,000","4,400,000","1,300,000"
	OtherOperatingExpenses,"-2,000,000","-3,000,000","-1,000,000","-9,000,000","-1,000,000","-5,400,000","-100,000","-200,000",,
OperatingIncome,"513,000,000","498,000,000","476,000,000","404,000,000","349,000,000","151,400,000","130,500,000","61,500,000","59,500,000","38,800,000"
NetNonOperatingInterestIncomeExpense,"-107,000,000","-105,000,000","-114,000,000","-98,000,000","-52,000,000","-33,900,000","-5,200,000","-300,000","0","0"
	InterestIncomeNonOperating,,"3,000,000","1,000,000","3,000,000",,"200,000","100,000",,"0",
	InterestExpenseNonOperating,"110,000,000","108,000,000","115,000,000","101,000,000","52,000,000","33,900,000","5,300,000","300,000","0","0"
OtherIncomeExpense,"548,000,000","533,000,000","438,000,000","222,000,000","113,000,000","77,000,000","-100,000","200,000","-100,000",
	EarningsFromEquityInterest,"552,000,000","535,000,000","439,000,000","223,000,000","114,000,000","77,100,000",,,,
	OtherNonOperatingIncomeExpenses,,"-2,000,000","-1,000,000","-1,000,000","-1,000,000","-100,000","-100,000","200,000","-100,000",
PretaxIncome,"954,000,000","926,000,000","800,000,000","528,000,000","410,000,000","194,500,000","125,200,000","61,200,000","59,400,000","38,800,000"
TaxProvision,"3,000,000","3,000,000","4,000,000","4,000,000","2,000,000","300,000","800,000","500,000","300,000","300,000"
