name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalAssets,"58,720,000,000","54,302,000,000","54,371,000,000","51,653,000,000","48,580,000,000","48,741,000,000","49,798,000,000","48,073,000,000","43,211,000,000","44,955,000,000","42,880,000,000"
	CurrentAssets,"14,395,000,000","13,209,000,000","14,390,000,000","12,680,000,000","12,256,000,000","16,696,000,000","19,237,000,000","17,962,000,000","13,948,000,000","14,704,000,000","11,368,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,614,000,000","3,019,000,000","3,119,000,000","2,711,000,000","3,074,000,000","5,207,000,000","5,400,000,000","3,474,000,000","0","0","0"
			CashAndCashEquivalents,"1,614,000,000","3,019,000,000","3,119,000,000","2,711,000,000","3,074,000,000","5,207,000,000","5,400,000,000","3,474,000,000","0","0","0"
		Receivables,"8,510,000,000","6,173,000,000","7,506,000,000","6,397,000,000","5,173,000,000","7,255,000,000","9,632,000,000","10,403,000,000","10,025,000,000","10,213,000,000","6,842,000,000"
			AccountsReceivable,"8,510,000,000","6,173,000,000","7,506,000,000","6,397,000,000","5,173,000,000","7,255,000,000","9,632,000,000","10,403,000,000","8,354,000,000","10,213,000,000","6,842,000,000"
				GrossAccountsReceivable,"8,551,000,000","6,195,000,000","7,535,000,000","6,431,000,000","5,228,000,000","7,326,000,000","9,679,000,000","10,453,000,000","8,367,000,000","10,220,000,000","6,858,000,000"
				AllowanceForDoubtfulAccountsReceivable,"-41,000,000","-22,000,000","-29,000,000","-34,000,000","-55,000,000","-71,000,000","-47,000,000","-50,000,000","-13,000,000","-7,000,000","-16,000,000"
			DuefromRelatedPartiesCurrent,,,,,,,,,"1,671,000,000",,
		Inventory,"3,776,000,000","3,543,000,000","3,395,000,000","3,150,000,000","3,477,000,000","3,397,000,000","3,354,000,000","3,430,000,000","3,466,000,000","4,113,000,000","3,842,000,000"
			RawMaterials,"324,000,000","305,000,000","289,000,000","267,000,000","263,000,000","256,000,000","261,000,000","292,000,000","3,466,000,000","274,000,000","274,000,000"
			FinishedGoods,"3,452,000,000","3,238,000,000","3,106,000,000","2,883,000,000","3,214,000,000","3,141,000,000","3,093,000,000","3,138,000,000",,"3,839,000,000","3,568,000,000"
		PrepaidAssets,"495,000,000","474,000,000","370,000,000","422,000,000","532,000,000","837,000,000","851,000,000","655,000,000","457,000,000","378,000,000","684,000,000"
	TotalNonCurrentAssets,"44,325,000,000","41,093,000,000","39,981,000,000","38,973,000,000","36,324,000,000","32,045,000,000","30,561,000,000","30,111,000,000","29,263,000,000","30,251,000,000","31,512,000,000"
		NetPPE,"23,786,000,000","22,018,000,000","21,460,000,000","20,855,000,000","19,721,000,000","17,346,000,000","15,398,000,000","15,407,000,000","14,771,000,000","15,409,000,000","17,238,000,000"
			GrossPPE,"38,071,000,000","35,197,000,000","33,742,000,000","31,989,000,000","30,310,000,000","27,145,000,000","24,426,000,000","23,829,000,000","23,156,000,000","24,616,000,000","24,297,000,000"
				MineralProperties,"34,913,000,000","32,303,000,000","30,993,000,000","29,331,000,000","27,828,000,000","24,677,000,000","22,056,000,000","21,470,000,000",,,
				OtherProperties,"3,158,000,000","2,894,000,000","2,749,000,000","2,658,000,000","2,482,000,000","2,468,000,000","2,370,000,000","2,359,000,000","23,156,000,000",,
			AccumulatedDepreciation,"-14,285,000,000","-13,179,000,000","-12,282,000,000","-11,134,000,000","-10,589,000,000","-9,799,000,000","-9,028,000,000","-8,422,000,000","-8,385,000,000","-9,207,000,000","-7,059,000,000"
		GoodwillAndOtherIntangibleAssets,"4,139,000,000","4,139,000,000","4,146,000,000","4,158,000,000","4,181,000,000","4,174,000,000","3,794,000,000","4,068,000,000","4,064,000,000","4,410,000,000","4,426,000,000"
			Goodwill,"3,270,000,000","3,270,000,000","3,270,000,000","3,270,000,000","3,275,000,000","3,274,000,000","3,096,000,000","3,344,000,000","3,332,000,000","3,633,000,000","3,638,000,000"
			OtherIntangibleAssets,"869,000,000","869,000,000","876,000,000","888,000,000","906,000,000","900,000,000","698,000,000","724,000,000","732,000,000","777,000,000","788,000,000"
		InvestmentsAndAdvances,"14,441,000,000","14,324,000,000","13,847,000,000","13,200,000,000","12,061,000,000","10,113,000,000","11,146,000,000","10,339,000,000","10,306,000,000","9,918,000,000","9,398,000,000"
			LongTermEquityInvestment,"14,284,000,000","14,218,000,000","13,733,000,000","13,102,000,000","11,977,000,000","10,035,000,000","11,080,000,000","10,291,000,000",,,
			OtherInvestments,"157,000,000","106,000,000","114,000,000","98,000,000","84,000,000","78,000,000","66,000,000","48,000,000",,,
		NonCurrentAccountsReceivable,,,,,,,,,"1,000,000",,
		NonCurrentNoteReceivables,"130,000,000","97,000,000","94,000,000","334,000,000","82,000,000","76,000,000","74,000,000","132,000,000",,,
		DuefromRelatedPartiesNonCurrent,,,,,,,,,"1,000,000",,
		OtherNonCurrentAssets,"1,829,000,000","515,000,000","434,000,000","426,000,000","279,000,000","336,000,000","149,000,000","165,000,000","121,000,000","514,000,000","450,000,000"
