name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalRevenue,"105,068,000,000","107,293,000,000","111,461,000,000","102,354,000,000","84,279,000,000","98,975,000,000","161,212,000,000","171,596,000,000","179,460,000,000","197,771,000,000","146,849,000,000","112,859,000,000"
	OperatingRevenue,"105,068,000,000","107,293,000,000","111,461,000,000","102,354,000,000","84,279,000,000","98,975,000,000","161,212,000,000","171,596,000,000","179,460,000,000","197,726,000,000","146,608,000,000","112,771,000,000"
CostOfRevenue,"92,914,000,000","95,529,000,000","97,930,000,000","79,409,000,000","62,468,000,000","73,399,000,000","135,748,000,000","148,245,000,000","154,483,000,000","176,909,000,000","129,281,000,000","97,253,000,000"
GrossProfit,"12,154,000,000","11,764,000,000","13,531,000,000","22,945,000,000","21,811,000,000","25,576,000,000","25,464,000,000","23,351,000,000","24,977,000,000","20,862,000,000","17,568,000,000","15,606,000,000"
OperatingExpense,"8,494,000,000","8,429,000,000","8,322,000,000","21,107,000,000","20,713,000,000","21,028,000,000","22,034,000,000","20,685,000,000","20,291,000,000","16,626,000,000","16,271,000,000","15,837,000,000"
	SellingGeneralAndAdministration,"1,634,000,000","1,681,000,000","1,677,000,000","1,695,000,000","1,638,000,000","1,670,000,000","1,663,000,000","1,478,000,000","1,722,000,000","1,409,000,000","1,384,000,000","1,314,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,352,000,000","1,341,000,000","1,356,000,000","1,318,000,000","1,168,000,000","1,078,000,000","995,000,000","947,000,000","913,000,000","908,000,000","880,000,000","879,000,000"
		DepreciationAndAmortizationInIncomeStatement,"1,352,000,000","1,341,000,000","1,356,000,000","1,318,000,000","1,168,000,000","1,078,000,000","995,000,000","947,000,000","913,000,000","908,000,000","880,000,000","879,000,000"
	OtherTaxes,"438,000,000","409,000,000","425,000,000","13,462,000,000","13,688,000,000","14,077,000,000","15,040,000,000","14,119,000,000","13,741,000,000","14,288,000,000","13,985,000,000","13,620,000,000"
	OtherOperatingExpenses,"5,070,000,000","4,998,000,000","4,864,000,000","4,632,000,000","4,219,000,000","4,203,000,000","4,336,000,000","4,141,000,000","3,915,000,000","21,000,000","22,000,000","24,000,000"
OperatingIncome,"3,660,000,000","3,335,000,000","5,209,000,000","1,838,000,000","1,098,000,000","4,548,000,000","3,430,000,000","2,666,000,000","4,686,000,000","4,236,000,000","1,297,000,000","-231,000,000"
NetNonOperatingInterestIncomeExpense,"-407,000,000","-415,000,000","-459,000,000","-407,000,000","-320,000,000","-283,000,000","-246,000,000","-255,000,000","-228,000,000","-17,000,000","41,000,000","-1,000,000"
	InterestIncomeNonOperating,,"43,000,000","45,000,000","31,000,000","18,000,000","27,000,000","21,000,000","20,000,000","18,000,000",,"42,000,000",
	InterestExpenseNonOperating,"450,000,000","458,000,000","504,000,000","438,000,000","338,000,000","310,000,000","267,000,000","275,000,000","246,000,000","17,000,000","1,000,000","1,000,000"
OtherIncomeExpense,"-1,893,000,000","1,258,000,000","2,695,000,000","2,124,000,000","1,413,000,000","1,779,000,000","2,561,000,000","3,115,000,000","2,173,000,000","2,405,000,000","-19,000,000","1,079,000,000"
	GainOnSaleOfSecurity,,"-5,000,000","31,000,000",,"15,000,000","-49,000,000","-26,000,000","40,000,000","29,000,000","34,000,000",,"53,000,000"
	EarningsFromEquityInterest,"1,976,000,000","2,127,000,000","2,676,000,000","1,732,000,000","1,414,000,000","1,573,000,000","2,466,000,000","3,073,000,000","3,134,000,000","2,843,000,000","1,765,000,000","1,092,000,000"
	SpecialIncomeCharges,"-3,846,000,000","-841,000,000","11,000,000","414,000,000","5,000,000","276,000,000","145,000,000","26,000,000","-965,000,000","-472,000,000","-1,784,000,000","-66,000,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,"472,000,000","1,699,000,000","66,000,000"
		WriteOff,"2,021,000,000","861,000,000","8,000,000","24,000,000","5,000,000","7,000,000","150,000,000","29,000,000","1,158,000,000",,,
		OtherSpecialCharges,,,,,,,,,,,"85,000,000",
		GainOnSaleOfBusiness,,"0","0","423,000,000",,,,,,,,
		GainOnSaleOfPPE,"20,000,000","20,000,000","19,000,000","15,000,000","10,000,000","283,000,000","295,000,000","55,000,000","193,000,000",,,
	OtherNonOperatingIncomeExpenses,"-23,000,000","-23,000,000","-23,000,000","-22,000,000","-21,000,000","-21,000,000","-24,000,000","-24,000,000","-25,000,000",,,
PretaxIncome,"1,360,000,000","4,178,000,000","7,445,000,000","3,555,000,000","2,191,000,000","6,044,000,000","5,745,000,000","5,526,000,000","6,631,000,000","6,624,000,000","1,319,000,000","847,000,000"
TaxProvision,"680,000,000","801,000,000","1,572,000,000","-1,693,000,000","547,000,000","1,764,000,000","1,654,000,000","1,844,000,000","2,500,000,000","1,844,000,000","579,000,000","368,000,000"
NetIncomeCommonStockholders,"370,000,000","3,070,000,000","5,589,000,000","5,106,000,000","1,549,000,000","4,221,000,000","4,755,000,000","3,721,000,000","4,122,000,000","4,775,000,000","735,000,000","476,000,000"
	NetIncome,"376,000,000","3,076,000,000","5,595,000,000","5,106,000,000","1,555,000,000","4,227,000,000","4,762,000,000","3,726,000,000","4,124,000,000","4,775,000,000","735,000,000","476,000,000"
		NetIncomeIncludingNoncontrollingInterests,"680,000,000","3,377,000,000","5,873,000,000","5,248,000,000","1,644,000,000","4,280,000,000","4,797,000,000","3,743,000,000","4,131,000,000","4,780,000,000","740,000,000","479,000,000"
			NetIncomeContinuousOperations,"680,000,000","3,377,000,000","5,873,000,000","5,248,000,000","1,644,000,000","4,280,000,000","4,091,000,000","3,682,000,000","4,131,000,000","4,780,000,000","740,000,000","479,000,000"
			NetIncomeDiscontinuousOperations,,,,,"0","0","706,000,000","61,000,000",,,,
		MinorityInterests,"-304,000,000","-301,000,000","-278,000,000","-142,000,000","-89,000,000","-53,000,000","-35,000,000","-17,000,000","-7,000,000","-5,000,000","-5,000,000","-3,000,000"
	OtherunderPreferredStockDividend,"6,000,000","6,000,000","6,000,000",,"6,000,000","6,000,000","7,000,000","5,000,000","2,000,000",,,
AverageDilutionEarnings,,"4,000,000","6,000,000","6,000,000","1,000,000","6,000,000","7,000,000","5,000,000","2,000,000",,,
DilutedNIAvailtoComStockholders,"374,000,000","3,074,000,000","5,595,000,000","5,112,000,000","1,550,000,000","4,227,000,000","4,762,000,000","3,726,000,000","4,124,000,000","4,775,000,000","735,000,000","476,000,000"
BasicEPS,,,"11.87","9.9","2.94","7.78","8.415","6.07","6.55","7.461","1.148","0.744"
DilutedEPS,,,"11.8","9.85","2.92","7.73","8.4","6.02","6.48","7.461","1.148","0.744"
BasicAverageShares,,,"470,708,000","515,090,000","527,531,000","542,355,000","565,902,000","612,918,000","628,835,000","640,000,000","640,000,000","640,000,000"
DilutedAverageShares,,,"474,047,000","518,508,000","530,066,000","546,977,000","571,504,000","618,989,000","636,764,000","640,000,000","640,000,000","640,000,000"
TotalExpenses,"101,408,000,000","103,958,000,000","106,252,000,000","100,516,000,000","83,181,000,000","94,427,000,000","157,782,000,000","168,930,000,000","174,774,000,000","193,535,000,000","145,552,000,000","113,090,000,000"
InterestIncome,,"43,000,000","45,000,000","31,000,000","18,000,000","27,000,000","21,000,000","20,000,000","18,000,000",,"42,000,000",
InterestExpense,"450,000,000","458,000,000","504,000,000","438,000,000","338,000,000","310,000,000","267,000,000","275,000,000","246,000,000","17,000,000","1,000,000","1,000,000"
NetInterestIncome,"-407,000,000","-415,000,000","-459,000,000","-407,000,000","-320,000,000","-283,000,000","-246,000,000","-255,000,000","-228,000,000","-17,000,000","41,000,000","-1,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"376,000,000","3,076,000,000","5,595,000,000","5,106,000,000","1,555,000,000","4,227,000,000","4,762,000,000","3,726,000,000","4,124,000,000","4,775,000,000","735,000,000","476,000,000"
NormalizedIncome,"3,183,580,000","3,759,806,127.334","5,561,868,233.714","4,857,600,000","1,539,993,153.811","4,066,252,150.893","3,971,260,400.348","3,621,023,887.079","5,056,256,000","5,091,068,840.58","1,894,600,000","484,450,000"
EBIT,"1,810,000,000","4,636,000,000","7,949,000,000","3,993,000,000","2,529,000,000","6,354,000,000","6,012,000,000","5,801,000,000","6,877,000,000","6,641,000,000","1,320,000,000","848,000,000"
EBITDA,"3,162,000,000"
ReconciledCostOfRevenue,"92,914,000,000","95,529,000,000","97,930,000,000","79,409,000,000","62,468,000,000","73,399,000,000","135,748,000,000","148,245,000,000","154,483,000,000","176,909,000,000","129,281,000,000","97,253,000,000"
