name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalAssets,"2,732,910,000,000","2,432,266,000,000","2,404,612,000,000","2,396,651,000,000","2,393,844,000,000","2,405,473,000,000","2,342,110,000,000","2,168,896,000,000","1,917,586,000,000","1,656,487,000,000","1,450,288,000,000","1,194,174,000,000","1,060,200,870,560","870,489,507,500","778,309,620,500","609,925,813,850","531,738,687,100","483,034,246,080","447,297,774,720","427,523,788,800","411,213,624,000"
	CurrentAssets,"466,913,000,000","433,128,000,000","425,162,000,000","381,665,000,000","349,344,000,000","391,308,000,000","430,953,000,000","414,332,000,000","382,711,000,000","286,392,000,000","294,383,000,000","224,473,000,000","231,191,171,840","161,907,290,000","175,945,785,500","116,738,471,300","86,175,541,500","75,148,410,240","82,549,013,760","79,375,307,400","80,595,386,880"
		CashCashEquivalentsAndShortTermInvestments,"110,665,000,000","95,133,000,000","136,121,000,000","98,617,000,000","73,692,000,000","76,021,000,000","57,250,000,000","46,245,000,000","61,590,000,000","48,722,000,000","86,954,000,000","43,369,000,000","83,540,894,880","51,479,095,000","82,624,199,000","12,706,960,250","13,874,179,400","12,582,681,600","11,407,194,240","23,843,181,600","19,337,594,880"
			CashAndCashEquivalents,"86,409,000,000","85,598,000,000","122,777,000,000","97,931,000,000","72,773,000,000","73,778,000,000","51,407,000,000","43,395,000,000","61,172,000,000","45,709,000,000","86,925,000,000","32,944,000,000","65,497,347,280","48,469,260,000","80,928,764,000","11,307,952,900","11,233,449,550","9,975,086,400","8,153,908,800","18,039,466,800","17,847,540,480"
				CashFinancial,"86,409,000,000",,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"24,256,000,000","9,535,000,000","13,344,000,000","686,000,000","919,000,000","2,243,000,000","5,843,000,000","2,850,000,000","418,000,000","3,013,000,000","29,000,000","10,425,000,000","18,043,547,600","3,009,835,000","1,695,435,000","1,399,007,350","2,640,729,850","2,607,595,200","3,253,285,440","5,803,714,800","1,490,054,400"
		Receivables,"139,419,000,000","132,444,000,000","125,272,000,000","105,430,000,000","112,787,000,000","120,492,000,000","129,656,000,000","118,139,000,000","66,510,000,000","50,960,000,000","33,053,000,000","21,070,000,000","58,689,012,720","27,774,695,000","17,067,379,000","40,711,941,700","29,900,677,800","18,402,171,840","20,314,408,320","12,682,191,600","14,875,709,760"
			AccountsReceivable,"64,184,000,000","58,507,000,000","53,143,000,000","47,315,000,000","52,262,000,000","53,104,000,000","64,027,000,000","64,450,000,000","53,822,000,000","45,005,000,000","28,785,000,000","16,756,000,000","18,423,411,760","8,468,085,000","4,634,189,000","2,665,564,300","3,261,591,100","6,076,110,720","6,763,191,360","12,682,191,600",
				GrossAccountsReceivable,"66,615,000,000","62,560,000,000","57,914,000,000","49,338,000,000","52,785,000,000","53,620,000,000","64,523,000,000","65,035,000,000","54,672,000,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,431,000,000","-4,053,000,000","-4,771,000,000","-2,023,000,000","-523,000,000","-516,000,000","-496,000,000","-585,000,000","-850,000,000",,,,,,,,,,,,
