name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalAssets,"723,039,000,000","694,235,000,000","738,056,000,000","798,656,000,000","815,408,000,000","1,050,763,000,000","1,027,878,000,000","1,312,295,000,000","1,506,867,000,000","1,453,576,000,000","1,696,486,000,000","2,401,652,000,000","1,900,519,000,000","871,432,000,000","776,827,000,000","583,467,000,000","455,275,000,000","412,000,000,000","368,782,000,000","320,004,000,000","88,852,000,000","79,676,000,000","72,601,000,000","61,116,000,000","51,226,000,000","45,280,000,000","37,439,000,000","34,563,900,000","32,181,000,000","30,096,000,000","27,435,700,000","21,659,900,000","19,119,200,000","16,597,300,000","15,031,100,000"
	CashCashEquivalentsAndFederalFundsSold,"82,127,000,000","98,787,000,000","122,118,000,000","92,357,000,000","99,628,000,000","97,920,000,000","138,213,000,000","170,463,000,000","158,749,000,000","57,014,000,000","52,261,000,000","12,400,000,000","17,866,000,000","6,121,000,000","4,759,000,000","4,293,000,000","3,822,000,000","3,481,000,000","3,093,000,000","16,904,000,000","8,158,000,000","6,218,000,000","9,537,000,000","7,027,000,000","4,326,000,000","3,631,000,000","3,471,000,000","8,633,300,000","8,082,000,000","7,481,200,000","6,725,000,000","6,771,500,000","5,485,500,000","4,516,800,000","3,349,500,000"
		CashAndCashEquivalents,"77,858,000,000","88,897,000,000","98,337,000,000","74,250,000,000","79,404,000,000","74,872,000,000","82,659,000,000","79,290,000,000","79,269,000,000","57,014,000,000","52,261,000,000","12,400,000,000","17,866,000,000","6,121,000,000","4,759,000,000","4,293,000,000","3,822,000,000","3,481,000,000","3,093,000,000","16,904,000,000","8,158,000,000","6,218,000,000","9,537,000,000","7,027,000,000","4,326,000,000","3,631,000,000","3,471,000,000","8,633,300,000","8,082,000,000","7,481,200,000","6,725,000,000","6,771,500,000","5,485,500,000","4,516,800,000","3,349,500,000"
			CashEquivalents,,,,,,,,,,,,,,,,,"3,822,000,000",,,,,,,,,,,,,,,,,,
			CashAndDueFromBanks,"77,858,000,000","88,897,000,000","98,337,000,000","74,250,000,000","79,404,000,000","74,872,000,000","82,659,000,000","79,290,000,000","79,269,000,000","57,014,000,000","52,261,000,000","12,400,000,000","17,866,000,000","6,121,000,000","4,759,000,000","4,293,000,000","3,822,000,000","3,481,000,000","3,093,000,000","16,904,000,000","8,158,000,000","6,218,000,000","9,537,000,000","7,027,000,000","4,326,000,000","3,631,000,000","3,471,000,000","8,633,300,000","8,082,000,000","7,481,200,000","6,725,000,000","6,771,500,000","5,485,500,000","4,516,800,000","3,349,500,000"
		MoneyMarketInvestments,"4,269,000,000","9,890,000,000","23,781,000,000","18,107,000,000","20,224,000,000","23,048,000,000","55,554,000,000","91,173,000,000","79,480,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"4,269,000,000","9,890,000,000","23,781,000,000","18,107,000,000","20,224,000,000","23,048,000,000","55,554,000,000","91,173,000,000","79,480,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				SecurityAgreeToBeResell,"4,269,000,000","9,890,000,000","23,781,000,000","18,107,000,000","20,224,000,000","23,048,000,000","55,554,000,000","91,173,000,000","79,480,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	LongTermEquityInvestment,"436,000,000","404,000,000",,,,,,,"15,183,000,000","22,198,000,000","19,528,000,000","26,330,000,000","53,026,000,000","13,504,000,000","9,301,000,000","2,960,000,000","2,300,000,000","1,886,000,000","1,557,000,000","38,705,000,000","13,110,000,000","8,269,000,000","6,776,000,000","5,285,000,000","3,838,000,000","2,745,000,000","1,416,000,000","202,400,000","191,000,000","179,500,000","167,700,000","87,200,000","69,100,000","85,200,000","82,300,000"
	DerivativeAssets,"150,029,000,000","133,349,000,000","160,843,000,000","246,981,000,000","262,514,000,000","353,590,000,000","288,039,000,000","441,903,000,000","529,618,000,000","427,077,000,000","441,454,000,000","992,559,000,000","337,410,000,000","116,681,000,000","95,663,000,000","17,800,000,000",,,,,,,,,,,,,,,,,,,
