name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalRevenue,"12,110,000,000","11,985,000,000","13,341,000,000","12,716,000,000","12,716,000,000","13,057,000,000","14,675,000,000","19,050,000,000","17,329,000,000","28,978,000,000","31,868,000,000","38,690,000,000","25,868,000,000","31,115,000,000","28,002,000,000","25,902,000,000","22,754,000,000","19,229,000,000","16,815,000,000","14,581,000,000",,,,,,,,,,,,,,,,
	NetInterestIncome,"7,956,000,000","8,047,000,000","8,656,000,000","8,987,000,000","8,708,000,000","8,767,000,000","9,258,000,000","10,981,000,000","11,402,000,000","12,679,000,000","14,209,000,000","16,504,000,000","18,675,000,000","12,668,000,000","10,596,000,000","9,918,000,000","9,208,000,000","8,301,000,000","7,849,000,000","6,869,000,000",,,,,,,,,,,,,,,,
		InterestIncome,"11,311,000,000","11,375,000,000","11,049,000,000","11,034,000,000","11,258,000,000","11,925,000,000","13,079,000,000","16,740,000,000","18,530,000,000","21,410,000,000","22,776,000,000","33,836,000,000","49,522,000,000","33,420,000,000","24,688,000,000","21,331,000,000","16,696,000,000","13,998,000,000","13,561,000,000","14,421,000,000",,,,,,,,,,,,,,,,
		InterestExpense,"3,355,000,000","3,328,000,000","2,393,000,000","2,047,000,000","2,550,000,000","3,158,000,000","3,821,000,000","5,759,000,000","7,128,000,000","8,731,000,000","8,567,000,000","17,332,000,000","30,847,000,000","20,752,000,000","14,092,000,000","11,413,000,000","7,488,000,000","5,697,000,000","5,712,000,000","7,552,000,000",,,,,,,,,,,,,,,,
	NonInterestIncome,"4,154,000,000","3,938,000,000","4,685,000,000","3,729,000,000","4,008,000,000","4,290,000,000","5,417,000,000","8,069,000,000","5,927,000,000","16,299,000,000","17,659,000,000","22,186,000,000","7,193,000,000","18,447,000,000","17,406,000,000","15,984,000,000","13,546,000,000","10,928,000,000","8,966,000,000","7,712,000,000",,,,,,,,,,,,,,,,
		TotalPremiumsEarned,,,"357,000,000",,,,,,"1,000,000",,,,,"6,398,000,000","6,243,000,000","6,076,000,000","6,146,000,000","3,123,000,000",,"1,375,000,000",,,,,,,,,,,,,,,,
		FeesAndCommissions,"2,423,000,000","2,511,000,000","2,357,000,000","2,455,000,000","2,535,000,000","2,933,000,000","3,539,000,000","4,518,000,000","4,875,000,000","7,026,000,000","11,110,000,000","12,553,000,000","13,771,000,000","7,481,000,000","7,869,000,000","7,252,000,000","4,680,000,000","4,418,000,000","4,343,000,000","3,805,000,000",,,,,,,,,,,,,,,,
			FeesandCommissionIncome,"3,202,000,000","3,359,000,000","3,218,000,000","3,338,000,000","3,340,000,000","3,742,000,000","4,414,000,000","5,460,000,000","5,709,000,000","7,026,000,000","11,110,000,000","12,553,000,000","13,771,000,000","7,481,000,000","7,869,000,000","7,252,000,000","4,680,000,000","4,418,000,000","4,343,000,000","3,805,000,000",,,,,,,,,,,,,,,,
			FeesandCommissionExpense,"779,000,000","848,000,000","861,000,000","883,000,000","805,000,000","809,000,000","875,000,000","942,000,000","834,000,000",,,,,"2,193,000,000","1,922,000,000","1,841,000,000","1,926,000,000",,,,,,,,,,,,,,,,,,,
		DividendIncome,,,,,,,"30,000,000","87,000,000","59,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
