name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalAssets,"30,320,284,000","27,698,270,000","22,296,317,000","22,310,324,000","20,921,855,000","20,713,190,000","20,072,947,000","19,827,930,000","19,804,405,000","19,694,904,000","18,233,494,000","16,463,310,000","14,982,281,000","13,393,088,000","11,255,771,000","11,964,084,000","11,322,742,000","10,538,531,000","10,368,782,000","7,828,465,000","6,380,511,000","5,686,076,000","5,339,700,000","2,842,300,000","2,203,200,000","1,865,000,000","1,811,800,000","1,841,700,000","1,631,700,000"
	CurrentAssets,"1,162,628,000","1,242,044,000","843,028,000","748,305,000","837,022,000","801,083,000","956,374,000","888,060,000","969,288,000","1,015,071,000","1,026,391,000","977,337,000","992,791,000","501,904,000","377,010,000","860,606,000","574,550,000","447,743,000","886,114,000","310,719,000","194,377,000","286,331,000","211,100,000","112,400,000","87,800,000","118,100,000","81,000,000","107,000,000","91,600,000"
		CashCashEquivalentsAndShortTermInvestments,"243,738,000","287,852,000","120,112,000","132,603,000","121,565,000","189,241,000","204,687,000","194,855,000","262,186,000","419,929,000","398,713,000","484,813,000","444,676,000","104,520,000","125,385,000","628,578,000","330,086,000","242,584,000","727,178,000","177,810,000","63,470,000","172,921,000","110,800,000","40,400,000","31,300,000","23,900,000","32,300,000","56,500,000","27,400,000"
			CashAndCashEquivalents,"243,738,000","287,852,000","120,112,000","132,603,000","121,565,000","189,241,000","204,687,000","194,855,000","262,186,000","419,929,000","284,619,000","402,878,000","230,784,000","104,520,000","125,385,000","628,578,000","330,086,000","242,584,000","727,178,000","177,810,000","63,470,000","172,921,000","110,800,000","40,400,000","31,300,000","23,900,000","32,300,000","56,500,000","27,400,000"
			OtherShortTermInvestments,,,,,,,,,"0","0","114,094,000","81,935,000","213,892,000",,,,,,,,,,,,,,,,
		Receivables,"305,821,000","324,507,000","318,641,000","291,899,000","238,972,000","261,392,000","259,746,000","281,421,000","292,447,000","266,710,000","338,804,000","271,287,000","313,640,000","185,886,000","95,254,000","84,899,000","89,489,000","79,535,000","72,196,000","53,609,000","53,459,000","36,532,000","22,600,000","15,500,000","12,200,000","9,400,000","7,500,000","11,000,000","9,700,000"
			AccountsReceivable,"305,821,000","324,507,000","318,641,000","291,899,000","238,972,000","261,392,000","259,746,000","281,421,000","292,447,000","266,710,000","338,804,000","271,287,000",,,,,,,,,,,,,,,,,
		Inventory,"162,107,000","153,573,000","111,393,000","114,087,000","121,332,000","123,490,000","151,244,000","146,295,000","144,553,000","126,797,000","107,877,000","96,077,000","96,813,000","76,969,000","57,803,000","60,260,000","53,277,000","37,299,000","33,493,000","30,115,000","26,398,000","31,834,000","37,300,000","22,700,000","16,800,000","13,600,000","10,400,000","12,900,000","11,700,000"
		PrepaidAssets,"429,211,000","456,547,000","193,562,000","209,716,000","220,579,000","226,960,000","252,852,000","207,662,000","185,460,000","145,144,000","180,997,000","125,160,000","137,662,000","134,529,000","98,568,000","86,869,000","101,698,000","88,325,000","53,247,000","49,185,000","51,050,000","45,044,000",,,,,,,
		HedgingAssetsCurrent,"21,751,000","19,565,000","99,320,000","0","134,574,000","0","87,845,000","57,827,000","84,642,000","56,491,000",,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,"40,400,000","33,800,000","27,500,000","71,200,000","30,800,000","26,600,000","42,800,000"
	TotalNonCurrentAssets,"29,157,656,000","26,456,226,000","21,453,289,000","21,562,019,000","20,084,833,000","19,912,107,000","19,116,573,000","18,939,870,000","18,835,117,000","18,679,833,000","17,207,103,000","15,485,973,000","13,989,490,000","12,891,184,000","10,878,761,000","11,103,478,000","10,748,192,000","10,090,788,000","9,482,668,000","7,517,746,000","6,186,134,000","5,399,745,000","5,128,600,000","2,729,900,000","2,115,400,000","1,746,900,000","1,730,800,000","1,734,700,000","1,540,100,000"
		NetPPE,"26,154,363,000","23,466,163,000","19,735,180,000","20,161,427,000","18,777,778,000","18,235,568,000","17,517,752,000","17,451,034,000","16,934,817,000","16,769,181,000","15,268,053,000","13,878,998,000","12,253,784,000","11,429,106,000","10,276,948,000","10,193,443,000","9,943,495,000","9,276,484,000","8,605,448,000","6,831,809,000","5,858,200,000","5,073,008,000","4,785,300,000","2,378,900,000","1,758,400,000","1,384,800,000","1,355,400,000","1,351,700,000","1,150,500,000"
			GrossPPE,"36,237,479,000","32,435,111,000","27,780,096,000","28,142,792,000","26,218,690,000","25,325,557,000","24,271,297,000","23,442,703,000","22,270,114,000","21,627,425,000","19,560,407,000","17,843,071,000","15,658,362,000","14,383,535,000","12,849,651,000","12,406,669,000","11,803,691,000","10,828,238,000","9,830,415,000","7,766,556,000","6,652,100,000","5,681,308,000","4,785,300,000","2,378,900,000","2,087,200,000","1,677,100,000","1,607,900,000","1,530,000,000","1,261,700,000"
				Properties,"472,067,000","321,136,000","250,079,000","341,605,000","337,109,000","349,339,000","394,120,000","377,821,000",,"905,071,000","880,188,000","862,129,000",,,,,,,,,,,,,,,,,
