name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"321,171,000,000","344,877,000,000","388,379,000,000","305,179,000,000","233,591,000,000","264,960,000,000","421,105,000,000","451,235,000,000","467,153,000,000","470,171,000,000","378,152,000,000","283,164,000,000","458,361,000,000","355,782,000,000","318,845,000,000","306,731,000,000","266,385,999,569.5","201,728,000,000",,"135,211,000,000","149,146,000,000","105,366,000,000","93,692,000,000"
	OperatingRevenue,"321,171,000,000","344,877,000,000","388,379,000,000","305,179,000,000","233,591,000,000","264,960,000,000","421,105,000,000","451,235,000,000","467,153,000,000","470,171,000,000","378,152,000,000","283,164,000,000","458,361,000,000","355,782,000,000","318,845,000,000","306,731,000,000","266,385,999,569.5","201,728,000,000",,"135,211,000,000","149,146,000,000","105,366,000,000","93,692,000,000"
CostOfRevenue,"292,183,000,000","308,122,000,000","343,504,000,000","276,322,000,000","216,001,000,000","222,739,000,000","357,316,000,000","381,585,000,000","410,620,000,000","396,502,000,000","307,634,000,000","228,376,000,000","397,688,000,000","298,409,000,000","264,551,000,000","252,622,000,000","223,258,999,795.2","167,500,000,000",,"107,839,000,000","118,328,000,000","81,839,000,000","76,674,000,000"
GrossProfit,"28,988,000,000","36,755,000,000","44,875,000,000","28,857,000,000","17,590,000,000","42,221,000,000","63,789,000,000","69,650,000,000","56,533,000,000","73,669,000,000","70,518,000,000","54,788,000,000","60,673,000,000","57,373,000,000","54,294,000,000","54,109,000,000","43,126,999,774.3","34,228,000,000",,"27,372,000,000","30,818,000,000","23,527,000,000","17,018,000,000"
OperatingExpense,"13,869,000,000","13,809,000,000","13,686,000,000","13,376,000,000","15,223,000,000","45,482,000,000","43,910,000,000","42,698,000,000","19,034,000,000","30,954,000,000","34,178,000,000","35,191,000,000","17,028,000,000","16,621,000,000","16,616,000,000","16,768,000,000","14,459,997,826.7","12,420,000,000",,"7,370,000,000","6,318,000,000","8,295,000,000","13,914,000,000"
	SellingGeneralAndAdministration,"10,534,000,000","10,493,000,000","11,360,000,000","10,509,000,000","12,101,000,000","11,956,000,000","13,965,000,000","14,675,000,000","14,616,000,000","14,335,000,000","15,528,000,000","17,430,000,000","17,028,000,000","16,621,000,000","16,616,000,000","16,768,000,000","15,098,000,871","13,844,000,000",,"9,142,000,000","9,033,000,000","9,025,000,000","10,756,000,000"
		GeneralAndAdministrativeExpense,"10,534,000,000","10,493,000,000","11,360,000,000","10,509,000,000","12,101,000,000","11,956,000,000","13,965,000,000","14,675,000,000","14,616,000,000","14,335,000,000","15,528,000,000","17,430,000,000","17,028,000,000","16,621,000,000","16,616,000,000","16,768,000,000","15,098,000,000","1,903,000,000",,"1,244,000,000","1,137,000,000","830,000,000","1,414,000,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,"16,906,000,000","16,621,000,000","16,616,000,000","15,482,000,000","15,098,000,871","11,941,000,000",,"7,898,000,000","7,896,000,000","8,195,000,000","9,342,000,000"
	ResearchAndDevelopment,"993,000,000","962,000,000","986,000,000","922,000,000","1,014,000,000","1,093,000,000","1,222,000,000","1,318,000,000","1,314,000,000","1,125,000,000","1,019,000,000","1,125,000,000","3,225,000,000","1,712,000,000","1,562,000,000",,"552,999,526","584,000,000",,"1,269,000,000","389,000,000","1,591,000,000","2,402,000,000"
	OtherOperatingExpenses,"2,342,000,000","2,354,000,000","1,340,000,000","1,945,000,000","2,108,000,000","5,719,000,000","4,224,000,000","5,278,000,000","3,104,000,000","2,266,000,000","2,036,000,000","2,178,000,000","3,171,000,000","3,349,000,000","571,000,000","2,599,000,000","-14,033,002,060.1","-2,008,000,000",,"-3,041,000,000","-3,104,000,000","-2,321,000,000","756,000,000"
OperatingIncome,"15,119,000,000","22,946,000,000","31,189,000,000","15,481,000,000","2,367,000,000","-3,261,000,000","19,879,000,000","26,952,000,000","37,499,000,000","42,715,000,000","36,340,000,000","19,597,000,000","43,645,000,000","40,752,000,000","37,678,000,000","37,341,000,000","28,667,001,947.6","21,808,000,000",,"20,002,000,000","24,500,000,000","15,232,000,000","3,104,000,000"
NetNonOperatingInterestIncomeExpense,"-3,985,000,000","-3,659,000,000","-2,804,000,000","-3,251,000,000","-2,748,000,000","-1,067,000,000","-693,000,000","-1,366,000,000","-1,333,000,000","4,208,000,000","3,147,000,000","1,423,000,000","3,952,000,000","1,590,000,000","279,000,000","103,000,000","365,999,133.8",,,,,,
	InterestIncomeNonOperating,"532,000,000","899,000,000","772,000,000","677,000,000","451,000,000","359,000,000","206,000,000","194,000,000","214,000,000","5,581,000,000","4,143,000,000","1,965,000,000","5,133,000,000","1,590,000,000","279,000,000","103,000,000","462,999,326.9",,,,,,
	InterestExpenseNonOperating,"3,799,000,000","3,840,000,000","2,674,000,000","2,826,000,000","2,007,000,000","993,000,000","760,000,000","568,000,000","684,000,000","1,373,000,000","996,000,000","542,000,000","1,181,000,000","0","0","0","754,999,629.1",,,,,,
	TotalOtherFinanceCost,,"718,000,000","902,000,000","1,102,000,000","1,192,000,000","433,000,000","139,000,000","992,000,000","863,000,000",,,,,,,,"-657,999,436",,,,,,
PretaxIncome,"16,702,000,000","25,485,000,000","35,621,000,000","18,130,000,000","5,606,000,000","2,047,000,000","28,314,000,000","33,592,000,000","50,289,000,000","55,660,000,000","35,344,000,000","21,020,000,000","50,820,000,000","50,576,000,000","44,628,000,000","44,567,000,000","31,659,000,488","22,178,000,000",,"19,898,000,000","24,036,000,000","14,521,000,000","2,405,000,000"
TaxProvision,"6,451,000,000","9,053,000,000","11,715,000,000","4,695,000,000","829,000,000","-153,000,000","13,584,000,000","17,066,000,000","23,449,000,000","24,475,000,000","14,870,000,000","8,302,000,000","24,344,000,000","18,650,000,000","18,317,000,000","17,999,000,000","12,168,000,620","9,572,000,000",,"8,694,000,000","11,273,000,000","5,696,000,000","1,913,000,000"
NetIncomeCommonStockholders,"9,817,000,000","15,842,000,000","23,352,000,000","12,977,000,000","4,575,000,000","1,939,000,000","14,874,000,000","16,371,000,000","26,592,000,000","30,918,000,000","20,127,000,000","12,518,000,000","26,277,000,000","31,331,000,000","25,442,000,000","25,311,000,000","18,539,998,473.2","12,496,000,000",,"10,852,000,000","12,719,000,000","8,584,000,000","350,000,000"
	NetIncome,"9,817,000,000","15,842,000,000","23,352,000,000","12,977,000,000","4,575,000,000","1,939,000,000","14,874,000,000","16,371,000,000","26,592,000,000","30,918,000,000","20,127,000,000","12,518,000,000","26,277,000,000","31,331,000,000","25,442,000,000","25,311,000,000","18,539,998,473.2","12,496,000,000",,"10,852,000,000","12,719,000,000","8,584,000,000","350,000,000"
		NetIncomeIncludingNoncontrollingInterests,"10,252,000,000","16,432,000,000","23,906,000,000","13,435,000,000","4,777,000,000","2,200,000,000","14,730,000,000","16,526,000,000","26,840,000,000","31,185,000,000","20,474,000,000","12,718,000,000","26,476,000,000","31,926,000,000","26,311,000,000","26,261,000,000","19,256,998,963.6","12,861,000,000",,"11,204,000,000","12,763,000,000","8,825,000,000","492,000,000"
			NetIncomeContinuousOperations,"10,251,000,000","16,432,000,000","23,906,000,000","13,435,000,000","4,777,000,000","2,200,000,000","14,730,000,000","16,526,000,000","26,840,000,000","31,185,000,000","20,474,000,000","12,718,000,000","26,277,000,000","31,331,000,000","25,442,000,000","25,618,000,000","19,490,999,868","12,241,000,000",,"11,204,000,000","12,763,000,000","8,825,000,000","492,000,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,"-307,000,000","-234,000,904.4",,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,"255,000,000",,,,,
		MinorityInterests,"-435,000,000","-590,000,000","-554,000,000","-458,000,000","-202,000,000","-261,000,000","144,000,000","-155,000,000","-248,000,000","-267,000,000","-347,000,000","-200,000,000","-199,000,000","-595,000,000","-869,000,000","-950,000,000","-717,000,490.4","-365,000,000",,"-352,000,000","-44,000,000","-241,000,000","-142,000,000"
	OtherunderPreferredStockDividend,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0"
