name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalRevenue,"8,274,876,000","8,231,169,000","7,377,206,000","6,608,071,000","5,794,346,000","5,837,889,000","5,790,589,000","5,640,836,000","4,922,810,000","4,693,961,000","4,705,807,000","4,498,578,000","3,527,579,000","4,782,047,000","4,517,300,000","4,555,099,000","5,008,685,000","4,106,743,000","2,557,637,000","1,801,545,000","2,956,307,000","2,631,110,000","1,315,200,000","1,299,200,000","1,169,300,000","948,900,000"
	TotalPremiumsEarned,"7,707,803,000","7,403,686,000","6,931,699,000","5,937,840,000","5,320,466,000","5,481,459,000","5,169,135,000","4,753,543,000","4,164,628,000","4,101,347,000","3,934,625,000","3,894,098,000","3,694,301,000","3,997,498,000","3,853,153,000","3,963,093,000","4,425,082,000","3,737,851,000","2,273,677,000","1,467,477,000","1,174,183,000","1,071,451,000","1,068,000,000","1,049,800,000","973,600,000",
		NetPremiumsWritten,"7,824,424,000","7,824,424,000","7,414,428,000","5,937,840,000","5,320,466,000","5,481,459,000","5,169,135,000","4,753,543,000","4,164,628,000",,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,"9,133,364,000","9,133,364,000","8,475,154,000","6,771,227,000","6,056,646,000","5,976,184,000","5,588,751,000","4,956,657,000","4,408,374,000",,,,,,,,,,,,,,,,,
			CededPremiums,"-1,308,940,000","-1,308,940,000","-1,060,726,000","-833,387,000","-736,180,000","-494,725,000","-419,616,000","-203,114,000","-243,746,000",,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"623,767,000","632,614,000","573,593,000","545,386,000","460,137,000","377,943,000","479,469,000","591,501,000","580,442,000","620,041,000","653,463,000","547,793,000","565,887,000","682,392,000","629,378,000","522,833,000","495,908,000","402,100,000","350,603,000","340,441,000","301,493,000","252,999,000",,,,
	NetRealizedGainLossOnInvestments,"-78,076,000","205,903,000","-119,026,000","160,287,000","24,379,000","-81,948,000","123,548,000","301,279,000","174,422,000","-4,338,000","100,792,000","79,163,000","-695,830,000","86,283,000","35,067,000","90,284,000","89,614,000","-38,026,000","-50,043,000",,"807,000",,,,,
	FeeRevenueAndOtherIncome,"21,382,000","-11,034,000","-9,060,000","-35,442,000","-10,636,000","60,435,000","18,437,000","-5,487,000","3,318,000","-23,089,000","16,927,000","-22,476,000","-36,779,000","15,874,000","-298,000","-21,111,000","-1,919,000","4,818,000","-16,600,000","-6,373,000","1,479,824,000","1,306,660,000","247,200,000","249,400,000","195,700,000",
		OtherIncomeExpense,"21,382,000","-11,034,000","-9,060,000","-35,442,000","-10,636,000","60,435,000","18,437,000","-5,487,000","3,318,000","-23,089,000","16,927,000","-22,476,000","-36,779,000","15,874,000","-298,000","-21,111,000","-1,919,000","4,818,000","-16,600,000","-6,373,000","1,479,824,000","1,306,660,000","247,200,000","249,400,000","195,700,000",
TotalExpenses,"7,628,302,000","7,132,182,000","7,603,677,000","6,202,887,000","4,694,502,000","4,629,380,000","4,344,474,000","4,085,870,000","3,983,284,000","4,927,908,000","4,114,569,000","3,559,257,000","3,611,186,000","3,754,091,000","3,525,550,000","4,836,020,000","4,448,974,000","3,615,530,000","2,295,593,000","1,711,202,000","2,724,565,000","2,434,528,000","324,100,000","326,500,000","309,500,000",
