name,ttm,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalRevenue,"7,820,000,000","7,646,000,000","7,181,930,000","6,243,855,000","5,300,605,000","5,097,893,000","4,769,082,000","4,408,062,000","3,806,531,000","3,334,056,000","2,916,665,000","2,545,566,000","2,812,703,000","2,609,915,000","2,336,087,000","2,039,208,000","1,781,259,000","1,451,960,000","1,439,588,000","1,429,493,000","1,469,942,000","1,080,600,000","951,900,000","826,300,000","638,300,000","489,200,000","470,900,000","434,600,000","339,700,000","245,700,000","208,100,000","181,700,000",,,,
	NetInterestIncome,"994,000,000","998,000,000","842,490,000","648,348,000","523,248,000","435,253,000","376,795,000","363,228,000","361,889,000","326,488,000","308,041,000","386,631,000","331,834,000","227,328,000","173,311,000","127,773,000","86,247,000","82,096,000","83,468,000","106,036,000","117,037,000","78,300,000","71,300,000","54,400,000","43,000,000","32,400,000","22,300,000","16,400,000","15,000,000","14,700,000","12,700,000","11,100,000",,,,
		InterestIncome,"1,223,000,000","1,281,000,000","1,043,993,000","802,126,000","640,325,000","543,207,000","480,886,000","473,599,000","453,258,000","392,318,000","370,892,000","443,584,000","724,063,000","726,992,000","469,981,000","245,562,000","134,764,000","127,707,000","159,803,000","334,387,000","345,689,000","229,800,000","202,300,000","155,700,000","126,500,000","97,200,000","58,500,000","33,600,000","36,400,000","55,000,000","61,300,000","55,800,000",,,,
			InterestIncomeFromLoansAndLease,,"889,000,000","737,417,000","585,504,000","495,573,000","412,634,000","350,369,000","342,474,000",,"270,057,000","257,988,000","320,167,000",,,,,,,,,,,,,,,,,,,,,,,,
				InterestIncomeFromLoans,,"889,000,000","737,417,000","585,504,000","495,573,000","412,634,000","350,369,000","342,474,000",,"270,057,000","257,988,000","320,167,000",,,,,,,,,,,,,,,,,,,,,,,,
			InterestIncomeFromSecurities,,"95,000,000","89,984,000","63,063,000","35,735,000","36,586,000","33,174,000","36,365,000","349,264,000","31,364,000","36,005,000","37,556,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherInterestIncome,,"297,000,000","216,592,000","153,559,000","109,017,000","93,987,000","97,343,000","94,760,000","103,994,000","90,897,000","76,899,000","85,861,000",,,,,,,,,,,,,,,,,,,,,,,,
		InterestExpense,"229,000,000","283,000,000","201,503,000","153,778,000","117,077,000","107,954,000","104,091,000","110,371,000","91,369,000","65,830,000","62,851,000","56,953,000","392,229,000","499,664,000","296,670,000","117,789,000","48,517,000","45,611,000","76,335,000","228,351,000","228,652,000","151,500,000","131,000,000","101,300,000","83,500,000","64,800,000","36,200,000","17,200,000","21,400,000","40,300,000","48,600,000","44,700,000",,,,
			InterestExpenseForDeposit,,"132,000,000","65,557,000","17,184,000","10,218,000","8,382,000","7,959,000","9,032,000","9,484,000","12,543,000","16,053,000","24,023,000",,,,,,,,,,,,,,,,,,,,,,,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,,"94,000,000","94,714,000","111,224,000","91,490,000","82,167,000","79,977,000","80,837,000","64,438,000","37,096,000","35,720,000","14,683,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherInterestExpense,,"57,000,000","41,232,000","25,370,000","15,369,000","17,405,000","16,155,000","20,502,000","17,447,000","16,191,000","11,078,000","18,247,000",,,,,,,,,,,,,,,,,,,,,,,,
	NonInterestIncome,"6,826,000,000","6,648,000,000","6,339,440,000","5,595,507,000","4,777,357,000","4,662,640,000","4,392,287,000","4,044,834,000","3,444,642,000","3,007,568,000","2,608,624,000","2,158,935,000","2,480,869,000","2,382,587,000","2,162,776,000","1,911,435,000","1,695,012,000","1,369,864,000","1,356,120,000","1,323,457,000","1,352,905,000","1,002,300,000","880,600,000","771,900,000","595,300,000","456,800,000","448,600,000","418,200,000","324,700,000","231,000,000","195,400,000","170,600,000",,,,
		FeesAndCommissions,"6,145,000,000","5,902,000,000","5,767,298,000","5,023,931,000","4,299,605,000","4,183,872,000","3,919,307,000","3,576,632,000","3,079,052,000","2,693,709,000","2,282,904,000","1,908,563,000","2,231,792,000","2,072,007,000","1,856,860,000","1,665,350,000","1,505,222,000","1,226,733,000",,,,,,,,"17,200,000",,,"204,400,000","150,100,000","125,500,000","116,300,000",,,,
			FeesandCommissionIncome,"6,352,000,000","5,996,000,000","5,859,686,000","5,151,173,000","4,402,267,000","4,286,189,000","4,011,594,000","3,653,997,000","3,079,052,000","2,693,709,000","2,282,904,000","1,908,563,000","2,231,792,000","2,072,007,000","1,856,860,000","1,665,350,000","1,505,222,000","1,226,733,000",,,,,,,,"17,200,000",,,"204,400,000","150,100,000","125,500,000","116,300,000",,,,
				ServiceChargeOnDepositorAccounts,"712,000,000","738,000,000","1,376,646,000","1,130,263,000","903,652,000","843,151,000","770,069,000","646,286,000",,"286,523,000",,"126,480,000",,,,,,,,,,,,,,,,,,,,,,,,
				TrustFeesbyCommissions,"3,764,000,000","3,451,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"204,400,000","150,100,000","125,500,000","116,300,000",,,,
				SecuritiesActivities,"1,876,000,000","1,807,000,000","4,483,040,000","4,020,910,000","3,498,615,000","3,443,038,000","3,241,525,000","3,007,711,000",,,"1,950,909,000","1,634,285,000","1,888,745,000","1,740,717,000","1,561,504,000","1,421,908,000","1,290,344,000","1,045,071,000",,,,,,,,,,,,,,,,,,
				OtherCustomerServices,,,,,,,,,"3,079,052,000","2,693,709,000","331,995,000","274,278,000","343,047,000","331,290,000","295,356,000","243,442,000","214,878,000","181,662,000",,,,,,,,,,,,,,,,,,
			FeesandCommissionExpense,"207,000,000","94,000,000","92,388,000","127,242,000","102,662,000","102,317,000","92,287,000","77,365,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentBankingProfit,"585,000,000","596,000,000","440,811,000","398,675,000","304,155,000","323,660,000","340,821,000","288,251,000","223,579,000","251,183,000","164,957,000","95,124,000","122,371,000","208,590,000","158,598,000","150,166,000","106,350,000","71,317,000","143,506,000","97,506,000","82,008,000","74,700,000","107,800,000","109,100,000","72,600,000","43,000,000","61,300,000","60,100,000","44,900,000","23,000,000","25,100,000","24,100,000",,,,
		TradingGainLoss,,,"56,722,000","81,880,000","91,591,000","58,512,000","64,643,000","34,069,000","55,538,000","27,506,000","38,256,000","48,004,000",,,,,,,,,,,,,,,,,,,,,,,,
		GainLossonSaleofAssets,,,"0","0","0","0","0","0","0","0","0","0",,,"27,156,000","24,612,000","1,290,344,000","1,045,071,000","972,474,000","994,183,000","27,277,000","17,000,000","6,300,000","12,800,000","12,200,000","12,600,000","6,800,000","276,300,000",,,,,,,,
			GainOnSaleOfSecurity,,,"0","0","0","0","0","0","0","0","0","0",,,"27,156,000","24,612,000","1,290,344,000","1,045,071,000","972,474,000","994,183,000","27,277,000","17,000,000","6,300,000","12,800,000","12,200,000","12,600,000","6,800,000","276,300,000",,,,,,,,
		OtherNonInterestIncome,"96,000,000","150,000,000","74,609,000","91,021,000","82,006,000","96,596,000","67,516,000","145,882,000","86,473,000","35,170,000","122,507,000","107,244,000","126,706,000","101,990,000","120,162,000","71,307,000","-1,206,904,000","-973,257,000","240,140,000","231,768,000","1,243,620,000","910,600,000","766,500,000","650,000,000","510,500,000","384,000,000","380,500,000","81,800,000","75,400,000","57,900,000","44,800,000","30,200,000",,,,
CreditLossesProvision,,"-22,000,000","-20,481,000","-12,987,000","-28,167,000","-23,570,000","-13,565,000","-2,565,000","-25,894,000","-33,655,000","-80,413,000","-169,341,000",,,,,,,,,,,,,,,,,,,,,,,,
NonInterestExpense,"6,511,000,000","6,234,000,000","5,852,645,000","5,239,149,000","4,454,361,000","4,297,611,000","4,039,569,000","3,738,133,000","3,253,432,000","2,849,656,000","2,480,108,000","2,139,824,000","2,430,155,000","2,227,418,000","2,002,180,000","1,793,755,000","1,577,138,000","1,313,685,000","1,308,072,000","1,272,025,000","1,265,262,000","943,200,000","801,700,000","665,800,000","529,800,000","414,900,000","403,500,000","354,300,000","273,900,000","202,200,000","178,800,000","161,100,000",,,,
	OccupancyAndEquipment,"227,000,000","218,000,000","201,943,000","190,737,000","167,455,000","163,229,000","161,683,000","157,449,000","134,199,000","108,600,000","104,945,000","104,185,000","97,613,000","79,881,000","72,593,000","66,948,000","61,339,000","61,520,000","61,038,000","60,426,000","51,165,000","40,100,000","33,000,000","27,200,000","23,900,000","21,700,000","15,600,000","12,200,000","10,500,000","9,500,000","9,600,000","8,400,000",,,,
	ProfessionalExpenseAndContractServicesExpense,"90,000,000","85,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"5,945,000,000","5,654,000,000","5,342,724,000","4,694,274,000","4,052,906,000","3,950,740,000","3,705,001,000","3,435,780,000","2,845,163,000","2,438,440,000","2,257,554,000","1,938,785,000","1,906,366,000","1,766,690,000","1,601,037,000","1,429,104,000","1,273,420,000","1,034,676,000","1,020,157,000","1,024,423,000","1,009,135,000","754,700,000","650,300,000","537,400,000","423,900,000","326,400,000","318,000,000","282,900,000","216,800,000","153,900,000","133,100,000","120,700,000",,,,
		GeneralAndAdministrativeExpense,"5,945,000,000","5,654,000,000","5,342,724,000","4,694,274,000","4,052,906,000","3,950,740,000","3,705,001,000","3,435,780,000","2,649,268,000","2,300,835,000","2,055,384,000","1,738,512,000","1,906,366,000","1,766,690,000","1,601,037,000","1,429,104,000","1,273,420,000","1,034,676,000","1,020,157,000","1,024,423,000","1,009,135,000","754,700,000","650,300,000","537,400,000","423,900,000","326,400,000","318,000,000","282,900,000","216,800,000","153,900,000","133,100,000","120,700,000",,,,
			SalariesAndWages,"5,370,000,000","5,087,000,000","4,795,375,000","4,228,387,000","3,624,747,000","3,525,378,000","3,312,635,000","3,054,027,000","2,620,058,000","2,270,735,000","1,993,561,000","1,673,114,000","1,906,366,000","1,766,690,000","1,601,037,000","1,429,104,000","1,273,420,000","1,034,676,000","1,020,157,000","1,024,423,000","1,009,135,000","754,700,000","650,300,000","537,400,000","423,900,000","326,400,000","318,000,000","282,900,000","216,800,000","153,900,000","133,100,000","120,700,000",,,,
			OtherGandA,"575,000,000","567,000,000","547,349,000","465,887,000","428,159,000","425,362,000","392,366,000","381,753,000","29,210,000","30,100,000","61,823,000","65,398,000",,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,"195,895,000","137,605,000","202,170,000","200,273,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonInterestExpense,"249,000,000","277,000,000","307,978,000","354,138,000","234,000,000","183,642,000","172,885,000","144,904,000","274,070,000","302,616,000","117,609,000","96,854,000","426,176,000","380,847,000","328,550,000","297,703,000","242,379,000","217,489,000","226,877,000","187,176,000","204,962,000","148,400,000","118,400,000","101,200,000","82,000,000","66,800,000","69,900,000","59,200,000","46,600,000","38,800,000","36,100,000","32,000,000",,,,
IncomefromAssociatesandOtherParticipatingInterests,,,,,"-42,342,000","-38,319,000","-40,862,000","-26,180,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpecialIncomeCharges,"0","-15,000,000","-3,927,000","-63,741,000","-40,706,000","0","0","-73,454,000","-59,284,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	RestructuringAndMergernAcquisition,"0","15,000,000","3,927,000","17,995,000","40,706,000","0","0","73,454,000","59,284,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	ImpairmentOfCapitalAssets,,,,,,,"0","6,933,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	LossonExtinguishmentofDebt,,"0","0","45,746,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,308,000,000","1,375,000,000","1,304,877,000","927,978,000","777,371,000","776,712,000","715,948,000","593,910,000","467,921,000","450,745,000","356,144,000","248,774,000","386,854,000","392,224,000","342,066,000","247,971,000","204,121,000","138,275,000","131,516,000","157,468,000","204,680,000","137,500,000","150,200,000","160,500,000","108,500,000","74,400,000","67,200,000","80,200,000","65,800,000","43,500,000","29,200,000","20,500,000",,,,
TaxProvision,"333,000,000","341,000,000","453,960,000","289,111,000","271,293,000","296,034,000","267,797,000","197,033,000","175,656,000","182,894,000","133,625,000","96,024,000","151,776,000","141,794,000","127,724,000","96,925,000","76,546,000","51,958,000","52,213,000","61,058,000","79,485,000","52,400,000","57,500,000","61,600,000","42,500,000","28,300,000","25,100,000","30,900,000","24,800,000","16,800,000","11,300,000","8,100,000",,,,
NetIncomeCommonStockholders,"959,000,000","1,032,000,000","855,232,000","634,859,000","528,094,000","500,530,000","477,241,000","362,990,000","295,869,000","278,353,000","228,283,000","152,750,000","235,078,000","250,430,000","214,342,000","151,046,000","127,575,000","86,317,000","79,303,000","96,410,000","125,195,000","85,100,000","92,700,000","98,900,000","66,000,000","46,100,000","42,100,000","49,300,000","41,000,000","26,700,000","17,900,000","12,400,000","5,500,000","9,600,000","6,200,000","4,600,000"
	NetIncome,"961,000,000","1,034,000,000","856,695,000","636,235,000","529,350,000","502,140,000","480,248,000","367,154,000","295,869,000","278,353,000","228,283,000","152,750,000","235,078,000","250,430,000","214,342,000","151,046,000","127,575,000","86,317,000","79,303,000","96,410,000","125,195,000","85,100,000","92,700,000","98,900,000","66,000,000","46,100,000","42,100,000","49,300,000","41,000,000","26,700,000","17,900,000","12,400,000","5,500,000","9,600,000","6,200,000","4,600,000"
		NetIncomeIncludingNoncontrollingInterests,"975,000,000","1,034,000,000","850,917,000","638,867,000","506,078,000","480,678,000","448,151,000","396,877,000","292,265,000","267,851,000","222,519,000","152,750,000","230,772,000","240,703,000","206,183,000","148,528,000","127,575,000","86,317,000","79,303,000","96,410,000","125,195,000","85,100,000","92,700,000","98,900,000","66,000,000","46,100,000","42,100,000","49,300,000","41,000,000","26,700,000","17,900,000","12,400,000","5,500,000","9,600,000","6,200,000","4,600,000"
			NetIncomeContinuousOperations,"975,000,000","1,034,000,000","850,917,000","638,867,000","506,078,000","480,678,000","448,151,000","396,877,000","292,265,000","267,851,000","222,519,000","152,750,000","235,078,000","250,430,000","214,342,000","151,046,000","127,575,000","86,317,000","79,303,000","96,410,000","125,195,000","85,100,000","92,700,000","98,900,000","66,000,000","46,100,000","42,100,000","49,300,000","41,000,000","26,700,000","17,900,000","12,400,000","5,500,000","9,600,000","6,200,000","4,600,000"
		MinorityInterests,,,"5,778,000","-2,632,000","23,272,000","21,462,000","32,097,000","-29,723,000","3,604,000","10,502,000","5,764,000","-12,373,000","4,306,000","9,727,000","8,159,000","2,518,000",,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,,,"30,000","26,000","20,000","30,000","61,000","64,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"959,000,000","1,032,000,000","855,262,000","634,885,000","528,114,000","500,560,000","477,302,000","363,054,000","295,869,000","278,353,000","228,283,000","152,750,000","235,078,000","250,430,000","214,342,000","151,046,000","127,575,000","86,317,000","79,303,000","96,410,000","125,195,000","85,100,000","92,700,000","98,900,000","66,000,000","46,100,000","42,100,000","49,300,000","41,000,000","26,700,000","17,900,000","12,400,000","5,500,000","9,600,000","6,200,000","4,600,000"
BasicEPS,,"7.32","5.89","4.43","3.72","3.51","3.41","2.64","2.22","2.2","1.83","1.3","2.02","2.17","1.9","1.367","1.16","0.791","0.724","0.898","1.2","0.796","0.853","0.907","0.62","0.44","0.392","0.449","0.374","0.249","0.182","0.129","0.058","0.102","0.076","0.058"
DilutedEPS,,"7.17","5.75","4.33","3.65","3.43","3.32","2.58","2.2","2.19","1.83","1.29","1.97","2.11","1.85","1.333","1.147","0.782","0.711","0.88","1.187","0.782","0.827","0.907","0.62","0.44","0.387","0.449","0.374","0.245","0.165","0.116","0.058","0.089","0.076","0.058"
BasicAverageShares,,"141,000,000","145,271,000","143,275,000","141,773,000","142,548,000","139,935,000","137,732,000","130,806,000","122,448,000","119,335,000","117,444,000","116,383,000","115,608,000","112,614,000","110,217,000","110,092,500","109,235,250","109,516,500","107,241,750","104,154,750","107,113,500","108,360,000","108,870,750","106,439,062","104,819,062","107,534,572","109,716,961","109,711,619","107,169,521","98,133,813","96,110,620","95,096,480","93,819,632","81,976,967","79,535,238"
DilutedAverageShares,,"144,000,000","148,838,000","146,647,000","144,513,000","145,870,000","143,589,000","140,541,000","131,791,000","122,836,000","119,592,000","118,749,000","119,059,000","118,693,000","115,738,000","113,047,500","111,603,000","110,218,500","111,665,250","109,797,750","105,450,750","109,010,250","112,389,750","108,870,750","106,439,062","104,819,062","108,770,633","109,716,961","109,711,619","109,118,105","108,742,535","107,200,595","95,096,480","107,891,838","81,976,967","79,535,238"
InterestIncomeAfterProvisionForLoanLoss,"993,000,000","976,000,000","822,009,000","635,361,000","495,081,000","411,683,000","363,230,000","360,663,000","335,995,000","292,833,000","227,628,000","217,290,000","331,834,000","227,328,000","173,311,000","127,773,000","86,247,000","82,096,000","83,468,000","106,036,000","117,037,000","78,300,000","71,300,000","54,400,000","43,000,000","32,400,000","22,300,000","16,400,000","15,000,000","14,700,000","12,700,000","11,100,000",,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"961,000,000","1,034,000,000","856,695,000","636,235,000","529,350,000","502,140,000","480,248,000","367,154,000","295,869,000","278,353,000","228,283,000","152,750,000","235,078,000","250,430,000","214,342,000","151,046,000","127,575,000","86,317,000","79,303,000","96,410,000","125,195,000","85,100,000","92,700,000","98,900,000","66,000,000","46,100,000","42,100,000","49,300,000","41,000,000","26,700,000","17,900,000","12,400,000","5,500,000","9,600,000","6,200,000","4,600,000"
NormalizedIncome,"961,000,000","1,045,280,000","859,255,404","680,088,808","556,256,666","502,140,000","480,248,000","416,239,220.249","332,897,981.944","278,353,000","228,283,000","152,750,000","235,078,000","250,430,000","214,342,000","151,046,000","127,575,000","86,317,000","79,303,000","96,410,000","125,195,000","85,100,000","92,700,000","98,900,000","66,000,000","46,100,000","42,100,000","49,300,000","41,000,000","26,700,000","17,900,000","12,400,000","5,500,000","9,600,000","6,200,000","4,600,000"
ReconciledDepreciation,,"112,000,000","98,735,000","84,132,000","72,383,000","68,315,000","64,163,000","66,359,000","51,445,000","40,337,000","39,527,000","34,563,000","27,982,000","22,631,000","19,173,000","17,781,000","16,827,000","18,344,000","22,813,000","31,259,000","23,854,000","20,000,000","16,300,000","13,300,000","11,300,000","9,700,000","7,000,000","5,000,000","5,000,000","4,100,000","4,400,000","3,900,000",,,,
