name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
TotalAssets,"26,330,094,000","18,676,196,000","15,226,131,000","12,352,082,000","11,560,871,000","8,203,550,000","8,179,131,000","7,928,628,000","7,744,912,000","8,138,278,000","7,801,041,000","7,984,051,000","8,286,355,000","7,769,026,000","6,871,261,000","5,526,318,000","4,729,702,000","3,745,736,000","2,643,652,000","1,468,989,000","1,617,243,000","1,356,164,000","960,749,000","904,764,000"
	TotalInvestments,"17,368,789,000","11,885,747,000","9,503,439,000","9,316,968,000","8,999,068,000","6,743,750,000","6,821,712,000","6,360,647,000","6,209,252,000","6,100,212,000","6,253,411,000","6,042,582,000","5,735,912,000","5,522,901,000","4,552,583,000","3,982,103,000","3,753,940,000","3,041,812,000","1,289,855,000","941,862,000","920,465,000","826,608,000","736,538,000","603,484,000"
		EquityInvestments,"781,641,000","516,571,000","380,475,000","335,209,000","241,253,000","200,329,000","229,016,000","91,310,000","4,484,077,000","4,116,697,000","4,295,792,000","2,996,885,000","3,914,363,000","3,111,930,000","2,898,965,000","3,373,811,000","3,093,376,000","2,341,397,000","1,282,483,000","928,102,000","907,706,000","801,625,000","736,538,000","603,484,000"
		TradingAssets,"11,608,586,000","8,399,122,000","7,814,809,000","7,274,557,000","7,158,882,000","5,078,783,000","5,063,812,000","4,723,607,000",,,,,,,,,,,,,,,,
		NetLoan,"22,598,000","14,482,000","17,574,000","22,040,000","23,231,000","19,316,000","18,048,000","202,929,000",,,,,,,,,,,,,,,,
			LoansReceivable,"22,598,000","14,482,000","17,574,000","22,040,000","23,231,000","19,316,000","18,048,000","202,929,000",,,,,,,,,,,,,,,,
		DerivativeAssets,"12,091,000","11,233,000","524,000","1,495,000","2,289,000","2,570,000","3,809,000","5,803,000",,,,,,,,,,,,,,,,
		LongTermEquityInvestment,"377,596,000","357,819,000","101,974,000","315,288,000","347,199,000","402,645,000","428,007,000","432,393,000","70,714,000","85,603,000","97,287,000","99,879,000",,,,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,"377,596,000","357,819,000","101,974,000","315,288,000","347,199,000","402,645,000","428,007,000","432,393,000","70,714,000","85,603,000","97,287,000","99,879,000",,,,,,,,,,,,
		OtherShortTermInvestments,"4,566,277,000","2,586,520,000","991,863,000","1,368,379,000","1,226,214,000","1,040,107,000","1,079,020,000","904,605,000","905,477,000","1,897,912,000","1,860,332,000","2,945,818,000","1,821,549,000","2,410,971,000","1,653,618,000","608,292,000","660,564,000","700,415,000","7,372,000","13,760,000","12,759,000","24,983,000",,"0"
			ShortTermInvestmentsAvailableForSale,"4,566,277,000","2,586,520,000","991,863,000","1,368,379,000","1,226,214,000","1,040,107,000","1,079,020,000","904,605,000",,,,"2,945,818,000",,,,,,,,,,,,
		OtherInvestedAssets,,,"594,793,000",,,,,,"748,984,000",,,,,,,,,,,,,,,
	CashAndCashEquivalents,"1,379,068,000","1,107,922,000","1,361,592,000","421,157,000","506,885,000","525,584,000","408,032,000","325,358,000","216,984,000","277,738,000","260,716,000","274,692,000","330,226,000","214,399,000","174,001,000","66,740,000","63,397,000","87,067,000","866,268,000","110,571,000","132,112,000","115,701,000","122,929,000","198,982,000"
	ReinsuranceRecoverable,,,,,,,,,"404,029,000","101,711,000","286,093,000","387,553,000",,,,,,,,,,,,
	Receivables,"5,469,562,000","4,165,825,000","2,994,397,000","1,372,728,000","1,133,369,000","559,091,000","650,957,000","852,550,000","588,995,000","421,306,000","597,258,000","802,115,000","619,112,000","419,150,000","363,105,000","206,813,000","167,996,000","199,449,000","102,202,000","95,423,000","80,455,000","96,761,000","56,568,000","56,685,000"
		AccountsReceivable,"5,391,193,000","3,909,409,000","2,891,252,000","1,266,887,000","912,535,000","506,701,000","575,112,000","683,877,000","471,878,000","322,080,000","589,827,000","565,630,000","619,112,000","419,150,000","363,105,000","206,813,000","167,996,000","199,449,000","102,202,000","95,423,000","80,455,000","96,761,000","56,568,000","42,785,000"
		AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,"13,900,000"
		OtherReceivables,"78,369,000","256,416,000","103,145,000","105,841,000","220,834,000","52,390,000","75,845,000","168,673,000","117,117,000","99,226,000","7,431,000","236,485,000",,,,,,,,,,,,
	AccruedInvestmentIncome,"72,461,000","51,311,000","42,235,000","38,076,000","39,749,000","26,509,000","34,065,000","33,478,000","33,523,000","34,560,000","31,928,000","26,614,000","39,084,000","41,234,000","25,808,000","30,060,000","22,793,000","25,833,000","17,696,000","15,034,000","13,456,000","9,968,000","12,762,000","13,913,000"
	PrepaidAssets,"767,781,000","616,185,000","533,546,000","441,260,000","230,671,000","94,810,000","66,132,000","77,082,000","58,522,000","60,643,000",,,,,,,,,,,,,,
	DeferredPolicyAcquisitionCosts,"663,991,000","476,661,000","426,551,000","335,325,000","199,380,000","110,059,000","81,684,000","52,622,000","43,721,000","35,648,000","61,870,000","81,904,000","104,212,000","106,918,000","107,951,000","70,933,000","75,261,000","55,853,000","12,814,000","8,599,000","14,221,000","10,997,000","5,739,000","6,819,000"
