name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalAssets,"8,131,100,000","8,044,900,000","7,751,000,000","7,411,300,000","7,121,600,000","7,836,600,000","7,341,000,000","5,857,700,000","5,605,900,000","4,668,893,000","4,306,777,000","5,195,485,000","3,983,477,000","3,614,173,000","1,769,070,000","1,563,331,000","1,369,424,000","1,139,247,000","1,082,293,000","997,243,000","900,000,000","841,400,000","583,900,000","391,200,000","260,500,000","199,400,000","163,400,000"
	CurrentAssets,"3,010,200,000","3,285,000,000","3,051,300,000","2,688,500,000","2,554,200,000","3,121,100,000","2,738,900,000","2,277,400,000","2,274,700,000","1,700,897,000","1,390,904,000","2,302,372,000","1,721,403,000","1,675,389,000","847,348,000","733,229,000","544,586,000","532,544,000","517,993,000","491,396,000","428,900,000","420,300,000","322,100,000","210,900,000","166,900,000","125,400,000","96,100,000"
		CashCashEquivalentsAndShortTermInvestments,"174,300,000","128,200,000","154,400,000","122,800,000","104,300,000","106,200,000","83,600,000","97,600,000","84,600,000","72,915,000","43,002,000","51,995,000","77,023,000","57,475,000","35,022,000","11,659,000","2,166,000","9,305,000","9,931,000","3,107,000","9,900,000","6,500,000","34,000,000","800,000","18,000,000","8,300,000","1,500,000"
			CashAndCashEquivalents,"174,300,000","128,200,000","154,400,000","122,800,000","104,300,000","106,200,000","83,600,000","97,600,000","84,600,000","72,915,000","43,002,000","51,995,000","77,023,000","57,475,000","35,022,000","11,659,000","2,166,000","9,305,000","9,931,000","3,107,000","9,900,000","6,500,000","34,000,000","800,000","18,000,000","8,300,000","1,500,000"
		Receivables,"1,105,000,000","1,258,200,000","1,090,200,000","960,200,000","953,100,000","1,144,600,000","1,017,400,000","836,100,000","896,200,000","725,325,000","587,891,000","861,194,000","709,037,000","691,417,000","369,931,000","329,991,000","221,793,000","190,191,000","172,603,000","193,106,000","167,700,000","156,200,000","117,700,000","73,100,000","68,900,000","57,300,000","43,400,000"
			AccountsReceivable,"1,067,800,000","1,242,300,000","1,087,300,000","960,200,000","916,600,000","1,144,600,000","983,500,000","807,700,000","896,200,000","697,033,000","533,871,000","851,214,000","691,462,000","666,273,000","369,931,000","329,991,000","221,793,000","190,191,000","172,603,000",,,,,,,,
				GrossAccountsReceivable,"1,085,600,000","1,261,100,000","1,102,800,000","975,500,000","932,900,000","1,162,900,000","1,002,400,000","828,200,000","918,400,000",,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-17,800,000","-18,800,000","-15,500,000","-15,300,000","-16,300,000","-18,300,000","-18,900,000","-20,500,000","-22,200,000",,,,,,,,,,,,,,,,,,
			TaxesReceivable,"37,200,000","15,900,000","2,900,000","0","36,500,000","0","33,900,000","28,400,000","0","28,292,000","54,020,000","9,980,000",,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,"17,575,000","25,144,000",,,,,,,,,,,,,
		Inventory,"1,645,700,000","1,817,100,000","1,726,000,000","1,532,600,000","1,436,000,000","1,752,100,000","1,540,000,000","1,272,300,000","1,212,800,000","860,215,000","719,915,000","1,284,468,000","911,315,000","904,318,000","387,385,000","349,779,000","288,080,000","307,385,000","308,093,000","271,549,000","232,900,000","240,700,000","158,700,000","122,800,000","72,000,000","57,900,000","49,500,000"
		PrepaidAssets,"85,200,000","81,500,000","80,700,000","72,900,000","60,800,000","71,800,000","59,000,000","40,900,000","47,800,000","42,442,000","37,855,000","33,782,000","24,028,000","22,179,000","19,009,000","17,216,000","14,593,000","10,874,000","8,903,000",,,,,,,,
		CurrentDeferredAssets,,,,,"0","46,400,000","38,900,000","30,500,000","33,300,000","0","2,241,000","70,933,000",,,"36,001,000","24,584,000","17,954,000","14,789,000","18,463,000",,,,,,,,
			CurrentDeferredTaxesAssets,,,,,"0","46,400,000","38,900,000","30,500,000","33,300,000","0","2,241,000","70,933,000",,,"36,001,000","24,584,000","17,954,000","14,789,000","18,463,000",,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,"23,634,000","18,400,000","16,900,000","11,700,000","14,200,000","8,000,000","1,900,000","1,700,000"
	TotalNonCurrentAssets,"5,120,900,000","4,759,900,000","4,699,700,000","4,722,800,000","4,567,400,000","4,715,500,000","4,602,100,000","3,580,300,000","3,331,200,000","2,967,996,000","2,915,873,000","2,893,113,000","2,262,074,000","1,938,784,000","921,722,000","830,102,000","824,838,000","606,703,000","564,300,000","505,847,000","471,100,000","421,100,000","261,800,000","180,300,000","93,600,000","74,000,000","67,300,000"
		NetPPE,"1,996,700,000","1,729,900,000","1,656,300,000","1,662,200,000","1,635,500,000","1,656,400,000","1,603,900,000","1,240,700,000","1,105,500,000","1,025,305,000","981,259,000","998,706,000","824,635,000","742,672,000","479,719,000","458,813,000","466,871,000","306,189,000","290,353,000","245,351,000","227,400,000","213,100,000","161,000,000","133,600,000","66,300,000","58,900,000","53,100,000"
			GrossPPE,"3,680,800,000","3,272,900,000","3,063,600,000","2,934,700,000","2,772,300,000","2,660,500,000","2,476,600,000","2,005,400,000","1,785,500,000","1,629,546,000","1,503,753,000","1,441,931,000","1,202,642,000","1,059,824,000","745,596,000","689,439,000","663,718,000","471,376,000","424,804,000","357,867,000","323,200,000","294,100,000","225,900,000","190,300,000","119,400,000","103,500,000","94,000,000"
				LandAndImprovements,"239,800,000","233,900,000","229,700,000","228,200,000","196,200,000","197,500,000","191,700,000","155,600,000","145,800,000","137,140,000","131,009,000","125,096,000","115,294,000","108,022,000","60,207,000","57,982,000","57,077,000","52,469,000","48,598,000",,,,,,,,
				BuildingsAndImprovements,"1,195,100,000","1,158,900,000","1,095,300,000","1,059,200,000","1,006,300,000","983,200,000","934,600,000","725,100,000","656,800,000","594,329,000","543,590,000","506,781,000","417,677,000","385,851,000","281,986,000","261,228,000","256,708,000","180,995,000","168,963,000",,,,,,,,
				MachineryFurnitureEquipment,"2,044,400,000","1,880,100,000","1,738,600,000","1,647,300,000","1,569,800,000","1,479,800,000","1,350,300,000","1,124,700,000","982,900,000","898,077,000","829,154,000","810,054,000","669,671,000","565,951,000","403,403,000","370,229,000","349,933,000","237,912,000","207,243,000",,,,,,,,
				OtherProperties,"201,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-1,684,100,000","-1,543,000,000","-1,407,300,000","-1,272,500,000","-1,136,800,000","-1,004,100,000","-872,700,000","-764,700,000","-680,000,000","-604,241,000","-522,494,000","-443,225,000","-378,007,000","-317,152,000","-265,877,000","-230,626,000","-196,847,000","-165,187,000","-134,451,000","-112,516,000","-95,800,000","-81,000,000","-64,900,000","-56,700,000","-53,100,000","-44,600,000","-40,900,000"
		GoodwillAndOtherIntangibleAssets,"3,034,900,000","2,942,800,000","2,954,700,000","2,978,700,000","2,850,200,000","2,978,000,000","2,905,400,000","2,251,100,000","2,140,200,000","1,865,368,000","1,807,579,000","1,807,208,000","1,350,443,000","1,139,066,000","384,730,000","341,780,000","325,305,000","284,276,000","250,103,000","232,048,000","215,200,000","176,900,000","67,300,000",,,,
			Goodwill,"2,003,800,000","1,870,800,000","1,842,600,000","1,827,400,000","1,724,800,000","1,736,400,000","1,691,600,000","1,314,600,000","1,244,300,000","1,109,600,000","1,081,324,000","1,065,527,000","886,152,000","784,871,000",,,,,,,,,,,,,
			OtherIntangibleAssets,"1,031,100,000","1,072,000,000","1,112,100,000","1,151,300,000","1,125,400,000","1,241,600,000","1,213,800,000","936,500,000","895,900,000","755,768,000","726,255,000","741,681,000","464,291,000","354,195,000","384,730,000","341,780,000","325,305,000","284,276,000","250,103,000","232,048,000","215,200,000","176,900,000","67,300,000",,,,
		InvestmentsAndAdvances,,,,,,"5,400,000","14,100,000","15,500,000","16,200,000","18,274,000","20,880,000",,,,,,,,,,,,,,,,
			LongTermEquityInvestment,,,,,,"5,400,000","14,100,000","15,500,000",,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"89,300,000","87,200,000","88,700,000","81,900,000","81,700,000","75,700,000","78,700,000","73,000,000","69,300,000","59,049,000","106,155,000","87,199,000","86,996,000","57,046,000","57,273,000","29,509,000","32,662,000","16,238,000","23,844,000","28,448,000","28,500,000","31,100,000","33,500,000","46,700,000","27,300,000","15,100,000","14,200,000"
TotalLiabilitiesNetMinorityInterest,"2,917,000,000","3,365,400,000","3,051,100,000","3,232,200,000","3,178,900,000","3,708,700,000","3,456,600,000","2,290,300,000","2,453,900,000","1,838,779,000","1,698,655,000","2,760,417,000","1,875,529,000","1,866,529,000","722,077,000","725,243,000","712,423,000","518,676,000","498,410,000","594,204,000","499,700,000","495,600,000","270,700,000","198,600,000","96,600,000","49,400,000","73,300,000"
	CurrentLiabilities,"675,300,000","699,100,000","703,700,000","656,000,000","989,700,000","662,800,000","573,400,000","578,200,000","576,400,000","508,595,000","417,569,000","650,165,000","599,864,000","550,739,000","333,819,000","288,780,000","202,824,000","142,924,000","138,002,000","143,737,000","155,900,000","129,100,000","108,800,000","74,100,000","66,200,000","40,900,000","35,200,000"
		PayablesAndAccruedExpenses,"385,800,000","459,100,000","472,400,000","432,700,000","370,200,000","440,500,000","417,400,000","381,800,000","453,200,000","412,799,000","326,989,000","472,701,000","504,272,000","504,217,000","283,544,000","242,242,000","151,703,000","118,405,000","102,692,000","82,616,000","104,000,000","91,600,000","82,900,000","50,300,000","46,800,000","30,300,000","26,900,000"
			Payables,"275,000,000","338,800,000","346,700,000","308,400,000","247,000,000","295,700,000","280,300,000","255,600,000","357,100,000","244,988,000","169,113,000","248,312,000","333,986,000","340,356,000","188,584,000","140,323,000","98,438,000","77,511,000","69,870,000","82,616,000","104,000,000","91,600,000","82,900,000","50,300,000","46,800,000","30,300,000","26,900,000"
				AccountsPayable,"275,000,000","338,800,000","346,700,000","302,200,000","247,000,000","286,500,000","280,300,000","255,600,000","335,200,000","244,988,000","169,113,000","248,312,000","333,986,000","340,356,000","188,584,000","140,323,000","98,438,000","77,511,000","69,870,000","82,616,000","104,000,000","91,600,000","82,900,000","50,300,000","46,800,000","30,300,000","26,900,000"
				TotalTaxPayable,,,"0","6,200,000","0","9,200,000",,"0","21,900,000",,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,,"0","6,200,000","0","9,200,000",,"0","21,900,000",,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"110,800,000","120,300,000","125,700,000","124,300,000","123,200,000","144,800,000","137,100,000","126,200,000","96,100,000","167,811,000","157,876,000","224,389,000","170,286,000","163,861,000","94,960,000","101,919,000","53,265,000","40,894,000","32,822,000",,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"172,100,000","174,800,000","139,300,000","140,800,000","118,700,000","128,400,000","119,500,000","112,800,000","111,000,000",,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"117,400,000","65,200,000","92,000,000","82,500,000","500,800,000","93,900,000","36,500,000","83,600,000","12,200,000","86,232,000","87,046,000","94,515,000","72,456,000","22,816,000","50,061,000","46,400,000","22,400,000","325,000","10,325,000","150,000","200,000","100,000","100,000","2,500,000","2,900,000","2,900,000","3,200,000"
			CurrentDebt,"64,900,000","65,200,000","92,000,000","82,500,000","500,800,000","93,900,000","36,500,000","83,600,000","12,200,000","86,232,000","86,383,000","93,877,000","72,456,000","22,816,000","50,061,000","46,400,000","22,400,000","325,000","10,325,000","150,000","200,000","100,000","100,000","2,500,000","2,900,000","2,900,000","3,200,000"
				OtherCurrentBorrowings,"64,900,000",,,,,,,,,,"86,383,000","93,877,000",,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"52,500,000",,,,,,,,,,"663,000","638,000",,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,"0","9,564,000","3,534,000","82,949,000","23,136,000","23,706,000","214,000","138,000","6,025,000","4,034,000","7,555,000",,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,"0","9,564,000",,"0","23,136,000","23,706,000","214,000","138,000","6,025,000","4,034,000","7,555,000",,,,,,,,
			CurrentDeferredRevenue,,,,,,,,,,,"3,534,000","82,949,000",,,,,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,"22,696,000","20,160,000","17,430,000","60,971,000","51,700,000","37,400,000","25,800,000","21,300,000","16,500,000","7,700,000","5,100,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"2,241,700,000","2,666,300,000","2,347,400,000","2,576,200,000","2,189,200,000","3,045,900,000","2,883,200,000","1,712,100,000","1,877,500,000","1,330,184,000","1,281,086,000","2,110,252,000","1,275,665,000","1,315,790,000","388,258,000","436,463,000","509,599,000","375,752,000","360,408,000","450,467,000","343,800,000","366,500,000","161,900,000","124,500,000","30,400,000","8,500,000","38,100,000"
		LongTermDebtAndCapitalLeaseObligation,"1,673,100,000","2,138,500,000","1,809,400,000","1,846,700,000","1,427,900,000","2,222,300,000","2,072,500,000","1,123,800,000","1,319,000,000","855,085,000","852,557,000","1,675,565,000","1,013,260,000","1,088,051,000","306,790,000","380,850,000","469,250,000","344,080,000","331,975,000","421,825,000","318,100,000","343,300,000","143,400,000","107,500,000","30,400,000","8,500,000","38,000,000"
			LongTermDebt,"1,523,600,000","2,138,500,000","1,809,400,000","1,846,700,000","1,427,900,000","2,222,300,000","2,072,500,000","1,123,800,000","1,319,000,000","855,085,000","849,375,000","1,671,732,000","1,008,765,000","1,083,095,000","301,275,000","380,850,000","469,250,000","344,080,000","331,975,000","421,825,000","318,100,000","343,300,000","143,400,000","107,500,000","30,400,000","8,500,000","38,000,000"
			LongTermCapitalLeaseObligation,"149,500,000",,,,,,,,,,"3,182,000","3,833,000","4,495,000","4,956,000","5,515,000",,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"469,300,000","440,100,000","440,800,000","626,900,000","627,100,000","692,900,000","690,800,000","466,300,000","439,800,000","372,563,000","335,897,000","340,326,000","200,181,000","181,628,000","65,808,000","55,613,000","40,349,000","31,672,000","28,433,000","28,642,000","25,700,000","23,200,000","18,500,000","16,900,000",,,
			NonCurrentDeferredTaxesLiabilities,"469,300,000","440,100,000","440,800,000","626,900,000","627,100,000","692,900,000","690,800,000","466,300,000","439,800,000","372,563,000","335,897,000","340,326,000","200,181,000","181,628,000","65,808,000","55,613,000","40,349,000","31,672,000","28,433,000","28,642,000","25,700,000","23,200,000","18,500,000","16,900,000",,,
		EmployeeBenefits,"87,000,000","71,800,000","85,400,000","89,600,000","103,800,000","102,200,000","84,000,000","94,900,000","88,600,000","74,749,000","92,632,000","94,361,000",,,,,,,,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"87,000,000","71,800,000","85,400,000","89,600,000","103,800,000","102,200,000","84,000,000","94,900,000","88,600,000","74,749,000","92,632,000","94,361,000",,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"12,300,000","15,900,000","11,800,000","13,000,000","30,400,000","28,500,000","35,900,000","27,100,000","30,100,000","27,787,000","335,897,000",,"62,224,000","46,111,000","15,660,000",,,,,,,,,"100,000",,,"100,000"
TotalEquityGrossMinorityInterest,"5,214,100,000","4,679,500,000","4,699,900,000","4,179,100,000","3,942,700,000","4,127,900,000","3,884,400,000","3,567,400,000","3,152,000,000","2,830,114,000","2,608,122,000","2,435,068,000","2,107,948,000","1,747,644,000","1,046,993,000","838,088,000","657,001,000","620,571,000","583,883,000","403,039,000","400,300,000","345,800,000","313,200,000","192,600,000","163,900,000","150,000,000","90,100,000"
	StockholdersEquity,"5,206,600,000","4,671,600,000","4,667,100,000","4,148,800,000","3,914,100,000","4,099,000,000","3,874,600,000","3,558,400,000","3,143,900,000","2,823,732,000","2,606,432,000","2,431,436,000","2,106,249,000","1,746,398,000","1,029,865,000","822,552,000","647,619,000","609,854,000","583,883,000","403,039,000","400,300,000","345,800,000","313,200,000","192,600,000","163,900,000","150,000,000","90,100,000"
		CapitalStock,"122,200,000","136,400,000","594,600,000","590,300,000","533,800,000","819,400,000","818,300,000","722,200,000","0","0","0","0","0","701,690,000","325,010,000","313,953,000","303,587,000","294,503,000","290,798,000","139,231,000","153,100,000",,,,,,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,
