name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"1,822,547,000","1,786,735,000","1,653,849,000","1,378,510,000","1,218,481,000","1,221,311,000","1,272,321,000","1,139,094,000","1,098,679,000","1,030,224,000","902,660,000","849,141,000","1,030,421,000","976,123,000","874,738,000","1,098,031,000","982,270,000","827,359,000","775,436,000","771,582,000","789,009,000","594,510,000","407,960,000"
	OperatingRevenue,"1,822,547,000","1,786,735,000","1,653,849,000","1,378,510,000","1,218,481,000","1,221,311,000","1,272,321,000","1,139,094,000","1,098,679,000","1,030,224,000","902,660,000","849,141,000","1,030,421,000","976,123,000","874,738,000","1,098,031,000","982,270,000","827,359,000","775,436,000","771,582,000","789,009,000","594,510,000","407,960,000"
CostOfRevenue,"1,562,180,000","1,537,082,000","1,423,779,000","1,203,464,000","1,058,979,000","1,067,191,000","1,113,053,000","1,003,390,000","977,437,000","450,988,000","292,760,000","232,024,000","325,365,000","340,075,000","286,724,000","367,071,000","306,953,000","252,293,000","232,942,000",,,,
	Fuel,"339,412,000","340,056,000","325,000,000","268,090,000","230,364,000","261,387,000","314,788,000","306,364,000","308,176,000",,,,,,,,,,,,,,
	DDACostofRevenue,"124,943,000","119,135,000","102,153,000","87,102,000","76,240,000","65,020,000","59,022,000","51,564,000","47,985,000",,,,,,,,,,,,,,
	OtherCostofRevenue,"1,097,825,000","1,077,891,000","996,626,000","848,272,000","752,375,000","740,784,000","739,243,000","645,462,000","621,276,000",,,,,,,,,,,,,,
GrossProfit,"260,367,000","249,653,000","230,070,000","175,046,000","159,502,000","154,120,000","159,268,000","135,704,000","121,242,000","579,236,000","609,900,000","617,117,000","705,056,000","636,048,000","588,014,000","730,960,000","675,317,000","575,066,000","542,494,000",,,,
OperatingExpense,"99,555,000","97,470,000","88,514,000","80,492,000","79,650,000","63,835,000","73,591,000","62,007,000","62,995,000","551,090,000","554,060,000","561,186,000","613,676,000","972,282,000","848,756,000","1,076,034,000","967,140,000","819,868,000","770,987,000","755,839,000","767,348,000","565,832,000","385,864,000"
	SellingGeneralAndAdministration,"43,964,000","43,073,000","38,425,000","37,162,000","39,625,000","26,832,000","37,563,000","25,494,000","24,712,000","513,977,000","481,197,000","486,473,000","537,857,000","598,107,000","530,134,000","659,934,000","605,027,000","516,496,000","485,152,000",,,,
		GeneralAndAdministrativeExpense,"43,964,000","43,073,000","38,425,000","37,162,000","39,625,000","26,832,000","37,563,000","25,494,000","24,712,000","513,977,000","481,197,000","486,473,000","537,857,000","598,107,000","530,134,000","659,934,000","605,027,000","516,496,000","485,152,000",,,,
